ParlaMint-NL_2016-03-10-tweedekamer-10.u1	I would like to welcome everyone, in particular the Minister for Health. I call Mrs Leijten.
ParlaMint-NL_2016-03-10-tweedekamer-10.u2	Mr. Chairman. On 15 February, we spoke with the Minister about the future of ambulance services. A few days before that, we were informed that it is postponing the market forces and the associated procurement circus for two years. That is very sensible, because at first she wanted to introduce the tender by 2018. As far as we're concerned, we're not just gonna postpone it, we're gonna adjust it. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that an overwhelming majority of ambulance staff do not see any tender in ambulance services;]] [[Whereas procurement may lead to reduced investment in personnel and equipment;]] [[Considers that, because of its nature, ambulance care does not lend itself to market forces;]] [[calls on the government to ensure in the new Ambulance Services Act (Waz) that ambulance services are not organised through public procurement,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Leijten. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29247-219]]
ParlaMint-NL_2016-03-10-tweedekamer-10.u3	Another issue that we have discussed is the great annoyance in ambulance services about the fact that they are being dealt with under the fifteen-minute standard. That's what's scored. That standard can be an instrument to see why you weren't on time, but doesn't say anything about the quality of care. However, if an ambulance region does not meet the percentage imposed by the health insurance provider, a discount will follow. We want that to stop. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that health insurers use the 15-minute standard to pay for ambulance services;]] [[considers that the quality of the care provided should be guiding;]] [[calls on the Government to ensure that the 15-minute standard as a settlement mechanism for financing a RAV becomes a thing of the past,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Leijten. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29247-220]]
ParlaMint-NL_2016-03-10-tweedekamer-10.u4	Mr. Chairman. It is good to say that I am replacing Mrs Bouwmeester here; she has done the general consultation, but is on maternity leave. I understand that Mrs Bouwmeester is very pleased with the commitments made by the Minister in the consultation on ambulance services. The privacy of the paramedics is better secured. The survey of the 112 callers who need an ambulance, but do not know exactly where they are, will soon become the standard. The minister is going to look at the alignment of health care laws so that the ambulance nurses in hospitals can be better tuned before the patient gets to the hospital. The Minister will explore in a pilot how the accessibility of crisis services can be improved at nights and nights. I would like to say that the PvdA Group is very pleased with that. The Minister also announced that a new ambulance law would be introduced in 2020. It will, of course, take on board the preparations. The Labour Party shall table a motion on this matter. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that there will be a new Ambulance Services Act by 2020;]] [[noting that the government is investigating several ambulance systems by 2020;]] [[Considers that the new system should lead to a higher quality of ambulance care, better cooperation, faster data transmission and more robust patient position assurance;]] [[calls on the government, in preparing for the new Ambulance Care Act, to examine the possible systems at the above points and to inform the Chamber of the progress made every spring,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Wolbert. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29247-221]]
ParlaMint-NL_2016-03-10-tweedekamer-10.u5	Does the Labour Party mean that all four scenarios developed by the Minister must be examined?
ParlaMint-NL_2016-03-10-tweedekamer-10.u6	Yes, at least the Labour Party believes that the Minister should examine what it is investigating on these four points. Whether that's three, four or five... at that point I have to let you know, because I wasn't at the meeting and I didn't count. I apologise, but that is why I have now indicated in a motion where the Labour Party has set its benchmarks. I just read those benchmarks.
ParlaMint-NL_2016-03-10-tweedekamer-10.u7	This was a very important part of the debate and the SP also tabled a motion for a resolution during the budget debate. The Minister has outlined four different scenarios for the future: three tender variants and a public variant. The Minister did not want to "think through" that last variant. During the general consultation, she also said that she did not see the need to do so in the future. That is why I am asking for this clarification, because I would very much welcome it if we, as a Chamber, decided that, now that the cards are completely open again, all the scenarios should be examined. If you have extra points that are being looked at, that is of course fine, but I want to know if the Labour Party also wants that public variant to be included in that study. Otherwise, we still have flawed scenario studies.
ParlaMint-NL_2016-03-10-tweedekamer-10.u8	The Labour Party is never for a repeat of moves. I have tabled this motion and I therefore insist on these four points. I have tabled the motion for a resolution for a reason; these points are as they stand in it; they have been carefully considered. I assume that we will not receive the same answers as we have always received, otherwise I would table an empty motion. That's not my habit.
ParlaMint-NL_2016-03-10-tweedekamer-10.u9	The Minister is willing and able to respond directly.
ParlaMint-NL_2016-03-10-tweedekamer-10.u10	Mr. Chairman. In the motion in part No. 219 calls on the government to ensure that the new Ambulance Services Act does not organise ambulance services through public procurement. We discussed this extensively in the debate. In my dictionary, market forces mean that different providers compete with each other. We have chosen in ambulance care a model in which there is one ambulance provider who has a licence for a certain period of time per region. Mrs Leijten says that public execution of ambulance services could solve the issue of procurement, because ambulance services would then be carried out by a government party; then these procurement rules would not apply. However, this does mean that I have also indicated, as a consequence, that the procurement issue will simply come back if that public party for the execution of other parties, for example existing private ambulance services, would want to engage. So you'd have to nationalize all the paramedics in order to do that. I'm really out of line with that. So it will not surprise Mrs Leijten that I am against this motion. The motion by Mrs Leijten on part No. 220 amazes me more than her first motion. It states that the 15 minute standard is used as a settlement mechanism. However, this fifteen-minute standard has not been set by the insurers, but by us. I said that this 15-minute driving time is qualitatively necessary, but that the time after that in the ambulance might actually be longer, but we are not doing so because we are forcing the spread of hospitals across the country. Those fifteen minutes are of course qualitatively important, because the sooner you get there in an acute situation the better. An important.... but not the only........................................................................................................................................................................................................................................................ That 15 minute standard is not just there, but it is very important and must be complied with. So I really don't want to recommend this motion.
ParlaMint-NL_2016-03-10-tweedekamer-10.u11	This surprises me. In general consultation I agreed with the Minister that the quality of the care provided could be very good, whether the ambulance arrives in fifteen or sixteen minutes. However, we know that they get a discount if they don't get that 93% on time. Actually, we should look at what's going on if 93% isn't made. Is there an ambulance shortage? Would an investment be needed? It's fine that you use this as an instrument; the Minister and I agree on that. Logically, this should result in you not using it as a payment or penalty instrument. But that's how health insurance companies use it by region.
