ParlaMint-NL_2016-12-20-eerstekamer-16.u1	I give the floor to the Minister for Economic Affairs.
ParlaMint-NL_2016-12-20-eerstekamer-16.u2	Madam President. I wish I could summarize it as briefly as you can, but that is a little more difficult for me. May I begin by complimenting Mrs. Klip on her maiden speech? It's wonderful to be able to tell Tanja Klip now that she's making her maiden speech. It was a solid story, as we expected from her. I would like to congratulate her on her membership of this Chamber. I wish her a lot of beautiful years and lots of beautiful summers between the lemons. We have a complicated matter to discuss. Three laws put together, overlap and have come together in a rather special order. We are dealing with a licensing system that is anything but easy and quite complicated. I'll try to tear that apart in the course of my story where it's necessary. We are also dealing with the many actors involved in the area of Groningen that we are talking about. That is understandable, because there is a major social problem in Groningen that has arisen over decades. Basically, we have benefited from natural gas extraction throughout the country and its disadvantages are concentrated in Groningen. This has become clear in recent years. We are now doing justice to the people of Groningen. I've been working on it in every possible way for four years now, with conviction. I think that's what people should expect from me. We've come a long way, but we're not done. These legal changes will help, but we will be working together for years to do what is necessary for Groningen and the people in Groningen. I will reply to the contributions of the spokesmen following a brief introduction, with a few technical comments. I will focus on the transition to renewable energy and the gas building. I also deal with the damage handling, the reinforcement and other things that play above ground. Then I'll go into the legal evidence we used to call "reversion of the burden of proof." Then I come to the licensing procedure, so it becomes really complicated. Finally, I would like to deal with a few other points. There are three legislative proposals on the table, firstly the offshore safety bill. That is actually a very simple legislative proposal that has been complicated by the fact that a number of amendments have been tabled on very different subjects. Secondly, it concerns the safety and direction bill. That bill is an elaboration of the valuable recommendations on Groningen that we have received from the Security Research Council. The third bill concerns the Evidence Presumed Gas extraction Act Groningen, where we made changes to the offshore security bill and immediately shaped the evidence suspicions in a manner consistent with what has been advised by the Council of State. The three amendments to the Mining Act that are now under discussion have a long and moving history, as Mrs Klip, Mr Flierman and Mrs Vos have said. We will now try to deal with each other as best we can. I'll deal with the offshore security bill first. It's been in the Chamber since April 2015. The legislative proposal aims to implement a European Union directive. That Directive lays down additional rules on the safety of workers working in the North Sea, following a major incident in the Gulf of Mexico. Those additional rules should include reporting on security policy. These reports also refer to the protection of the environment. That protection must take place if we are to win at sea. I've decided to extend those rules to land. Mr Kuiper was right to ask whether other countries have extended these directives to countries. That is not the case. As far as is known, only the Netherlands has done so. I think it is logical that when you put people to work in the North Sea, you want to monitor the environment and safety and set rules for it. The same rules should apply on land. I have therefore moved on to land to ensure that there is one uniform whole for the extraction in the Netherlands at sea and on land and what is going on there with regard to the safety of workers and the risks to the environment. Mr Kuiper asked about the consequences of the Brexit. I can't see it right now. These consequences are being mapped out. In the United Kingdom, the implementation of the directive has been somewhat less difficult; that was already the case there in 2015. It is part of the legislation in the United Kingdom. I find it difficult to imagine that if the Brexit is implemented in the near future, those provisions will be removed from the law. I don't think that's what I'm expecting. I have not received any signals that something like this could be happening in the United Kingdom. Mr Kuiper asked whether the Brexit affected our safety regime in the North Sea. That is not the case. We are implementing this directive. We make sure it works on our part of the North Sea. The Brexit has no influence on that. Mr Kuiper also asked about the consequences of the fisheries directives. They have not been discussed. It's about the safety of mining operations. I implemented that directive one-on-one. Fishing has not been in sight and has not been consulted. On the second legislative proposal on the strengthening of security interests in mining and control of search, extraction and storage permits, I will go into further details later. That bill contains a number of changes based on the recommendations made by the Research Council for Security with regard to Groningen. An important recommendation was that citizens' security should be given greater attention in decision-making. Of course, for me, the safety of the inhabitants of Groningen is paramount. We have accepted that recommendation, as recommended by the Security Research Council. In addition, the Research Council recommended that the citizen's perspective be taken more into account in decision-making and that other public authorities be given a role in that decision-making. In addition, the Research Council recommended strengthening the independence of State supervision of the Mines. That is also what we have done. Mr Verheijen asked for a vision on the further separation of the responsibilities of the government as a licence holder, competent authority for the extraction plan, client and supervisor in the role of the State Inspectorate, and owner of the shareholder position within the gas building. He asked for a better balance between security interests, gas extraction and financial importance. We must be aware that the situation in Groningen started in the 1950s, especially since the 1960s. For many decades, the rules around the gas building have worked and functioned. We are now in the phase-out phase of the Groningen field. We must realise this, also in the light of the life cycle phase in which this field is located, when we talk about further changes that we need to make. With the present bill, I will ensure that the independent position of the SodM is further strengthened. In practice, there were no problems in this respect. It's important to note that. I didn't want to influence SodM in his independent attitude. Nor do I have any indication that my predecessors wanted to do so. Materially there was no need, but that does not mean that it is formally not wise to make improvements on this point, as the Safety Research Council has also advised. That is what we have done. I will come back to that later. The authorisation itself lies with the Ministry. SodM advises on the permit application at my request, but then I have to make my own assessment. I have to do the same with regard to the assessment of the extraction plans. It seems to me very useful that one minister should be responsible for that whole, so that he can be addressed by the First Chamber and colleagues on the other side of the Binnenhof. SodM is completely independent in advising the Minister. Once the licences have been issued, the Minister may intervene if those licences are not complied with. It seems to me that in this way we have a fine separation between, on the one hand, licensing, which is carried out under my responsibility in the Ministry, and, on the other hand, supervision and enforcement. The tasks of the SodM are clearly defined in the legislative proposal. This means that some tasks that are still carried out by SodM in my order are assigned to SodM by law. Moreover, under the law, tasks are also entrusted directly to the Inspector-General of Mines. This means that both SodM and the Inspector-General of Mines, who is in charge of SodM, see their own position further strengthened. The possibilities for the Minister to give instructions to the Inspector-General of Mines are limited. I've never done that, but now I can't give any more clues as to how SodM conducts research. It has also been established that the findings and assessments of SodM can be reported unchanged. As I said, this was already the practice, but now we have committed it. So that means a strengthening of SodM's position. I believe that on the basis of this bill, it is now ensured in all circumstances that SodM can function independently. In addition, ministerial responsibility remains fully in place. That is very important for the Chamber, in order to be able to control and address the whole process and everything that is happening in it.
ParlaMint-NL_2016-12-20-eerstekamer-16.u3	In view of what the Council of State has said, my question was as follows. If the government also carries out market activities or owns sales, resale and supply within the gas building, shouldn't the consideration be to turn the inspection into a ZBO, as has been the case with other supervisory authorities?
ParlaMint-NL_2016-12-20-eerstekamer-16.u4	Not all inspections are a zbo. This applies to a single inspection, but not to other inspections. What we have arranged for SodM, the current practice and what we now legally lay down, offers a whole with which SodM's position, also compared to other supervisors, is strong. Given that in practice, where there are a lot of checks-and-balances, there are no problems and that this is also laid down by law, in my opinion we have arranged the matter in such a way that there would be no improvement by choosing the ZBO form. That is why, also in view of the general policy with regard to ZBOs, no more zbos than is necessary that we have not done so. It is very good that it is done this way, I think, because it guarantees the independence of SodM, while maintaining the responsibility of the ruler, who can be held accountable to the Chamber. There can be no further misunderstanding. I'm accessible to the Chamber at all times.
ParlaMint-NL_2016-12-20-eerstekamer-16.u5	Still, to the ownership role within the gas building. The Minister writes that he is studying it more closely and that he wants to come forward with proposals on this matter. I understand that I am now asking a complex and also financially responsible question, which needs to be looked at carefully, but would the Minister still like to address the question of how this relates to ownership?
ParlaMint-NL_2016-12-20-eerstekamer-16.u6	Mr Verheijen means the ownership of the gas?
ParlaMint-NL_2016-12-20-eerstekamer-16.u7	From EBN.
ParlaMint-NL_2016-12-20-eerstekamer-16.u8	EBN is a State participation. We could have been directly in the gas building. We didn't have to use EBN for that. It could also have been done directly by the government together with other parties, the NAM, who is working there, GasTerra, the Gasunie.............................................................................................................................................................................................................................................. At the time, we chose to set up EBN, to gather expertise in it and to give it an independent role. EBN is 100% owned by the Empire and therefore also works under my responsibility. But it's an organization where you can gather specific expertise and play a constructive role. That's what was chosen at the time. The question I am now faced with is whether I want to make major changes in the aftermath of the gas extraction in Groningen. If you're making major changes in something that's been going on for 50 or 60 years, where it's big amounts and you're dealing with parties like Shell and Exxon, you can't just set up a conversation. These are things that specialist lawyers think deeply about and advise about, in which positions are defended and interests recognised and defended. I need to see if an improvement can be made for us and ultimately an improvement for Groningen. Those conversations are going on right now. We'll see what comes out of it. EBN itself is an instance that is there. In practice, I can work well with that, especially because the shareholdership lies with the Empire and I have the opportunity to let EBN do what I want.
ParlaMint-NL_2016-12-20-eerstekamer-16.u9	Mr Verheijen, finally on this point.
ParlaMint-NL_2016-12-20-eerstekamer-16.u10	The minister says he's giving the inspection limited orders. The State owns EBN. There's at least tension there. I assume the Minister understands that, too. If EBN is placed in a retreating movement outside the gas building, this could lead to the lifting of that tension, but I do not hear the Minister making a clear statement on this.
ParlaMint-NL_2016-12-20-eerstekamer-16.u11	Do I now hear Mr Verheij say that I am giving the inspection he is referring to the State surveillance of the Mines Agency?
ParlaMint-NL_2016-12-20-eerstekamer-16.u12	No, I said the Minister's orders were limited.
ParlaMint-NL_2016-12-20-eerstekamer-16.u13	Excuse me, Madam President. I ask Mr Verheijen to whom I give limited orders.
ParlaMint-NL_2016-12-20-eerstekamer-16.u14	The Minister gives limited orders to the SodM. There's a work plan, isn't there? There's a budget and there's an appointment...
ParlaMint-NL_2016-12-20-eerstekamer-16.u15	I am responsible for ensuring that the SodM has the means to do its job properly. I do not say to the SodM what it should advise, how it should do its job, what expertise it should attract, how it should report to the Chamber and how it should set up its opinions. None of that is on the table. I am not doing anything about the content of the SodM. I'm just making sure that the equipment is able to do its job.
ParlaMint-NL_2016-12-20-eerstekamer-16.u16	I'll come back to the gas building. The Minister says it has grown over time. We now see the disadvantages of this. He also says that he is discussing whether and how he intends to adjust it in favour of an improvement in the gas problem in Groningen. This is how I summarize the Minister's words. At the same time, the design of the gas building can have consequences for the transition from fossil to sustainable. That's why the facility has its drawbacks. What is the Minister's commitment to this? That it's precarious, we all understand here.
ParlaMint-NL_2016-12-20-eerstekamer-16.u17	It hasn't grown. At the time, the gas building was so furnished. My predecessors then worked on this for decades. It has been arranged, among other things, that the ownership of the gas in Groningen lies with NAM. So NAM owns that gas. It has also been arranged that the vast majority of the proceeds will benefit the Empire. It has been arranged that there are certain partnerships, including EBN. So that's all taken care of. When I look at it this way, I have to say that it is not a whole where I would have come up immediately if I had to fill it out from white paper. I could also imagine something else. The question is, if I'm going to strive for something else or work on something else, eventually I'm going to do well for the people in Groningen and for the Empire. After all, I have to stand up for their interests. We are now looking in the conversations at how the other side thinks about that. I bring in my own views and then we consider whether we can agree on an improvement. Then I must judge whether it is an improvement for the people in Groningen and for the Empire. I don't know what's coming out. I do know that the conversations have begun now and that they are complicated conversations. It is about a situation that has existed for a long time and which I believe is not financially bad for the Empire. It's about the amount of gas that's being extracted and everything that's going on around it. I think I also have the powers I need. It's just a less transparent construction. I think transparent constructions are necessary if the government is involved. As far as I am concerned, the consultation on the gas building is also aimed at making it as transparent as possible for anyone who is interested in it and who wants to have an opinion on it. Mr. Chairman. I was at the point of the divorce that Mr Verheijen was talking about. In order to give a more prominent place to the citizen's perspective, opportunities for participation and advisory rights are extended. We are doing so by extending the grounds for review and by also balancing mining permits with respect to the safety of residents, nature and the environment. There are several permits. You have an APB. You have the notification that follows. You have a mining permit and a extraction plan. The environmental permit is dealt with once or twice. All this business. It is important that, whenever necessary, the importance of nature and the environment and the safety of the people living around are taken into account, and that this is also done from the citizen's perspective. In order to fill this in as well as possible, I have put forward concrete proposals in this legislative proposal, with the aim of ensuring that we also do justice to the recommendations we have received from the Security Research Council.
ParlaMint-NL_2016-12-20-eerstekamer-16.u18	I have a specific question about the exploration permit. I think that's the same as the BOLO. The EU Mining Directive lays down specific requirements for participation. The Minister himself wrote in the explanatory memorandum to the bill that this means that an extensive preparation procedure is needed. But as far as I can see, the exploration permit doesn't require an extra duty. Participation in, for example, the environmental component is not really covered. The Minister said that environmental testing is not at all covered by an exploration permit. How is he going to foresee that this review will take place? Would it not be appropriate, at the very least, to impose an environmental impact assessment obligation on exploration facilities in order to provide for what is required by the European directive?
ParlaMint-NL_2016-12-20-eerstekamer-16.u19	I think it is particularly important to ensure that extraction permits are subject to an M.E.R. procedure. An investigative licence is only a question of whether there is anything eligible for extraction. If you go to extraction, there are all kinds of activities around it, not only to realize the necessary installation but also to allow extraction to take place for a number of years. I think you should concentrate on the environmental impact assessment. It seems to me that it would be useful to look at the environmental aspects in the search permit. I shall come back to that later when I respond to what Mr Kuiper has said. The drilling is already subject to a reporting obligation. You have an APB. Then you want to use that and you want to drill. You can arrange that now by reporting. A reporting obligation is now enough. We're gonna scrap that, and we're gonna get an environmental permit instead. This environmental permit also looks at all aspects, including the environment and nature.
ParlaMint-NL_2016-12-20-eerstekamer-16.u20	I fully agree with the Minister. Of course, in all these other phases, especially in the mining process, nature and the environment must be an important touchstone. But my question is specifically about the exploration permit. There is no "e.g. obligation" because it is often not about very large quantities. The research concerns the question of whether there is anything in that place. The disadvantage, however, is that there is only drilled at that spot. No alternatives are being investigated. As far as I am well informed, it is precisely in the European directive that there should be an extensive preparation procedure. This means that you have to compare multiple alternatives and see which alternative will cause the least damage to nature and the environment. I do not think the Minister has provided for this in his bill.
ParlaMint-NL_2016-12-20-eerstekamer-16.u21	We're maintaining a very complex of permits. We'll start with a search warrant, with all the participation that goes with it. The next step is the notification requirement for drilling, but that is what we are now making an environmental permit of, again with all the possibilities for participation. A mining permit is then required. After that, a extraction plan is needed to determine how it will be won. In order to determine exactly where the winning is going to take place and under what conditions, another environmental permit is needed. It is a system of five licences which must be completed in succession. With this package of permits, supplemented by this bill, we are more than complying with what is contained in the relevant European directives.
ParlaMint-NL_2016-12-20-eerstekamer-16.u22	There's a lot to say about this. I have specifically removed the issue of the exploration permit because it can be clearly stated in that context that, since no alternatives are being investigated and only one place is being looked at, a permit is being granted for this purpose, at least one m.e.r. obligation must be required to force the examination of more alternatives. Does the Minister really think that he is complying with the European directive if he does not investigate more sites and organise extensive participation on the subject of the exploration permit?
