ParlaMint-NL_2016-11-02-tweedekamer-12.u1	I am the first speaker to give the floor to Mr Azmani on behalf of the VVD.
ParlaMint-NL_2016-11-02-tweedekamer-12.u2	Mr. Chairman. Mrs Karabulut would be the first speaker, if she could not be here. I will make two motions on her behalf. We can see again on an eventful summer following the coup attempt in Turkey and what that entails in Dutch society. As a Chamber, we held a wide-ranging hearing and also held a round table with experts. It is good to see that we have paid so much attention to it. We then had a general discussion with the Minister. As a result of this consultation, I feel obliged to table two motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas tensions within the Turkish community in the Netherlands have become more severe in recent years;]] [[Whereas the Turkish Government's efforts to influence the lives of Turkish Dutch people through a Turkish diaspora policy are continuing and this leads to undesirable influence on Turkish Dutch people, intimidation, interference in domestic affairs and the export of Turkish problems to the Netherlands;]] [[noting that the government had entered into talks with the Turkish Government on this subject, but that this did not lead to the desired effect;]] [[calls on the Government to formulate a counter-strategy on the diaspora policy of the Turkish government,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas most Turkish-Dutch organisations in the Netherlands, organised along political and religious divisions in Turkey, in particular highlight differences and interests among themselves and represent only a small proportion of the Dutch with a Turkish background;]] [[Whereas these organisations are more likely to oppose the integration of Dutch people with a Turkish background in the Netherlands rather than promote them;]] [[Whereas as long as the public authorities offer these organisations an official stage, they will maintain themselves and each other;]] [[calls on the government no longer to engage in talks with or turn to these Turkish-Dutch integration policies but to focus on the vast majority of Dutch people with a Turkish background who are not members of these organisations, for example through schools, neighbourhoods and neighbourhoods,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Azmani, Mr Karabulut, Mr Van Meenen and Mr Pieter Heerma. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-22824-163]] [[This motion was tabled by Mr Azmani, Mr Karabulut and Mr Van Meenen. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32824-164]]
ParlaMint-NL_2016-11-02-tweedekamer-12.u3	We had a hearing with these Dutch-Turkish organizations and talked to them all day. Does Mr Azmani, on behalf of the signatories to the motion, say that the Minister will be banned from speaking to organizations? How does Mr Azmani see the implementation of this motion? Surely we cannot ban the Minister from having the debate with organised groups in society, from confronting them and from having a conversation as part of that change?
ParlaMint-NL_2016-11-02-tweedekamer-12.u4	We want to get rid of the old integration policy, in which you still had the National Consultation Minorities, which should have been abolished in principle by now. You do not want to maintain organisations that focus on Turkey by offering them a formal stage, when they come into conversation with the minister. In the motion a careful consideration is devoted to it. The first recital states that it concerns most organisations that conform politically or religiously to the country of origin of themselves, of one of the parents and so on. The point is that we focus on all those Dutch people, in this case with a Turkish background, who do not feel associated with these organisations, who simply live in neighbourhoods and who prefer to feel more Dutch. I think we should address them when we talk about integration policy.
ParlaMint-NL_2016-11-02-tweedekamer-12.u5	An answer must be really short.
ParlaMint-NL_2016-11-02-tweedekamer-12.u6	I agree with Mr Azmani that the Minister should speak with the vast majority of the Dutch-Turkish community who do not feel like they are members of these organisations. But this motion says that the Minister is no longer allowed to talk to these organizations. Or should I interpret the motion differently? Is the Minister still allowed to address these organizations or not?
ParlaMint-NL_2016-11-02-tweedekamer-12.u7	I am concerned that these organizations will not get an official stage with the government. In my view, the first recital makes it quite clear that it concerns most Turkish-Dutch organisations, which focus mainly on Turkey rather than the Netherlands. I don't think we should want to offer them that stage. In this way, the government does not enter into consultations with these organisations either.
ParlaMint-NL_2016-11-02-tweedekamer-12.u8	Mr Azmani also mentioned political parties. During the weekend there has been a joint meeting of CHP Netherlands, the CHP is one of the political parties in Turkey, the PvdA and the PvdA. Is Mr Azmani saying that the minister and also a political party like the PvdA should not talk to that party?
ParlaMint-NL_2016-11-02-tweedekamer-12.u9	That is up to the political parties themselves. I'm not in charge of the PvdA. If the PvdA apparently needs it, it's up to the PvdA.
ParlaMint-NL_2016-11-02-tweedekamer-12.u10	Finally.
ParlaMint-NL_2016-11-02-tweedekamer-12.u11	Does Mr Azmani agree with the motion that this should or should not be allowed? In addition, I do not see that a liberal party sees a terrorist organisation as a terrorist organisation, some organisations who have spoken on Monday, saying that it is a terrorist organisation. Does Mr Azmani think that the Minister should talk to that organisation?
