ParlaMint-NL_2016-01-26-eerstekamer-7.u1	I would like to welcome the Secretary of State for Finance to the First Chamber.
ParlaMint-NL_2016-01-26-eerstekamer-7.u2	Madam President. Today we are debating the abolition of the VAR. In principle, this affects some 800 000 self-employed people without staff who are currently employed in the labour market and have a VAR in their pockets. In short, societally a very relevant subject. In my contribution, I want to follow the next line. What is the point and need of this bill? Is the new law well enforceable? What are the consequences for legal certainty? And can this law count on support, so that implementation will work out well with due regard for a serious transition period? Finally, I would like to draw a number of conclusions. This draft law aims, as has been said, to abolish the VAR. The law now consists of four forms of VAR. I confine myself here to two forms of VAR: the VAR wuo (profit from enterprise) and the VAR dga (director-major shareholder). These two forms of VAR protect clients in order to include social security contributions, income-related contributions (Zorgverzekeringswet) and in the extension thereof. That safeguard was included in the Law on Legal effects VAR in 2005. In fiscal law, that is an unprecedented privilege. The tax authorities have essentially been excluded by that safeguard in terms of control. Only in cases of fraud can the Tax Office re-establish and send the UWV correction notes. This is hardly happening in practice, because then there must be bad faith, so intent or gross guilt must be established and proven. The control ofzzp'ers is also very minimal we understood. Can the Secretary of State for Finance confirm that the need for this bill lies in the absence of control, read: capacity and control capabilities................................................................................................................................................................................................................................................. In addition, it has become clear to us that two studies show that in the situation of the VAR wuo and VAR dga there are on average about 10% of cases of false self-employment. Based on 500,000 VARs of wuo and VARs of dga, this means that in 50,000 cases, it is estimated, another fiscal qualification should apply, namely that of employment. Moreover, there does not always have to be fraud in these cases, but facts and circumstances may be different from those previously thought and filled in when the VAR was applied for. By the way, the law requires thezzp'er to report it. Is this assumption correct with regard to the usefulness of this bill? Is it correct to say that, in the case of about 10% of these 500 000 VARs, perhaps 15% or 8% of them are wrong? If that is the case, there is a problem of enforcement of the current law or, rather, the non-enforceability of the current law on the VAR, in particular the two forms I have just mentioned. Nothing more and nothing less. For the sake of clarity, as stated once and again by the Secretary of State in the Lower House, this draft law does not therefore regulate the following relevant issues. What changes should be introduced in labour law in order to respond to the flexibility of the labour market, i.e. the self-employed versus the employee? Under what conditions shouldzzp'ers be insured against risks of illness and disability? What (fiscal) old-age benefits apply tozzp'ers? How big should the difference in taxation be between azzp'er and an employee? In doing so, the cabinet presents this Chamber with a dilemma. Ideally, the cabinet should come up with a coherent vision before one element of tax enforcement is changed. However, the cabinet no longer has that ambition, as demonstrated by the reaction of 2 October last to the Ibozzp report. This is very regrettable, as is the failure to comply with the agreement in the government agreement that plans would be developed to change the difference in taxation between self-employed and employees. You don't solve a dilemma, you deal with it. How does the CDA Group intend to deal with this dilemma? The CDA Group does not consider it appropriate to continue the current practice of non-enforcement and understands that the responsibility for the qualification of whether there is a contract with the client and the contractor should rest, exactly as is the case with an employment relationship between an employer and an employee. On this basis, the employer has a wide range of obligations with regard to the retention of taxes on wages and social security contributions.
ParlaMint-NL_2016-01-26-eerstekamer-7.u3	I hope I get into the picture; I'll take my chances. What is and is not part of Mr Van Rij's argument? He started by asking a lot of questions to the Secretary of State about the current level of enforcement and its improvement. But with what he just said, he seemed to be taking an advance on that. He seemed to assume in advance that there would be no such improvement and that there would be a lack of enforcement. Am I getting that right? If so, where is Mr Van Rij's confidence based on the fact that the new regime will substantially improve enforcement?
ParlaMint-NL_2016-01-26-eerstekamer-7.u4	I would suggest that I keep the tension on the last question. I will come to that, because I have not finished my speech. In reply to the first question, I deliberately ask the Secretary of State to explain very well here again and to argue why he is currently unable to enforce the law with clients because of that safeguard, while I also ask him to think carefully about it, given the parliamentary history of this bill, explaining why lighter forms of burden of proof, other than bad faith, will not work. Then you can say I'm taking an advance on the Secretary of State's answer. Well, that depends. If the Secretary of State comes up with an answer with which he cannot convince us on that point, then we will have to consider it. Anyway, I don't want to take an advance on that. The CDA Group in the First Chamber therefore supports the direction taken by the Secretary of State during the parliamentary debate in the Lower House: from a Decree no salary charge, the original proposal, to up to six model agreements and up to twenty sectoral examples agreements. In addition, taxpayers can always submit individual agreements to the Tax Administration in advance. This is a direction which shows that this Secretary of State has listened to what has been brought in from the market, from interest groups and, of course, from the Lower House as an objection to the first proposal for a decision, not a wage charge. Last Saturday, however, there were only three model agreements and thirteen sector-specific agreements on the Tax Administration website. When will the remaining three model agreements and seven exemplary sectoral agreements, as promised in the letter of 16 November last to this Chamber? The support of the CDA Group is not unconditional. We assume that the Tax Administration does not carry out checks on clients and contractors who follow one of the model contracts or one of the sector examples agreements. In this sense, the new system really has to work as "pre-security'. We are not yet convinced of that. Too many signals reach us that in the preparatory phase, the Tax Administration is salting too many snails and discussing them in very detail with sectors. That's not the right spirit. Of course, we are against abuse. But in the future it will be easier for the tax authorities to take action against this than it is at present. However, the members of the CDA Group assume, as the Secretary of State stated in the written replies of 18 January last, that there is no cause for concern in situations of good faith. We therefore assume that there will be no witch hunt forzzp'ers, neither on the side of the clients, nor on the side of the contractors. In the opinion of the CDA Group, 90% of these cases are good faith. What is lacking so far is how in the implementation the Tax Administration will take enforcement action. A enforcement plan should therefore be part of the transition phase. The enforcement plan will have to set out criteria for risk-oriented enforcement. Can the Secretary of State therefore make a firm commitment that an enforcement policy will be drawn up in the short term and will be shared with the relevant interest groups and also accessible to each client and contractor, directly during the transition phase and beyond? With regard to legal certainty, the CDA Group is very concerned about the extent to which the model agreements and exemplary sector agreements have not only been reviewed under tax law, but also under civil law. Surely it cannot be the case that an approved model or model sector agreement will be tax-approved as a contract of employment by the Tax Administration, while there is a civil contract of employment?
ParlaMint-NL_2016-01-26-eerstekamer-7.u5	I'm intrigued by the idea of a civil-law review, but I'm not a lawyer. I ask myself what Mr Van Rij can mean by that. In my opinion, again, I'm not a lawyer..... is a civil-law review which ultimately takes place by the court. How does Mr Van Rij intend to make an effective advance on this?
ParlaMint-NL_2016-01-26-eerstekamer-7.u6	By the remark I have made and the question that remains to be asked, I mean that the three model agreements published so far have been drawn up by the Ministry of Finance and interest groups. That happened very strongly with fiscal glasses on. I want security from the Secretary of State that has not only been looked at taxation. Finally, we have three main forms of labour law: the contract of employment, the contract of employment and the contract of employment. Of course, it's about the last situation. There are now three forms of this. I want to make sure that civil law can also cope with the criticism in advance. In practice, so in society there will be all kinds of situations as they are now, where a contractor will in some cases say: we have agreed on paper, but the facts and circumstances are different and everything indicates that there is a relationship of authority. The conclusion could then be that it is an employment contract, with all its consequences. Of course, that's for the judge to decide. But I would not like us to say in advance: there is a question of civil law in this model agreement. That is the background to my question. I am very curious to hear the answer.
ParlaMint-NL_2016-01-26-eerstekamer-7.u7	If I understand Mr Van Rij correctly, we both recognize that the ultimate judgment is up to the judge. In that sense, the ex ante review can therefore only be a provisional one. If no factual circumstances change at all, but content is given to the present appointment, there can still be a different judgment between those making the appointment and the judge who is going to review it.
ParlaMint-NL_2016-01-26-eerstekamer-7.u8	Yes, but that is where we have to make a difference between tax law and civil law. In tax law, the model agreements provide tax security. At least that's how I see it; I'd like to hear from the Secretary of State if it's any other way. For tax law, instead of the legal certainty that exists today, you will gain legal certainty. Let us see you as the client, Mr Rinnooy Kan, and me as the contractor; I find that so charming. We conclude such a contract of assignment and follow exactly one of the model agreements. I'm going to work for you, and you and I aren't being harassed by the IRS because there's no reason for that. After all, we are sticking to the model agreement. That's legal certainty. But, now there are situations occurring during that relationship. You're getting a little more authoritarian as a client than you were supposed to be. Now I'm gonna...
ParlaMint-NL_2016-01-26-eerstekamer-7.u9	Maybe we should switch roles then!
ParlaMint-NL_2016-01-26-eerstekamer-7.u10	You're gonna give some instructions. Where we started so well, it ends less. I hire a lawyer and say: wait a minute, this was a contract of engagement, but I had to show up at work on Monday morning at half past nine and could not leave for five hours on Friday afternoon; Mr Rinnooy Kan wrote me exactly what I had to do. Then, in the first instance, there is an issue of civil law. You say: I don't want Van Rij anymore; it goes out. I say yes, I got fired, because this was a contract of employment. Civil law and tax law can be separated there, as is the case with many other doctrines. I just want to know, in advance of the Secretary of State, whether the model agreements are in line with current law. That is the background to my question. What the practice is will tell the casuistics. Madam President. We are somewhat concerned that the approved exemplary sector agreements, which have so far been approved by the Tax Administration, have not been reviewed by other departments of industry. Suppose Secretary of State Van Rijn makes a different assessment of the content of an example sector agreement for healthcare professionals than Secretary of State Wiebes. Then there are two different agreements, if the qualifications are different. That is not good for the peace and clarity we have been promised. The government has to speak with one voice. I therefore ask the Secretary of State to what extent the model agreements have been tested in civil law and if there has been sufficient consultation with the other departments of the trade. I would like to receive a detailed explanation of this. Since this is a major implementation operation, we support the plans for the transition period, as set out in the letter of 16 November 2015. We think it is a real gain that the legislative proposal, which has been passed by the House of Representatives and is now before us, has been made much clearer by a number of critical questions raised by this Chamber about the transition period. We warmly welcome the comprehensive communication campaign, as well as the cautious control policy in the implementation phase. Still, the homework isn't complete yet. We consider the preparatory phase, which runs until 1 April 2016, too short and consider it crucial that it be extended until 31 December 2016. For example, current VAR legislation can continue to apply throughout 2016. This will allow all interest groups, market players and the Tax Administration to prepare themselves ideally for the new legislation. This improves legal certainty and is part of a careful transition. Thereafter, the implementation phase could run from 1 January 2017 to 30 June 2017, so that no new VARs will be issued after 1 January 2017. For the CDA, an extension of the transition period is crucial. Is the Secretary of State prepared to extend the transition period, as proposed by the CDA Group? The conclusion is therefore that the support of the CDA Group depends on the commitments the State Secretary intends to make in terms of enforcement, legal certainty and implementation. The CDA Group is therefore looking forward to its answers with interest.
ParlaMint-NL_2016-01-26-eerstekamer-7.u11	I listened with great interest to Mr Van Rij's speech and questions. His questions are particularly about maintaining, also towards the future. The position of thezzp'er is close to our heart. Does the CDA have a view on how the position of thezzp'er changes under the law now and how it will be under the DBA Act? Are there greater adverse effects linked to the introduction of that law?
