ParlaMint-NL_2016-04-26-tweedekamer-32.u1	I would like to welcome the Minister for Social Affairs and Employment.
ParlaMint-NL_2016-04-26-tweedekamer-32.u2	Mr. Chairman. The VVD is very pleased that it has managed to take a number of measures with the coalition partner to relieve the burden on small and medium-sized enterprises. This afternoon we are talking in particular about the much desired reversal of the chain clause in the Work and Security Act by the VVD. This chain clause ensures that after three contracts in two years the employer has to take the employee into permanent employment, or wait six months before another contract can be offered. This caused many people who worked in an amusement park, on the cold ground in agriculture or on the summer terraces, to lose their jobs. What we have now arranged is for the seasonal labour chain to go back to three months and for the social partners to be able to solve problems together. The scout, who came on the initiative of the VVD, also advised this change of law. The agreement between the agricultural and horticultural sectors proved difficult to apply in the recreational sector, for example. Many parties needed a change of law. The recreational sector has therefore rightly referred to this legislative amendment as a breakthrough. After the letter of amendment to the law had been sent to the Chamber last week, this led to a few questions. What if employers and employees make agreements together, but have not concluded a collective agreement, or if that collective agreement has not yet been concluded on 1 July? Are the agreements they make together leading? I'd like to get a response from the Minister. The VVD hopes and assumes that this change can be ratified by Parliament before the summer, i.e. before 1 July. This summer companies in the hospitality, recreation and agriculture and horticulture will be able to take on their trusted seasonal forces again and there will be more jobs for people. Let me now turn to the implementation of the Enforcement Directive, which is the main topic this afternoon. The Detachment Directive was adopted in 1996. It regulates the posting of services within the EU. That directive is difficult to enforce because there is no idea of who is doing what at what price and for how long. With the enlargement of the European Union, the differences in pay and social legislation between Member States have actually only increased. Cross-border exploitation and illegal employment through posting are becoming more and more common. With the enforcement directive, which has been drafted in this legislative proposal, we can tackle and combat these excesses. That's what we're here for. I think you should set clear rules that can be enforced. The government must then do it right. Illegality and exploitation of posted workers should be punished. This should prevent the displacement of workers in the Netherlands, who are not affected by this. That is why we want the inspection to continue in the Netherlands, especially in cooperation with the EU country of origin. The VVD is hopeful about the effects of this law, but we think that it should first be clear whether this law really works before we want to further limit the conditions for posting ourselves. That is why we are not in favour of the proposals put forward by the Commission in March to further adapt the Detachment Directive. We have had a separate AO on this. We have a number of questions and comments on this bill. The Detachment Directive is an exception to the Rome I Regulation. If no choice is made under which law the employee is seconded, the law of the country of residence shall apply. Regardless of the choice for the country of residence or work, the Minister in this law actually goes beyond the Detachment Directive. If the hard core of working conditions on which the posting is based is not explicitly defined, this hard core is highlighted by the Minister. The Minister then points to this hard core as collective wages. This is in fact contrary to the Detachment Directive, which explicitly mentions the minimum wage. What is the European legal basis for this statement by the Minister? The Minister himself will provide a website on which collective agreements will be published. Doesn't the Minister make himself very vulnerable to any misinformation? Is this not typically a task for the social partners themselves? Because the collective agreement is maintained by the social partners and that is, as far as the VVD is concerned, a task that does not belong to the government. However, the Minister is now actually saying that collective bargaining wages are one of the hard cores and are also maintained here. Does this not instruct the inspection to maintain collective agreements? Is this not an extension of the competence of the inspection? The identification of the company that detaches makes it possible to see who does what where. We think that is a good thing. However, it does not always seem easy to realise. The Minister also wants to use this law to combat bogus self-employment. This is a noble ambition, but self-employed workers are not covered by the scope of this law. How's the Minister gonna do that? Then I'll come to privacy. The VVD considers it of the utmost importance that the privacy of people and companies is protected as much as possible. However, this is sometimes at odds with the detection of malicious practices. We are well aware of that. Collaborating with other Member States and sharing information in the Internal Market Information System is of the utmost importance for the provision of assistance to each other, the detection of cross-border malicious companies and the collection of fines. This will also share privacy-sensitive information about companies and employees. We all know that the Dutch government does not have the best track record with regard to monitoring privacy sensitive data in social security. Think about the whole situation with Suwinet. Which organisations will have access to this information in the Netherlands? How is the Minister going to embed with the Dutch organisations involved that privacy is well protected? And in this context, is it wise to share privacy-sensitive information with the collective agreement partners? Then I have some points concerning bureaucracy. Reporting is already in force in 18 Member States. By making the recipient of service in the Netherlands responsible for that notification, it is ensured that the sending company reports itself and its employees. This will give a better view of the posting. That's what we're here for. In this way, the inspection can identify the sectors in which the problems lie through risk selection. That's a very logical step. Exploitation of Eastern European workers by Dutch workers, such as at the Eemshaven and at the A2, can be prevented and combated by the reporting obligation. As far as the VVD is concerned, further measures are not necessary. The VVD welcomes the fact that unnecessary bureaucracy is avoided as much as possible and that, for example, the reporting obligation will only enter into force if it can be reported digitally, in 2018. We are also in favour of harmonisation with the reporting obligation laid down in the Foreign Labour Act for people from outside the EU. General Administrative Measure excludes sectors such as passenger and professional transport and businesses around the border. All that's positive. However, we wonder what other Member States are doing with regard to exceptions to reporting obligations. What do Germany and France do? Do these countries have the same exceptions? Or are there more? Do we distinguish ourselves here on the positive side or on the negative side? This is also what I am asking for in the context of competitiveness. And when will it become clear which risk sectors are identified, in which self-employed persons are also subject to reporting obligations? The key question always remains: is this enough? The people I speak to do not understand that Eastern Europeans are illegally or under the minimum wage taking jobs previously done by Dutch people. The key question then is: do you really catch the really crooked companies with these measures? These are companies in which both the foreign detacher and the Dutch partner do not report, companies that do not have an A1 declaration and companies that do not register in the Netherlands. Are these companies still out of sight of the inspection? Does the Minister have more enforcement tools or is this enough? The VVD looks forward to the results of this improved enforcement. We wish the Minister every success.
ParlaMint-NL_2016-04-26-tweedekamer-32.u3	Mrs Schut rightly started with the good news that now the chain clause is also being adapted for seasonal workers. It concerns agriculture and horticulture and all other sectors that depend on the season. In all the debates we have had on this subject, there was still a bottleneck, and that was the invaders at primary schools. I have seen that the VVD has asked written questions about this. This problem also concerns the VVD. However, it is not settled now, while the same scout should also take it with him. Together with a number of colleagues, I have tabled an amendment to deal with this now. What's the VVD like about that? Does she recognise that this bottleneck has not yet been removed?
ParlaMint-NL_2016-04-26-tweedekamer-32.u4	It is true that the VVD has drawn attention to this, but we must row with the belts we have. We have now done the best we can to arrange what could be arranged in the short term. If there are problems in a particular sector, we look at them. Then we try to solve these problems. However, this cannot be done at once. Now we've been trying to do that for the season work. We listen to the problems that exist and we try to solve them gradually. We assume that the sector itself takes the initiative in collective bargaining.
ParlaMint-NL_2016-04-26-tweedekamer-32.u5	The situation is quite similar to what was happening during seasonal work. There it had to be settled through the collective agreement and it was not so well arranged. At least it could be better, even according to the VVD. The problem is that the schools are full of water. As of 1 July, it will also have to meet this and the problems have not been solved. Exactly the same argument played in seasonal work. The problems have long been known. We know that the schools will be dealt with right away. Again, is the VVD prepared to settle this issue now, so that we can clarify all those schools and, above all, all those invaders?
ParlaMint-NL_2016-04-26-tweedekamer-32.u6	We recognize the problem with the invaders. There's no doubt about that. We've seen that, too. It is also up to us to listen and ensure that solutions are found to these problems, as we have done with seasonal work. You can't take care of everything at once. We've heard it and we're gonna look into it. The sector is also working on it. It seems to me that voting on an amendment in between would go too far. We really need to look at that carefully. Please be assured that we recognise the problems. We are listening very carefully to it and we want to take action on it.
ParlaMint-NL_2016-04-26-tweedekamer-32.u7	I think this is a very strange answer. The coalition parties have solved a number of issues for the recreation sector and for agriculture and horticulture. Greetings. Now there is still a pressing problem in primary education where it appears that the law is a bottleneck. Like other groups, the Group of the European People's Party (Christian Democrats) and European Democrats has asked a whole set of questions about this, several times. Mrs. Schut says you can't solve everything at once. Mrs Schouten, Mr Heerma and D66 are now trying to help her a little. There is a specific amendment to resolve this problem. Mrs Schut is not going to tell me today that, after all her warm words about education, she will abandon those involved in the votes.
ParlaMint-NL_2016-04-26-tweedekamer-32.u8	You heard me. We have the problems in education very well on the retina. We have now tried to find a solution for seasonal work. We are listening to the problems and we are really looking at them with the aim of solving them. However, this has not just happened. That is why we must say that we cannot do so now, but we are doing our best to achieve this in the future.
ParlaMint-NL_2016-04-26-tweedekamer-32.u9	It's okay. It's okay. There is a concrete amendment to do it! Mrs. Schut just doesn't want it. The Chamber, I am guessing almost all my fellow Members say to the Minister: well that you have solved concrete bottlenecks in agriculture and horticulture and in the recreation sector, but you have forgotten education. At that point the VVD has always put on big pants and always spoke warm words. Now there is a concrete amendment to solve that problem. Does Mrs Schut leave primary education in the cold because she is not allowed by her coalition partner?
ParlaMint-NL_2016-04-26-tweedekamer-32.u10	You didn't hear me say that. We recognise this problem and look at it with a warm eye, but we need more time to do so. We have tried to do what has now been done. That's great. We shall see how we can solve similar problems in the future.
ParlaMint-NL_2016-04-26-tweedekamer-32.u11	Mr. Chairman. The free movement of workers between countries with equal working conditions is hardly a problem. There is no competition on working conditions. Also because of the simple fact that people like to live and work close to their families, there is no great mobility in Europe. If there is already cross-border work, it is limited to frontier work. The free movement of workers became a major problem when the countries of Central and Eastern Europe joined the European Union. It also became a major problem because companies started offering services that used differences in social legislation in different countries, whether through letterbox companies or not. We know the examples. My question to the Minister is what this law does about it. Let me make it very concrete. What else would have happened at the Eemshaven if this law had already been there? What would have changed in the situation of the Romanians in northern shipbuilding? What would have changed with the people who worked on the A1 and the A4 in the service of foreign companies? Is my perception that this law would not have improved those situations? The only thing is that we would know where they were working. There will be a reporting obligation for foreign companies that will carry out assignments here. The SP thinks that is only right. The House of Representatives has been asking for this for much longer. I still see Mr Van Hijum of the CDA, who came to me during general consultations with the Limosa system. We all thought this was something exotic from an exotic country, but it was a system from Belgium. Mr Van Hijum has always advocated this system, together with my group. The Minister at the time did not want to do so, because he felt that this was contrary to the rules on freedom of movement. The Belgians did. I was really proud of the Belgians then, because they threw the ass against the crib and afterwards they got right. It was contrary to freedom of movement, but it was allowed. I wish we had done the same back then. I have a few questions about reporting. I propose to include the address in the Netherlands as well. This is important in order to be able to effectively identify situations surrounding over-inhabitation, house milkers and other housing abuses. We know from recent history that this is a problem of public order. That is why I think we should ask for this notification. For the bank account of foreign employees, I propose the same thing. It's very useful if those bank accounts are in the system, if there's to be paid after. We have heard from labour inspectorates that they could not find foreign workers who were entitled to money. So those foreign workers never got that money. I have tabled an amendment to that effect and hope that the Minister will be able to embrace it. There is a general reporting requirement for foreign companies that come in for contracts, but forzzp's the reporting obligation applies only to risk sectors. The explanatory memorandum specifically mentions construction, cleaning, ICT and healthcare. Which sectors are they going to be? On what basis will the Minister designate these sectors in a General Measure of Governance? If I understand correctly, the construction industry, the metal industry, agriculture and horticulture, the food industry and the petrochemical industry are all included in Belgium. Does the Minister include these sectors? If they are risk sectors in Belgium, this will also be the case in the Netherlands. And when is this General Measure coming? Does the House of Commons get to see it first? This legislative proposal also refers to the exclusion of categories of posted workers and service providers. Why are these exceptions needed? Does the Minister have any examples of why it would be appropriate to grant exceptions? Or is it meant as in Belgium and is it about artists, international transport, diplomats and scientists taking part in a conference? I would like to clarify that. The Netherlands will have to cooperate free of charge on information requests from other European countries. It is free for those other countries, but this means that costs will be incurred here, especially at the Labour Inspectorate's liaison office. How is this foreseen? In the written procedure, the Minister states that it will be all right and that the consequences will be very limited, but I doubt that. Can the Minister promise that, if it turns out that it cannot be within its capacity, it will increase its capacity at the Labour Inspectorate and not cut into other enforcement activities of the Labour Inspectorate? The notification will only start on 1 January 2018, because there will only be a digital notification system. Is that working on it already? What's taking so long? The smallest companies of less than 10 employees are excluded from the reporting obligation. Is that what they do in Belgium? Has the Minister thought that a larger company can split up into ten businesses of ten employees each? This could circumvent the reporting obligation. How can the Labour Inspectorate know how many employees work abroad at a company, so that the company is not obliged to do so? There is also a change in the so-called hard core of working conditions. The Minister has included a number of judgments from the European Court of Justice in that hard core, but why are things that I believe are also hard core not included? I'm talking about pay-as-you-go in case of illness. If a client doesn't have to pay wages for sick foreign workers, isn't that a competitive advantage for that foreign company? That's a distortion of competition, isn't it? The same applies to pensions. Why should a client not pay a pension premium for posted foreign workers? Some collective agreements have arrangements for compensation in the event of industrial accidents. It could be large sums of money. Why doesn't the Minister take it to the hard core? Why does he not anticipate that amendment to the Detachment Directive? Last week, the Minister consulted his European colleagues on this amendment to the Detachment Directive. The whole room is curious. Maybe the Minister can already say something about it. Then we'd love to hear it. In the discussions we had on this subject, the Minister said that he was prepared to take stock of what international measures could be taken against social dumping and unfair competition. My question is, when does he come up with that? I hope very quickly, because this Detachment Directive can last for a very long time, particularly because of the resistance from Eastern European countries. My request to the Minister is to fill in what he said about 'code orange' and to combat it with national policies, even if that is not entirely or totally in line with European rules. Finally, it is understandable that the Minister adapts the Work and Security Act in connection with seasonal work. Now seasonal workers can work for the same boss for a long time every year for nine months. The Work and Security Act threatened to make that impossible. Now there is another issue. So it is now possible that someone works for the same employer for nine months in a row and is then told that he is no longer welcome. If someone had worked for 12 months, if the dismissal had been unjustified, he would have been paid a discharge and not now. I believe that there should be equal treatment here. That is why I have tabled an amendment to grant a transition fee, so it is officially called, and I call it a dismissal allowance, to grant it in a similar way to that of permanent workers. After nine months, these seasonal workers receive on average a third month's salary as a transition fee.
ParlaMint-NL_2016-04-26-tweedekamer-32.u12	I have another question about Mr Ulenbelt's amendment asking for the bank account number of a posted worker to be given to the inspection. What is the problem with this?
ParlaMint-NL_2016-04-26-tweedekamer-32.u13	I can tell you exactly that. It often takes quite a long time before it is clear whether someone is underpaid or not. At the time it is established, the relationship between the client and the employee has long been broken. No one knows where that man or woman is anymore. If we have the bank account number in our systems, at least we know what to transfer the money to.
ParlaMint-NL_2016-04-26-tweedekamer-32.u14	Mr Ulenbelt therefore assumes that the inspection will in future pay back wages to employees? This is a completely new approach to the inspection task, which the VVD is not in favour of at least.
ParlaMint-NL_2016-04-26-tweedekamer-32.u15	No, because there is consultation between the inspection, the employers and the workers. In this consultation, the Labour Inspectorate can provide information. In that case, it would therefore be very useful if the Labour Inspectorate could give the account number to the union, the employer or a lawyer, so that the recovered money ends up at the place where it should be: with the foreign employee who was underpaid. That's very convenient and very easy. If the account number is unknown, it's not working yet.
ParlaMint-NL_2016-04-26-tweedekamer-32.u16	Mr. Chairman. I signed up for ten minutes, but I'll be brief. I'll have a little sip of water. The Minister is also entitled to his beer or something else during Queensach. Of course, that's what we're giving him.
ParlaMint-NL_2016-04-26-tweedekamer-32.u17	That's very nice.
