ParlaMint-NL_2016-01-14-tweedekamer-9.u1	I give the floor to Mr Van Gerven on behalf of the SP Group.
ParlaMint-NL_2016-01-14-tweedekamer-9.u2	Mr. Chairman. The debate on the ratification of the UN Convention on the Rights of People with Disabilities is nearing its completion in the House of Representatives, but there are still some points to be made. I asked the Secretary of State in the first place whether he would like to send the examination and review of existing legislation to the Chamber. In reply, I get that the legal Explanatory Memorandum describes by article which is complied with in each field. But that's not what I asked, and that's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that laws and regulations must not conflict with the ratification of the UN Convention on the Rights of People with Disabilities;]] [[noting that existing legislation under the UN Convention on the Rights of People with Disabilities has been reviewed and reviewed;]] [[calls on the Government to send to the Chamber the review and review of all existing legislation and lower legislation,]] [[and goes to the order of the day.]] [[This motion was proposed by Mr Van Gerven and Mr Bergkamp. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33990-37]]
ParlaMint-NL_2016-01-14-tweedekamer-9.u3	I also have a question about the monitoring of this Convention by the College of Human Rights. When monitoring existing legislation, they consider whether or not it violates the Convention. Is this a test or not, I ask the Secretary of State. What if this college finds that the legislation is in breach of the Treaty? Is the Secretary of State obliged to take this opinion or can he ignore it? I'm on optional protocol. I understand, of course, that the government wants to study all the legal consequences of signing, but it is taking a very long time. Since 2007, the Netherlands has been working on this treaty and the Secretary of State told us that his colleagues in Foreign Affairs and Security and Justice are analysing socio-economic legislation and applying optional protocols in it, but it should be indicated when this analysis is ready? I'd like to get a reaction to this. During the debate last week, Mrs Voortman was right to point out that research has already been carried out into the feasibility of the optional protocols. The Secretary of State remained somewhat unclear about this. Is this research involved in the current analysis? In the debate I also indicated that I find it difficult for people to go to the Committee on the Rights of Persons with a disability if they have complaints about the implementation of the Convention. For that reason, I would like to table the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the optional protocol is inextricably linked to the present Convention;]] [[noting that the government has not yet signed the optional protocol;]] [[calls on the Government to rapidly sign the optional protocol,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Gerven. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33990-38]]
ParlaMint-NL_2016-01-14-tweedekamer-9.u4	In my first speech, I paid a great deal of attention to the access to society of people with disabilities. As I said before, fine words cannot conceal the blow that this cabinet has committed to our social and public services. People with disabilities have seen their legal status deteriorate in recent years. This Secretary of State is waving away these problems with a lot of fine words and woolly language, but I still haven't received a real answer to the fact that people can't get care because the municipality doesn't provide care and facilities or the fact that a student has to take another study because the school building is not accessible. According to this State Secretary, the Participation Act should lead people with disabilities to regular work, while the introduction of the Participation Act provides for an additional stream of young people with a disability to the assistance. These are examples that give thought. That is not the step towards a society in which everyone can participate, is it? I have tabled an amendment to restore the right to care in the Youth Act and in the Wmo so as to address legal inequality and arbitrariness between municipalities. The Secretary of State has advised against this amendment. I hope that the parties in the Chamber will support it. I would like to dwell on the financial accessibility of our society. As I said, for people with disabilities the accessibility of a society stands or falls, being able to participate fully in such a society, with the thickness of the wallet. The SP and probably also the Secretary of State are increasingly receiving reports from people who do not care because they are unable to pay their own risk or the contribution requested by the municipality. This week we received support from the President of the University Hospitals of the Netherlands: the market forces and the cuts threaten the accessibility of our healthcare system, ten years of market operation has resulted in the care being thrown out of control and so it is really time to change direction. And no, not every municipality provides a concession for plausible additional costs that people with disabilities have. It is good that people can be compensated through the special assistance. But do people know how to find that way? Does the Secretary of State know how bureaucratic and humiliating this special assistance really is? Above all, people with middle incomes are the victims, because they are not compensated but they have to pay the high costs. You don't ask to have a limit and therefore not to pay more. It is striking how the Secretary of State ignores the accumulation in growing own contributions for people with disabilities, how he does not worry about his own risk, the penalty of being sick, which also hangs around people with restrictions like a millstone. They have almost always lost their own risk because of the care they need. They spend up to €3,000 a year more on healthcare costs than people without restrictions. It doesn't seem to interest the Secretary of State. I hope that the House of Representatives is more concerned with the people with disabilities and that it wants to do something about this distressing inequality and injustice. That is why we have also proposed to delete our own contribution, unless you stay in an institution for more than a year. In the latter situation, contributions are still fair because people in an institution do not have certain costs that they do have at home. I have another question with regard to the Tickets Act. I understand that the municipalities have a responsibility to make voting rooms accessible. It is still unclear to me what role the Home Office has in this. Can the Secretary of State further explain this? A positive point is that the cabinet is investigating and developing better opportunities for blind and visually impaired people to vote. We await these proposals with interest. Making society accessible to people with disabilities has everything to do with mentality. I asked questions about this, but I did not have a clear response. How is the Secretary of State going to ensure that people with disabilities are especially taken into account by policy makers at all political levels? How do these policy makers get to know that accessibility is more than just lowering a threshold or creating a disabled toilet? How is this handled? Are there blind spots in public administration or in society when it comes to accessibility? I'll come to a conclusion. I would like to follow up on the Van Dijk and others amendment. Another word to small and medium-sized enterprises and to the entrepreneurial Netherlands. It is feared that the adoption of this amendment will lead to a disproportionate burden on small and medium-sized enterprises in particular. The aim of this amendment is to ensure that there is a change in thinking about accessibility for people with disabilities. Accessibility must become normal and inaccessibility becomes the exception. I ask them: who could be against that starting point? Do they not agree that we still have a long way to go in the Netherlands to achieve the accessibility of people with disabilities in public life with all its restricted buildings? The amendment does not call for the impossible, but rather for the recognition of this principle; starting with further steps towards a society that is accessible to all. I would like to ask the parties in the House of Representatives who are critical of this amendment, in particular the PVV, the CDA and the VVD to support this amendment. It is important that we as a Chamber send out a strong signal: people with restrictions are part of it! That's a standard we all have to set.
ParlaMint-NL_2016-01-14-tweedekamer-9.u5	Mr. Chairman. The public gallery is full. I noticed that it caused some problems, because a lot of people with wheelchairs had to wait downstairs. Thanks to the good work of the messengers, anyone who wants to do so can follow this debate from the public gallery. That's good. The ratification of the UN Convention on the Rights of People with Disabilities is a historic moment for people with disabilities in the Netherlands. The PvdA opts for an inclusive society, which means that children with disabilities and children without disabilities go to the same school as much as possible and play together. It means that people with disabilities work as much as possible and are your colleagues. It means we're in the same public transport and you shouldn't be standing outside with your wheelchair because you can't get in anywhere. It means that you can just take your help dog with you; a truly accessible society. This accessibility has been mentioned in our country for a long time, but, frankly, it is not progressing. Why the fear of general accessibility? That was the question that Illya Soffer of Each (in) and many others rightly asked on Twitter following the debate before Christmas. Why the fear of just getting it right? Let me be clear: I do not believe that self-regulation is going to take us any further; that is what the practice shows. In Gelderland buses have recently been purchased which are not accessible. A storehouse here near the Room was accessible, but after a renovation not anymore. There's a threshold in front of the door now, and I can't go in there anymore. The newly involved new Ministry of Interior is not suitable for people with disabilities and only 7% of government websites meet the accessibility standard. Surely we cannot and will not accept that? Those countries that have legally laid down that accessibility is the norm and that inaccessibility is the exception, show that it can be otherwise. In the United States, the entrepreneurial paradise par excellence, that step was taken 25 years ago and we are only talking about it. Let us choose that breakthrough. Of course in a reasonable way, of course it can be simple and basic and of course it can be gradual, but we must now really take that step! The PvdA, together with GroenLinks and the Christian Union, has tabled an amendment that is supported by D66, SP and 50PLUS. I would like to thank these colleagues for their contributions in and outside the debate in order to come up with a good proposal. You received the most recent proposal today. The amendment has been discussed extensively before the recess, and I understand that. It is fundamental, but still: what does the amendment actually require? Ensure that our society is accessible to people with disabilities, accessible to all. That's just normal, isn't it? That's just a matter of decency. So the question is: do we choose a real step forward and create a truly accessible society or do we continue to muddle? The PvdA chooses the first. The UN Convention also calls for this, as did the European Accessibility Act, which appeared a month ago. The cabinet may not recommend the amendment, but I will not leave it up to other parties, client organisations and people with and without a restriction. Accessibility doesn't happen by itself. That requires legislation. We therefore maintain our amendment. It is now up to the Chamber; I agree with Mr Van Gerven. In fact, I cannot imagine that we are not taking this opportunity for a breakthrough to regulate accessibility together; in the Chamber and beyond, with entrepreneurs and with people with disabilities. There are no conflicting interests. People with disabilities Over 2 million people in the Netherlands are also consumers, students, employees and employers. It is not to be explained that we expect people to participate in society as much as possible, but that we do not allow it, which literally means that people are colliding with thresholds. Without accessibility, no inclusion.
ParlaMint-NL_2016-01-14-tweedekamer-9.u6	We have had a lot of discussion about this amendment in the first period. I asked Mr Van Dijk whether he saw his amendment as an ambition or an obligation. The amendment has now been amended. I'd like to ask him if he'll give us an explanation of that.
ParlaMint-NL_2016-01-14-tweedekamer-9.u7	I think it is important that something changes in the Netherlands. That is also apparent from my speech. It is not for nothing that we have chosen the term 'take care of general accessibility, unless that is unreasonable'. If it's unreasonable, you don't have to. It may be basic, it may be simple and it may be gradual, but it will happen. That's the explanation.
ParlaMint-NL_2016-01-14-tweedekamer-9.u8	I understand that. I think those words are beautiful and rightful. On the other hand, it is also true that we are not just having a debate here on a subject, but that we are making a law. It is very important that we know what the scope of the amendment is, given that this can also be followed by case law. I would like to give Mr Van Dijk two things of interest to us. Where does the article itself show that this is a matter of graduality? I see the word in the explanatory statement, but simply adding the word does not mean that an issue is becoming gradual. I would also like to hear Mr Van Dijk on whether it is an ambition or an obligation. These are two important issues for us, also in relation to agreements in the coalition agreement.
ParlaMint-NL_2016-01-14-tweedekamer-9.u9	Fortunately, in the coalition agreement, Mrs Van Ark's party and mine agreed that, after ten years, we would ratify the UN Convention for people with disabilities as one of the very last countries in the world. I'm proud of that. The UN Convention requires Member States to ensure that people with disabilities can participate as normally as possible in society. So that also requires some accessibility. That is a provision which the Treaty imposes on us and which we must impose on ourselves. Accessibility may be achieved gradually, as stated in the text. Mrs Van Ark knows, as I do, that the explanatory statement and the parliamentary debate are part of the legal history. Terms such as gradual, simple, reasonable and basic are all part of the legal history. But we're gonna do it. In addition to this important amendment, I have two motions for resolutions. The first is about the plan of action. I shall table this motion together with Mrs Voortman van GroenLinks. We believe that the plan of action should be more concrete.
ParlaMint-NL_2016-01-14-tweedekamer-9.u10	I thought there would be a little more to the amendment, but now that Mr Van Dijk is moving on to his motions, I would like to ask about the amendment. Could he comment more specifically on the changes in the amended amendment? I haven't been able to put it next to the earlier version myself. I think it's okay if we know where the differences are.
ParlaMint-NL_2016-01-14-tweedekamer-9.u11	That is a good question from Mr Van der Staaij, because the amended amendment has just been tabled. This amendment has been amended in two respects, including in consultation with D66. For the people who are following this debate, there is a possibility to lay down further rules with a General Measure of Governance. He's getting a heavy front. This means that the Chamber can help determine what will be included in the General Measure. That's a bit of a technical adjustment. The second amendment is that, at the request of D66, this passage is more explicitly included in the explanatory memorandum on which we had an exchange of views during the first period, namely how far-reaching the general accessibility arrangements are. That has to be basic and simple. These are the two main points of change. I told you, I have two motions. The first motion concerns the plan of action and should be more concrete. The plan of action that is now under way is a nice introduction, but as far as we are concerned we are going to make it real. That plan should also include what the UN Convention means for the different areas of life. It must contain targets and deadlines. Besides, you can't work with pledgings and promises until you know where you want to come out. That's why I'm tabling the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[considers that the government should strive for an inclusive society;]] [[Considering that a plan of approach on the implementation of the UN Convention on the Rights of People with Disabilities is being developed, but that this plan of approach does not give concrete objectives or a concrete timetable;]] [[Whereas concrete steps are needed to make inclusive society a reality;]] [[calls on the government, concrete objectives and a timetable to be included in the approach plan, to include a roadmap and to send the renewed approach plan to the Chamber,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Otwin van Dijk and Mr Voortman. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33990-39]]
