ParlaMint-NL_2016-06-01-tweedekamer-6.u1	I call Mr Van Meenen.
ParlaMint-NL_2016-06-01-tweedekamer-6.u2	Mr. Chairman. I have a motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the flexibilisation of teaching time experiment is open to a limited number of 20 schools until 2018;]] [[Whereas the flexibility of teaching time allows schools and pupils to respond better to individual needs and educational concepts;]] [[calls on the Government to allow schools to participate in the flexibilisation of teaching time experiment, when they have a pedagogical vision that fits in with it,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van Meenen and Mr Rog. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31293-322]]
ParlaMint-NL_2016-06-01-tweedekamer-6.u3	Mr. Chairman. The PVV stands for rest in education, rest, regularity and structure. A permanent class association is important. The substance can then be treated class by class. That is very important for children. It is an important didactic principle. If you break through that, it will have negative consequences for that rest, structure and regularity. In addition, teachers are being charged extra, because they need to keep up with which student exactly where they left off, what needs to be updated and so on. So don't do it, no matter how attractive it is for parents to be able to go on holiday outside the high season. Hence the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that, according to inspection studies, students' results since the beginning of the experiment have shown a declining trend in education time in almost all schools;]] [[Whereas, because of the flexibilisation of education time, social cohesion and clarity are lost by very diverse groups;]] [[calls on the government to stop the flexibilisation experiment on education time,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Beertema. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31293-323]]
ParlaMint-NL_2016-06-01-tweedekamer-6.u4	Then the Secretary of State will have the floor.
ParlaMint-NL_2016-06-01-tweedekamer-6.u5	Mr. Chairman. I dissuade the Van Meenen/Rog motion in part No. 322. It is not entirely clear to me what profit we are making in this respect. If schools want to do this in a good way, it will soon take them one or two years to prepare for it. Then we are very soon in 2018, the moment when we would like to complete this experiment and make the bill, in the vein of: are we going to continue with this or not? I also believe that enlargement to include new schools will take unnecessary risks. The results of the evaluation are very mixed. In one or two places it goes well, but in a number of places it does not go well either. The experiment also shows that more is needed than just a pedagogic vision. It is also about good quality care, appropriate teachers and a good plan. The purpose of the experiment is precisely to see what these precise preconditions are. What are the preconditions for such a vision? It's hard to say, if we have a plan, it's okay. After all, we must also test that plan. How do we do this in an objective way and how do we ensure the right frameworks and conditions to see if this can be done in a responsible way? So there's two sides to it. On the one hand, we do not yet have the precise conditions clear. Then what are we supposed to test such a plan for? The other side is about time. If schools wanted to do this, it would take time to prepare. Before you know it, we'll be at the end of the experiment.
ParlaMint-NL_2016-06-01-tweedekamer-6.u6	I would like to comment on both arguments. As far as time is concerned, I am getting reports from schools that feel that they are quite ready. They have a ready-made vision in their education that makes this possible, with very individual education and you name it all; beautiful. We should allow them, provided they meet the conditions. I assume that the ten schools that have been allowed to participate so far have also had to meet certain conditions. Those same conditions can also be applied to schools that are now applying.
ParlaMint-NL_2016-06-01-tweedekamer-6.u7	Two things. If schools say 'we're ready and can start tomorrow', that doesn't reassure me immediately. There may also be a bit of an understatement of what it requires of a school to do this in a good way. The second point is this. In the schools that took part in this pilot and had to meet certain conditions, we see that the success is very varied. One or two schools are fine, but there are also a few schools where things are very bad. The conditions for access to this experiment are therefore not sufficient to properly monitor the quality of education. That is why we are taking a little more time to better investigate what framework conditions enable schools to fill flexible teaching time in a responsible way. We just don't know that yet. That is why I think it is too premature to extend the test.
ParlaMint-NL_2016-06-01-tweedekamer-6.u8	However, the test will be extended from 10 to 20 schools. There is therefore also a certain rule for this. So I do not see why it could not be extended from 10 to 30 or from 10 to 40 schools. The Secretary of State must explain to me how these additional schools that are now joining are going to be judged and why it could not be done in other schools.
ParlaMint-NL_2016-06-01-tweedekamer-6.u9	This experiment will not be extended. Apart from the experiment, there are schools that use the space available to build in more flexibility within current regulations. We are expanding the research, including with these schools, to enable our researchers, our experts, to better assess when flexibilisation is a success and meets the wishes of parents and students, without compromising quality. What factors do not make this the case and the flexibilisation of teaching time leads to dramatic learning performance? At that point, a single school has really fallen through the ice.
ParlaMint-NL_2016-06-01-tweedekamer-6.u10	Very briefly, Mr Van Meenen.
ParlaMint-NL_2016-06-01-tweedekamer-6.u11	It will be a game of words whether the experiment is extended or not, but there will be at least ten schools where we will look at exactly the same things as the ten schools that are in the experiment. The Secretary of State's story doesn't convince me. We're not gonna figure it out today either. There are other things that need to be done, so we will see how it ends in the votes.
ParlaMint-NL_2016-06-01-tweedekamer-6.u12	Very well, that's often the way we cut knots here. The Bertema motion in part No. 19 is actually going exactly the other way, because Mr Bertema says: stop everything right now. I'm trying to take a little bit of the middle line, because this would be a shame to me. After all, you can see that, for example, a school in Zandvoort shows very nice results, even though there are a number of schools where things are not as good. Stopping everything would be tantamount to throwing away the child with the bath water. I wouldn't be for that. I therefore also advise against this motion.
ParlaMint-NL_2016-06-01-tweedekamer-6.u13	Thank you, Secretary of State. We are going to vote next Tuesday on the motions that have been tabled.
