ParlaMint-NL_2016-06-02-tweedekamer-7.u1	I would like to welcome the Secretary of State for Social Affairs and Employment.
ParlaMint-NL_2016-06-02-tweedekamer-7.u2	Mr. Chairman. During the general consultations we discussed in detail the legal moratorium and the question of when it would be sent to the Chamber. I am pleased to note that something has finally come up for consultation, but as far as we are concerned this could have been done more quickly. The Secretary of State knows that too, because I have said that before. I have tabled the initiative law with my colleague Heerma, and we are sticking to it until everything is settled properly, so that we are sure that the legal moratorium will finally be settled. We have not received a satisfactory response on two points, and I am therefore tabling two motions for resolutions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Rijksincasso vision does not yet contain a concrete plan of action;]] [[calls on the Government to develop the National Debt Collection Vision in a concrete action plan before the summer, including an overview of the actions to be taken and associated deadlines, and to periodically inform the Chamber of their progress,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Schouten and Mr Yücel. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-24515-340]]
ParlaMint-NL_2016-06-02-tweedekamer-7.u3	I now submit my second motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that residential debts are not preferential;]] [[noticing that in all cases the foot free from attachment is still not respected;]] [[Whereas it is very important for people in debt to be able to pay the fixed charges so that they can work from a stable situation to eliminate their debts;]] [[calls on the Government to examine the possibilities of making residential debts more favourable as long as the unwound foot is not respected,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Schouten. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-24515-341]]
ParlaMint-NL_2016-06-02-tweedekamer-7.u4	Mr. Chairman. Mr Koşer Kaya spoke during the debate, but unfortunately she cannot be present at this VAO. She asked me to make the following motions on her behalf. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas many vulnerable groups fall back into old habits after a debt relief process;]] [[Whereas people with a diagnosed layer of IQ often have difficulty with the complex (digital) system of social security and supplements and do not have the social network to support them in this;]] [[Whereas the risk of financial difficulties is reduced and we can give these people a sense of self-esteem, independence and freedom if we give them financial relief on a voluntary basis;]] [[calls on the Government to examine whether and, if so, in what construction, it is possible for people with a diagnosed low IQ who receive a benefit to pay the fixed charges from the source and to pay any surcharges in advance,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[whereas, according to the Nibud, the cost of debt to society amounts to around EUR 11 billion;]] [[believes that much more than is currently the case can be used to prevent debt rather than to resolve existing debt problems;]] [[Considering that the Good Gierencoöperatie under the name Self-Insured Finance has developed a new preventive approach consisting of a budget scan, a budget plan and a subscription to a financial emergency service that can avoid much suffering and costs;]] [[calls on the Government to support local debt prevention pilots and to investigate their effectiveness,]] [[and goes to the order of the day.]] [[This motion has been proposed by Members Van Veldhoven and Koşer Kaya. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-24515-342]] [[This motion has been proposed by Members Van Veldhoven and Koşer Kaya. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-24515-343]]
ParlaMint-NL_2016-06-02-tweedekamer-7.u5	Unfortunately, I have to go back to the debate I was working on, but our staff are listening to the answer given by the Secretary of State.
ParlaMint-NL_2016-06-02-tweedekamer-7.u6	Mr. Chairman. I have two motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the government has come up with a government debt collection vision;]] [[Whereas people with problems of debt need to devour a bureaucratic apparatus and that aid workers cannot set short lines with departments within state authorities;]] [[Whereas coordination between state authorities, debtor and aid workers is necessary, and that tailor-made and personalised services should lead to this;]] [[Whereas social collection helps to ensure that proper payment arrangements can be made, that personal standing is taken into account and that debt is prevented from rising to an irrecoverable level;]] [[calls on the Government to promote, in the context of the implementation and implementation of the Rijksincasso vision, organisations to engage in a social collection with a human dimension,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that bailiffs are now connected to the national arrest register;]] [[Considering that this improves the respect of the unwound foot and that debtors do not fall below the minimum standard of living;]] [[noting that public authorities are large creditors and that it is therefore important that they should also be connected to the national herd register as soon as possible;]] [[calls on the government to link state authorities to the national register of seizures as soon as possible,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Yücel and Mr Schouten. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-24515-344]] [[This motion has been tabled by Mr Yücel. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-24515-345]]
ParlaMint-NL_2016-06-02-tweedekamer-7.u7	Finally, I have two brief questions. When can we expect the letter from the Secretary of State in cooperation with her colleague from V and J on the feasibility of a single national collection agency? What is also the state of play with regard to the motion on the social cost-benefit analysis?
ParlaMint-NL_2016-06-02-tweedekamer-7.u8	Mr. Chairman. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the administrative contribution is making people in debt even more difficult;]] [[calls on the Government to come forward with a plan to abolish the administrative premium,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas more and more vulnerable young people have problematic debts;]] [[whereas they are often not eligible for debt relief because the eligibility criteria are too strict;]] [[Whereas the Secretary of State sends the evaluation of the Municipal Debt Assistance Act to the Chamber before 1 July;]] [[calls on the Government, in response to the review of the Municipal Debt Assistance Act, to make proposals to make debt relief more accessible to young people,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas more and more vulnerable young people have problematic debts;]] [[Whereas the Van de Straat coalition wants to develop an integrated approach to debt;]] [[Whereas the Secretary of State has undertaken to support this and has brought the integrated pilots to the attention of municipalities, but this has not led to the start of pilots so far;]] [[calls on the government to take the lead in launching pilots to provide comprehensive debt relief to young people,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Voortman. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-24515-346]] [[This motion has been proposed by Mr Voortman. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-24515-347]] [[This motion has been proposed by Mr Voortman. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-24515-348]]
ParlaMint-NL_2016-06-02-tweedekamer-7.u9	During the general consultation we mainly talked about debts and the fact that the government is not doing the right things to solve them. In the case of vulnerable young people, coherence with other areas of assistance is not being properly addressed. That is why I propose to start pilots for the integrated approach to debt relief. Municipalities can start these, but they can't get off the ground right now. There is a pilot on education, but there is no comprehensive approach. Only an appeal from the State Secretary to the municipalities is not enough. The Ministry must take the lead now. That is why I have tabled this motion.
ParlaMint-NL_2016-06-02-tweedekamer-7.u10	Mr. Chairman. On my first motion, I suddenly doubt because I just heard Mrs Voortman's motions. Maybe we both mean the same thing. We'll look into that later. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the budget for municipal debt relief has not increased in proportion to the size and complexity of the debt problem;]] [[Calls on the Government to adopt the recommendations of the National Ombudsman and to promote, as far as possible, better and wider access to debt relief and to prevent exclusion;]] [[calls on the Government to ensure adequate funding;]] [[calls on the Government to make coherent proposals and to take targeted action in the context of the evaluation of the Municipal Debt Assistance Act,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas, according to the Nibud, families with problems of late payment and debt cost society about EUR 11 billion per year;]] [[Whereas around 30% of households are in debt within a few years after a debt relief process and a waiver of residual debts;]] [[calls on the government to examine the possibility and cost-effectiveness of a debt bank, converting problematic debts outstanding to many creditors into a single amount of debt that can be borrowed from the debt bank under strict conditions and at low interest rates, and to report to the Court within six months,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas one in five households are exposed to risky, problematic debt or a debt relief pathway;]] [[Considering that a significant proportion of the debt consists of public claims, and that these claims have a significant impact on the emergence and survival of debt;]] [[Whereas these debts may lead to social disruption and high social costs;]] [[calls on the Government to monitor closely the negative effects of the preferred government position as a creditor and to make further proposals to reduce and eliminate these effects,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Krol. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-24515-349]] [[This motion has been proposed by Mr Krol. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-24515-350]] [[This motion has been proposed by Mr Krol. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-24515-351]]
ParlaMint-NL_2016-06-02-tweedekamer-7.u11	Mr. Chairman. The gap in our society between rich and poor, old and young and migrants and non-migrants is widening. The crisis is an important cause of this, but government policy also has its effect. The people in the country know this, too. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas policies may lead to unintentional poverty and debt for people;]] [[calls on the government to come forward with a proposal to pre-examine new laws and rules on the impact on poverty and debt,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the number of millionaires increased in 2014 for the third consecutive year;]] [[Whereas the number of children growing up in poverty also increased in 2014 and the gap between rich and poor is widening;]] [[calls on the government to take concrete measures to close the gap between rich and poor,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Karabulut. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-24515-352]] [[This motion has been proposed by Mr Karabulut. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-24515-353]]
