ParlaMint-NL_2016-06-28-eerstekamer-6.u1	I would like to welcome the Secretary of State for Finance to the First Chamber.
ParlaMint-NL_2016-06-28-eerstekamer-6.u2	Mr. Chairman. For centuries we have had our prosperity thanks to the fact that in those same centuries the Netherlands had the most efficient and cheapest transport system in Europe, both for passenger transport and for freight transport, the basis for a successful economy. All this was for a very long time because of our very efficient connections across the waterways everywhere. A tractor barge was infinitely faster and cheaper than land transport. All that's changed. Road transport is much faster these days. What has not changed is that cheap transport of both persons and goods remains essential for the economy. That's where things have gone pretty bad over the last few years. Of the cheapest transport country for people, tax measures have made us one of the most expensive countries in Europe, if not the most expensive. All motorists in the Netherlands generate roughly 15 billion in car-related taxes. In a car park of around 8 million cars, this average is €1,875 tax per car owner. We are talking about the bpm (tax on passenger cars and motorcycles), a tax on the purchase of new cars which are virtually non-existent in virtually any European country, about 8 billion in fuel taxes, 3.4 billion in motor vehicle taxes, 1.5 billion in provincial revenues and also parking taxes, and so on. By the way, I have not yet included the billions in income tax. Less than half of that 15 billion is spent on roads. The rest slides into the state treasury, including in an attempt to dampen the black hole called public transport. Despite this huge revenue stream, in recent years there has been a loss of revenue from car taxes, over 2 billion in 2013. One of the two main objectives of this cabinet's transport policy seems to be to achieve CO reduction. In recent years, anyone who has an idea, whether or not insane, of achieving this goal has to say, above all, a magic formula: "Hocus pocus pilate pas, I wish there was no more CO-emissions!" Then this government is immediately prepared to provide billions of grants and tax bonuses. That is exactly what has happened in recent years. Major efforts have been made to hybridise and electrify the car park through large-scale use of subsidies and tax measures. The result is only there if, as this government now dictates to us, you look at a magic trick as it is intended. In this case, a large black rag is being laid over the power plants that produce the electricity that our electrified and hybridised car park needs to drive around virtually emission-free. They're out of the game, otherwise the trick won't work. With such a transparent trick no magician gets away in everyday life. That black rag is too big for that. Such a magician is immediately sent off the stage. But also for the left, green and worried Netherlands, which is applauding this magic trick, it is useful to look at the figures. Even with the magic trick it is staggering how bad this works. In 2013, for example, tax subsidies in the field of motor vehicle tax, bpm, add-on and so on were spent over 2 billion. Some of them are simply leaking abroad because subsidised cars are sold abroad. We then come to a price per tonne of avoided CO emissions of as much as €3,000; these figures were provided by the State Secretary himself. And what does 1 tonne of avoided CO emissions cost on the emission market? €5. This Secretary of State knows that too, because, as I said, he has provided the figures himself. For this reason he has found the euphemism of the year. I quote: 'In view of the price on the current CO emissions market of around €5 per tonne, there is a real problem here: in the next phase it needs to be more efficient'. It seems that efficiency will be a matter for the Secretary of State. More importantly, his other main objective, which he calls "a stable revenue flow for the government based on reputable and executable car taxes," has come to a halt. Admittedly, the addition, as the Secretary of State calls it, is "robuuster and simpler," but the bpm remains a CO magic trickbox, with even a separate table for plug-in hybrids. The spectator has to believe that the bpm will fall by 14.7% by 2020, but I believe that this is the basis for the assumption that a 3.7% reduction in CO emissions will take place every year. My group remains unclear on what that is based on and how many black rags, to stay in magical terms, the Secretary of State needs to do so. Maybe he can shed some light on this. Perhaps the Secretary of State could also clarify the following point. He has indicated that he eventually wants to get rid of the bpm, but as he said in the House of Representatives, this can't happen so quickly because the current fleet of cars suddenly becomes much less valuable. There is something to be said for that argument, but in that light it is quite remarkable that he needs four years to reduce the bpm by 14.7%. This would mean that he would need 27 years for the total phasing-out, while the average age of a car is 18 years. Moreover, the phasing-out of the bpm could be much faster, given the low value of a car in its last years of life. In short, I would like to get an estimate from the State Secretary of the phasing-out period of the bpm. The electrification of energy consumption, and hence the car park, does not have to be unrealistic for the distant future, if you want to become more independent from oil producers, but only if you are willing to develop nuclear power and, in particular, thorium reactors, as the Chinese decided a number of years ago. The strange thing is that I do not hear anything about this in the context of electrification of cars. Finally. What would the PVV say? We want much lower and simpler car taxes, which are in line with those in the neighbouring countries, especially in the area of excise duties. Too much is leaking into Belgium and Germany. This is also very bad for the local economy in the border regions. Furthermore, we do not want tax subsidies for left-wing toys, especially if they do not have any effect. We shall look at the results of this debate as to whether there is any development that is somewhat in our direction. This will ultimately determine our voting behaviour.
ParlaMint-NL_2016-06-28-eerstekamer-6.u3	Mr. Chairman. We're discussing the Autobrief II Act today. The name alone deserves a prize. Soon we will be able to say to each other: as you said in the debate on the Autobrief II Act. We can't pronounce the Roman figure. It's beautiful. The law deals with amendments to car taxes. The starting point is that it is completely budgetaryly neutral. The SP Group agrees with that. The main shift is that reductions for cars that emit less CO are partly abolished and partly reduced. This is because, in practice, some of these cars, especially the so-called plug-in hybrid vehicles, are much less economical than in theory and because the savings in CO emissions are leaking out to other countries. If economical cars are sold here, manufacturers in other EU countries are allowed to sell less economical cars, as EU standards are limited to the average emissions of newly sold cars. For this there is a very low load on fully electric cars, which in all respects cause less environmental pollution. We think that's a good thing. In total, these measures would only lead to 1% additional CO emissions, we believe to read on page 23 of the explanatory memorandum. However, the Secretary of State replied to our written questions that there will be no additional CO emissions as a result of his proposals. We read that on page 7 of the reply. I think we're talking past each other here. Of course, the situation should not be compared with 2016 in 2020, but with the current situation in 2020 as changed and unchanged policies. If we do so, we believe that the Secretary of State's own documents contain less CO savings, albeit 1%. Can the Secretary of State shine his light on this again? The Plan Bureau for the Environment has recommended that car taxes should focus more on reducing the harmful emissions of nitrogen dioxide and particulate matter to our health. This is urgently needed, because in a number of places in our cities these emissions are above the legally permissible limit and emissions of these harmful substances across the country exceed the standards of the World Health Organisation. However, the Secretary of State does little with this recommendation. In fact, he argues here that source policy, i.e. producing cleaner cars, can be more effective than greening car taxes. That's what he did with the Tax Plan last year. The greening of car taxes comes second, because those car taxes are not really meant for environmental policy, if I interpret his words correctly. Although the Secretary of State is basically right that a good source policy would be the best way to reduce environmental pollution from cars, this is not so simple in practice. The standards for producing cleaner cars are being slyly evaded and the lobbying of car manufacturers is successfully resisting the necessary tightening of these standards within the European Union. They are also doing so successfully against the tightening up of these standards advocated by this government. Moreover, along this road you can only do something about new cars, while the older, dirtier cars will be used for decades to come. It is therefore not at all inappropriate to impose additional taxes on polluting consumer goods, or their use, in order to encourage consumers to switch to less polluting goods. The same goes for cars. Unfortunately, the Secretary of State does not see very much in this respect, because in the cabinet proposals, in line with the opinion of the Planning Bureau for the Environment, only a limited fine dust allowance on very old dirty diesels has been included, which also starts in three years' time. This supplement therefore has a limited effect: 3 to 5% less emissions. If this levy had been higher, the effect would have increased, linearly, according to the State Secretary's replies. Moreover, if the additional revenue from a higher levy were to be used for a more generous buy-back scheme for the old diesel vehicles, the positive effect on our health could increase even more. Unfortunately, the cabinet has missed opportunities here. Another point on which, according to our group, the cabinet has completely failed is the shift from fixed charges on car ownership to variable charges on car use. This can be done by introducing a mileage tax. Such a levy is not only advocated by the SP, but also by large civil society organisations. It's more honest, because the more you drive, the more taxes you pay. It will also contribute to more selective car use, and the less car kilometres, the less environmental pollution. The Secretary of State does not want to do anything about it, because the government agreement states that there will be no mileage tax during this period. We regret that. Could the Secretary of State put on the table a study for the next period of government with the advantages and disadvantages of different variants of a mileage tax?
ParlaMint-NL_2016-06-28-eerstekamer-6.u4	Mr. Chairman. While all signals are red in terms of climate change, and the consequences become increasingly visible in our daily lives, the cabinet comes with this Autoletter II, which leads to more CO emissions and damage to the environment. My group is concerned about how this is possible. What does the Paris climate agreements mean and what does the judge's ruling mean that the Netherlands is doing too little about this? How is it that the Secretary of State for the Environment commits to what was agreed in Paris and says that we must strive for a maximum of 1.5°C global warming and at the same time we have this letter? This Secretary of State is in fact enthusiastically defending that polluting large cars become cheaper and clean cars that emit little CO more expensive, not to mention the velvet glove approach of dirty diesels, which with their soot emissions are a threat to people's health. Tax policy has two main objectives for the period 2017 to 2020. First of all, these are stable revenues for the government and, in addition, they are "a substantial support for air quality and climate objectives." That first objective is clear, but with the second objective my group is getting worse. To be honest, this sounds ridiculous in the light of the contents of the Car Letter. This letter leads to more CO emissions than the previous policy. The challenge for the mobility sector to contribute to solving the climate problem is even more out of the picture. Appointments in the energy agreement are not reached. We are now at 24% more CO emissions from the mobility sector than in 1990 and need to reach -17% by 2020. Instead of narrowing this hole, the Secretary of State is making it bigger with this letter. The current policy of fiscal greening leads to CO emissions of 87 grams per kilometre by 2020 and with the Car Letter it goes up to 96 grams per kilometre. However, in his written reply, the Secretary of State says cheerfully that CO emissions are not rising at all, because they are still better than the average of 107 grams we know today. If all parties and countries deal with their climate effort in this way, we will be in the water every day. The Secretary of State found that the money used by tax incentives to make cars more economical and cleaner was not cost-effective, i.e. too little environmental profit for too much money. From the outset, he is now going to use that incentive money to make polluting cars cheaper. The vehicle tax goes down, the bpm goes down and there are lower added-ons for low-cost cars while the fuel-efficient cars get a higher addition. The result is: more large, heavy, low-cost cars, more climate damage and higher energy consumption. How credible is it when a Porsche Cayenne, with a CO2 emission of 215 grams per kilometer, becomes more than €3,000 cheaper in the purchase and a Toyota Prius, with 49 grams per kilometer, €2,400 more expensive? I'd like to hear the Secretary of State's explanation. My group understands, moreover, that the Secretary of State wishes on a number of points to address the environmental tax deductions which were not enough. We do have three pressing questions. Why are all regular cars made cheaper? That is certainly not cost-effective for the environment. This only costs the government tax revenue, but does not yield any social profit. I'd like an explanation. Why does the Secretary of State only break down green policy instead of opting for a smarter green fiscal policy that tackles CO emissions and also unhealthy soot emissions from old diesels? Why hasn't Finance intervened before? Indeed, cars have been fiscally stimulated for a long time, and that was no longer necessary at all. The picture has emerged that hybrid and electric cars in particular receive far too much subsidy for too little environmental gain. However, most of the tax deduction went and goes to petrol and diesel cars, which were rewarded for being more economical and less CO emissions. This tax remuneration policy has not been sufficiently successful with the state of the art and for far too long cars have been rewarded which have now been standard. Of course you have to give the cleanest cars a support in the back. I would like to get an explanation of why the Secretary of State did not intervene much earlier in the subsidy of these diesel and petrol cars. The cabinet shows stats from the loss of tax revenue up to 2 billion a year in 2013. However, most of this was not for electric and hybrid cars, but for diesel and petrol cars. The Secretary of State completes the tax support for hybrid and semi-electric cars, because TNO's research showed that many kilometres of petrol were driven with these cars. If you look more closely at that, you can see that a quarter of people are mainly driven by petrol and little by electricity. The remaining 75% are doing pretty well and on average 40% of the kilometres are driven on petrol. It could be better, but it's not negligible. I understand that this is being investigated all the time. Has there been any new research by TNO? Are there any newer data on the driving behaviour of the plug-in hybrid drivers? I'd like information from the Secretary of State on this. Is there any reason to change the policy on this issue too? Electric driving has the future. It's clean, it's quiet and it's durable, especially when the used power is green. The Netherlands is at the forefront of Europe. That is also extremely interesting economically. The cabinet's ambition was 200,000 electric and semi-electric cars in 2020 and 1 million in 2025. That number was already not fully achieved with the current policy, but with this new Autoletter it has gone completely out of the picture. We'll only have 100,000 by 2020, half of them.
ParlaMint-NL_2016-06-28-eerstekamer-6.u5	Mrs Vos says that the use of electric cars is environmentally efficient, especially if the electric current is green. However, the reply states that the electric current for these cars, the marginal kWh, is generated by coal rather than by wind. Has Mrs Vos taken note of the reply and of the fact that it is not a question of choosing green power for cars or, as she calls it, polluting power for cars?
ParlaMint-NL_2016-06-28-eerstekamer-6.u6	I have taken note of this; Mr Van Strien has a point. Anyway, even if these cars run on coal power, energy consumption is 30% lower. So there is always a profit for the environment. Moreover, there is of course much more profit: no emissions of NO and no emissions of particulate matter. It is also an extremely important development towards market electrification. We are not there yet, but there are many opportunities to ensure that most of the cars end up on sustainable power. I am extremely sorry to break this development now. We must continue to do so, but we must take a critical look at the use of tax incentives.
ParlaMint-NL_2016-06-28-eerstekamer-6.u7	Mrs Vos says that all electricity should eventually be generated green, but that is completely unfeasible. We can't do that only with wind. These marginal kWhs will always be generated by coal or gas.
ParlaMint-NL_2016-06-28-eerstekamer-6.u8	I don't think so. We are increasingly going to decentralised generation of energy via sun and wind. Numerous studies show that electric cars can help with this. The generated power is stored via the electric cars as it were. This can become an extremely interesting system in which sustainable electricity goes together with charging the batteries of electric cars. Once we have taken that step, we must have sufficient scale: enough electric cars and enough homes and windmills where sustainable electricity is generated. I think there are great opportunities in this. It's an extraordinary pity to let that fall out of your hands again. In fact, the cabinet abandons its ambition for 2020: it is halved. Why does the Secretary of State do that? How does he feel about that? In his view, what is the social significance of electric and semi-electric driving, both from an environmental and an economic point of view? This creates an interesting economic sector for the Netherlands, but it is now being stopped. I would like to make a number of proposals. Of course, we also see that it is a good thing that this policy is being strengthened on a number of points, but why not opt for a smarter green fiscal policy? It is right to support the most clean vehicles in particular, i.e. fully electric. But for the time being, in the transition to a full electric market, plug-in hybrid cars are also of great importance. This also applies to ultra-efficient electric cars with a very small auxiliary engine, which emit very little CO. Why do we not maintain a green stimulus for these cars in this intermediate phase? It is strange that just for the regular, so polluting, cars all kinds of taxes go down. This is like a VVD policy: live the driver, your taxes are going down. The bpm goes down for all cars. This is particularly unfavourable in the case of energy-efficient cars, while it is profitable in the case of polluting low-cost cars. Why doesn't the Secretary of State differentiate that much anymore? Why does he bring down the vehicle tax for all cars? For example, why doesn't he differentiate to the weight? Make an incentive arrangement for private electric drivers, as in other European countries. Among other things, the ANWB has advocated this. We see that in particular the business market is leasing. However, all those private car owners who are best motivated are still not sufficiently achieved. Will the Secretary of State undertake to launch a plan to achieve this, for example with a purchase premium for individuals?
ParlaMint-NL_2016-06-28-eerstekamer-6.u9	I hear Mrs Vos say that it is really no problem for GroenLinks that the Netherlands has the highest car taxes in the world or at least in Europe. According to GroenLinks, is that right or not a problem? How am I supposed to see that?
ParlaMint-NL_2016-06-28-eerstekamer-6.u10	We welcome the fact that there are high car taxes at the moment, because the car is quite polluting. I'm willing to bet that the social cost of the car is higher than what we pay for it at the moment. We think it is absolutely right that these taxes are there. They are an important incentive to encourage people to travel with the OV, to take the bike and to drive cleaner. On the last point, we now have a problem with the Secretary of State.
ParlaMint-NL_2016-06-28-eerstekamer-6.u11	Does that answer also apply if you know that this is detrimental to the Dutch economy? Limiting the transport possibilities for the Dutch is damaging the economy. Is it not a problem to have the highest rates in the world, even if this is detrimental to the economy?
