ParlaMint-NL_2016-03-09-tweedekamer-4.u1	I would like to welcome the Secretary of State.
ParlaMint-NL_2016-03-09-tweedekamer-4.u2	Mr. Chairman. In the AO we talked about the pension register and the inclusion of the expected AOW age, which is higher for a lot of people than the current AOW age of 67 years. We received a letter from the Secretary of State in response to her consultation, for which we are grateful. I understand that such a variant has a different character than the current variants, because that AOW age has not yet been chiseled in marble, but as far as I am concerned we can make sure that people get a much better view of it. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the AOW age is linked to life expectancy from 2021;]] [[noting that the pension register should assist the visitor in obtaining an overview and insight into the impact of personal choices on the pension and that the expected AOW age is an important part of this;]] [[noting that the House of Representatives adopted a motion a year ago to include a variant in the pension register based on the expected AOW age;]] [[whereas the Secretary of State wishes to carry out a more extensive impact analysis;]] [[Considering that it is necessary to take into account the fact that the expected AOW age after 2021 is not yet certain and that the additional variant should, in particular, give an estimate to the participant;]] [[Notes that it is desirable to include in the pension register a variant based on the expected AOW age and the corresponding retirement target age, so that the participant still gets an estimate of the expected pension;]] [[invites the Government, in the impact analysis, to examine the feasibility and implementation costs and to inform the Court of 1 June 2016 about the results of this impact analysis,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van Weyenberg and Mr Vermeij. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32043-303]]
ParlaMint-NL_2016-03-09-tweedekamer-4.u3	Mr Krol will be tabling a motion on my behalf on the promotion of diversity in pension fund management. I have two very brief questions. Many people have told me that in the past you could also find an estimate of your AOW age on the Social Insurance Bank website, even after 2021. That's not the case anymore. Is it true that that has changed and is the Secretary of State prepared to offer that insight again or for the first time? Can the Secretary of State also comment on the report in the newspaper that there are talks with pension funds about the poor financial situation and about her approach to these talks?
ParlaMint-NL_2016-03-09-tweedekamer-4.u4	Mr. Chairman. More and more people are very concerned about the monetary policy of the European Central Bank. This politics is hitting pension funds very hard. Funds once again announce that they need to cut short. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the indexation of many pensions has been absent for years and that pensions have sometimes also been reduced, mainly due to low accounting rates;]] [[noting that there are reports that pension funds need to be cut again;]] [[calls on the Government to send a proposal to the Chamber as soon as possible in order to ensure that the interest rate term structure is more consistent with the average return achieved by pension funds,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Ulenbelt. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32043-304]]
ParlaMint-NL_2016-03-09-tweedekamer-4.u5	This Chamber once adopted a motion stating that only because of the low interest rate should not be reduced. If pension funds were to be cut on unreasonable grounds, we should not want that. I therefore hope that this motion can count on a large majority, so that we can offer pensioners a little security. That's what they really need in these times.
ParlaMint-NL_2016-03-09-tweedekamer-4.u6	Mr. Chairman. My first motion is in fact in line with Mr Ulenbelt's motion and is also about the interest rate, but I would nevertheless like to table that motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the policy of the European Central Bank has led to lower interest rates leading to lower pension payments;]] [[Whereas this has created uncertainty for pensioners and people building up pensions;]] [[calls on the government to do everything in its power to bring the interest rate back to its old level,]] [[and goes to the order of the day.]] [[This motion has been proposed by the member De Graaf. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32043-305]]
ParlaMint-NL_2016-03-09-tweedekamer-4.u7	Then I have a more general motion, which, of course, concerns the policy of the cabinet. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that huge budgets are being made available for the reception of asylum seekers and illegal immigrants;]] [[Whereas older people have lost purchasing power in recent years, sometimes up to 17%;]] [[Whereas the promotion of asylum seekers and illegal immigrants on our elderly people is absolutely reprehensible;]] [[calls on the government not to spend another penny on asylum seekers and illegal immigrants, but to maintain the purchasing power of older people, so that older people in the Netherlands do not get worse,]] [[and goes to the order of the day.]] [[This motion has been proposed by the member De Graaf. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32043-306]]
ParlaMint-NL_2016-03-09-tweedekamer-4.u8	Mr. Chairman. I have three motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[whereas the effects of the pension funds financial review framework and the new UFR are currently being analysed on the basis of information provided by the Netherlands Bank and the Court will be informed in May, accompanied by an appreciation of the Cabinet;]] [[calls on the Government, if the analysis so warrants, to do everything possible to reduce, within the context of the system and with due prudence, the interest rate sensitivity of pension funds and to limit negative effects of the persistently low interest rates on the value stability and the level of pension benefits;]] [[calls on the Government to include other issues such as strategic investment policy and risk profiles,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Krol. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32043-307]]
ParlaMint-NL_2016-03-09-tweedekamer-4.u9	My second motion is one from the heart and is somewhat in line with two motions that have been tabled before. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[whereas pensioners and workers are hard hit by year-on-year failure to index pensions, and that pension reductions are even likely to occur next year due to the persistently low market interest rates, European interest rates policy, the financial review framework for pension funds and the new UFR;]] [[Whereas according to recent CPB estimates, pensioners will again have the most unfavourable purchasing power development in 2016 and 2017;]] [[invites the government, with caution, to do everything possible to achieve pension indexing, and to avoid pension rebates,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Krol. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32043-308]]
ParlaMint-NL_2016-03-09-tweedekamer-4.u10	Finally, the motion co-signed by Mr Van Weyenberg, as already announced. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Pension Funds Code does not yet sufficiently result in the diversity of pension fund management and representative representation of young people, women and pensioners in pension fund boards and other pension fund bodies;]] [[Whereas pension fund bodies should be a good reflection of stakeholders;]] [[invites the Government to promote concrete implementation of the Pension Funds Code with regard to the different composition of pension fund administrations and other pension fund bodies,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Krol and Mr Van Weyenberg. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32043-309]]
ParlaMint-NL_2016-03-09-tweedekamer-4.u11	Mr. Chairman. About a good proposal, you always have to have quartets. So, following three previous motions, I think that we should not only look at the calculation rate, but should give the cabinet room to find a good solution for the following. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that the CPB indicates in the estimate in the Central Economic Plan 2016 a decrease in purchasing power of 1.3% for pensioners in 2017;]] [[Whereas this is due, inter alia, to the fact that pensions are not indexed or hardly indexed;]] [[whereas pension funds achieve a real return of 7% per year, but future liabilities may only be valued at a risk-free accounting rate of 1.6%;]] [[Whereas the current pension pots are growing because the rules require very high buffers to be built by pension funds, whereas these buffers are in fact dead money that cannot be paid;]] [[whereas current pensioners currently have only a guarantee on a non-indexed pension and will thus be affected by a decrease in their purchasing power in 2017 under unchanged policies;]] [[Calls on the Government to ensure that pensions can be indexed by pension funds for the year 2017;]] [[also invites the Government to inform the House of Representatives in September,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Klein. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32043-310]]
ParlaMint-NL_2016-03-09-tweedekamer-4.u12	We are waiting for the Secretary of State to have all the motions. We shall then proceed with the answer of the Secretary of State.
ParlaMint-NL_2016-03-09-tweedekamer-4.u13	Mr. Chairman. I would like to thank the members of the Chamber for their contributions. I shall begin with Mr Van Weyenberg's contribution. He asked two questions. The first relates to the indication on the SVB website of the estimation of the AOW age. I understand that what Mr Van Weyenberg says is true. I will switch with the SVB to take back the expected AOW age. His second question is whether I am talking to funds and if so, whether I want to share what I am discussing with them about the bad financial situation. Of course, I regularly discuss the situation of pension funds with all kinds of parties. I promised during the general consultation that I would update the Chamber in May, or update it, on the state of play then. I will add an appreciation of the cabinet. I therefore intend to do so. I'm going to move on to the motions now. In the motion by Mr Van Weyenberg and Mrs Vermeij to item No. 303 is invited to examine the feasibility and implementation costs in an impact analysis and to inform the Court of Justice of the results of this impact analysis before 1 June 2016. It is, of course, about the pension register and the variant of the expected AOW age to be included. I am happy to do so and therefore leave the verdict on this motion to the Chamber. In Mr Ulenbelt's motion to item No. 304 the government is invited to send a proposal to the Chamber as soon as possible in order to make the interest rate term structure more consistent with the average return achieved by pension funds. More motions have been tabled this morning calling on the government to do something about the financial situation of the funds. I told you, I'll catch up with the Chamber in May. It will be clear that I am not going to recommend such motions at the moment, because I am strongly committed to the fact that we will discuss them again in May. I am sure that the Chamber will wish to provoke me on this point, which seems to me to be an excellent time for that. I therefore advise against the motion in part No. 304. I shall now turn to Mr De Graaf's motion for a resolution. 305, which is also about the accounting rate. I also advise against that motion. I shall now turn to Mr De Graaf's second motion for a resolution. 306 on the purchasing power of older people. As always, in August we will test the situation surrounding purchasing power. Then we also look at the development of purchasing power for older people. So right now, I'm deceiving this motion. Secondly, I come to Mr Krol's motion on item No. 307 on the effects of low interest rates. This motion is premature at the moment, because I promised to give the state of play in May. So I also advise against this motion. Mr Krol's motion for a resolution 308 invites the government to do everything possible to achieve pension indexing and to avoid pension rebates. We have had the debate on the ftk. We are all in the process of looking at how we can make the situation as clear as possible and then offer helping hands as possible. So I'm going to have to discourage this motion as well. In May we will certainly come back to this. President. - I call the Group of the European People's Party (Christian-Democratic Group). 309 on the diversity of administrations. This is an unnecessary motion, because a special committee is already in the process of complying with the Pension Funds Code. That's the monitoring committee for the Pension Funds Code. I go, as I promised in our AO, in consultation with the pension federation about the diversity of pension fund institutions. I advise against this motion because we are already doing a great deal with it. We don't want to impose that now. In Mr Klein's motion to item No. 310 calls on the government to ensure that pension funds can index. As Mr Klein said, this motion is part of a quartet. So my answer is exactly the same: I also advise against this motion. With this, I've dealt with all the motions.
ParlaMint-NL_2016-03-09-tweedekamer-4.u14	Mr Ulenbelt has a question.
ParlaMint-NL_2016-03-09-tweedekamer-4.u15	The Secretary of State advises against all motions relating to interest rates. Her answer is that she will give insight in May and that she will update the Chamber. But everyone sees it goes wrong, doesn't they? Then the Secretary of State must not catch us up; no, she must come up with proposals to do something about it. What does the Secretary of State have to offer to pensioners who hear all these reports about possible cuts?
ParlaMint-NL_2016-03-09-tweedekamer-4.u16	I said in the general discussion and now once again that I expect the figures on the funds of the Nederlandsche Bank in April and that I would like to offer those figures to the Chamber. I am, of course, serving a semi-trailer from the cabinet. In that trailer, of course, I will tell you what the cabinet intends to do on the basis of these figures.
ParlaMint-NL_2016-03-09-tweedekamer-4.u17	This brings us to the end of this debate. The motions tabled will be put to the vote next Tuesday. I would like to thank the Secretary of State for her reply.
