ParlaMint-NL_2016-04-14-tweedekamer-10.u1	I would like to welcome the Minister of Education.
ParlaMint-NL_2016-04-14-tweedekamer-10.u2	Mr. Chairman. Early school leaving is an important issue, because of course we want school drop-out to be as low as possible. That's why I'm filing three motions. So I'm gonna get started soon. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the government intends to increase the tasks of the regional reporting and coordination function in order to increase the focus on vulnerable young people leaving early education;]] [[Considering that the Government intends to reduce these tasks of the RMCs and the municipalities concerned by 2019;]] [[Calls on the Government, in the very short term, to engage with the municipalities concerned (G4 & G35) on a structurally appropriate budget per RMC region from 2017 onwards and further to continue and strengthen the successful approach;]] [[Calls on the Government to give a position to schools for practical education and further special education in the proposed RMC referral on early school leaving as described in the follow-up approach;]] [[also invites the Government to inform the Chamber about this before the summer recess 2016,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Siderius. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-26695-111]]
ParlaMint-NL_2016-04-14-tweedekamer-10.u3	I'm gonna do it real quick. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that young people with a VMBO diploma do not have access to entry training, whereas some of these pupils are not yet ready, socially emotionally, to take the step towards MBO training at level 2 and could use the intermediate stage of entry training to become more resilient and mature;]] [[Whereas direct placement of these young people at MBO, level 2 is a disappointment and, moreover, an increase in the risk of early school leaving;]] [[considers that the gap between VMBO and MBO for pupils with a vulnerable profile should be closed;]] [[calls on the government, in each RMC region, to start a six-year training course in a vmbo setting aimed at obtaining a starting qualification with one pedagogical-didactic concept, one team with teachers from VMBO and MBO, in a small-scale setting under one roof,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Siderius. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-26695-113]]
ParlaMint-NL_2016-04-14-tweedekamer-10.u4	Mr. Chairman. I will make up for Mrs Siderius' little overrun, because I would like to put forward just one motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that in the framework of quality agreements in secondary vocational education schools are assessed on the "study value" indicator;]] [[Whereas this performance agreement does not contribute to better education and can lead to negative perverse effects;]] [[Whereas the MBO Council, schools and the CPB are critical of this quantitative indicator;]] [[calls on the government, in the quality agreements, to refrain from assessing the value of secondary vocational education and to distribute the funds released, 117 million in 2017, among the MBO schools for additional investment in improving the quality of education,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Grashoff. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-26695-114]]
ParlaMint-NL_2016-04-14-tweedekamer-10.u5	Mr. Chairman. My motion is in line with Mr Grashoff's, but it is just a little better. But I'll leave that judgment to the Chamber. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that MBO institutions have to deal with a multitude of financial incentives, some of which, such as the cascade incentive and study value incentive, have contradictory objectives;]] [[noting that the MBO Council is also critical of the number of incentives faced by MBO institutions;]] [[calls on the government to come forward with proposals to reduce the number of financial incentives in the MBO system, in particular to take a critical look at cascade and study value incentives,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Meenen. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-26695-115]]
ParlaMint-NL_2016-04-14-tweedekamer-10.u6	I am happy to give the floor to the Minister.
ParlaMint-NL_2016-04-14-tweedekamer-10.u7	Mr. Chairman. The motion in part No. 111 concerns the proposed RMC referral on early school leaving. Ms Siderius asked that schools for practical education and further special education be given a position in these consultations. I advise against this motion. The motion also contains a number of other elements, such as the so-called budget cut for RMC. I will not cut the budget of the RMC contact municipalities from 2019. The regular budget just stays the same. However, a concession from an earlier cut in regional vsv funds will cease to exist this year. I am once again addressing municipalities by making more funds available for the next two years. Mrs Siderius also asks to talk to the municipalities. However, I have already announced that I will discuss the follow-up approach of vsv with the municipalities. I take the concerns of municipalities very seriously. In two years' time, therefore, we will take stock of the follow-up approach. Mrs Siderius also called for the participation of pro- and vso-schools in the regional vsv consultation. These schools should indeed be involved in regional agreements on early school leaving and early school leaving. This is already happening in the follow-up approach of vsv and in the case of young people in a vulnerable position. I therefore believe that pupils from pro and vso schools are already well involved in the follow-up approach. That's why I advise against this motion. In the motion in part No. 112 is asked to make a body responsible for the individual guidance of pupils on the labour market, at home or at further training. I advise against this motion, because congregations already have the task of guiding pro- and vso-students. The new vsv approach offers further tools for this. This must be done in cooperation with each other. In the motion for a resolution, Mrs Siderius asks for item No. 113 to start a six-year training course in a vmbo setting in each RMC region, aimed at obtaining a starting qualification. I also advise against that motion. I agree with Mrs Siderius that it is very important that there are opportunities for young people in the region to move easily from VMBO to MBO. We also have new experiments for this, such as the craftsmanship route, which is a follow-up to VM2. I've already made that possible. This allows schools for VMBO and MBO to set up a continuous learning line up to and including the initial qualification. In the meantime, there are 48 of them at level 2. As of August 2016, a third tranche will start with a further fourteen craftsmanship routes. As a result, there is a certain flexibility and freedom of choice within regions in the way they want to set up these continuous learning lines. That seems to me to be a desirable approach. That's why I advise against this motion.
ParlaMint-NL_2016-04-14-tweedekamer-10.u8	I'd still like a response. It is not mandatory and RMC regions are therefore actually free to see how they fill this out themselves. That is why there are also regions in which the continuous learning line is broken. So that's where students fall between shore and ship when they go from vmbo to mbo. Such a route from a kind of five- or six-year route to a start-up qualification prevents these young people from falling out. That risk will be reduced. So I would like to comment on that.
ParlaMint-NL_2016-04-14-tweedekamer-10.u9	We have learned from the VM2 projects that there are disadvantages. That's why we moved on to the craftsmanship routes. There are 78 of them now and another 14 will soon be added. In this way, it will increasingly serve the different regions. I will continue to monitor this closely, to see what the effects and experiences of schools and students are. It is not good, however, to impose a fixed format as an alternative in each region. It would be more logical to give some freedom to regions. That is the crux of the whole vsv policy: the ability to deliver customization that fits the region. In the region one can thus indicate how one wants to set up continuous learning lines between vmbo and mbo. This may depend on the type of student and also on the challenges faced in different regions. I think that that fits well with the approach of vsv: a rural framework, but with space for customization from the bottom up.
ParlaMint-NL_2016-04-14-tweedekamer-10.u10	The problem with the technology and the craftsman's route was that it wasn't under one roof. One of the success factors was precisely bringing together teachers from VMBO and MBO in one training course, within one building, so to speak. It closes the gap. Because of these new routes, the gap has widened again and that is, of course, very painful. After all, this means that more students fall out.
ParlaMint-NL_2016-04-14-tweedekamer-10.u11	I think that's a premature conclusion. At least I can't share it. Schools can integrate into the approach that I propose vmbo and mbo within the same educational environment. If schools choose to do so, it can also be done under one roof. Schools can even drop some of the VMBO exams, allowing young people to pass an MBO 2 degree and speed up the flow to level 3 or the labour market. They can also exchange teachers from vmbo and mbo. It can all be done better than it is now, but there are a lot of possibilities for achieving good coordination and cooperation. Mr Grashoff's and Mr Van Meenen's motions should be taken together. They're both about ending the study value and alternatives to financial incentives. I can't see which motion is best, but at least I'm gonna dissuade them both. In my opinion, there is not too many performance incentives in the MBO. With regard to quality agreements, these are three: vsv, study value and improvement of professional practice. From my previous experience in higher education and vocational education, I have learned that quality improvement is important. It is also important to adopt both a qualitative and a quantitative approach. I do. At the front I reward institutions based on results obtained. The result-dependent part of the funding is very limited: less than 7%. We know from research that such incentives can work if limited, so gross mode if it does not exceed 10%. That's what we do here. It comes in addition to regular funding. In doing so, we encourage schools to provide intensive education in which pupils are heard and known and no longer attend school than necessary. We'll do it by cascade. I think, considering everything, it could be an interesting opportunity to get the most out of students and students. By the way, this is in line with the MBO Council.
