Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-06-23-tweedekamer-8	ParlaMint-NL_2016-06-23-tweedekamer-8.u1	Report of the meeting of the Dutch Lower House, Meeting 100, Session 8 (2016-06-23)	2016-06-23	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 100	Sitting 2016-06-23	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-06-23-tweedekamer-8	ParlaMint-NL_2016-06-23-tweedekamer-8.u2	Report of the meeting of the Dutch Lower House, Meeting 100, Session 8 (2016-06-23)	2016-06-23	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 100	Sitting 2016-06-23	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	JaspervanDijk	van Dijk, Jasper	M	1971	
ParlaMint-NL-en_2016-06-23-tweedekamer-8	ParlaMint-NL_2016-06-23-tweedekamer-8.u3	Report of the meeting of the Dutch Lower House, Meeting 100, Session 8 (2016-06-23)	2016-06-23	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 100	Sitting 2016-06-23	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-06-23-tweedekamer-8	ParlaMint-NL_2016-06-23-tweedekamer-8.u4	Report of the meeting of the Dutch Lower House, Meeting 100, Session 8 (2016-06-23)	2016-06-23	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 100	Sitting 2016-06-23	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	Anne-WilLucas	Lucas, Anne-Wil	F	1975	
ParlaMint-NL-en_2016-06-23-tweedekamer-8	ParlaMint-NL_2016-06-23-tweedekamer-8.u5	Report of the meeting of the Dutch Lower House, Meeting 100, Session 8 (2016-06-23)	2016-06-23	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 100	Sitting 2016-06-23	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-06-23-tweedekamer-8	ParlaMint-NL_2016-06-23-tweedekamer-8.u6	Report of the meeting of the Dutch Lower House, Meeting 100, Session 8 (2016-06-23)	2016-06-23	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 100	Sitting 2016-06-23	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	Anne-WilLucas	Lucas, Anne-Wil	F	1975	
ParlaMint-NL-en_2016-06-23-tweedekamer-8	ParlaMint-NL_2016-06-23-tweedekamer-8.u7	Report of the meeting of the Dutch Lower House, Meeting 100, Session 8 (2016-06-23)	2016-06-23	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 100	Sitting 2016-06-23	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-06-23-tweedekamer-8	ParlaMint-NL_2016-06-23-tweedekamer-8.u8	Report of the meeting of the Dutch Lower House, Meeting 100, Session 8 (2016-06-23)	2016-06-23	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 100	Sitting 2016-06-23	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-06-23-tweedekamer-8	ParlaMint-NL_2016-06-23-tweedekamer-8.u9	Report of the meeting of the Dutch Lower House, Meeting 100, Session 8 (2016-06-23)	2016-06-23	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 100	Sitting 2016-06-23	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JetBussemaker	Bussemaker, Jet	F	1961	
ParlaMint-NL-en_2016-06-23-tweedekamer-8	ParlaMint-NL_2016-06-23-tweedekamer-8.u10	Report of the meeting of the Dutch Lower House, Meeting 100, Session 8 (2016-06-23)	2016-06-23	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 100	Sitting 2016-06-23	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	Anne-WilLucas	Lucas, Anne-Wil	F	1975	
ParlaMint-NL-en_2016-06-23-tweedekamer-8	ParlaMint-NL_2016-06-23-tweedekamer-8.u11	Report of the meeting of the Dutch Lower House, Meeting 100, Session 8 (2016-06-23)	2016-06-23	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 100	Sitting 2016-06-23	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JetBussemaker	Bussemaker, Jet	F	1961	
ParlaMint-NL-en_2016-06-23-tweedekamer-8	ParlaMint-NL_2016-06-23-tweedekamer-8.u12	Report of the meeting of the Dutch Lower House, Meeting 100, Session 8 (2016-06-23)	2016-06-23	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 100	Sitting 2016-06-23	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	Anne-WilLucas	Lucas, Anne-Wil	F	1975	
ParlaMint-NL-en_2016-06-23-tweedekamer-8	ParlaMint-NL_2016-06-23-tweedekamer-8.u13	Report of the meeting of the Dutch Lower House, Meeting 100, Session 8 (2016-06-23)	2016-06-23	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 100	Sitting 2016-06-23	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JetBussemaker	Bussemaker, Jet	F	1961	
ParlaMint-NL-en_2016-06-23-tweedekamer-8	ParlaMint-NL_2016-06-23-tweedekamer-8.u14	Report of the meeting of the Dutch Lower House, Meeting 100, Session 8 (2016-06-23)	2016-06-23	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 100	Sitting 2016-06-23	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	Anne-WilLucas	Lucas, Anne-Wil	F	1975	
ParlaMint-NL-en_2016-06-23-tweedekamer-8	ParlaMint-NL_2016-06-23-tweedekamer-8.u15	Report of the meeting of the Dutch Lower House, Meeting 100, Session 8 (2016-06-23)	2016-06-23	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 100	Sitting 2016-06-23	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JetBussemaker	Bussemaker, Jet	F	1961	
ParlaMint-NL-en_2016-06-23-tweedekamer-8	ParlaMint-NL_2016-06-23-tweedekamer-8.u16	Report of the meeting of the Dutch Lower House, Meeting 100, Session 8 (2016-06-23)	2016-06-23	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 100	Sitting 2016-06-23	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	Anne-WilLucas	Lucas, Anne-Wil	F	1975	
ParlaMint-NL-en_2016-06-23-tweedekamer-8	ParlaMint-NL_2016-06-23-tweedekamer-8.u17	Report of the meeting of the Dutch Lower House, Meeting 100, Session 8 (2016-06-23)	2016-06-23	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 100	Sitting 2016-06-23	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JetBussemaker	Bussemaker, Jet	F	1961	
