Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-07-07-tweedekamer-47	ParlaMint-NL_2016-07-07-tweedekamer-47.u1	Report of the meeting of the Dutch Lower House, Meeting 106, Session 47 (2016-07-07)	2016-07-07	Lower house	Meeting of the 28th Tweede Kamer	Session 47	Meeting 106	Sitting 2016-07-07	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-07-07-tweedekamer-47	ParlaMint-NL_2016-07-07-tweedekamer-47.u2	Report of the meeting of the Dutch Lower House, Meeting 106, Session 47 (2016-07-07)	2016-07-07	Lower house	Meeting of the 28th Tweede Kamer	Session 47	Meeting 106	Sitting 2016-07-07	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	RaymonddeRoon	de Roon, Raymond	M	1952	
ParlaMint-NL-en_2016-07-07-tweedekamer-47	ParlaMint-NL_2016-07-07-tweedekamer-47.u3	Report of the meeting of the Dutch Lower House, Meeting 106, Session 47 (2016-07-07)	2016-07-07	Lower house	Meeting of the 28th Tweede Kamer	Session 47	Meeting 106	Sitting 2016-07-07	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	RaymonddeRoon	de Roon, Raymond	M	1952	
ParlaMint-NL-en_2016-07-07-tweedekamer-47	ParlaMint-NL_2016-07-07-tweedekamer-47.u4	Report of the meeting of the Dutch Lower House, Meeting 106, Session 47 (2016-07-07)	2016-07-07	Lower house	Meeting of the 28th Tweede Kamer	Session 47	Meeting 106	Sitting 2016-07-07	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	RaymonddeRoon	de Roon, Raymond	M	1952	
ParlaMint-NL-en_2016-07-07-tweedekamer-47	ParlaMint-NL_2016-07-07-tweedekamer-47.u5	Report of the meeting of the Dutch Lower House, Meeting 106, Session 47 (2016-07-07)	2016-07-07	Lower house	Meeting of the 28th Tweede Kamer	Session 47	Meeting 106	Sitting 2016-07-07	-	Reference	English	Regular	MP	notMinister	Houwers	Fractie Houwers	Opposition	-	JohanHouwers	Houwers, Johan	M	1957	
ParlaMint-NL-en_2016-07-07-tweedekamer-47	ParlaMint-NL_2016-07-07-tweedekamer-47.u6	Report of the meeting of the Dutch Lower House, Meeting 106, Session 47 (2016-07-07)	2016-07-07	Lower house	Meeting of the 28th Tweede Kamer	Session 47	Meeting 106	Sitting 2016-07-07	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-07-07-tweedekamer-47	ParlaMint-NL_2016-07-07-tweedekamer-47.u7	Report of the meeting of the Dutch Lower House, Meeting 106, Session 47 (2016-07-07)	2016-07-07	Lower house	Meeting of the 28th Tweede Kamer	Session 47	Meeting 106	Sitting 2016-07-07	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JeanineHennis-Plasschaert	Hennis-Plasschaert, Jeanine	F	1973	
ParlaMint-NL-en_2016-07-07-tweedekamer-47	ParlaMint-NL_2016-07-07-tweedekamer-47.u8	Report of the meeting of the Dutch Lower House, Meeting 106, Session 47 (2016-07-07)	2016-07-07	Lower house	Meeting of the 28th Tweede Kamer	Session 47	Meeting 106	Sitting 2016-07-07	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-07-07-tweedekamer-47	ParlaMint-NL_2016-07-07-tweedekamer-47.u9	Report of the meeting of the Dutch Lower House, Meeting 106, Session 47 (2016-07-07)	2016-07-07	Lower house	Meeting of the 28th Tweede Kamer	Session 47	Meeting 106	Sitting 2016-07-07	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	RaymonddeRoon	de Roon, Raymond	M	1952	
ParlaMint-NL-en_2016-07-07-tweedekamer-47	ParlaMint-NL_2016-07-07-tweedekamer-47.u10	Report of the meeting of the Dutch Lower House, Meeting 106, Session 47 (2016-07-07)	2016-07-07	Lower house	Meeting of the 28th Tweede Kamer	Session 47	Meeting 106	Sitting 2016-07-07	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JeanineHennis-Plasschaert	Hennis-Plasschaert, Jeanine	F	1973	
ParlaMint-NL-en_2016-07-07-tweedekamer-47	ParlaMint-NL_2016-07-07-tweedekamer-47.u11	Report of the meeting of the Dutch Lower House, Meeting 106, Session 47 (2016-07-07)	2016-07-07	Lower house	Meeting of the 28th Tweede Kamer	Session 47	Meeting 106	Sitting 2016-07-07	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
