Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-03-29-tweedekamer-3	ParlaMint-NL_2016-03-29-tweedekamer-3.u1	Report of the meeting of the Dutch Lower House, Meeting 70, Session 3 (2016-03-29)	2016-03-29	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 70	Sitting 2016-03-29	-	Reference	English	Regular	MP	notMinister	Bontes/Van Klaveren	Groep Bontes/Van Klaveren	Opposition	Right to far-right	LouisBontes	Bontes, Louis	M	1956	
ParlaMint-NL-en_2016-03-29-tweedekamer-3	ParlaMint-NL_2016-03-29-tweedekamer-3.u2	Report of the meeting of the Dutch Lower House, Meeting 70, Session 3 (2016-03-29)	2016-03-29	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 70	Sitting 2016-03-29	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JeanineHennis-Plasschaert	Hennis-Plasschaert, Jeanine	F	1973	
ParlaMint-NL-en_2016-03-29-tweedekamer-3	ParlaMint-NL_2016-03-29-tweedekamer-3.u3	Report of the meeting of the Dutch Lower House, Meeting 70, Session 3 (2016-03-29)	2016-03-29	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 70	Sitting 2016-03-29	-	Reference	English	Regular	MP	notMinister	Bontes/Van Klaveren	Groep Bontes/Van Klaveren	Opposition	Right to far-right	LouisBontes	Bontes, Louis	M	1956	
ParlaMint-NL-en_2016-03-29-tweedekamer-3	ParlaMint-NL_2016-03-29-tweedekamer-3.u4	Report of the meeting of the Dutch Lower House, Meeting 70, Session 3 (2016-03-29)	2016-03-29	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 70	Sitting 2016-03-29	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JeanineHennis-Plasschaert	Hennis-Plasschaert, Jeanine	F	1973	
ParlaMint-NL-en_2016-03-29-tweedekamer-3	ParlaMint-NL_2016-03-29-tweedekamer-3.u5	Report of the meeting of the Dutch Lower House, Meeting 70, Session 3 (2016-03-29)	2016-03-29	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 70	Sitting 2016-03-29	-	Reference	English	Regular	MP	notMinister	Bontes/Van Klaveren	Groep Bontes/Van Klaveren	Opposition	Right to far-right	LouisBontes	Bontes, Louis	M	1956	
ParlaMint-NL-en_2016-03-29-tweedekamer-3	ParlaMint-NL_2016-03-29-tweedekamer-3.u6	Report of the meeting of the Dutch Lower House, Meeting 70, Session 3 (2016-03-29)	2016-03-29	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 70	Sitting 2016-03-29	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JeanineHennis-Plasschaert	Hennis-Plasschaert, Jeanine	F	1973	
ParlaMint-NL-en_2016-03-29-tweedekamer-3	ParlaMint-NL_2016-03-29-tweedekamer-3.u7	Report of the meeting of the Dutch Lower House, Meeting 70, Session 3 (2016-03-29)	2016-03-29	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 70	Sitting 2016-03-29	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	RaymondKnops	Knops, Raymond	M	1971	
ParlaMint-NL-en_2016-03-29-tweedekamer-3	ParlaMint-NL_2016-03-29-tweedekamer-3.u8	Report of the meeting of the Dutch Lower House, Meeting 70, Session 3 (2016-03-29)	2016-03-29	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 70	Sitting 2016-03-29	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JeanineHennis-Plasschaert	Hennis-Plasschaert, Jeanine	F	1973	
ParlaMint-NL-en_2016-03-29-tweedekamer-3	ParlaMint-NL_2016-03-29-tweedekamer-3.u9	Report of the meeting of the Dutch Lower House, Meeting 70, Session 3 (2016-03-29)	2016-03-29	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 70	Sitting 2016-03-29	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	SalimaBelhaj	Belhaj, Salima	F	1978	
ParlaMint-NL-en_2016-03-29-tweedekamer-3	ParlaMint-NL_2016-03-29-tweedekamer-3.u10	Report of the meeting of the Dutch Lower House, Meeting 70, Session 3 (2016-03-29)	2016-03-29	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 70	Sitting 2016-03-29	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JeanineHennis-Plasschaert	Hennis-Plasschaert, Jeanine	F	1973	
ParlaMint-NL-en_2016-03-29-tweedekamer-3	ParlaMint-NL_2016-03-29-tweedekamer-3.u11	Report of the meeting of the Dutch Lower House, Meeting 70, Session 3 (2016-03-29)	2016-03-29	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 70	Sitting 2016-03-29	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
