ParlaMint-NL_2016-09-13-tweedekamer-5.u1	I would like to welcome the Minister for Security and Justice.
ParlaMint-NL_2016-09-13-tweedekamer-5.u2	Mr. Chairman. The police will stop picking up, picking up, collecting and transporting confused people from January 1st. Imagine, a confused man standing in the middle of the crossroads screaming. He's a pretty solid person. No one knows what the situation is. Bystanders get scared, cars drive around. After January 1st, the police will no longer work in the Netherlands for this purpose. The deal is that the ggz does, but it lets us know not to be ready for that yet. In asking my questions, I am trying to get the Minister's commitment that in such a case as outlined as "or think of someone on the platform" or someone standing on the edge of the roof of a high-rise building, it is not the case that the police are not going there. I'd like to know about the Minister anyway. Of course, we think it is very good if there is a much more humane approach for confused people and if there is decent psychiatric care. So the police are not our preferred option, but I want the Minister to be clear today that it cannot be that nothing happens at all. GroenLinks wants the police to stay until the ggz is ready to take over in every village and in every city. According to GroenLinks this is simply not possible, because the current funding of mental health care leaves no room for permanently accessible and available teams who are sufficiently trained for this type of acute care. I wonder how the Minister looks at that.
ParlaMint-NL_2016-09-13-tweedekamer-5.u3	Mr. Chairman. I thank Mrs Van Tongeren for her question. That gives me the opportunity to explain the comprehensive letter that we sent to the Chamber on 5 July. I'm sorry. I'm sorry. I'm sorry. From the Minister of VWS, the Chamber received the interim report from the Chasing Team Confused Persons. He is primarily responsible for the care part of the problem of confused persons. I will often refer to VWS in my reply, because we are looking at this issue together in an integral way. So it's not just a matter of security and justice. The starting point of all the activities we have undertaken over the past 18 months in connection with the Hoekstra Committee's report is to ensure that confused persons are recognised in good time, are given proper care and do not end up in the place where Mrs Van Tongeren has just said so strikingly, namely in the middle of the street in utter confusion. It is, of course, intended that people are received early in an appropriate, non-stigmatic and non-traumatizing manner and, if necessary, transported. The Chasing Team Confused Persons has taken a number of important steps in the past year. One is that it is agreed that as of 1 January 2017 the reception of confused persons will in principle no longer take place in police cells. After all, they are not suitable for people who are confused at all. Those people need to go to an appropriate care environment. Transport must also be adapted to the needs of confused persons. On 5 July last. We informed the Chamber of that appointment. Obviously, the confused persons will not fall between shore and ship. There will be action as Mrs Van Tongeren proposes and as we have agreed. Where that transfer can take place, it will take place. In other cases, the police will, if necessary, prefer not to do so, but if there is no other way to do so, they will continue to play that role temporarily. The important thing is that we are working very well together with the whole chain to ensure that there is a transition that is in the interests of the confused persons themselves and that does justice to the needs of these people. They do not need a police cell or a police car; they need care, appropriate care and people trained to deal with them in a respectful way.
ParlaMint-NL_2016-09-13-tweedekamer-5.u4	With the ideal image presented by the Minister, GroenLinks agrees, but in the period from 2010 to now, the number of reports of confused persons has increased by 65%. It's 65,000 reports. We hear that the trained teams the Minister mentioned are not there and that the ggz institutions throughout the Netherlands do not have trained, outpatient teams with transport available 24 hours a day to pick up these people. Then that may be a nice wishful thinking, but then you can't say: as of January 1st we'll basically stop; see? I welcome the Minister's commitment that no confused person will remain on the streets in a situation that is vulnerable to him or herself or the environment. This means, in practice, that the police will continue to do so for a long time to come. The minister also said something about the training. I would like to know from the Minister who may use force or violence on the streets or handcuffs if necessary. What times are they allowed to do that? If the Minister thinks that this should also be done by the outpatient teams, all these teams in the Netherlands must be trained in such a way that they can actually take people off the streets in a very confused or psychotic situation. After all, we know that even the police, who are trained to do so, have the greatest possible difficulty from time to time in getting someone in such a condition whole and healthy and at all.
ParlaMint-NL_2016-09-13-tweedekamer-5.u5	Mrs Van Tongeren deals with this question in a number of areas outside my portfolio. The question is how the ggz prepares itself, especially under the direction of the municipalities, which are ultimately responsible for this and with which very good consultation takes place seamlessly. The example given by Mrs Van Tongeren concerns people who need handcuffs. Then the police may be the party that should. When it comes to people who are at risk to themselves or to their environment or to those who have committed a criminal offence, the police are of course in a position to do so. The point is that, on the basis of the consultations that are currently taking place between police, municipalities, care parties, ambulance services and health insurance providers, we must ensure that these people do not get to this point and that they do not get to that point in the street, which means that the police are not needed. The whole purpose of everything we have done so far for confused people, the approach I coordinate with Mr Schippers, is to ensure that people receive appropriate care in good time.
ParlaMint-NL_2016-09-13-tweedekamer-5.u6	With the Minister's promise that the police will continue to pull out even after January if it is necessary to take these people off the streets, I am pleased. I would also like to have that other vision of the future, but there is not yet. I also welcome the fact that if there is an unexpected need for coercion or if someone has to be handcuffed to get them into a vehicle, then the police will remain active. I understand that this minister cannot say anything about training other people, but he does deal with public security and, among other things, the monopoly on the use of violence. If that is transferred to other teams, which are given the same powers, then I think the Minister is inclined to examine the conditions under which people can possibly dispose of someone by force or under duress. I would also like confirmation from the Minister that, in all these cases, the police remain available wherever necessary throughout the Netherlands.
ParlaMint-NL_2016-09-13-tweedekamer-5.u7	I will repeat the starting point, because this is also reflected in all the interim reports and in the letter to the Chamber of 5 July. The starting point is that as of 1 January 2017 the reception will no longer take place in a police cell and that preferably the transport will no longer take place as soon as possible afterwards by police cars that are not suitable for transporting people who are confused, in psychosis and so on. That is the starting point. That's not because I don't want to, but because it's not sensible from the patient's point of view and because it shouldn't be the job of the police to do that job. Fortunately, there are also a lot of alternatives to this. The psycholance, which drives in Amsterdam, is a good example. Look at the shelter, too. I went to the Opvang Vervolgde Personen in The Hague last week. That is an extremely nice cooperation between the police, the ggz and a number of other partners, who really works well and is one of the examples for how it should be done. That's a really good example we're looking at together to roll that out in the country. The responsibility for this lies, of course, with the municipalities, as everyone knows. They are carefully supported by the successor of the chasing team to ensure that they are up to their task. Moreover, there is no undertaking that I am making today, as it is all in the letters that the Chamber has already received. I'm just gonna explain it to you one more time.
ParlaMint-NL_2016-09-13-tweedekamer-5.u8	I think the Minister is giving a rather rosy picture of the letter received by the Chamber. That letter is merely an announcement that there will be a substantive response. That will be somewhere at the end of September, so we still have to talk about that. We don't know what the cabinet's like yet. In addition to the commitment that the Minister must make today, I would like to hear that he ensures that people do not fall between shore and ship, not only because they need care but also because they may pose a danger to others. If not, I would like to hear from the Minister that he will use the other capacity he may have at his disposal in the care setting to ensure that these people do not wander anywhere on the street and become a danger to himself and others.
ParlaMint-NL_2016-09-13-tweedekamer-5.u9	I think I have just said this literally in reply to Mrs Van Tongeren's question. The starting point is that there are no people on the streets, but that we ensure that people are taken care of by those who are meant for it, not by the police, but by the ggz, who specialises in it.
ParlaMint-NL_2016-09-13-tweedekamer-5.u10	I would very much like to stress that we are talking about people who are very seriously ill. I didn't hear that from the Minister. I say that in general, but there are also a lot of other possibilities. I heard the Minister say very clearly that no one is going to fall between ship and ship. I'm really gonna hold him to that. I am counting on the Minister, together with his colleague Mr Schippers, to do everything in his power to ensure that this is done, and to include some good examples of the transport of ggz patients, for example in Arnhem. I would ask the Minister to take a good look at that and really live up to his word that no one will fall apart.
ParlaMint-NL_2016-09-13-tweedekamer-5.u11	That was exactly the starting point of the hunting team we set up a year ago. This has done an excellent job and has looked at all these examples, not only at the reception in Arnhem but also in Amsterdam, The Hague and many other good examples in the country. Mr Schippers and I, Mr Schippers, are aware that it is very important for people to be treated in accordance with their needs, not as criminals but as patients, because of the responsibility for the ggz and myself because of the part of the police.
