ParlaMint-NL_2016-12-15-tweedekamer-8.u1	I would like to welcome the Minister for Social Affairs and Employment.
ParlaMint-NL_2016-12-15-tweedekamer-8.u2	Mr. Chairman. I would like to begin by welcoming Mrs Wijker, who is in the chair. You would have done so yourself, so I am doing so on your behalf. Or do you still want to do it yourself?
ParlaMint-NL_2016-12-15-tweedekamer-8.u3	Well, I would like to welcome Mrs Van Wijker to the President's Lodge. Mrs Van Wijker is referred to by Mr Ulenbelt as "Mrs Ulenbelt." Now you can move on.
ParlaMint-NL_2016-12-15-tweedekamer-8.u4	Exactly. I was pleased to hear that it is indeed Mrs Wijker or Mrs Van Wijker and that she has her maiden name and is not 'the wife of'. We all know that she played a leading role in Mr Ulenbelt's many debates and contributions. I think Mr Ulenbelt will deal with this later. So welcome from my side too! Unfortunately, underpayment and exploitation continue to occur in the Netherlands. We have set a legal minimum wage, because we believe that there is a minimum that everyone should earn at least for the hours he or she works, regardless of your work, your work speed and whether you are young or old. It is therefore a good thing that we are reviewing whether this is still being done. I'll deal with youth pay first. In March 2015, young people from Young & United started their campaign for the abolition of youth pay. They got thousands of young people up and worked together with all kinds of youth organisations. Their petition was signed over 130,000 times. We all remember the 19-year-old soufian, who undressed half at Ahold's shareholders' meeting: "To match your one-year pay, I have to work 299 years," he said to the CEO. We also remember that a group of young people did the same in our general consultation in the Lower House. That was activism with a clear goal: a fair reward for work, regardless of age. The statutory minimum wage is designed to enable employees to go through life independently. For young adults who have to work for less, we apparently accept that they work full-time and cannot still live on their own. During last year's hearing in the Lower House, young people who were paid much less for exactly the same work than their colleagues were. Think of the young woman who worked as a coupeuse in a bridal shop. She had been trained, did a wonderful job and was just as good as her older colleagues, but she was still on that minimum youth wage. Also think of young people between the ages of 18 and 22 who had to take care of themselves, earn an income and often no longer wanted or could live with their parents. Because of their low youth pay, they often could not even rent a room or had no money left to eat well. The current system assumes that young adults can fall back on their parents. But it can't always be. It shouldn't be in a country where you're supposed to be an adult when you're 18. If you are 18 years old in the Netherlands, you can drive, vote and drink alcohol and pay the full pound for your health insurance, rent and groceries. You have all the rights and duties of an adult, but you deserve a lot less than anyone above 23. That's not fair. The only beneficiaries are the large companies with a business model in which they have exported minimum youth wages to a maximum, at the expense of young people. Making everyone from 18 years of age receive an adult wage is a matter of course for GroenLinks. At the beginning of 2012 our then spokesperson Social Affairs Klaver already suggested to cancel the youth wage from 18 years old. That year it was also in our election program. With the cabinet's proposal, the age for the adult minimum wage goes down first to 22 and two years later to 21. As far as GroenLinks is concerned, this is a step in the right direction. I would also like to congratulate the Minister on that. But we are not here yet, because of course this is not yet a completely fair reward. As far as we are concerned, we are putting an end to this age discrimination and there is equal pay for equal work for all adults, including from the age of 18. My contribution and my amendment to the legislative proposal will therefore not be surprised. The current youth wage provides underpayment of young workers and unfair competition for older workers. According to opponents, young people would quit their education and work straight away. That hasn't been proven anywhere. Countries without youth wages do not have this experience either. There is also little evidence of the argument that the labour market position of young people is deteriorating when youth wages are increased. In Denmark and Austria there is no separate youth wage and there youth unemployment is lower than in the Netherlands. GroenLinks is for equal pay for equal work, whether you are 18, 28 or 38. Training and experience should determine your salary, not just your age. What does the Minister think of the principle of equal pay for equal work? Does this also apply to an 18-year-old or a 19-year-old? Isn't this kind of principle just important to stick to, not to say unnegotiable? I come to the other two parts of this legislative amendment. 155.000 people work for piecework, paying for every product they produce instead of the work they do in hours. For some, this may work well if they work faster than the norm or if there is a fair time and price for the work they do. For those who earn little, often people with a weak position in the labour market, it is bad. The time in which they have to make a product or deliver a package has been longer than the standard. As a result, they work many hours for a small amount and their salary is far below the minimum wage. That's exploitation.
ParlaMint-NL_2016-12-15-tweedekamer-8.u5	I was just chewing on Mrs Voortman's previous point. I agree with her that the starting point should be equal pay for equal work, and that we should reward it by performance rather than age. She asked the Minister whether it would not be an unnegotiable principle in one go to 18 years. I think that she is referring to an earlier breaking point of the Minister that he has expressed as the candidate for the Labour Party list. But do I hear Mrs Voortman announce a breaking point of GroenLinks here or have I misunderstood her?
ParlaMint-NL_2016-12-15-tweedekamer-8.u6	This is a point that we have been in our electoral programme for a long time and which is indeed very important to us. I have not heard that the Minister would prefer 18 years, but that this would be necessary for another reason. That's why we say you have to handle 18 years if you're really for equal pay for equal work.
ParlaMint-NL_2016-12-15-tweedekamer-8.u7	My question was about the fact that Mrs Voortman said it was an unnegotiable principle. That raised the question whether this is a breaking point for GroenLinks.
ParlaMint-NL_2016-12-15-tweedekamer-8.u8	This is a very important point for us. We do not formulate breakpoints, but this is very important to us. I hope this point is also important for D66. I just saw a video in which D66 is quite right to be happy about what we have achieved here, but there were also things said about equal work for equal pay. I assume that this also applies to young people from the age of 18 and that Mr Van Weyenberg will not say that he is entirely happy, but that a separate wage for young people aged 18 or 19 is fair. I assume Mr Van Weyenberg will say that later. People who work overtime, but then are not paid well for it because employers apply the minimum wage per week, that too is exploitation. I'll be brief about this. GroenLinks supports the proposal to review the regulation of piecework and additional work in order to better prevent underpayment and exploitation. I have both cases that are very important to enforcement. Does the Minister expect the Inspection SZW to have sufficient capacity and ability to maintain properly? As the Minister points out, a uniform minimum wage can help to maintain the minimum wage properly. In the note on the report he writes that he is still working on a uniform minimum statutory hourly wage, but that it takes time to come up with a careful proposal. When does the Minister expect this proposal to come to the Chamber? Finally, I have a question about exploitation and enforcement that is related to this. At the beginning of this year we saw in a broadcast of Rambam how cleaners in hotels were paid per room. They were given far too little time per room and were considered unpaid by working in their own time. Thus they were paid far below the minimum wage for their work. These are people who have an hourly wage contract, but who were paid out through a dubious calculation scheme per room. In fact, therefore, there was piecework here, of course, without it being so marked. GroenLinks believes that this kind of underpayment should be taken seriously. The Minister wrote that also in 2016 the cleaning of hotels has the continued attention of the Inspection SZW. How much of that do we see now? How many fines have been issued? In 2015, approximately a quarter of inspections detected an infringement. That's reason enough to be on top of it. What's that like in 2016? Is there sufficient enforcement or is there a need for additional action? Do these kinds of disguised piecework constructions occur more often and, if so, what is the Minister going to do to counter them?
ParlaMint-NL_2016-12-15-tweedekamer-8.u9	Mr. Chairman. I start with compliments for the boys and girls of FNV Young & United who fought the battle. They were supported in the fight against youth pay by a broad coalition of youth organisations. And they've achieved a lot. In my opinion, it has never happened before that a large number of cities in the Netherlands declared themselves free of youth wages. This means that they do not conclude contracts with companies that still pay youth wages. For the first time in 40 years, something has changed and improved around youth wages. That is the great success of these actions. In one of these actions, the Minister acknowledged that the minimum youth wage for a group of young people is a real problem. He literally said: "If you work full-time as an 18- or 19-year-old and you also have to pay the rent, that's almost impossible to do." What the Minister says is true. We heard that from all those kids. The big problem, however, is that this law does not solve this. The young people are protesting at half pay for the whole job. In this law, the final situation is that an 18-year-old stays at half wage. Then the question is whether the Minister still acknowledges that you have a real problem with half a wage if you have to rent a house. Half-wage is a serious problem. If you now got 50% discount on presentation of your ID everywhere, it was all possible, but that is not the case. During the hearing organised by the Chamber, Hennie actually said that he had to undergo an operation, but that he could not afford to pay the youth wage. That's painful. What is the Minister's response to young people when this law comes into force? Youth pay is a poignant form of inequality. Soufian was also mentioned by Mrs Voortman. Anyone could see on the tube that he took off the right half of his clothes. He had to pay half the price for that jacket, but well, for half a wage you only have half a jacket. He did that at Albert Heijn's shareholders' meeting. He was counting on that meeting for him to spend 299 years as a course filler! In order to earn the same income as the annual salary of his senior boss, the courses had to be filled. That's inequality. Anneloes said at the hearing, "Topmen eat steak at night, I eat a peanut butter sandwich at night." Youth pay is a violation of the principle of equal pay for equal work. The Minister is not off the hook to tell how he is going to work in Europe for equal pay for the same work, but he does not arrange this for all working young people in the Netherlands. Why not, is a justified question that I am now asking the Minister. 18 years, you're an adult. You have to take out health insurance, you can drive without your parents, you can buy alcohol and drink, you can have the right to vote, you can sign contracts, you can get married, and you can still go to the casino. There's gonna be few people on youth pay who can go there, but it's okay if you're 18. And you'll be financially responsible at 18 years. The SP has long held the view that adulthood is an adult wage. Not a half wage, but a wage you can really live on. At Albert Heijn and McDonald's alone, they knock about 79 million out of the pockets of working young people every year. Those figures about the theft give FNV Young & United. Companies can hold some of the wages that go with adulthood in their pockets, and in that sense they are actually pickpocketers. In that sense, youth pay is actually theft. This isn't a figment of today. I have a poster that dates back to the end of the 1970s, which says: 'Youth wages are theft'. At the time of that poster I met Mrs Ulenbelt; she is now on the stage. She was with the KWJ, the Catholic Working Youth, I was with the young people of the NVV. The NNV Youngsters said, "Minimum wage at 18 years," and the KWJ said, "Minimum wage 18 years now." You can imagine what battle has been fought between both clubs and between me and Mrs Wijker on the question of what should be on the banner and posters. We have never been able to solve that problem. Her reproach to me when it was all about youth pay again was: "If you had said "Minimum wage now," we wouldn't have to demonstrate together with FNV Young & United." I think Mrs Ulenbelt was right on this point.
ParlaMint-NL_2016-12-15-tweedekamer-8.u10	After so many years.
ParlaMint-NL_2016-12-15-tweedekamer-8.u11	That was the end of the seventies; then we talk about more than 40 years. Anyway, we demonstrated together on 15 October last year with FNV Young & United and the other youth organisations. The official motto was, I didn't think of it, it's a quote: "Fuck youth pay." I'm sure if we had thought of that at the time, we would have figured it out. In any case, Mrs Ulenbelt and I were very much in agreement on the motto of this demonstration.
