Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-04-12-tweedekamer-3	ParlaMint-NL_2016-04-12-tweedekamer-3.u1	Report of the meeting of the Dutch Lower House, Meeting 75, Session 3 (2016-04-12)	2016-04-12	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 75	Sitting 2016-04-12	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JeroenRecourt	Recourt, Jeroen	M	1970	
ParlaMint-NL-en_2016-04-12-tweedekamer-3	ParlaMint-NL_2016-04-12-tweedekamer-3.u2	Report of the meeting of the Dutch Lower House, Meeting 75, Session 3 (2016-04-12)	2016-04-12	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 75	Sitting 2016-04-12	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-04-12-tweedekamer-3	ParlaMint-NL_2016-04-12-tweedekamer-3.u3	Report of the meeting of the Dutch Lower House, Meeting 75, Session 3 (2016-04-12)	2016-04-12	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 75	Sitting 2016-04-12	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JeroenRecourt	Recourt, Jeroen	M	1970	
ParlaMint-NL-en_2016-04-12-tweedekamer-3	ParlaMint-NL_2016-04-12-tweedekamer-3.u4	Report of the meeting of the Dutch Lower House, Meeting 75, Session 3 (2016-04-12)	2016-04-12	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 75	Sitting 2016-04-12	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2016-04-12-tweedekamer-3	ParlaMint-NL_2016-04-12-tweedekamer-3.u5	Report of the meeting of the Dutch Lower House, Meeting 75, Session 3 (2016-04-12)	2016-04-12	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 75	Sitting 2016-04-12	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JeroenRecourt	Recourt, Jeroen	M	1970	
ParlaMint-NL-en_2016-04-12-tweedekamer-3	ParlaMint-NL_2016-04-12-tweedekamer-3.u6	Report of the meeting of the Dutch Lower House, Meeting 75, Session 3 (2016-04-12)	2016-04-12	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 75	Sitting 2016-04-12	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2016-04-12-tweedekamer-3	ParlaMint-NL_2016-04-12-tweedekamer-3.u7	Report of the meeting of the Dutch Lower House, Meeting 75, Session 3 (2016-04-12)	2016-04-12	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 75	Sitting 2016-04-12	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-04-12-tweedekamer-3	ParlaMint-NL_2016-04-12-tweedekamer-3.u8	Report of the meeting of the Dutch Lower House, Meeting 75, Session 3 (2016-04-12)	2016-04-12	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 75	Sitting 2016-04-12	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JeroenRecourt	Recourt, Jeroen	M	1970	
ParlaMint-NL-en_2016-04-12-tweedekamer-3	ParlaMint-NL_2016-04-12-tweedekamer-3.u9	Report of the meeting of the Dutch Lower House, Meeting 75, Session 3 (2016-04-12)	2016-04-12	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 75	Sitting 2016-04-12	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2016-04-12-tweedekamer-3	ParlaMint-NL_2016-04-12-tweedekamer-3.u10	Report of the meeting of the Dutch Lower House, Meeting 75, Session 3 (2016-04-12)	2016-04-12	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 75	Sitting 2016-04-12	-	Reference	English	Regular	notMP	notMinister	CU	ChristenUnie	Opposition	Centre-right	Gert-JanSegers	Segers, Gert-Jan	M	1969	
ParlaMint-NL-en_2016-04-12-tweedekamer-3	ParlaMint-NL_2016-04-12-tweedekamer-3.u11	Report of the meeting of the Dutch Lower House, Meeting 75, Session 3 (2016-04-12)	2016-04-12	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 75	Sitting 2016-04-12	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2016-04-12-tweedekamer-3	ParlaMint-NL_2016-04-12-tweedekamer-3.u12	Report of the meeting of the Dutch Lower House, Meeting 75, Session 3 (2016-04-12)	2016-04-12	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 75	Sitting 2016-04-12	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-04-12-tweedekamer-3	ParlaMint-NL_2016-04-12-tweedekamer-3.u13	Report of the meeting of the Dutch Lower House, Meeting 75, Session 3 (2016-04-12)	2016-04-12	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 75	Sitting 2016-04-12	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RonaldvanRaak	van Raak, Ronald	M	1969	
ParlaMint-NL-en_2016-04-12-tweedekamer-3	ParlaMint-NL_2016-04-12-tweedekamer-3.u14	Report of the meeting of the Dutch Lower House, Meeting 75, Session 3 (2016-04-12)	2016-04-12	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 75	Sitting 2016-04-12	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-04-12-tweedekamer-3	ParlaMint-NL_2016-04-12-tweedekamer-3.u15	Report of the meeting of the Dutch Lower House, Meeting 75, Session 3 (2016-04-12)	2016-04-12	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 75	Sitting 2016-04-12	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RonaldvanRaak	van Raak, Ronald	M	1969	
ParlaMint-NL-en_2016-04-12-tweedekamer-3	ParlaMint-NL_2016-04-12-tweedekamer-3.u16	Report of the meeting of the Dutch Lower House, Meeting 75, Session 3 (2016-04-12)	2016-04-12	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 75	Sitting 2016-04-12	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2016-04-12-tweedekamer-3	ParlaMint-NL_2016-04-12-tweedekamer-3.u17	Report of the meeting of the Dutch Lower House, Meeting 75, Session 3 (2016-04-12)	2016-04-12	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 75	Sitting 2016-04-12	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	OckjeTellegen	Tellegen, Ockje	F	1974	
ParlaMint-NL-en_2016-04-12-tweedekamer-3	ParlaMint-NL_2016-04-12-tweedekamer-3.u18	Report of the meeting of the Dutch Lower House, Meeting 75, Session 3 (2016-04-12)	2016-04-12	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 75	Sitting 2016-04-12	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
