ParlaMint-NL_2016-09-15-tweedekamer-10.u1	I would like to welcome Minister Kamp.
ParlaMint-NL_2016-09-15-tweedekamer-10.u2	Mr. Chairman. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas according to the National Waste Management Plan, the soil is not intended for the injection of waste which does not originate on site from the soil;]] [[Whereas, therefore, the examination of alternatives should be carried out in depth;]] [[calls on the Government to ensure that research into alternatives to waste water treatment is carried out with references and use of verifiable figures and that new techniques for purification, including the techniques of the company Salttech, are included,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Agnes Mulder. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32849-86]]
ParlaMint-NL_2016-09-15-tweedekamer-10.u3	I have another motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas waste water is injected and stored without extraction;]] [[Considering the great unrest in Twente and the simultaneous process of decommissioning and research into the evaluation of waste water treatment;]] [[calls on the Government to suspend the waste water injection in Twente pending a decision on the evaluation of waste water treatment,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Agnes Mulder. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32849-87]]
ParlaMint-NL_2016-09-15-tweedekamer-10.u4	I thought: let me submit the motions first, because then I know how much time I have left to make some general comments. It deeply alarms the CDA that there is so much to do to inject the waste water into Twente. The reports written by TU Delft and Deltares also give cause for this. This is not being addressed at the moment. I have just asked questions with the Minister in general about what happens to the soil layer when you inject that waste water back into the Twente soil. Maybe the Minister can tell us again why he thinks there's no risk of that. Perhaps the Minister could also indicate that waste water treatment is also being carefully considered in the alternatives to the waste water injection. According to the CDA, that is the way forward.
ParlaMint-NL_2016-09-15-tweedekamer-10.u5	Mrs Van Tongeren is on my list as next speaker, but I don't see her yet. I shall first give the floor to Mr Smaling, on behalf of the SP.
ParlaMint-NL_2016-09-15-tweedekamer-10.u6	Mr. Chairman. The Minister has clearly stated how he sees the situation in Twente and how he intends to deal with this further. The story was clear, but I taste a bit that he actually says: people, don't get too busy; it's a busy country, where there are a lot of economic activities and where we live with all kinds of risks. That is true, but if I add up the unrest in Twente, in Overijsel and in Drenthe, I think there is reason for a little more concern. I would like to express it in a motion that I am passing through the drinking water issue. I have just mentioned them in general consultation. Drinking water is a national interest and can never serve as a demarcation for what you do and don't want to do with the subsurface. The motion reads as follows: [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Structural Vision on drinking water underground will designate drinking water as "national interest";]] [[Whereas 60% of our drinking water is based on groundwater abstraction in the eastern part of the Netherlands;]] [[Considers that in the current situation with multiple leakages spread across a significant area in Drenthe, Twente and just across the German border, the precautionary principle should be applied;]] [[calls on the Government to prohibit the injection into the subsurface of water that is the residual product of oil and gas extraction in and under water abstraction areas, groundwater protection areas, groundwater abstraction areas, drilling free zones and strategic groundwater resources,]] [[and goes to the order of the day.]] [[This motion was proposed by Mr Smaling, Mr Van Veldhoven, Mr Dik-Faber and Mr Van Tongeren. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32849-88]]
ParlaMint-NL_2016-09-15-tweedekamer-10.u7	I would like to draw the Minister's attention once again to the advice of the OECD, which thinks that we are a great country in terms of water management and drinking water management, but is very concerned about our longer-term ambition, in which drinking water supplies can be put under great pressure.
ParlaMint-NL_2016-09-15-tweedekamer-10.u8	Thank you. I shall then give the floor to Mr Vos of the PvdA. He's gonna sprint.
ParlaMint-NL_2016-09-15-tweedekamer-10.u9	Mr. Chairman. In politics, you quickly learn that marathon walks produce more than sprints. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[whereas at present there is no legal basis to stop the waste water injection in Twente, but there is a great deal of social unrest about these injections;]] [[expresses the wish that the NAM should await the resumption of the extraction until the completion of the evaluations,]] [[and goes to the order of the day.]] [[This motion has been proposed by Members Jan Vos, Bosman and Van Veldhoven. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32849-89]]
ParlaMint-NL_2016-09-15-tweedekamer-10.u10	I thank the Minister for the discussions and the answers to the questions.
ParlaMint-NL_2016-09-15-tweedekamer-10.u11	Mr. Chairman. We have had a debate with each other on how to do the decision-making on the waste water injection in Twente as carefully as possible. The Minister has outlined a whole process. There's a lot of good stuff in there. I have another suggestion that I put down in a motion. I would also like to say a few words about the motion tabled by Mr Vos. According to the permit it has, the NAM has the right to restart the waste water injection, but our request to the NAM is: respond to the concerns in the region and delay the process for two months after the 14 months it has already stopped until the final report is there. That is why my group will not support the CDA motion, which states that the government must stop the process. At the moment, the NAM has a licence, but we can call on it urgently. I very much hope that the NAM will respond to this, because of all the concern in the region. At the end of the year, we're going to talk about that final report, which will include all the alternatives. We must then be sure that this is a report that we say together: we now have all the data for careful decision-making. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the Government to ensure that the final report includes a full numerical basis of assumptions, methods and results of alternatives;]] [[calls on the Government to ensure that the administrative guidance group can also make substantive recommendations,]] [[and goes to the order of the day.]] [[This motion was proposed by members Van Veldhoven, Smaling, Agnes Mulder and Van Tongeren. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32849-90]]
