ParlaMint-NL_2016-03-10-tweedekamer-4.u1	I would like to welcome the Secretary of State for Health, Welfare and Sport.
ParlaMint-NL_2016-03-10-tweedekamer-4.u2	Mr. Chairman. In the debate, my colleague Siderius spoke with the Secretary of State and other MPs about the state of affairs at Fokuswonen. This is a special form of housing for people with physical disabilities, in which they can maintain optimal independence. There are a lot of problems there as there are so many changes of care all over each other. But that's not what the motions I'm going to file are about. The first motion I wish to table concerns independent complaint handling and handling at Fokus. In his response, the Secretary of State referred people living at Fokus to the inspection as its guardian, but I find that really insufficient. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Chairman of the Management Board advises the Complaints Committee and has to implement decisions of the Complaints Committee and that this may affect the independence of the complaint handling;]] [[considers that an independent complaints committee is essential for residents of Fokus;]] [[calls on the Government to arrange for an independent complaint procedure and handling,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Leijten. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34104-107]]
ParlaMint-NL_2016-03-10-tweedekamer-4.u3	It has not really gone over in the debate, but we are using this moment to table a motion on another subject that has been sticking to Fokus for a long time; the institution's unilateral withdrawal of the home. It may also happen with other healthcare providers where living and care are in one hand. It may be that the Secretary of State may not be able to respond properly to the motion, but then I hear it. Then maybe it can be in a letter and I can hold the motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that Fokus's management has already unilaterally terminated the contract with several residents of Fokuswoningen;]] [[noting that it was sent back by a judge and that the resident could continue to live;]] [[noting that these are care-dependent people who do not just find a new home;]] [[calls on the Government to ensure that Fokus cannot unilaterally cancel the care or home,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Leijten. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34104-108]]
ParlaMint-NL_2016-03-10-tweedekamer-4.u4	I understand. I got that call. I can ask written questions about it, but it may take another eight weeks. That is why I am now using the instrument of the motion. Then I don't have to ask for a debate. If you won't allow the motion, you won't allow her. But I thought this was the shortest way to settle this.
ParlaMint-NL_2016-03-10-tweedekamer-4.u5	I'll allow it, because it's your right to file a motion. I'll take it to the Bureau and the Working Method Committee.
ParlaMint-NL_2016-03-10-tweedekamer-4.u6	I welcome this comment. It was partly about the own home and whether or not it has access to it, but not specifically about this point. It's really hard for me. Mrs. Leijten wasn't with that AO. She is now reading a motion which her colleague has probably partly prepared. We were there, but it was not specifically on this point. I find it very difficult to debate this way. I understand that Mrs Leijten wants to make her point, but I would do it in a more orderly way than this one, either through an AO or through the procedural meeting. Otherwise, we can apply for VAOs here every day and then have a debate on all kinds of subjects. That's just not good, not for the people at home either. They're not gonna understand this.
ParlaMint-NL_2016-03-10-tweedekamer-4.u7	I support Mrs Leijten here in procedural terms. I find it strange, too. Often you are part of the organisation of work, when you request a debate on a topical subject, which the same colleagues say: add it to the VAO this afternoon. Then there must be one line in it.
ParlaMint-NL_2016-03-10-tweedekamer-4.u8	Yes. You have a point.
ParlaMint-NL_2016-03-10-tweedekamer-4.u9	I said on purpose at the time of introduction that we have not dealt with this. It was taken into account in our preparation, but, as you know, you sometimes have limited speaking time in a general discussion. This is not a new problem. It's happened before. I'm using this now, too. I don't think people understand the procedures when you say you're picking it up, when they know you're having a debate where you can't talk about it and when you're going to ask Parliamentary questions. When we do that, there is often criticism of it. I understand your point very well. I'm announcing it's out of procedure. It's okay. It's okay. I hope that the Secretary of State can respond and that it can be voted on next Tuesday or later.
ParlaMint-NL_2016-03-10-tweedekamer-4.u10	Mr. Chairman. Mrs Keijzer has had the debate, but she has been prevented today. I will make the following two motions on behalf of the CDA. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Government intends to conduct an investigation into the care and support provided to Fokus clients outside the home;]] [[Whereas the different funding flows, the link between living and care, and the target group which needs more care than can be provided through adl assistance, create a number of practical problems;]] [[invites the government to include in the research carried out by the Healthcare Institute:]] [[possible combinations of care between adl assistance and personal assistance budget within Fokus housing;]] [[the change/upgrading of the target population within Fokus housing;]] [[the extension of the target group within Fokus housing;]] [[the possibilities of moving from a Fokuswoon project to an independent home,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas it may be vital for people living in a Fokus house to receive personal assistance within a few minutes;]] [[whereas Fokus cannot always provide that care;]] [[Whereas the personal assistance budget cannot now be combined with an adl grant scheme such as Fokus;]] [[points out that as long as the research carried out by the Healthcare Institute on the care and support of Fokus clients, it is possible that the personal assistance budget will be combined with the Fokus residence,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Bruins Slot and Mr Keijzer. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34104-109]] [[This motion has been proposed by Mr Bruins Slot and Mr Keijzer. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34104-110]]
ParlaMint-NL_2016-03-10-tweedekamer-4.u11	Mr. Chairman. In the motion in part No. 107 asks Mr Leijten for an independent complaint procedure and handling. That's what we talked about in the AO. In my letter of 19 February, I indicated that it can of course occur that a client in a procedure encounters someone in another role: sometimes advisory, sometimes executive. I have just asked the IGZ separately whether the current Fokus complaint procedure complies with the legal standards. That's the case. Therefore, I see no reason to make an exception, so that I advise against the motion. In the motion in part No. 108 Mr Leijten asked the government to ensure that Fokus could not unilaterally cancel care or housing. Fokus is not the landlord of the homes, which is often the housing corporation. That's the party that rents out. If it occurs, Fokus should seek an appropriate alternative in consultation with corporations, municipalities and stakeholders. Until then, no one gets kicked out of the apartment. If something like this occurs, consultations will take place between the residents concerned, the corporation and Fokus to find an alternative. That's why I'm dissuading the motion. In the motion in part No. Mr Keijzer and Mr Bruins Slot asked a lot of questions. I want to dissuade her. At the time, we discussed separately the provisions and measures for Fokus, which should be maintained as a separate form of care rather than by other means, as originally intended. All these considerations have played a role in this. The investigation has already taken place. We are now conducting a specific investigation into all the points requested. I therefore see no reason to evaluate this whole scheme at the moment. I'm dissuading the motion. In the motion in part No. 110 members of Keijzer and Bruins Slot argue that, as long as the research is ongoing by the Healthcare Institute into the care and support of Fokus clients, it is possible that the Personal Assistance Budget is combined with the Fokus residence. By law, that combination is not possible. If there's an indication, there's room for complete care. The Personal Assistance Budget makes that possible. Here too, if that happens, no one will be expelled from the house. It will then be considered whether an appropriate solution is possible. I would therefore advise against the motion.
ParlaMint-NL_2016-03-10-tweedekamer-4.u12	The motions tabled will be put to the vote next Tuesday.
