ParlaMint-NL_2016-04-26-tweedekamer-30.u1	At the request of a number of Members, I propose that the following motions be renewed: 32849-59; 32849-60; 34300-XIII-37; 34300-XIII-38; 31936-311; 31936-312; 34199-63; 28345-147; 28345-148; 28345-149; 29984-649; 31409-99; 23432-401; 28973-150; 27858-314. I propose to add to the agenda: VAO Shipping, with Mr Jacobi as the first speaker on behalf of the PvdA; the VAO Integration, with Mr Sjoerdsma speaking on behalf of D66 as the first speaker; VSO Drones (31936, nr. 326), with Mr Elias of the VVD as the first speaker; VAO Staff Defence, with the first speaker, Mr Belhaj, on behalf of D66.
ParlaMint-NL_2016-04-26-tweedekamer-30.u2	I call Mr Van Nispen on behalf of the SP Group.
ParlaMint-NL_2016-04-26-tweedekamer-30.u3	Mr. Chairman. The discontent among employees at the Netherlands Forensic Institute is very great. This is evident from a report in the Volkskrant last Saturday. There is a culture of fear and the visionless reorganisation means waiting for the first suspects to go free because it is a mess at the NFI, according to the staff. I do not understand why we can deal with a high-quality institute such as the NFI, which is responsible for trace research in criminal matters and makes an important contribution to the detection of criminals. That is why I want to have a debate on this with the Minister for Security and Justice.
ParlaMint-NL_2016-04-26-tweedekamer-30.u4	I support the request for a debate, precisely with the argument that has just been expressed. If this subject can be dealt with in an AO earlier, I am fine with it.
ParlaMint-NL_2016-04-26-tweedekamer-30.u5	The PVV supports the request.
ParlaMint-NL_2016-04-26-tweedekamer-30.u6	Support of 50PLUS.
ParlaMint-NL_2016-04-26-tweedekamer-30.u7	Support from D66.
ParlaMint-NL_2016-04-26-tweedekamer-30.u8	I would first like to receive a letter from the cabinet describing the statement. We will then be able to see by what means and at what time we can discuss this matter at the earliest opportunity.
ParlaMint-NL_2016-04-26-tweedekamer-30.u9	No support for a debate at the moment. First a letter and then we can find the fastest time to discuss this matter.
ParlaMint-NL_2016-04-26-tweedekamer-30.u10	I'd like a letter and a debate. So support.
ParlaMint-NL_2016-04-26-tweedekamer-30.u11	Support for a debate and a letter.
ParlaMint-NL_2016-04-26-tweedekamer-30.u12	Mr van Nispen, you have no majority in favour of holding a debate.
ParlaMint-NL_2016-04-26-tweedekamer-30.u13	I doubt whether I will now request a 30-member debate. I think I am going for a letter and for discussion on this subject at the next opportunity in committee. However, I would ask whether that letter could at least be there before the end of the Mayreces.
ParlaMint-NL_2016-04-26-tweedekamer-30.u14	I propose that the stenogram of this part of the meeting be transferred to the cabinet. I call Mrs Kooiman.
ParlaMint-NL_2016-04-26-tweedekamer-30.u15	Mr. Chairman. I am replacing my colleague Mrs Kooiman. I would like to request a debate with the Secretary of State for Security and Justice about the message in De Telegraaf last Saturday that the murder in Zoetermeer prison could have been prevented in September 2015. With warnings about this dangerous inmate nothing was done and there was understaffing in the department. So the problem is wider than just this horrible murder. Staff are concerned about the safety of staff and prisoners. So there is every reason for a debate with the Secretary of State.
ParlaMint-NL_2016-04-26-tweedekamer-30.u16	We would like to support that request. Only last week we agreed that we would have a debate on the prison system. We would like to have that debate as a matter of urgency. Perhaps we should include this part so that we can have a broader debate on the prison system, because there is too much going on. There was a majority in favour of holding the debate on the prison system. So I would very much like to have a quick debate on all these terrible incidents in the prison system.
ParlaMint-NL_2016-04-26-tweedekamer-30.u17	So you do not support a separate debate, but you want to involve this issue in the debate that is already on the list.
ParlaMint-NL_2016-04-26-tweedekamer-30.u18	The PVV also supports this request.
ParlaMint-NL_2016-04-26-tweedekamer-30.u19	I agree with Mrs Van Toorenburg's proposal. However, I note that the case is still under trial. We will have to take that into account if we want to discuss certain issues.
ParlaMint-NL_2016-04-26-tweedekamer-30.u20	Partly for the latter reason, I welcome a letter from the cabinet containing the items that can be communicated to us. We can then involve this information in the debate we will have.
ParlaMint-NL_2016-04-26-tweedekamer-30.u21	Support for Mrs Van Toorenburg's proposal.
ParlaMint-NL_2016-04-26-tweedekamer-30.u22	I too agree with Mrs Van Toorenburg's proposal.
ParlaMint-NL_2016-04-26-tweedekamer-30.u23	Me too. GroenLinks, too.
ParlaMint-NL_2016-04-26-tweedekamer-30.u24	So we would like to receive the letter and I think that my colleague, Mr Kooiman, can also agree with the combination with the debate already agreed, provided that this is not planned in the long term. At least we'll wait for the letter and then we'll come back to it.
ParlaMint-NL_2016-04-26-tweedekamer-30.u25	Thank you. I will pass on the stenogram of this part of the meeting to the cabinet. I give the floor to Mr Smaling.
ParlaMint-NL_2016-04-26-tweedekamer-30.u26	Mr. Chairman. Shell sent a pamphlet to political parties with advice for the 2017 election programmes. The company is not the only one in that and of course it is allowed to do so. That's not the point. However, the chapter on natural gas reveals a passage in which Shell says that further production restrictions in Groningen only lead to a marginal improvement in the security situation, but are very expensive. That paragraph is decided by the phrase that it also removes the economic basis under the so-called Alders plan. With me, many of them have gone steep this weekend. Shell came up with the story that it was misunderstood, but that's not what we're going to talk about here. In any case, I think it is a good enough reason for a debate. I understand there's already a debate on Groningen. We have an additional request here almost every week, so an addition to an existing debate is fine with me. But I thought, "I won't leave it unspoken."
ParlaMint-NL_2016-04-26-tweedekamer-30.u27	This has caused a lot of unrest in Groningen. It is a pity that this has to be done again in this way. I think it would be a good idea to discuss this with each other and do so in a debate. It seems to me the quickest thing to add to the Groningen debate, which hopefully will take place shortly after the May recess. That would be my proposal. I also propose that the government give an official response to this. I would like to receive a letter from the government to remove any ambiguity on this point altogether. The houses that need to be strengthened for the safety of our Groningers simply need to be strengthened. A multinational cannot do this unilaterally.
ParlaMint-NL_2016-04-26-tweedekamer-30.u28	It's clear.
ParlaMint-NL_2016-04-26-tweedekamer-30.u29	It would also adorn the multinational if he sent a letter.
ParlaMint-NL_2016-04-26-tweedekamer-30.u30	Mrs Mulder, it is a question of whether you support the request or not. You may give a further opinion when the debate is at hand. You also refer to a debate on the list. Is that the debate on the decline in the value of housing in Groningen, which you have requested?
ParlaMint-NL_2016-04-26-tweedekamer-30.u31	That's right. A number of topics have also been added. You, as President, might also consider a few minutes' speaking time. We would, of course, appreciate that very much.
ParlaMint-NL_2016-04-26-tweedekamer-30.u32	Thank you, Mrs Agnes Mulder. I give the floor to Mrs Van Tongeren.
ParlaMint-NL_2016-04-26-tweedekamer-30.u33	GroenLinks also fell off his chair when reading that letter. Next Thursday, at the procedural meeting, I would like to propose that we invite Shell to the House of Representatives for a hearing. Then Shell can explain his side of the matter and we can ask questions. In addition, I am in favour of adding this to the debate if it does not unduly delay the debate. Otherwise, I would prefer to have a separate debate on Shell's influence and lobbying practices alone.
ParlaMint-NL_2016-04-26-tweedekamer-30.u34	I would like a letter from the government in which it makes it very clear that all the agreements made with Groningen are being complied with, whether it is about strengthening houses or the economic programme. Furthermore, I do think it would be good to ask Shell directly questions. However, I propose that this be included in the hearing that we are going to hold in preparation for the debate on the gas extraction decision. This is because other parties are important and I would like to hear about it. But a deal is a deal, and I'd like to be the first to hear it from the cabinet. We can then add that letter to the debate that is already planned.
ParlaMint-NL_2016-04-26-tweedekamer-30.u35	Also I rolled off my chair when I read the news. It's really crazy. I wholeheartedly support the request for debate. I also think it is most practical to add it to the debate that has already been planned. I also support the request for a letter from the government. I do not think there should be any ambiguity for the Groningen people.
ParlaMint-NL_2016-04-26-tweedekamer-30.u36	I'm still sitting fantastic in my chair here in the House of Representatives. However, I do think that we should carry out our monitoring task properly. That is why I am in favour of a letter from the cabinet on this subject, which has rightly been on the agenda. I think it would be wise to follow Mrs Mulder's suggestion on the way in which the subject is planned in the current debate series, and to follow Mrs Van Veldhoven's suggestion of D66 on the way it is inserted in the hearing on Groningen.
ParlaMint-NL_2016-04-26-tweedekamer-30.u37	The VVD wants to add it to a debate that is already planned.
ParlaMint-NL_2016-04-26-tweedekamer-30.u38	It's all fine what I've heard. It has become a bit of a ritual to request a debate on Groningen every week. Hopefully we'll skip sometime next week.
ParlaMint-NL_2016-04-26-tweedekamer-30.u39	Then it's recess; that takes two weeks. I propose that the stenogram of this part of the meeting be transferred to the cabinet. I call Mr Voordewind.
