ParlaMint-NL_2016-06-15-tweedekamer-10.u1	I welcome the Minister of Security and Justice. I call Mr Pechtold on behalf of D66.
ParlaMint-NL_2016-06-15-tweedekamer-10.u2	Mr. Chairman. "Cutting into police," headlined the wake-up newspaper of the Netherlands today. There are still 50 million savings to be made this year on detection, prosecution, prisons and the fight against terrorism. With that the last bit of air ran out of the VVD election balloon of 300 million for safety. For a moment, it seemed like the VVD was going to close the holes that she hit herself in our safety for six years. If there's extra money, that would be fantastic. I would welcome that. But unfortunately: of a firm commitment, a financially sound plan remained nothing but a vague VVD-election promise for 2017, while the need is in 2016. Crime pays more and more because the police, the Public Prosecutor's Office and the judiciary can't keep up. The money is up, by cutting down on austerity, by misplaced priorities, such as the animal police and the weed pass, by a VVD minister who wanted too much from the police with too little money and certainly too little time, and by cutting down on counter-terrorism, which means that we are now running behind the facts. Meanwhile, the alarming reports pile up: Hoekstra, Oosting, PwC on police shortages, Huisman on lack of detectives, the Galan Group on savings risks at the Public Prosecutor's Office and Cohen on lack of money for the quality of justice. Where the VVD wanted to play nicely again with so-called extras, which might come in 2017 that is allowed, of course, the opposition does the real work here, such as arranging money for the intelligence services or in anticipation of the budget of V and J. If it was really the VVD to do security, we wouldn't be here tonight. Then money had now been found for 2016. Then holes were closed now. But the VVD chooses security money in an election year. She's choosing party interests over national interests again. The alarm clock is not only ringing next year; it was ringing yesterday and it is ringing today. Listen to the foremen from the safety chain, too. I quote Chief Akerboom: I can no longer carry out the current police duties. Attorney General Bolhaar: the water is on the lips. Crime is not sufficiently addressed and can grow. A quote from the mayors: I invest in the police, but it squeaks and cracks. President-in-Office of the Court of Justice of the European Communities Bakker: predatory work is carried out on judges. And then the General Court, our great auditor: V and J is financially out of control. But the cabinet is sticking its fingers in the ears. The Minister of Finance even spoke with dedain about the 'call for democracy'. Over and over again, the opposition suggested repairing the holes. I put out my hand, said the Minister of Finance in the Financial Reviews. He thus raised expectations with us as a Chamber, but the cabinet never came by for Security and Justice. Even the coalition senators abandoned the cabinet. They also want additional resources for this budget. Both chambers made a hard appointment with this minister just before Christmas: support for his 2016 budget, but additional money in the spring note to solve the security problems. That was the deal. Three motions have been passed here and one in the First Chamber. Not for 2017, no, for 2016. That's why we're here tonight. In November last year, the Minister literally said: "I understood Mr Pechtold very well when he said that he expected me to be combative. I will." However, he was sent away in the Trêveszaal with empty hands: zero euro for the safety chain. What do you mean maximum combatable? Six years of VVD on V and J and still no urgency. On the contrary: the opposition must, according to VVD'er Halbe Zijlstra, act a bit normal. Can I quote another liberal? "Take it easy on yourself." After six years of VVD mess, people don't fall for yet another election promise. People want action now, because the problems are there now, in 2016, and the list is long. I ask the Minister to respond to every point. The police have a deficit of EUR 54 million for police personnel and equipment. The police closed 2015 with 72 million in red. The police have a 7% absenteeism, double the national average. The police are sending ICT guys home. Neighborhood agents are overloaded. The detectives are performing so far below the standards that one-tenth of the submitted cases are dismissed for lack of evidence. The clearing rate remained at 26. Meanwhile, the number of reports of confused persons is increasing. In a year, it rose from 40,000 to 65,000. And DNA removal in convicts is still not settled despite the Bart case of yours. The Public Prosecutor's Office has a deficit of 17 million. The parquet in Rotterdam alone has 1,000 cases that are on the shelf for more than a year. Due to errors in the file, the number of acquittals has doubled. There is insufficient time and capacity to combat undermining crime. What about justice? It stands for 15 million in the red numbers. We're gonna have to close seven more courts. Budget cuts at the NFI keep homicide and rape cases on the shelf. And due to the lack of detectives, 1,000 unsolved homicide cases and another 500 very serious unsolved crimes, such as rapes and robberies, remain unsolved. I'm gonna finish up. These are problems that are going on right now. The opposition does not stand by and watch the security chain fall under empty electoral promises, and the opposition does not allow the minister to vote two chambers for his budget, but then does not comply with his part of the agreement. Specifically, we want EUR 200 million in the 2016 Spring Note for police, OM, justice and NFI. I am reaching out to the Minister once again, but it is slowly becoming a lame hand.
ParlaMint-NL_2016-06-15-tweedekamer-10.u3	I do not agree with so much of what Mr Pechtold said about the importance of the safety chain and its investment. What if the cabinet doesn't accept your hand-off, Mr. Pechtold? In November last year, three motions on the Public Prosecutor's Office, the police and the courts were adopted. We have also supported it. One of them was yours. You said at the time that if that does not work, we might be voting against the budget for security and justice. In the end, your group did not do that, not even in the First Chamber, and that is a respectable choice. What if the cabinet were to say again: Mr Pechtold, we do not?
ParlaMint-NL_2016-06-15-tweedekamer-10.u4	I think that is a fair question. Let me be honest with you: I have not yet figured that out. I am the first speaker in the first term of the debate. I'm very disappointed. Indeed, in November I got lyrics here which made me think it would be arranged in spring. In the end, it concerns me and you, too, whether it is the opposition or the coalition, about the laundry list that I have just mentioned. That's all I care about. It's about the police officers and the officers who are frustrated to do their job. At the end of this debate, I expect the cabinet to make it clear that it is going to settle this for 2016. Then the cabinet has the entire opposition behind it and it also gets the support of the coalition. Together, we can find that money with ease.
ParlaMint-NL_2016-06-15-tweedekamer-10.u5	I hope that will help Mr Pechtold. But I saw yesterday that the minister in the media said: well, then the opposition votes against. He did not seem impressed either by this debate or by the noises that you, Mr Pechtold, and others in the media reacted to. Mr Pechtold said in November that his group would vote against if she did not get it. D66 then voted very gulliblely for the budget. Now it appears from the Spring Paper that the Minister simply did not deliver. If Mr Pechtold again says to the Minister that he really should do it, but the Minister does not do it and is not bound by it, it is very easy for this Minister to do it in future. Then why would he even come to a debate? After all, there is no sanction on it.
ParlaMint-NL_2016-06-15-tweedekamer-10.u6	I understand Mr Wilders very well. I do not want to be faint and say that he often goes straight from the first gear to the fifth of the motion of censure. He also knows that that often doesn't help. That's the same call in the darkness. I'm looking at the chairman now, too. Three motions have been passed. A motion has also been passed in the Senate. Those were clear, brief motions. If I have to, I'm filing another one of these tonight and I expect the whole Chamber to see to it that passed motions are supported. I'll tell the coalition I don't want it to come to this. We can make it quick tonight. We cannot allow the Minister to respond to all the points I have mentioned, because that is going to be a painful list. But I do expect that is also my answer to Mr Wilders' question that the Minister will keep the promise he has just made and that the motions will be carried out. That does not really require a debate.
ParlaMint-NL_2016-06-15-tweedekamer-10.u7	Madam President. This cabinet presented a budget full of holes at Prinsjesdag. The Minister of Security and Justice is threatening to become a Hansje Brinker, only there are more gaps in the budget than the Minister has fingers. The Spring note only comes with 49 million extra for the police. That money is all for the refugee shelter and not for all the other tasks of the police. There's nothing for justice, where there's big holes, and nothing for the D.A.'s office. The minister's making holes. Meanwhile, he, the cabinet and the coalition parties, suggest that they're not going to fill it until next year. In the media, the coalition is taking the flight forward with an extra 300 million for next year. However, the Chamber does not know anything yet. So my first question is whether those messages are correct. In the meantime, however, this year's problems are not being solved. This debate is taking place for a long time. It started at Prince's Day. The 2016 budget of Security and Justice was a string-tone budget. There was a warning from the opposition. She thought it was irresponsible. Opposition wide, in the width of the Chamber, concerns have been expressed about the revenue received from legislative proposals that would not receive support in the First Chamber, and about the shortages in the police, the Public Prosecutor's Office, the Court and the NFI. The debate with the Minister on the budget was held in November. The Minister said reassuring words, but motions had to be adopted from the opposition: solve the problems in the spring note. And the minister said in the Chamber that in the event of bottlenecks, he would be combative in the spring note. The opposition only agreed to the budget after the motions were accepted. Over it came that in spring the top men of the criminal justice chain, of the security chain, were the alarm clock. Top policemen, justice and justice were the alarm clock. Bolhaar of the Public Prosecutor's Office: 40 million in the long run. Courts, Mr Bakker: 50 million in the long run. Mr Akerboom of the police: in the long run we need 300 million more if we are to maintain the police force. The promise made to the opposition was reaffirmed by the Prime Minister in the Brussels debate in March. He said, of course, I understand the signal very well. That was after the motion tabled with Mr Buma as the first signatory. This motion addressed precisely these problems. And what did the Prime Minister say? Of course, I understand the signal very well and that signal also reflects the conclusions of the Minister of Security and Justice on the 2016 budget. He considered the debate and the motion as further incentives. But the promise made in November and March was not fulfilled. This morning the news from De Telegraaf got over it, stating that there is a new setback of 53 million. I would also like to hear the Minister's reaction. What do we need now? The police need over 130 million, the Public Prosecutor's Office 20 million, justice 30 million. And now we have the new setbacks. This debate is not about the opposition's long toes. This debate is about the security of citizens. What happens if we don't do something? Then it is very doubtful whether all the courts can remain open, although that was a hard demand of the Chamber. Meanwhile, we see that the number of declarations decreases, that 20% of the declarations disappear directly into the trash bin. There are gaps: in dealing with serious crime and in dealing with child pornography and trafficking in human beings, things that are not always discovered by means of declarations but also by their own investigations. Business stays down. This year there have been 20% fewer trafficking cases, not because there is less human trafficking, but because there is less money to do something about it. There's holes falling. Fired, threatened dismissals from police, prosecutor's office and justice: it's all not imaginary, because the money has to come from somewhere. If nothing happens, people will be sent away. The much-needed recruitment of new agents due to the ageing of the police force is in danger of falling apart. The unbudgeted costs incurred by the police around MH17 and the EU Presidency will not be reimbursed. Additional costs incurred to combat trafficking in human beings will not be reimbursed. Extra money for policemen's pensions will not be reimbursed. Money to invest in quicker picking up and bringing offenders to justice will not be reimbursed. In the meantime, the General Court says that there has been structural under-financing of justice since 2010, which means that judges have less time to prepare matters properly. I'm very, very worried. It's a very threatening picture. The rule of law is at stake here. The fact that people are being justiced, that citizens are being protected and that evil is being punished is at stake here. What is at stake here is a core task of the government: to do justice and to provide security for citizens.
ParlaMint-NL_2016-06-15-tweedekamer-10.u8	Madam President. In a world threatened by terrorism, security should be the top priority. But the safety chain can barely keep its head above water. Whether it's the police, the Public Prosecutor's Office, the judiciary or the NFI, the water's on the lips everywhere. The difference between the Minister's soothing language on the one hand and the alarming reports from the workplace on the other is huge. I'll hear it myself when I'm on a job visit. We read it all this morning in De Telegraaf. It squeaks and it cracks. The resolution rate is low and falls before it rises. There are threats of dismissal, for example in the forensic search. Police and justice are still at risk of shrinking. Courts are still threatening to close their gates. Either the minister doesn't listen to the workplace, or he doesn't want to hear it, but he can't deny it anymore. I also say it to the Minister: for the CDA, but I think for the opposition as a whole, we wouldn't be standing here if we didn't constantly hear things other than what this minister says, namely that it is a very big problem, that there are deficits in this year. Every time we go to work or talk to people, we hear different stories than the Minister brings forward here. It can't go on like this. I just saw the Minister shake his head when I said what the problems were, like there's nothing going on. There's only one reality. Have all the people who have spoken to us in recent times, with the opposition, but I also think with the coalition, have said nonsense? I don't believe that. Does the minister make it prettier than it is? I'm terribly afraid that's the problem. Where the Ministry of V and J should be the guardian of the rule of law, it has become the rise of the departments. It drags from incident to incident. In the autumn of 2015, it was enough for the Chamber, at least for the opposition. In this respect, for the first time, there was a reduction of EUR 250 million in the budget. But the Minister also stated that he realized that it was not enough and that there would be more relief from the Spring Note. That was the confidence in which the Chamber held a debate with this minister in the last six months. He said he'd take care of it if he had to. And to this day, the Minister says that there is no problem, that there will be no dismissals, that no courts will close. But the story on the work floor is different. There will be no extra money, because all the money that is now coming has already been committed to the budget. It's like the opposition's falling for that! The answer is no. Of the promises made in the last six months, nothing is left. We see the adaptation of December now on paper. In itself, the good news is that it now seems that the coalition of PvdA and VVD is helping the minister to raise extra money for next year, 2017. We hear from the media that it amounts to 300 million. There's a problem here. Let us first assume that something like this is going to happen. We've seen it before at the AIVD. And that's what the Chamber wants to prevent now. First the good people ran away because there was no money, then the Chamber ordered the minister to arrange money and now the service has to look for people again. This must not be allowed to happen with the services he is responsible for. There are problems with the D.A., the judiciary and the police now. There the people had already been fired, there they were already to other jobs, there the AIVD was already draining. I keep saying that we hear from the workplace that this is happening here. There are two possibilities: either everyone who goes to work constantly hears wrong information, or the Minister sketches it a little more beautifully. What's the Justice Department doing in the meantime? A lot of work. This year alone, the Justice Department has raised EUR 350 million in large settlements. Who's the laughing third? Not the Minister of Security and Justice, but the Minister of Finance. 100 million can go to the Department of Justice, 250 million just goes into the big pot. And that's what those people from the Justice Department are working for this year. What seems to be the case now? The Minister will partly close the financial gaps by raising traffic fines again or passing out more. I'd like a response to that. I can't believe it, but I'd like to hear it from the Minister. After all that has happened, after all the incidents that we have had, this Minister must show all the promises that have not been fulfilled, that he can deliver this post, that he stands before his people, that he acknowledges their comments that they can't handle it, and that he doesn't keep saying in the Chamber that nothing is going on. This minister, together with the Prime Minister if necessary, must assume his responsibility, not because the opposition demands it, but because the Netherlands needs it and because the people for whom this minister is responsible need it. Promises for the future are beautiful, but it's about now, the year 2016. We do not want to move forward, we do not want any more promises, we want results, and we want results for the summer. Justice, police and security services must be able to do the work they have to do for the whole of the Netherlands, namely to ensure security.
ParlaMint-NL_2016-06-15-tweedekamer-10.u9	Mr. Chairman. Security is a top priority. Security is a core task of the government. It is precisely at this time with so many security challenges that I am only mentioning the threat of terrorism that it is clear that this security chain is expected to increase. That is why it is so painful that there are so many gaps in the safety chain over and over again. Madam President, as you know, as a SGP Group, we have no tradition of taking the highest opposition tone in debates with the government, but I must confess that in the past I have been struck by the many distress signals from the security chain. The police say: we really do not have enough money for district agents, in rural areas we often cannot carry out our security tasks. The state's attorney's office is under enormous pressure as a result of all the cuts. Too many cases remain. More is rightly expected of them, but in practice this cannot be achieved, because so many employees are already walking on their toes. The case-law rightly refers to the reports, for example those of the General Court, which indicate that there is structural underfunding. In short, every day there are a lot of people who do very good work, also for the safety of the Netherlands, the police, the Public Prosecutor's Office and the judiciary, but at the same time many people suffer from so many cuts and reorganisations. That also discourages them from doing their job properly. But there was hope in the discussion of the last budget of Security and Justice. We had a good debate and the government's answer was clear: "Wait a minute. Just be patient. Not everything can be equal. But with the spring note, it's gonna be fine, then it's gonna be settled. Then comes the sweet after the acid." But that promise for the future threatens to become a sweetener, because even if you study the spring note with a magnifying glass, there are hardly any additional investments in the safety chain. I am talking about extra money, new money, not the things that have already been mentioned in previous letters. Once again there is hope, because what does the cabinet say? "In the coming budget for the following years, then we will really settle it. It's not quite certain yet, but you can be sure it's going to be okay." I believe and hope that is indeed the reality. But if that necessity is clearly felt widely, if that space is apparently seen for next year and if I read in the financial documents that certain payments that should actually take place next year should take place now, then surely if there is any room, that top priority security, that core task of the government, should be fulfilled now. Then you don't have to wait till Princess Day, do you? Then we can do business without a golden carriage and without the tamdam of autumn and close those holes? First we cut back and then we close holes, that yo-yo policy, that loss of capital and that frustration have we seen enough already? Just look at how it went with the General Intelligence and Security Service. That is why the call from the SGP is: do not let us wait until tomorrow, until this autumn, but keep the commitments and make an extra security budget now. Now that extra money is needed. Now that extra money is possible.
ParlaMint-NL_2016-06-15-tweedekamer-10.u10	Mr. Chairman. Billions for development aid, the EU and asylum seekers. This cabinet has no hesitation in doing so, but for our security, the core task of the government, the budget is totally inadequate. That is irresponsible and dangerous. The cabinet keeps cutting back on the police and the DA this year. Rutte II puts the knife in the fight against crime, so the Chamber had to hear this morning through De Telegraaf. We're being fucked. The extra money for police and justice for 2017 is also a cloth for bleeding, a meaningless tip. In these times of terror, we do not need millions but billions, and not occasional but structural. The cabinet also gives the police and the prosecutor a big kick. Minister Dijsselbloem said he was all done with their whining and begging for extra money. It was an embarrassing display, a minister unworthy. Because the facts don't lie. With the police, the chronic shortage of resources breaks the organization hard. The public prosecutor also urgently needs extra money this year in order to continue to operate. This is how the security chain works against terrorists and serious criminals. Only in the fantasy world of the VVD has the Netherlands become safer. In reality, thousands of criminals are free, prisons are empty, Moroccan street thugs are free and half of all police stations are closed. My group understands that parties like the CDA, D66 and the SP feel deceived. They supported the Justice budget and were then fooled. But maybe it was a little naive, too. What did they expect from this unreliable cabinet? For years, Rutte II has broken all promises smiling. In these times, no one can be naive anymore. Last weekend, 50 people were killed in a terrorist attack in Orlando. Of course, it could have taken place in Amsterdam or in The Hague. Billions of investments in security are therefore of the utmost importance. We say to the cabinet: stop playing political games and invest 6 billion more in our security as soon as possible. A prosperous country like the Netherlands should no longer neglect its core tasks.
ParlaMint-NL_2016-06-15-tweedekamer-10.u11	Mr. Chairman. People are worried about their safety. Those are, as I see it, other concerns than they were a few years ago. A number of years ago, the concerns focused mainly on the safety of one's own home. How do I prevent a break-in? Why isn't that creepy tunnel lit up? Can I have my daughter ride through that? As a shopkeeper, how do I prevent my store from being robbed? There have been major steps taken by the Rutte I and Rutte II Cabinets; I will come back to that in a moment. But another, more elusive care has replaced it. Events around us, in countries around us, and the arrival of large numbers of newcomers in our own country have created a different sense of insecurity. People are scared. People are just afraid that a terrorist attack can take place in our country. No one knows where, no one knows by whom, but the odds are there. For the first time people are wondering: is it really safe to travel to Amsterdam with King's Day? That really freaks me out. For the first time, I sense around me that people feel a kind of displeasure when at the Central Station, just here in The Hague, a backpack is left unattended. So I think it's perfectly normal for people to look at the government, look at us to guard them. "As best as possible," I say, because there is no such thing as 100% safety. We cannot prevent attacks as such, but we can ensure that our services, our police and our military police are as well equipped as possible to deal with the dangers. We have that duty. And yes, there are sufficient resources. And yes, the VVD is committed to that. The Chamber can therefore certainly imagine that I was pleased when I read in the newspapers last Monday the news that colleagues were talking about before me, because it confirmed the picture that seems to be invested in security in 2017. The VVD continues to fight for that investment in safety. I told you, in terms of security around our homes and shops, steps have already been taken. The Netherlands will be safer if you see the crime statistics and victim surveys. But we're not here; we need to keep investing. People who guard our security, who take a step forward when others take a step back, must be able to do their job. This applies to police officers, prosecutors, the military police and the secret services. We can't settle everything at once, but we have to take steps, more and more steps. We do; we try to do so all the time.
