ParlaMint-NL_2016-09-28-tweedekamer-7.u1	We need the applicant's second term. I am happy to give the floor to Mr Bosman.
ParlaMint-NL_2016-09-28-tweedekamer-7.u2	Mr. Chairman. Thank you for the second-term contribution by my fellow Members. I look back at a beautiful, very substantive debate on a subject that is not always easy. We have talked about this for the last 20 to 25 years, each time we have mentioned the concerns, concerns on the islands and in the Netherlands. Yet every time we see this struggle about how we get out. Every time we take steps. Mrs Van Toorenburg says that we promise something every time, without getting any further. I think we may have already taken a step in this debate. I can count too, but I sincerely hope that my bill will still find a place in the future. I believe in this important legislative proposal and in its objective. The bill can make the Kingdom better and more beautiful, including the cooperation between the different parts of the country. Of course, we all have our own thoughts about that. But this bill also gives a glimpse into the future of the Kingdom, if we do nothing. Then the problems will only get bigger. Something must be done. Mr Sjoerdsma indicated that the bill would go against the treaties legally. In the first term, I said that the Statute is not a cafeteria model. The Statute applies to all countries within the Kingdom and is the same for all countries. Legally, all countries have to abide by the same conventions. The fact that in the end, if you want to name the target, you have another objective that needs to be seriously substantiated, and that you need to demonstrate proportionality is another matter. But it cannot be that we in the Kingdom are calling very loudly that it is legally incorrect and unsubstantiated, because then you will automatically say something about the regulation on the three islands. Is the bill proportionate? When is something proportional, the next question is. Is the arrangement necessary? Is there anything else possible? I believe that a regulation is necessary to limit crime. It's not gonna happen on its own. It is often a starting problem on Aruba, Curaçao and Sint-Maarten. If we don't make a deal for that, we won't be able to control it. How big is the problem? I think it is a serious problem, which has been recognised by all colleagues. The question is what impact this problem has on society. It's about small numbers, with a big impact. Were there any other solutions? Then I'll look at the last 25 years and the amount of energy we've put in it to deal with problems. All kinds of projects have been organised, in the Netherlands and on the islands. I also mention administrative consultation and national arrangements, but also the amount of money. And I can't. As far as I am concerned, this is a reason to say that the scheme is proportional.
ParlaMint-NL_2016-09-28-tweedekamer-7.u3	That is also a reason for Mrs Gesthuizen to put in place an interruption.
ParlaMint-NL_2016-09-28-tweedekamer-7.u4	Perhaps it is a bit out of order, but are the joint raising of various groups in this Chamber actually taking steps when it comes to solving the problems on the islands?
ParlaMint-NL_2016-09-28-tweedekamer-7.u5	This is entrapment. Absolutely. But I see a relapse coming. That's what I'm worried about, especially when it comes to Curaçao. At St Maarten two parties are now in power, and I am deeply concerned about the next Minister of Justice. I heard Mr Duncan's name. Again, I am very concerned about that. I am afraid that the climate in the Kingdom will only get worse after the elections on both Curaçao and Saint Martin, because it will strengthen relations. However, I hope that prediction does not come true. If we make progress, I'm very happy about it. Curaçao's finances are in order and people are willing to cooperate because they understand that something has to happen. But I'm about to see a relapse. We can wait for that, but we can also say: let's stand here now. The regulations are identical to what Aruba, Curaçao and Saint Martin have. I'm not asking anymore. People are welcome, provided they meet the requirements. They won't notice. They can then continue after five years, without noticing that something has happened. In the meantime, however, we have a point of contact, if there is serious crime, which sometimes originates on the islands themselves. I don't want a supply. I understand that this doesn't solve the problem in the Netherlands, but when I land, I'm mopping with the crane open and that's a problem.
ParlaMint-NL_2016-09-28-tweedekamer-7.u6	Mr Bosman says he sees a relapse coming. Does he refer to current and future developments on the various islands?
ParlaMint-NL_2016-09-28-tweedekamer-7.u7	Yeah, absolutely.
ParlaMint-NL_2016-09-28-tweedekamer-7.u8	Mr Bosman continues his speech.
ParlaMint-NL_2016-09-28-tweedekamer-7.u9	Mr Sjoerdsma indicated that enforcement would be a sort of tolerance policy. He asked if we're gonna arrest people on the street. I can reassure Mr Sjoerdsma and everyone. In principle, this is the same interpretation as the interpretation given to the Alien Law. I don't think anyone can say that based on that, we're working on a large force on the street. It's not general enforcement. I dare even say, as I said earlier, that it's very surgical. It's only when you're in violation that you get on the retina and you're basically up. I think that's the best solution. Only when the problem is severe can you use the last resort. Everyone needs to understand that. There may be eviction, but that can only be done in the form of an order measure in the event of a serious violation of the legal order. It is only at that time that there can be eviction. I come to the fundamental point that was made by both Mr Sjoerdsma and Mrs Gesthuizen, namely the second-class citizens. I regret that Mr Sjoerdsma is not here. I think this is a special point. If it is a matter of principle for Mr Sjoerdsma or others, you cannot, of course, discuss whether anything is proportionate. If it is a matter of principle that there should not be any other treatment, you can never do a review. You can never make legislation. In fact, you can't even make a rich law. If you say that there should be no difference in treatment, that is a point of principle and can never, unless you say that it is not very principled. Once again, it is a pity that Mr Sjoerdsma is not here. The essence is that the Dutch are not from the Netherlands, but from the Kingdom. Someone on Aruba, Curaçao or Sint-Maarten has exactly the same passport as someone in the Netherlands. The Dutchmanship belongs to all of us. If we think, in principle, that the Dutch are indivisible, this also applies to Aruba, Curaçao and Sint-Maarten. You can't say: I'm very principled, but if it doesn't apply to the small islands, I get it. If we do not want to make that distinction in the Netherlands, which is crucial for everyone, you must also go along with it. Then you must also have courage and say: then it also applies to Aruba, Curaçao and Saint Martin. Otherwise we have two types of Dutchmanship: a Caribbean Dutchmanship and a European Dutchmanship. That's not supposed to happen, is it? That is precisely what we all do not want. I would once again like to thank my fellow Members for the intensive debate, for the clarification and for the opportunity for clarification on my part. I hope that colleagues will give serious thought to it, so that we can see if there is still a chance to mean something for the future of the Kingdom.
ParlaMint-NL_2016-09-28-tweedekamer-7.u10	The most important point that Mr Bosman raises in defence of this law is that it can be done legally because the islands have a similar arrangement. But the question of whether it can be legally depends on the justification.
ParlaMint-NL_2016-09-28-tweedekamer-7.u11	A quick question, please.
ParlaMint-NL_2016-09-28-tweedekamer-7.u12	You can't separate that from each other. You can't say it's always allowed, and the justifications come after that. These justifications are very different when it comes to the islands than when it comes to the European Netherlands. We have all kinds of arrangements aimed at specific areas in the Netherlands. The Wadden Islands have set-up requirements. The Rotterdam Act also lays down requirements for establishment in a certain way. We know this phenomenon, but not a law as you are proposing. Those serious justifications which you must put forward for them are lacking in your speech. You put everything forward as justification for this law, from election results to possible ministers of justice to possible prime ministers. You even mention things that you think are in the culture, but you do not come up with those serious justifications that are legally necessary to get through such a law. Can you explain what these justifications are, so that they are also part of the report of the debate on this law?
