ParlaMint-NL_2016-09-27-tweedekamer-26.u1	I see that Mrs Van Toorenburg wishes to speak. Go ahead.
ParlaMint-NL_2016-09-27-tweedekamer-26.u2	Mr. Chairman. The Secretary of State sent a letter to the Chamber 15 minutes ago. Do you mind if we take a short reading break to make the final points for the debate? We only have to do that for 10 minutes at the most, then we're done.
ParlaMint-NL_2016-09-27-tweedekamer-26.u3	I'll see if the other spokesmen object. If that is not the case, I think that is certainly reasonable.
ParlaMint-NL_2016-09-27-tweedekamer-26.u4	I do, Mr. Chairman. It was my request in the order of business. Then it was said: we will do that tonight. And margin, when I was already on my way here, it was said: do a letter for tonight. I think this is too short, so I do object to this.
ParlaMint-NL_2016-09-27-tweedekamer-26.u5	I actually asked if you would mind if I gave you ten or fifteen minutes of reading. You don't think that should happen, Mrs Helder, and you want to start right away. I would also like to hear the other groups.
ParlaMint-NL_2016-09-27-tweedekamer-26.u6	I always like to read a letter. I'm looking for him on my phone, but I can't find him that fast. If you could give me a few minutes or give him a handout, Mr President, we can all take note of it.
ParlaMint-NL_2016-09-27-tweedekamer-26.u7	I have no objection to suspending for ten minutes, 15 minutes. I'd like to deal with this tonight.
ParlaMint-NL_2016-09-27-tweedekamer-26.u8	Let's take that ten minutes.
ParlaMint-NL_2016-09-27-tweedekamer-26.u9	I won't object. I would add that if, after reading the letter, Mrs Helder still has the need to request a debate, for example tomorrow, that is possible.
ParlaMint-NL_2016-09-27-tweedekamer-26.u10	You can always do that. I'm suspending the meeting. We'll start the debate around 7.20 p.m.
ParlaMint-NL_2016-09-27-tweedekamer-26.u11	We have seven speakers tonight. We'll do the second term. I give the floor to Mrs Swinkels of D66.
ParlaMint-NL_2016-09-27-tweedekamer-26.u12	Mr. Chairman. This bill is about trust in our rule of law. If the judge imposes a penalty, that penalty must also be enforced. You have to be able to rely on that. That still doesn't happen. There are still too many convicts out there. Now we have heard last weekend that a quarter of community service is not being carried out at all or at all. In the letter we have just received, the Secretary of State nuances these figures again. For me, however, it is clear that there is still room for improvement. This also gives the impression that the implementation of the penalties imposed must and can be improved. The question is, how would you realize that? The bill provides for the responsibility to shift from the Public Prosecutor to the Minister. I have already indicated in my first term that D66 is not happy with this proposal to let the Minister do it himself and thus remove that power from the Public Prosecutor's Office. It is not clear which problem this shift solves. Because where exactly are the bottlenecks? Why can't the state's attorney's office get this right on his own? Maybe he's in the crappy chain of criminal law? If we don't know that, how do we know that shift of responsibility is going to solve something? In the first term, the Minister said that there are good reasons for this shift. When I asked whether that was investigated, namely whether the Public Prosecutor's Office itself could do better, the Minister replied: I do not know. So I repeat my question. Has it been examined yet? If not, why not? How can the Chamber as a supervisory body judge whether the Minister, other than the Public Prosecutor's Office, would be able to achieve the desired improvements? I would also point out that there is no opinion from the Court of Auditors, neither from the Council of State, nor from the Court of Justice, nor even from the Public Prosecutor's Office, to solve the problem in this way. On the contrary, they also wonder whether this is a sensible shift. The track record of the Ministry of Security and Justice currently gives little reason for extending the powers of the Minister of Security and Justice. I would remind you once again that D66 has often pointed out the increased concentration of power in the Ministry of Security and Justice. That seems to us to be administrative, but also not a sensible choice in the state of law. That much has become clear in both Chambers of this Parliament. Several of my colleagues have already mentioned the distance from politics. In this context, we have referred to the commotion that arose around Volkert van der G. Recently, this commotion has grown as a result of a remark made by the Public Prosecutor and in which it qualified Van der G.'s psychic treatment as "sales talk." It really seems that politics has gotten very close to individual matters, and that is precisely what we do not want. Politics must keep away from decisions of this kind and from the enforcement of sanctions. Politics should not interfere with that. That's the D.A.'s case. D66 does not want there to be political pressure and that the political climate will determine how it will proceed with the execution of such a punishment.
ParlaMint-NL_2016-09-27-tweedekamer-26.u13	I have a question about that. The execution of sentences has two elements. The first one is just taking care of it. Pietje has to go there from 1 January to 1 July. Element two is what punishment must be carried out. Do you think we should suspend the sentence? Most of the decisions concern questions such as: should that penalty be enforced? Or: Is it the right punishment? Those decisions will remain with the D.A.'s office. The transfer takes place much more in the actual organisation than in the powers. Is that something that D66 considers relevant?
ParlaMint-NL_2016-09-27-tweedekamer-26.u14	The fear of D66 is that, in individual cases, it will be the subject of political debate in this Chamber and that the Minister will have to answer for himself here every once in a while.
ParlaMint-NL_2016-09-27-tweedekamer-26.u15	You yourself cited the Volkert van der G case. That doesn't change anything. It is not the case that the CJIB is going to say: these conditions must be imposed. They're just gonna organize that. It stays with the D.A.'s office. So that kind of sensitive stuff doesn't change anything.
ParlaMint-NL_2016-09-27-tweedekamer-26.u16	This changes: if the minister becomes directly responsible, then the public prosecutor's buffer is no longer in the mix either. I notice that I have left the page on my table with a part of my speech on it. I'll try to get it out of my head. I mentioned the most important point. That is the distance from politics, but also from politics, and I conclude by saying that for D66 it has not become clear how useful and necessary it is to shift responsibility for the execution of sentences from the Public Prosecutor to politics. I would like to hear the Minister on that in his second term.
ParlaMint-NL_2016-09-27-tweedekamer-26.u17	Mr. Chairman. It is clear that punishments that are imposed must also be served or, if it is a community service, implemented. Too often this is not the case, and unfortunately it is already a fact in the Netherlands that very few people are being tracked down, that very few people are being brought to justice, and that very few people are being sentenced. If the condemned do not serve or execute their sentence, then we really undermine the rule of law. We are discussing a few points in today's debate. First of all, I recall the broadcast of EenVandaag of 12 September. In the end, it found out that more people are abroad than before or that they are not serving their sentence in any other way. The Secretary of State has indicated that he is going to do so. We're getting all kinds of letters about that. However, it is very worrying that he said: the previous Secretary of State may have said that he could be dealt with, but those are not my terms. That scared the hell out of me. That's how he left me. I thought, this can't be happening! If a Secretary of State says he can be judged that everyone is serving his sentence, another Secretary of State should not say that they are not his words. Are they the words of this minister? Or does he think it's okay for people to take the lats and not serve their time? This is, of course, because many people in the Netherlands are no longer in custody. This also has to do with the fact that lawsuits sometimes take a very long time. Then there's pressure on the chain. As a result, judges say at some point: I am no longer sure that anyone would stay in prison for as long as the time he is already in remand. So that too is a concern. I want this cabinet to work on this and make sure that people who have to be detained also stay stuck, get a ruling quickly and then serve their sentence. It's all taking quite a while. We would like to take care of the cabinet. For example, we also want to pay the cabinet for the fact that too many community sentences are not being carried out. I remember very well that this Minister, as a Member of Parliament, had great words about this; let us be. With a lot of bombs, he indicated here that community service should be served as punishment. It had to be imposed. If someone didn't do it, they had to be locked up right away. The Minister has been in this position for some time now, but what is happening? In the meantime, we have received a letter containing a bit of crazy things, for example, that 93% will be implemented within 24 months. That's two years! That's pretty long, way too long! That's not even 100%. I want it done right away. It also says that the probation can decide to return a community service. Maybe? If someone doesn't, they have to! That has been a reason for me to prepare, together with the SP, a motion that I would like to table. That motion is about the fact that imposed community service should simply be carried out, and rap. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that a substantial part of the community service was not implemented in 2015;]] [[Whereas perpetrators should not avoid their punishment and the credibility and effectiveness of penalties imposed should be undermined if they are not implemented;]] [[calls on the Government to realise that persons who withdraw from community service are tracked down and detained in replacement detention as soon as possible;]] [[calls on the Government to propose and implement concrete measures before the forthcoming budget treatment of the Ministry of Security and Justice in order to reduce significantly the percentage of unimplemented community penalties,]] [[and goes to the order of the day.]] [[This motion has been proposed by Members Van Toorenburg and Kooiman. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34086-28]]
ParlaMint-NL_2016-09-27-tweedekamer-26.u18	Let me do the Cabinet justice. It says that this is being looked at carefully, that there will be another analysis and that that analysis will also come to the Chamber, but I would like to speed it up a bit. I want a visual on this. I think the Minister would have wanted that, too, as a Member of Parliament. It is not just a matter of not always serving prison sentences and not always serving community service. There is also something with fines up to €340 that may not have to be paid. I understand why this is now regulated in the law, but I don't feel good about it. It's a hell of a lot of money anyway. I want to keep an eye on that. That is why I tabled an amendment rather recently, about half an hour ago, in order to at least have an evaluation clause for this. I want to know how often this happens. Does it really only happen when it no longer serves any reasonable purpose? I see Mrs Kooiman looking; she always fights for people not to be put up against the wall with a fine that they cannot pay. I understand that, but when people get a fine, it's basically just to be paid. For this purpose, this assessment should be made. Finally, we have also talked about youth. That's what the next motion is about. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[having regard to the opinion of the Court of Justice,]] [[Whereas in the case of young people who are subject to a conditional juvenile detention (pij-measure), the court may also determine whether, and if so, in which establishment the juvenile criminal should follow a specific treatment;]] [[Whereas the Chamber held a motion (34300-VI, No. 35), which called on the Government to ensure that these proceedings take place rapidly, in any case no more than three months after the imposition of penalties;]] [[Calls on the Government to examine, together with the chain partners, whether the Administrative and Information Centre for the Executive Chain (AICE) has added value in the early start of such treatments and to inform the Court of Justice of this before 1 January 2017,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Toorenburg. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34086-29]]
ParlaMint-NL_2016-09-27-tweedekamer-26.u19	In fact, you can see this as a very constructive way of thinking along. If a young person needs treatment, we can ensure that it goes as quickly as possible. There was a hook here. This is what I want to tell the Minister in this way.
