ParlaMint-NL_2016-12-20-eerstekamer-2.u1	I would like to welcome the Minister of Economic Affairs to the First Chamber.
ParlaMint-NL_2016-12-20-eerstekamer-2.u2	Madam President. On this last day of the year, we will begin a loaded and important debate on three laws on oil and gas extraction. This concerns a few more or less technical issues, such as the transposition of a European directive, which in itself does not call for much discussion. More importantly, following all the discussions on the safety of mining activity, and in particular natural gas extraction in our country, there is a proposal to strengthen the safety importance and direction of licensing. And, last but not least, today it's about dealing with the damage caused by the gas extraction in Groningen, and everything related to it. A loaded theme, because the effects of gas extraction in the sense of physical or other damage and the associated feelings of uncertainty and fear are on everyone's retina. It is also loaded because the whole process of dealing with this problem by 'The Hague' has certainly not promoted Groningen's confidence in our political system, and yet we are now fully aware of the importance of trust in a political system for the preservation of democracy and the rule of law. The debate is also important because "reversion of the burden of proof" is a fundamental intervention in the principles of the rule of law, and therefore something that we in this Chamber need to think very carefully about. In my speech, I continue to speak for ease of reference of'reversion of the burden of proof', but I also mean, of course, the introduction of legal evidence for mining damage in Groningen. Both terms are also interrelated in the Chamberpieces. In my contribution on behalf of the CDA Group, I will address four important issues for us. That is the handling of the damages and the question whether it is best to do so through the courts, taking into account reversal of the burden of proof, or by other means. These are also the scope and significance of the reversal of the burden of proof, the procedures relating to the granting of licences and, finally, the course of this legislative process. That is where this Chamber also has a special responsibility. First of all, the question of the settlement of damages. I believe that all those involved have a preference for friendly treatment outside the courts, in concrete terms through the Centre for Safe Living. The image we have of that is a little double. Many damage has already been dealt with through the CVW and for minor damage that is now in most cases to the satisfaction of all concerned. But at the same time we also hear criticism. The relationship between the amounts actually paid for damages and the costs involved in determining those amounts seems to be completely out of balance. The increase in value, where you have to have at least €1,000 in damages to qualify for that scheme, seems to have perverse effects and, I understand, a solution is not yet in sight. Handling of image-defining, larger damage is still difficult and that also determines the poor image of the processing process. There is also the impression that the NAM still has a major, perhaps too great, influence on the working method and on the fees paid. Is the CVW an independent body or is it bound by the agreements with the NAM? I would like to hear the Minister say something about that. How does the Minister assess the state of affairs in the handling procedures? Is he satisfied or does he have to do it any other way? Does he think the M.O. is efficient? The Minister writes in the reply that he wants to strengthen the public direction of this process. So it looks like he wants change. We also understand that legislation is in preparation and we would like to hear a thorough consideration from the Minister, in which he gives his opinion on the current situation and identifies what could possibly be better. How can we achieve a method that is efficient and effective and also independent and objective? Would it be conceivable for the Minister, for example, that in the future we should have a situation in which the Safe Living Centre is an independent body under the ultimate responsibility of the Empire, which can decide independently on damages without the involvement of the NAM in files or rules of the game? There should then be a fund filled by the NAM which the national coordinator and the CVW can have independently when deciding on damages. In doing so, it seems to the CDA Group or reasonable that the NAM perspective should be given that a number of years can be taken forward with the safe extraction of a pre-arranged quantity of cubic meters of gas, so that the company is also offered a solid and economically viable perspective. Our group has another concern, an additional reason for calling for a more independent position of the CVW and for the NAM to no longer be involved in specific processing procedures. We are getting signals that the reversal of the burden of proof will lead to further legalisation of the proceedings, that more than less cases will be dealt with by court. The NAM will fight with more force against claims that are not justified in her eyes and also take everything out of the closet to strengthen her position.
ParlaMint-NL_2016-12-20-eerstekamer-2.u3	It's a bit early interruption, but there was a sentence I was wondering what the CDA meant by that. On the one hand, Mr Flierman is strongly in favour of better handling and treatment of all those who suffer damage. On the other hand, he wants to include this in a deal, in which the NAM is in fact given the assurance in advance that it will be able to obtain a certain amount of gas over a number of years. I find that contradictory. Suppose it becomes clear that this damage is increasing, that the situation is deteriorating for the residents. Then we simply have to intervene and act on things and turn off the gas tap further? In fact, Mr Flierman does not agree with this point.
ParlaMint-NL_2016-12-20-eerstekamer-2.u4	I don't think so. Firstly, the image of our group is that the fact that gas is being extracted in Groningen is not in general under discussion. The discussion is about what is a safe amount that can be won. I do not have a strong opinion on this at the moment, but experts can comment on it. If we make a multi-annual agreement, as I call it now, it would be an agreement which would also clarify the amount of gas that can be safely extracted in the years to come, so without increasing the risk of damage. If you want to oblige NAM to contribute to the handling of those damages, it does not seem unreasonable to me that you should also provide the company with a certain assurance about the activities it will be able to continue in Groningen.
ParlaMint-NL_2016-12-20-eerstekamer-2.u5	My objection is that Mr Flierman does not in fact exclude that, should there be more serious damage than is anticipated, if this safety is not properly assessed, there can be intervention in the interim and the amount of gas to be extracted can be reduced.
ParlaMint-NL_2016-12-20-eerstekamer-2.u6	I'm not ruling that out. I think it's a general principle of good governance that when you make multi-annual agreements, you respect them in principle. But there can always be a situation of force majeure or completely unforeseen circumstances that force you to review such an appointment. Making a multi-annual appointment does not mean setting the mind of drivers to zero. In that sense, I think Mrs Vos draws a premature conclusion. Mr. Chairman. I said that a reversal of the burden of proof would lead to further judicialisation of procedures and that we are concerned about this. The CDA Group sees this as a real danger and wonders whether the reversal of the burden of proof, however well-meant, will not be an increase rather than a relief for residents and entrepreneurs in the earthquake area. Does the Minister also wish to respond to this and to appoint his expectation in this regard? To what extent, for example, are both shareholders of the NAM committed to contributing to damage settlement from the perspective of a socially responsible company? That commitment must of course be there, if you want to reach such a multi-annual agreement. This is what I'm saying, looking at Mrs. Fox. Is the Minister prepared to follow and monitor closely how the number of damages cases being dealt with through the courts is developing and, if necessary, will he make proposals to resolve the problems in this area? We'd like to hear the Minister's answer. It has recently been announced that the number of homes that need to be substantially adapted to be safely inhabited is much higher than initially thought. The amounts you have to invest in some homes are no longer in proportion to the value of those houses, which in fact means that there is no longer an economically sound investment in those homes. Shouldn't much more housing be taken out of the market through the buy-in scheme? The budget for that buy-back scheme was, I understand, limited. Shouldn't we reconsider that in the light of the latest data? Will the Minister respond to this? Finally, I would like to point out that the Minister has also informed us that he hopes to have a counter for damages in place elsewhere in the country by 1 January 2017. So that's about to happen. Is that right? I turn to the second issue: the reversal of the burden of proof. As I said, that is a serious breach of the principle of the legal system.
ParlaMint-NL_2016-12-20-eerstekamer-2.u7	Since you finished a block, I'm just gonna ask you a question. You have some concerns about the legalization of the whole process and you are critical of the reversal of the burden of proof. How do you feel that the position of individuals vis-à-vis the State and the NAM is in the situation we now have? Isn't that situation just hopeless for the locals? Isn't it very difficult? Do you have to sue the state? How do you see the position of the private person vis-à-vis the State? Doesn't it perhaps raise a much greater objection than the legalization you call it?
ParlaMint-NL_2016-12-20-eerstekamer-2.u8	In the current situation, we are always dealing with procedures between those involved, i.e. residents, entrepreneurs and the NAM. The reversal of the burden of proof is an attempt to improve the position of residents and entrepreneurs in that area. I have no doubt about the intention behind this attempt. I shall come back to the substance of the proposal. What I see, based on sounds that reach us from the area itself, is that it could rather deal with more cases through the courts than less, while all those involved have a preference for handling outside the courts. If that phenomenon occurs, it is doubtful whether the in itself well-meant reversal of the burden of proof is not on the contrary as a measure. I would like to hear the Minister's response.
ParlaMint-NL_2016-12-20-eerstekamer-2.u9	So you will come to a weighing up later, in which this assessment is addressed to the entrepreneurs and individuals in relation to the NAM?
ParlaMint-NL_2016-12-20-eerstekamer-2.u10	I shall return to the subject of reversal of the burden of proof, surely. That's even the next block. Mr Dercksen is therefore served at his beck and call. As I said, the reversal of the burden of proof is a serious breach of the principles of the legal system. "Whoever states, proves" is the basic rule. It should have remained the same for us in general terms. Nevertheless, in the opinion of the CDA Group, the Council of State has sufficiently demonstrated that an infringement of that principle is justifiable in this case. The government followed the Council of State reluctantly and reluctantly. It was noteworthy that the Minister initially intended to apply the reversal of the presumption of evidence only to new cases of damage. This would leave the vast majority of the current problems out of the effect of reversal. As far as we are concerned, the House of Representatives has rightly put a stop to this. I sense that there are not many objections to the design that has now been chosen in itself. The questions that exist relate essentially to two issues: the geographical limitation of the area where the burden of proof is reversed and the limitation to physical damage. With regard to the first, that geographical limitation, it is stated, on the one hand, that a clear limitation via map coordinates is preferable to the somewhat vague interpretation "the Groningen field." On the other hand, it is argued that all mining damage, including salt extraction in Twente, oil or gas extraction elsewhere or coal mining in Limburg, should be included. Does the Minister expect that the limitation to the area of the Groningen Field is sufficiently clear or should we gradually obtain clarity through case law, i.e. through the courts and through many procedures? The Minister suggests the latter in response to questions on this point. How does that relate to the preference of dealing with as many cases as possible outside the courts? Is there not the danger here that an attempt to pursue a more generous policy, like the reversal of the burden of proof, will ultimately only lead to further judicialisation and more disappointment and frustration? We would like to hear the Minister's response on this point. Let me repeat my question: will the Minister follow this development closely and, if necessary, propose amendments to the law? Extending the operation of the law to other activities, such as salt or coal mining, goes too far for our group. Groningen is an exception, precisely because of the extent, frequency and intensity of damage cases. That is what the Council of State is convincingly demonstrating with regard to the CDA Group. It has not been sufficiently demonstrated that it would be necessary to extend the reversal to other areas or activities. The consequences of such an extension are inconceivable and the normal possibilities for liability are maintained. The latter is important. The risk liability is always the responsibility of the operator within the framework of the mining activity. Anyone who has damage must prove that the damage was caused by mining activity. This is still an issue, but there is no need to prove the fault or negligence of the operator. Will the Minister confirm explicitly that the introduction of legal evidence for physical damage in the Groningenveld does not infringe the existing possibilities of holding operators liable for damage elsewhere or for other forms of damage? Also reversal of the burden of proof in other forms of damage, such as turnover damage or emotional damage, is going too far at the moment. Of course, it remains possible to claim damage other than physical damage. Where physical damage has been recognised and compensated, it may be even easier to file and enforce a claim in the event of other damage, such as turnover damage. My third block concerns the discussion on the safety of mining activities. Other risks, e.g. for the environment, nature and drinking water supply, have also influenced the design of the authorisation. That process takes place in several steps. As they set out, the first steps in this process, i.e. the search and extraction licence, were primarily the nature of licences under the market organisation. In a subsequent phase, when the extraction plan is approved and the environmental permit is granted, the competent authority will consider the interests of safety, water extraction, nature, environment and health in full. However, by amendment, the House of Representatives has also identified the interests of nature, the environment and safety as well as the interests to be considered in the search permit. After the Council of State was critical of this in its information, the Minister again limited the consideration of the extraction and detection permit, but in a new amendment the House of Representatives again extended that consideration. That is a remarkable procedure in itself; I shall come back to that in a moment. In particular, the CDA Group wonders whether weighing the same interests at three points in the procedure would improve the clarity of decision-making and legal certainty of applicants. Applicants can, if we see it correctly, be small players, small entrepreneurs, but also very large players. I would like to point out, however, that the weighing-up in successive phases can also be done by the rulers of a different political colour, in other cabinets. This increases the risk or possibility of an application process being subject to political uncertainty and thus less certainty for the applicant. Does the Minister consider it appropriate to repeat the consideration, as is now provided for in the law? How does he assess legal certainty for applicants? Finally, I come to the legislative process. I have already mentioned that we have to take into account the risk that damages will be dealt with more than less legally. According to the CDA Group, both the reversal of the burden of proof and the limitation of the impact area are at risk of legalisation. This would mean that well-meaning interventions in the legislation would ultimately be on the contrary. As has already been said, the CDA Group therefore considers it very important that we carefully monitor the impact of legislation on this issue and that the government should come forward with amendments if necessary. Otherwise, we can also make a few comments about the legislative process. The Minister himself also acknowledges that this process is "maybe not common" in some areas. I have already mentioned the addition of additional balancing criteria to the search and extraction permit. They were not included in the law, added by amendment, deleted again and finally added to the law by an amendment. That is not common, and that is an understatement. To some extent, the process of reversing the burden of proof seems to be the superior one. The Second Chamber added the reversal of the burden of proof by amendment to a legislative proposal which was essentially about something quite different, namely the transposition of a European directive on safety on drilling platforms. The Minister was right to oppose this and pointed out that legislation was being prepared where the reversal of the burden of proof would logically belong. All this was not to benefit: the House of Representatives, one of the coalition partners first, wanted to make an act. However, despite his strong objections, the Minister did not threaten to withdraw the bill, let alone to pronounce the political power word. That may seem amazing, if he hadn't thought of something else. He asked the First Chamber to hold the examination of the law, asked for information from the Council of State and came up with a novella to clarify the amendment from the already accepted law on the European Directive and to transfer it in amended form to a new law, on strengthening security interests, where the provisions seemed to belong more to their nature. The phenomenon novelle has thus received a new variant. The Minister writes history in that respect. We know novelles if the government wants to meet the views of this house or if a new cabinet has other insights in already ongoing legislative processes. In this case, however, the Minister does by informing the Council of State and de novelle what he failed to do in the debate with the Chamber: to get the reversal of the burden of proof in the right place in the right law. The novelle that is before us today does not result from a debate with the First Chamber or from changed insights in the government itself, but from a difference of opinion and unfortunate treatment in the House of Representatives. We'll just say it's an industrial accident that's not being corrected on the spot, but by a detour. That's new to my knowledge. It is good that it has been corrected, that saves our work, but what does this tell us about the authority of the Minister in the House of Representatives and about the interest in the quality of legislation on the other side of the Binnenhof? In both cases, it doesn't say much good. The fact that it is "maybe not common" is, as I said, an understatement. We like to keep the language neat in this house, especially our group, but it is a mess, it may be said here. So much for our first-term input. We await the Minister's response as always with interest.
ParlaMint-NL_2016-12-20-eerstekamer-2.u11	Mr. Chairman. I live and I work in Groningen. In a debate like today, it has pros and cons. You know the stories of all the people who tell you almost every day about what they're going through. That could involve too much involvement. On the other hand, you know exactly what's happening. I hope I can keep the balance in that. There are three proposals which all relate to the consequences of gas extraction, particularly in the province of Groningen. The proposal to reverse the burden of proof by means of the present novelle which incorporates the reversal in Article 177a of Book 6 of the Civil Code is exceptional. In the ordinary course of justice, the principle is 'whoever claims proves'. The cabinet and also the Council of State motivate the reversal by pointing out that in the Groningen situation, the extent of the number of damages and their similarity are an argument for introducing a presumption of evidence, while taking into account the weaker procedural position of the requesting party. The D66 Group understands that. Following the first amendment of the Lower House members Vos and Ouwehand, the cabinet requested further information from the Council of State. This has ultimately led to the present proposal, which also entails a certain limitation. The current proposal focuses only on gas extraction and the physical damage caused by gas extraction from the Groningen field. The members of the D66 Group have asked in the preliminary report for responsibility for damage which cannot be considered physical. We were referring to damage as economic damage to the area, image damage, but also business damage that can occur because the handling of physical damage is extremely slow. The Cabinet states that in all cases the operator is responsible for the damage, but in such cases no use can be made of the reversal of the burden of proof. My group understands that the cabinet has made a certain restriction. After all, the original amendment would include mining activities in the province of Groningen which have been taking place for decades and which have never led to assigned damages claims. The damage handling of the mining in Groningen is extremely difficult. By now, 75,000 reports of damage have been made and 71,000 inspections have been carried out. The process is slow. Because of the care required, this is logical, but incomprehensible from the point of view of the individual citizen. Also, the consolidation exercise is still unclear. At first there was talk of tens of thousands and even more than 100,000 homes. Later that was reduced to thousands of homes. Later it was decided to carry out a pilot inspection under the responsibility of the National Coordinator Groningen. 1,400 homes within the core area, which may be considered representative, were subject to a further inspection. The outcome is dramatic. All inspected homes must be reinforced. Although it has still not been pronounced, this actually means that the consolidation exercise will be much greater than was thought. And that brings with it new problems. Mind you, even a reinforced house can still become uninhabitable after a severe earthquake. What we are talking about here is that a reinforced home can cope with the damage so that people can get out safely. That's all it is. The same applies to schools, hospitals and industrial buildings. The strengthening exercise is therefore very necessary, but seriously delayed. The original schedule, which stated that all homes must be strengthened within five years, is not achieved by a long shot. The circles around the National Coordinator are speaking earlier in ten years. It's stuck. After 2020, heavier tremors are expected. The fields are getting more and more empty. Can the Minister now provide us with an insight into the challenge of strengthening? When does it start, and not with pilots, but planned and large-scale? And when will the area be safe for the inhabitants? The NAM is still involved in the process of damage handling and reinforcement of new and remodelling. It slows down. That is not a reproach on our part, but a fact. The company is not set up for this new task at all. Citizens, companies and institutions involved in the NAM also have difficulty believing that the company is acting objectively and not attempting to limit the financial damage to the NAM. Yesterday afternoon, a report was published on the repair of the earthquakes in Groningen. The report was written by a department of the University of Groningen, led by Professor Herman Bröring. I've been looking through that report. I have not read it in full, but I have read the summary and the recommendations. The report describes the settlement of damages. It says that thirteen organisations are now working on it and that administrative law and private law are all mixed up. Quote by Bröring at the press conference: "The citizen understands the balls of it." He also says that a bottleneck in citizens' confidence in the government is that the agreement between the Centre for Safe Living and the NAM is not public. I would like to ask the Minister to respond. What would be against making that agreement public? Bröring and his people therefore advocate much more direction by the government. He says, "Let the NAM pay the bills." He mentions a number of scenarios. The first is to set up a one-stop shop. He also suggests setting up an independent compensation fund in which the NAM and the State take responsibility together, while the Centre for Safe Living is responsible afterwards. In the second scenario, the State is responsible for the damage recovery in which the NAM pays. The National Coordinator coordinates and the CVW performs. In the third variant, the State takes all care. I would like the Minister to respond to this, even though this report has recently been published. I also ask him to give us an insight into how he wants to deal with this further. He himself said earlier that he was not satisfied with all the procedures attached to it. Which brings me to the layout of the gas building. In the preliminary report, we have asked two questions about it. The so-called gas building was built in the sixties. It consists, among other things, of the State controlling GasTerra and Gasunie, but shares that control with oil and gas companies which are subsequently shareholders of the NAM and which are subsequently involved in EBN, of which the State is once again the main shareholder. In short: each party sits together on laps. It makes decision making complex and public accountability difficult. That's also what's avenging in the damage settlement. Interests run through each other. The Security Research Council pointed it out again last year. The Minister also acknowledges this and says that there are indeed reasons to revise the original building, but that several parties look at it differently. He says that conversations are taking place, but that no further information can be provided at the moment and that there is no time frame for the installation of a new gas building.
