ParlaMint-NL_2016-12-15-tweedekamer-10.u1	Six speakers have signed up for this legal process. We shall begin with Mr Van Meenen of D66.
ParlaMint-NL_2016-12-15-tweedekamer-10.u2	Mr. Chairman. Following the Minister's second letter of amendment to this bill, we are now in the peculiar situation that we are going to debate mainly about amendments to the Study Financing Act, while the bill itself does not change the law anymore. In any case, I would like to ask the Minister whether she agrees with me that it was not so neat to hide the increase in the fine on not handing in the annual card in the study funding Act in the BES islands. So we have a debate here today that is actually about the CDA and VVD amendments. They want to punish ex-students for the fact that the government and the NS do not have these systems in order. My group does not think that is appropriate. These people just graduated and haven't got it that wide, and then you're gonna bully them like that, when we all know that at most 10% of them are taking advantage of the O.V. year card. I say to the CDA: I hope you come up with more original ways to finance plans for the return of the basic grant than this plan to do about the backs of former students. I say to the VVD that I do not understand how the VVD can first be in favour of not raising the fine, and then in favour of increasing the fine. However, Mr Duisenberg will be able to explain that to all of us later.
ParlaMint-NL_2016-12-15-tweedekamer-10.u3	I will not be tempted to discuss the loan system introduced by D66. I would like to ask Mr Van Meenen a question. What is the reason why Mr Van Meenen of D66 believes that highly educated students who continue to possess an I.V. card should not bear the real cost of this? I know D66 as a party that is right about labour market fraud or benefit fraud: we have to find out! If 10% of this is demonstrably abusing, isn't that a reason to deal with it?
ParlaMint-NL_2016-12-15-tweedekamer-10.u4	There is also a fine, but as long as the government itself fails to inform students about the end of their annual card, we do not think it is appropriate to recover costs from students who are in good faith in it and who, of course, have not yet canceled their annual card.
ParlaMint-NL_2016-12-15-tweedekamer-10.u5	This is an interesting point. Now we have two cases. Mr Van Meenen says: public communication must be improved. I agree with him and I can tell him that I will table two motions on this subject, which will ensure that communication is in order from now on. At the same time, Mr Van Meenen is talking about a fine. However, we can see that the value of the card is higher than the so-called fine he is talking about.
ParlaMint-NL_2016-12-15-tweedekamer-10.u6	What's your question?
ParlaMint-NL_2016-12-15-tweedekamer-10.u7	My question is whether Mr Van Meenen thinks it fair to other travellers that former students can continue to use their student travel product cheaper than a journey card, while those other travellers pay the full pound.
ParlaMint-NL_2016-12-15-tweedekamer-10.u8	What D66 finds unjust is that fines are being paid for something that is mainly due to the failure of the government itself. Apparently, the CDA doesn't have a problem with that, but we do.
ParlaMint-NL_2016-12-15-tweedekamer-10.u9	Nine out of ten students just put their cards off perfectly in time. In ResearchNed's research, they say that's because they just know you have to stop him yourself. They are well informed about this. Does Mr Van Meenen believe that the government has failed?
ParlaMint-NL_2016-12-15-tweedekamer-10.u10	I do think the government is failing. In many cases, i.e. 90%, where the card is not stopped in time, it is clear that this is due to communication errors and not to deliberate abuse.
ParlaMint-NL_2016-12-15-tweedekamer-10.u11	ResearchNed gives a list of almost one page, with all the different communication moments and actually says that there is extensive communication: through several channels the students are alerted to this, students are usually informed by e-mail that a message is ready, the students receive a report from DUO twice and a subsequent notification they receive a month before the product has to be stopped. I can go on for a long time about what is being done, but Mr Van Meenen still says that students are poorly informed, while nine out of ten stop the card in good time and simply say that they know it.
