Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-03-01-tweedekamer-3	ParlaMint-NL_2016-03-01-tweedekamer-3.u1	Report of the meeting of the Dutch Lower House, Meeting 58, Session 3 (2016-03-01)	2016-03-01	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 58	Sitting 2016-03-01	-	Reference	English	Regular	MP	notMinister	Bontes/Van Klaveren	Groep Bontes/Van Klaveren	Opposition	Right to far-right	LouisBontes	Bontes, Louis	M	1956	
ParlaMint-NL-en_2016-03-01-tweedekamer-3	ParlaMint-NL_2016-03-01-tweedekamer-3.u2	Report of the meeting of the Dutch Lower House, Meeting 58, Session 3 (2016-03-01)	2016-03-01	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 58	Sitting 2016-03-01	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	MarkRutte	Rutte, Mark	M	1967	
ParlaMint-NL-en_2016-03-01-tweedekamer-3	ParlaMint-NL_2016-03-01-tweedekamer-3.u3	Report of the meeting of the Dutch Lower House, Meeting 58, Session 3 (2016-03-01)	2016-03-01	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 58	Sitting 2016-03-01	-	Reference	English	Regular	MP	notMinister	Bontes/Van Klaveren	Groep Bontes/Van Klaveren	Opposition	Right to far-right	LouisBontes	Bontes, Louis	M	1956	
ParlaMint-NL-en_2016-03-01-tweedekamer-3	ParlaMint-NL_2016-03-01-tweedekamer-3.u4	Report of the meeting of the Dutch Lower House, Meeting 58, Session 3 (2016-03-01)	2016-03-01	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 58	Sitting 2016-03-01	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	MarkRutte	Rutte, Mark	M	1967	
ParlaMint-NL-en_2016-03-01-tweedekamer-3	ParlaMint-NL_2016-03-01-tweedekamer-3.u5	Report of the meeting of the Dutch Lower House, Meeting 58, Session 3 (2016-03-01)	2016-03-01	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 58	Sitting 2016-03-01	-	Reference	English	Regular	MP	notMinister	Bontes/Van Klaveren	Groep Bontes/Van Klaveren	Opposition	Right to far-right	LouisBontes	Bontes, Louis	M	1956	
ParlaMint-NL-en_2016-03-01-tweedekamer-3	ParlaMint-NL_2016-03-01-tweedekamer-3.u6	Report of the meeting of the Dutch Lower House, Meeting 58, Session 3 (2016-03-01)	2016-03-01	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 58	Sitting 2016-03-01	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	MarkRutte	Rutte, Mark	M	1967	
ParlaMint-NL-en_2016-03-01-tweedekamer-3	ParlaMint-NL_2016-03-01-tweedekamer-3.u7	Report of the meeting of the Dutch Lower House, Meeting 58, Session 3 (2016-03-01)	2016-03-01	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 58	Sitting 2016-03-01	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	JaspervanDijk	van Dijk, Jasper	M	1971	
ParlaMint-NL-en_2016-03-01-tweedekamer-3	ParlaMint-NL_2016-03-01-tweedekamer-3.u8	Report of the meeting of the Dutch Lower House, Meeting 58, Session 3 (2016-03-01)	2016-03-01	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 58	Sitting 2016-03-01	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	MarkRutte	Rutte, Mark	M	1967	
ParlaMint-NL-en_2016-03-01-tweedekamer-3	ParlaMint-NL_2016-03-01-tweedekamer-3.u9	Report of the meeting of the Dutch Lower House, Meeting 58, Session 3 (2016-03-01)	2016-03-01	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 58	Sitting 2016-03-01	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	KeesVerhoeven	Verhoeven, Kees	M	1976	
ParlaMint-NL-en_2016-03-01-tweedekamer-3	ParlaMint-NL_2016-03-01-tweedekamer-3.u10	Report of the meeting of the Dutch Lower House, Meeting 58, Session 3 (2016-03-01)	2016-03-01	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 58	Sitting 2016-03-01	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	MarkRutte	Rutte, Mark	M	1967	
ParlaMint-NL-en_2016-03-01-tweedekamer-3	ParlaMint-NL_2016-03-01-tweedekamer-3.u11	Report of the meeting of the Dutch Lower House, Meeting 58, Session 3 (2016-03-01)	2016-03-01	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 58	Sitting 2016-03-01	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
