ParlaMint-NL_2016-02-16-eerstekamer-6.u1	I would like to welcome the Minister of Security and Justice to the First Chamber.
ParlaMint-NL_2016-02-16-eerstekamer-6.u2	Mr. Chairman. Two weeks ago I was allowed to make my maiden speech here in the treatment of the bill at the youth residences; it is now a law. This law seeks to protect the safety and undisturbed development of children. The law found its origin in the fear that children from immigrant-Dutch families who stay long-term outside the supervision of their parents in boarding schools might not participate sufficiently in our Dutch society. At that time, I was allowed to talk about the importance of active citizenship and social inclusion. The law had a constructive, protective value towards the future. Today there is a legislative proposal with a much more negative sound. These are situations where something went very wrong during the personal development of a Dutchman. We are talking here about behaviour of such a serious nature that such desirable active citizenship and social inclusion has been violated. In fact, we are talking about behaviors of such a serious nature that, as a Dutch state, we terminate the bond with the perpetrator of this and deprive him or her of the Dutch citizenship. My group supports the idea behind the bill. The withdrawal of Dutch citizenship, as mentioned in the draft law, is an expression of the fact that the link between the Netherlands and the person concerned who has seriously violated the essential interests of the Dutch State can no longer exist. The CDA Group supports this procedure. The amendment of the Rijkswet op het Nederlanderschap is, in our opinion, a limited supplement to what has been arranged for some time now. It is one new ground next to dozens of already existing, a change that does not introduce new principles and sets new boundaries and fits into the current legal system.
ParlaMint-NL_2016-02-16-eerstekamer-6.u3	Mr Rombouts, on behalf of the CDA Group, states that he takes the view in principle that the Dutch citizenship of a person, if he commits such a crime, can no longer be continued, so that the link with the Netherlands must be broken.
ParlaMint-NL_2016-02-16-eerstekamer-6.u4	Nationality must be taken away.
ParlaMint-NL_2016-02-16-eerstekamer-6.u5	That is a very principled position, while it only happens with regard to a specific group of Dutch people, namely the group of Dutch people who still have a second nationality. How does he look at not breaking the link with the Netherlands among Dutch people who have no other nationality?
ParlaMint-NL_2016-02-16-eerstekamer-6.u6	That is a fair question, which has already been given its place in the written procedure. We have, of course, committed ourselves to the European Treaty which says that no one should become stateless. Mrs Strik did the same. So that makes it impossible to do this with people who possess only Dutch citizenship, or we should fight together for that treaty to be changed first, but the question is whether we want to put stateless people in the world.
ParlaMint-NL_2016-02-16-eerstekamer-6.u7	That leaves Mr Rombouts open, I understand. Apart from that, I have the following question. He says it's a legal obstacle. I recognize that, too. Of course there is. What does Mr Rombouts think about this legal obstacle leading to unequal treatment? We are going to treat one group of Dutch people differently from the other.
ParlaMint-NL_2016-02-16-eerstekamer-6.u8	We will have to choose between two evils: no one takes away from the Netherlands or makes this distinction, which is not created by Dutch law, but in fact results from the fact that we fulfil our treaty obligation. We don't want people running around this world who don't belong to any state.
ParlaMint-NL_2016-02-16-eerstekamer-6.u9	Mrs. Strik, finally.
ParlaMint-NL_2016-02-16-eerstekamer-6.u10	Mr Rombouts takes it for granted, I understand.
ParlaMint-NL_2016-02-16-eerstekamer-6.u11	Yes. I said that nothing really changes. This led the Council of State to issue a blank opinion. The Council of State did not see any reason to comment on the substance. My group therefore does not need an extensive discussion today, especially now that two things have happened. The first is that the House of Representatives has ruled on the political desirability of the proposal and the second is that the Council of State has no legal objections to the way in which this small supplement has been designed.
ParlaMint-NL_2016-02-16-eerstekamer-6.u12	I would like to ask Mr Rombouts, on which he bases his argument, that violations of Article 134a of the Criminal Code are serious crimes.
ParlaMint-NL_2016-02-16-eerstekamer-6.u13	Because people have been involved in what the article regulates and we can summarize briefly as subjecting or giving training that should lead to terrorist activities.
ParlaMint-NL_2016-02-16-eerstekamer-6.u14	But what about collecting for people who are committed to it? I'm just mentioning something.
ParlaMint-NL_2016-02-16-eerstekamer-6.u15	Through the chairman, please.
ParlaMint-NL_2016-02-16-eerstekamer-6.u16	That is a very thin slimming of the article. I actually wanted to make my final point. Perhaps it will give a better answer to Mrs Wezel's question than I should now spontaneously think of.
ParlaMint-NL_2016-02-16-eerstekamer-6.u17	I propose that Mr Rombouts continue his speech.
ParlaMint-NL_2016-02-16-eerstekamer-6.u18	I wanted to make it clear that the CDA Group considers this to be a small addition to the dozens of grounds already in place. It is an additional example, an extra ground, an additional conviction that could ultimately be taken away from Dutch citizenship. I would like to ask the Minister one more question, but I would like to say that last Thursday evening, looking at the BBC News at Ten, waiting for an item on the Den Bosch by Jeroen Bosch, I saw that in Syria large numbers of young children are still forced to take part in training courses. Perhaps that is also an answer to Mrs Strik's question. I hope, on behalf of the CDA Group, that this proposal will make a small contribution to reducing these horrible practices. I realise that this is three years after the Dijkhoff motion and that it will only make a small contribution.
ParlaMint-NL_2016-02-16-eerstekamer-6.u19	My question was...
ParlaMint-NL_2016-02-16-eerstekamer-6.u20	Mrs Wezel, would you please have Mr Rombouts speak out first?
ParlaMint-NL_2016-02-16-eerstekamer-6.u21	This is really my last sentence. There is very little this bill can do. It can only make a very small contribution. The scope of the draft law is already very small. I would like to ask the Minister whether he would like to speed up his agenda on the prevention and comprehensive approach of jihadism.
ParlaMint-NL_2016-02-16-eerstekamer-6.u22	If a 15-year-old boy collects for people "who are committed to" or look for 15-year-olds on Google how to make a bomb, they can be prosecuted under Article 134a of the Criminal Code. Can I conclude from Mr Rombouts' contribution that this is sufficient ground for the CDA to expel a child from the Netherlands and to deprive him of Dutch citizenship?
ParlaMint-NL_2016-02-16-eerstekamer-6.u23	I cannot imagine that in the case described by Mrs Wezel...
ParlaMint-NL_2016-02-16-eerstekamer-6.u24	Mr Rombouts, Mrs Wezel will finish her sentence first.
ParlaMint-NL_2016-02-16-eerstekamer-6.u25	My line was done.
ParlaMint-NL_2016-02-16-eerstekamer-6.u26	That's what I thought. I'd have picked up a point. I might have been a little quick, excuse me. I cannot imagine that, in the case described by Mrs Wezel, it will eventually lead to that withdrawal. It takes two steps. There must first be a conviction and then there must be an independent decision by the Minister on that case. I would point out that, as Mrs Wezel now puts it, in the slimming case of a 15-year-old collector, it will not come to that.
ParlaMint-NL_2016-02-16-eerstekamer-6.u27	Mrs Wezel, in conclusion.
ParlaMint-NL_2016-02-16-eerstekamer-6.u28	It could provide assistance or assistance in the preparation of terrorist offences.
ParlaMint-NL_2016-02-16-eerstekamer-6.u29	That is Mrs Wezel's assessment. She asks me to answer a very specific case of a very young person in a relative activity. That's exactly what needs to be done. Following a conviction, the Minister still has to make an independent assessment of whether he wishes to proceed with that withdrawal. I do not think that would happen in the event that Mrs Wezel described.
