ParlaMint-NL_2016-09-06-tweedekamer-8.u1	At the request of a number of Members, I propose that the following motions be renewed: 31839-518; 34351-9; 33959-6; 28286-864; 32336-48; 29683-212; 31936-348; 31936-347; 31936-346; 34300-XIII-37; 34300-XIII-38; 31936-311; 31936-312; 34199-63; 28345-147;28345-148; 28345-149; 29984-649;31409-99; 28973-150; 27858-314; 34087-4; 28973-51; 34300-XIII-131;27428-251; 34300-XIII-50; 34000-XIII-118; 33043-17; 31239-159; 31239-158; 3026-454; 306-394; 34000-XVII-31; 34000-VIII-51; 32735-134; 26485-205; 33495-89; 31293686. At the request of the applicant, I propose that the debate on prisoners processing medical data be removed from the list.
ParlaMint-NL_2016-09-06-tweedekamer-8.u2	I give the floor to Mr Segers on behalf of the Christian Union.
ParlaMint-NL_2016-09-06-tweedekamer-8.u3	Madam President. This afternoon, my colleague, Mr Voordewind, asked questions about the consequences of the coup and counter-coup in Turkey on relations in the Netherlands, but the events in Turkey also affect relations between Turkey and the European Union and thus between Turkey and the Netherlands. Turkey is trying to intimidate, blackmail its European allies. I am thinking, for example, of the debate on the Armenian genocide in Germany following the resolution.
ParlaMint-NL_2016-09-06-tweedekamer-8.u4	I must interrupt you, because you are almost unheard of, and that is not the intention. Carry on, Mr Segers.
ParlaMint-NL_2016-09-06-tweedekamer-8.u5	I am also thinking of Turkey's response to the suggestion from Austria to stop the accession negotiations with Turkey on EU membership, and I am thinking of Turkey's role in Syria. It is time to reconsider relations with Turkey. That relationship has many faces. I am thinking of NATO membership, but also of the migration deal between the European Union and Turkey and the announced visa liberalisation. The Christian Union is convinced that Dutch and European relations with Turkey cannot continue in the same way. I would like to request a debate on this with the Prime Minister and the Minister for Foreign Affairs, and I would like to request it this week.
ParlaMint-NL_2016-09-06-tweedekamer-8.u6	Support, Chairman.
ParlaMint-NL_2016-09-06-tweedekamer-8.u7	We support this request. I would ask that the letter already announced during oral Question Time be included in that debate. I can also imagine that we are going to merge the debate that Mr De Graaf is about to request with this debate, because it is actually about the same subjects. Perhaps the Minister for Social Affairs and Employment could be included, given the question that I myself put in the oral question for reply in that letter.
ParlaMint-NL_2016-09-06-tweedekamer-8.u8	Support for this debate. I note, however, that the letter that has already been announced needs to be substantially extended. I would like to say that this letter should preferably be ample, but at least one day before that debate in the Chamber. Otherwise, it's gonna be a little tricky with three rulers.
ParlaMint-NL_2016-09-06-tweedekamer-8.u9	Support for the debate and support for Mr Van Bommel's suggestion to get the letter in time. Also support Mr Ten Broeke's suggestion to see if we can include the other items on the list which are actually also on the subject of Mr De Graaf's debate, and I believe that there is also something on Mr Van Meenen's list.
ParlaMint-NL_2016-09-06-tweedekamer-8.u10	Support for the request.
ParlaMint-NL_2016-09-06-tweedekamer-8.u11	Support for the request and for the additions mentioned by Mrs Maij.
ParlaMint-NL_2016-09-06-tweedekamer-8.u12	The situation in Turkey is very serious, in such a way that we felt in the recess that the Chamber should come back for this debate. But then the room chose the beach. Of course, support. There's no other way.
ParlaMint-NL_2016-09-06-tweedekamer-8.u13	It seems very good to me, so I support the request, including the merging of other debates and the letter requested.
ParlaMint-NL_2016-09-06-tweedekamer-8.u14	This is a request that cannot remain unspoken. Support for the request. I would also like to receive an answer to the question that we have just asked, but which has not been answered.
ParlaMint-NL_2016-09-06-tweedekamer-8.u15	There is every reason for a debate in the Chamber. Congratulations on your support, including for the letter.
ParlaMint-NL_2016-09-06-tweedekamer-8.u16	For the record, Mrs Maij suggested bringing the debates together. I maintain my request for a separate debate with the Secretary of State for Education.
ParlaMint-NL_2016-09-06-tweedekamer-8.u17	You'll have your turn. We don't know if there's a majority for that. Mr Segers, there is a large majority in favour of your request. In fact, everyone is in favour of holding a debate.
ParlaMint-NL_2016-09-06-tweedekamer-8.u18	I have no objection to an invitation to the Minister of Social Affairs.
ParlaMint-NL_2016-09-06-tweedekamer-8.u19	Thank you. We'll take that into account. I propose that the stenogram of this part of the meeting be transferred to the cabinet. I give the floor to Mrs Agnes Mulder on behalf of the CDA.
ParlaMint-NL_2016-09-06-tweedekamer-8.u20	Mr. Chairman. We discussed waste water injection in Twente in March. More than 30,000 Twenteners have signed a petition because they are very concerned about wastewater injection. I asked questions to the Minister in March. We wouldn't see that the NAM would start to inject that wastewater again in the summer, would we? When I was in Russia, the NAM announced in the newspaper that she would start again. I received a promise from Minister Kamp that he would first discuss this with the Chamber. We really need this right now, so I am asking for support for this debate in the short term.
ParlaMint-NL_2016-09-06-tweedekamer-8.u21	Congratulations on your support.
ParlaMint-NL_2016-09-06-tweedekamer-8.u22	Congratulations on your support. I have already put questions to the House on this subject as a result of the reports. I would have liked to have answered that for this debate.
ParlaMint-NL_2016-09-06-tweedekamer-8.u23	The Christian Union supports the request.
ParlaMint-NL_2016-09-06-tweedekamer-8.u24	Support from the SP as well.
ParlaMint-NL_2016-09-06-tweedekamer-8.u25	As Twent but also as a Dutchman wholeheartedly support.
ParlaMint-NL_2016-09-06-tweedekamer-8.u26	Support for the request.
ParlaMint-NL_2016-09-06-tweedekamer-8.u27	The Minister indicated that he wanted to answer for this in the Chamber. That's very wise. Support for a debate, but perhaps we should hold a general discussion. A debate might be a little late.
ParlaMint-NL_2016-09-06-tweedekamer-8.u28	But you support the request? Okay.
ParlaMint-NL_2016-09-06-tweedekamer-8.u29	Support for the debate. It is a very valuable suggestion from my colleague in the VVD to be able to speak on this important subject as soon as possible.
ParlaMint-NL_2016-09-06-tweedekamer-8.u30	Support for a debate.
ParlaMint-NL_2016-09-06-tweedekamer-8.u31	Mrs Mulder, you have a large majority in favour of holding a debate, but there is also a suggestion that we should try to hold a general discussion on planning.
ParlaMint-NL_2016-09-06-tweedekamer-8.u32	I understand that we will also have the debate on gas extraction next week. Maybe we can also allow this debate to take place along the way. It doesn't have to be a very long debate. We have received a commitment from the Minister here in plenary. It seems to me to be as neat with regard to Twenteners as we finish here in the plenary. Let the Minister indicate whether he has taken a serious look at the alternative, namely waste water treatment. I couldn't figure out exactly how much that cost and why it went on or off. Let's talk about it in this plenary. Should the NAM unexpectedly start the wastewater injection earlier, we may have to try something else, but let's really discuss it nicely here.
ParlaMint-NL_2016-09-06-tweedekamer-8.u33	Thank you. I give the floor to Mrs Van Veldhoven on behalf of D66.
ParlaMint-NL_2016-09-06-tweedekamer-8.u34	Mr. Chairman. I am now at my third set of parliamentary questions that I am exchanging with the Minister for Infrastructure and the Environment about the situation at Petten. This spring we had an AO in which the information was not complete. I would like to ask for a debate so that we can have a direct exchange of views with the Minister rather than just through written questions. I therefore call for a debate on the situation at Petten and, in particular, on the permit issued for transport.
