ParlaMint-NL_2016-02-04-tweedekamer-8.u1	I would like to welcome the Secretary of State for Social Affairs and Employment.
ParlaMint-NL_2016-02-04-tweedekamer-8.u2	Mr. Chairman. Mrs Van Stokhum writes to me: "I sometimes do not eat so that my children can eat and then I lie to my children that I have already eaten something or that I will eat later. I have two more years to live and then three years in debt relief." Prime Minister Rutte promised every Dutchman €1,000 before the elections. With a promise of €1,000 additional debt for the Dutchman it would not have been a lie, at least for the poor side of the Netherlands. Due to huge cuts, low incomes, higher rents, even higher care costs and a huge bureaucracy, one in five Dutch people now has problematic debts. The cabinet is making more than 50 billion cuts, a policy of impoverishment that prevents more and more groups from getting to grips with each other. Is the Secretary of State prepared to take a critical look at cabinet policy? What politics causes people's debts? This is a first condition in order to be able to close the faucet for the emergence of debt and effectively combat debt and poverty. Mickie van der Klooster writes to me: "For years I have been lagging behind my health insurance provider, which means that I pay 130% premium and do not get paid. I can't go anywhere. I can't change insurance. Every year I pay around €700 fine to the Dutch State." According to the government, this policy should act as a stimulus, so that paybackers will pay properly. However, it is counterproductive, because nothing can be redeemed at all. It is an example of failing and wrong government policy and of impoverishment policy. The number of debt relief applications has doubled for a reason in recent years. The average amount of debt has also risen. Last Sunday, in De Monitor, it became clear once again that debt relief is often seriously inadequate. The consequences are disastrous, people knock in vain on their congregation for debt relief. Obstacles are being created which are not covered by the law, but are being applied. Irma writes to me: "I am in debt, but debt relief cannot help me because of under-income." You heard me right. Is the Secretary of State finally gonna make sure everyone gets help? How's she gonna do that? Is she prepared, for example, to start as soon as possible with a hotline for people who are out of the boat, so that we can have some insight into this? I would like to know what is going on with the introduction of the legal moratorium, seven years to date. We know that the law is ready for this; we have been hearing this for years. When's it coming to the room? Are we gonna implement that law this year? Will the Secretary of State bring that to the Chamber next week? The Secretary of State is system responsible for the Municipal Debt Relief Act. The aim is to prevent or resolve problematic debt as much as possible. Shouldn't the Secretary of State conclude that this failed for her?
ParlaMint-NL_2016-02-04-tweedekamer-8.u3	Mr. Chairman. One in five households have high-risk debts. A large part of it actually gets in trouble. One in five, then. Let that get through to you. Why don't you take a look in this room and think how many people that would hit here? It's often people who live around the minimum. But more and more often it is also about middle incomes, so people with a normal salary who get into trouble anyway. The Chamber has been worried about this for a long time. I am also concerned about the help these people are getting, or perhaps not getting. I agree with something Mrs Karabulut just mentioned. Last year, I believe in November, the Secretary of State said that she would soon come to the Chamber with the legislative proposal on the legal moratorium. We have been about four months and still haven't seen anything, while this proposal has been ready for years. Can the Secretary of State promise that it will be here as soon as possible, so that we can really settle this this this year? In that context, I am also concerned about what is happening at the CJIB. It is now finally possible to agree on a payment arrangement under strict conditions in the event of a fine. However, there are still cases that are not eligible for this. Let me say first of all, people who get a fine, they just have to pay. However, it is too common for the CJIB to bang through sections and that this will cause more and more problems for the people involved. I want the Secretary of State to show how it is possible that the CJIB will also respect such routes, so that the costs do not increase for these people. That doesn't help society in the end either. The Vereniging Eigen Huis proposed last week to register the student debts with the BKR. It's this cabinet that has saddled our young people with high college debts. We had already predicted that this would cause problems, and it appears that this is increasingly the case. The Vereniging Eigen Huis is concerned about this and I can imagine that, but registering at the BKR can also mean that young people can no longer buy a house at all. At the same time, the situation at the moment is that if you honestly admit that you have debts, you're screwed, but if you keep it from me, you're gonna get away with it; that's an dishonesty that shouldn't be allowed either. Is the Secretary of State prepared to take a look at this, in the sense that either the principle of equal monks applies to equal hoods, where everyone is registered and examined how to help young people in the housing market in a different way, or we all simply accept that a group is going to get into more and more trouble as a result of the study system? I also ask the Secretary of State about the implementation of the Heerma/Schouten motion on governance. Can it indicate when this will be clarified? I would also point out that there is still a great deal of uncertainty about the preference of creditors. It may happen that, for example, a housing corporation is equal to Wehkamp, with all the consequences. Can the Secretary of State undertake a letter stating how it will regulate the preference of different creditors?
ParlaMint-NL_2016-02-04-tweedekamer-8.u4	I share with Mrs Schouten the fight to improve the system of debt relief. I do have one more question for her. Part of the cause of the debt lies in government policy, which has often been supported by its party. Does she say, with the knowledge of today, that it should be looked at critically that this puts people in trouble, whether that's the cost of care or the high rents? Shouldn't we at least ask the Secretary of State?
ParlaMint-NL_2016-02-04-tweedekamer-8.u5	We always have. When laws are introduced, we look at their effects on lower incomes. Wherever that gives us trouble, we call the bell ourselves. So I think it is an unnecessary question from Mrs Karabulut. It is always better to first look at the effects, but when measures are introduced we also look at their impact on lower incomes.
ParlaMint-NL_2016-02-04-tweedekamer-8.u6	This is the answer I expected from the Secretary of State. Now the Secretary of State certainly fits Mrs Schouten, but she is now, like me, a representative of the people. More and more people, as well as the aid organisations, indicate that the government's policy, of which the higher rents are part, is one of the biggest causes. I would like a more substantive answer than Mrs Schouten's answer. Look, we do, but are we going to solve it when we see that government policy is a co-cause of growing inequality, growing debt and growing poverty in the Netherlands?
ParlaMint-NL_2016-02-04-tweedekamer-8.u7	To give you an example, this debate is followed by another part of the debate on the flow of the rental market. That's also about the rent increases. Last Tuesday I had a debate with the cabinet until night, and then I also drew attention, for example, to the groups which are just between shore and ship and which are just outside the rent allowance, but are unable to flow to the regular housing market and are therefore completely stuck with their income. So the suggestion that we are not paying attention to that, I contradict. Maybe this example reflects that. It is always good to receive an inventory of how it works out. It's just that I disagree that we don't pay any attention to it.
ParlaMint-NL_2016-02-04-tweedekamer-8.u8	Mr. Chairman. We are talking about debt issues and higher rents, higher excise duties and higher VAT. Everything's going up, and that's cabinet policy. It is cabinet policy to charge people with higher burdens to save Greece, for example, to keep the borders open, to build asylum centres and so on. All that kind of business has to be paid for. What can only be done? Squeeze the population further. But the bills will of course continue to come. Of course, this often affects the people with debt problems. These are people at the bottom of the labour market, people who are unemployed. How does unemployment get so high? Again, that's because of government policy. People can report to the municipality for debt relief. We are in favour of allowing people to make use of this at least once. I don't really see the eyes of the cabinet open to these people. They keep getting bombarded with higher charges and higher rents. It is the essence of Rutte II: if you want to cut back or increase the burden, you throw it over the fence to the municipalities, you give that less state contribution and then they raise the burden locally. That's how the circle is round. I see my esteemed colleague Karabulut standing by the interrupting microphone.
ParlaMint-NL_2016-02-04-tweedekamer-8.u9	What Mr De Graaf says about Rutte II is certainly true. 15 billion cuts, that is not necessary, not even with a refugee crisis. Back to Rutte I, where the PVV has also made huge cuts in the rents, the sale of the social rentals, as a result of which we now have a huge shortage of care costs and social employment services. He wanted to get rid of all that, too. Does he want people to tell you the truth, instead of just pointing at people in need?
ParlaMint-NL_2016-02-04-tweedekamer-8.u10	It seems as if we have gone back a number of years in this debate. That's fine, then we just pretend it's 2011. We took responsibility at that time. The SP has never done that here before. He's always been out of the cabinet. At least we've been tolerant partners. The situation at the time, although only so recently, was very different than it is now. It was a completely different time when you look at the influx and the like that is now and the situation in the labour market that is completely different. That's a whole different story. We have taken our responsibility, but also, when it became awesome for the groups we are talking about, the plug was pulled out because it was no longer justifiable. That is where we have also taken responsibility. That sounds like a story the SP should be waiting for.
ParlaMint-NL_2016-02-04-tweedekamer-8.u11	The truth is that the PVV is as right-wing as, or perhaps more right-right than the VVD, the CDA and D66 put together. It has been the PVV that has saddled the people with the start of a billion-dollar savings package, and it is the same PVV, which at the moment, with 90% of the proposals of those right-wing parties that squeeze people, just majority. That's what needs to be said.
