ParlaMint-NL_2016-06-08-tweedekamer-6.u1	I would like to welcome the Secretary of State.
ParlaMint-NL_2016-06-08-tweedekamer-6.u2	Mr. Chairman. I have two minutes and five motions. That's why I'm getting off to a quick start. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the fox is on the national exemption list, which means that fire may take place throughout the year throughout the Netherlands;]] [[noting that the animals never cause damage at all times and everywhere;]] [[noting that the exemption list hinders provinces in providing customization;]] [[calls on the Government to remove the fox from the exemption list,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that hunting matches take place regularly in the country;]] [[noting that a competition element increases the risk of a selective discharge;]] [[calls on the Government to prohibit hunting games,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Animal Council concludes that the breaking of the neck of birds is unfriendly because death cannot enter immediately and can be painful;]] [[noting that the Council also concludes that the handling of birds at neckbreaking causes anxiety and stress;]] [[Asks the government not to allow neckbreaking in birds,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that hunting has a serious disruptive effect on all animal species in the area;]] [[calls on the Government not to allow hunting in Natura 2000 sites,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that wild birds in the Netherlands are caught on a large scale and ringing illegally;]] [[noting the lack of a watertight system to prevent game capture;]] [[calls on the Government to prohibit the keeping of birds which are also found in Dutch nature,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Thieme. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33348-178]] [[This motion has been tabled by Mr Thieme. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33348-179]] [[This motion has been tabled by Mr Thieme. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33348-180]] [[This motion has been tabled by Mr Thieme. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33348-181]] [[This motion has been tabled by Mr Thieme. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33348-182]]
ParlaMint-NL_2016-06-08-tweedekamer-6.u3	Mr. Chairman. I'll file the following motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the draft decision creates uncertainty as to whether or not to allow devices for the hunting of birds;]] [[Whereas Article 3.4 of the Nature Conservation Act sufficiently ensures that undesirable devices for the hunting of birds are prohibited;]] [[calls on the Government to amend Article 3.9 of the draft decision on nature conservation in such a way that the use of bird hunting aids is regulated through the third paragraph of the decision and not through the second paragraph of Annex IV to the Birds Directive,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[considers that a patchwork of provincial exemptions for grazing and fertilising is undesirable;]] [[calls on the Government to adapt the nature regulations in such a way as to continue the current national exemption from the permit requirement for grazing and fertilising for all Natura 2000 sites,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Dijkgraaf and Mr Geurts. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33348-183]] [[This motion has been proposed by Mr Dijkgraaf, Mr Geurts and Mr Graus. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33348-184]]
ParlaMint-NL_2016-06-08-tweedekamer-6.u4	Mr. Chairman. I have three motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas it is necessary to avoid the need to re-examine the procedure for applicants for a nature protection permit for small information supplements;]] [[calls on the Government, in consultation with the provinces, to allow for authorisation applications to be treated as reasonable under the transitional law under the current law before 1 July 2015,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas there is no province without damage to the gray goose;]] [[Considering that in 2015 more than EUR 8.6 million was paid out from the Fauna Fund for damage caused by the gray goose and that the total damage is estimated at EUR 70 million;]] [[calls on the government, as long as the population of grey geese is so large, to place the grey goose on the national compensation list for damage control and, in view of the current major damage, to maintain the compensation from the Fauna Fund for crop damage by the gray goose,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the draft decision on nature conservation leaves the fight against invasive alien species and wild animals to the provinces, despite European agreements to combat invasive alien species and some of these exotic species occur throughout the country, such as the Nile Goose;]] [[Whereas the Fauna Fund does not compensate for damage caused by invasive alien species;]] [[calls on the Government, in consultation with provinces on the basis of the Nature Protection Act, to designate invasive alien and feral species by ministerial arrangement,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Geurts and Mr Dijkgraaf. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33348-185]] [[This motion has been proposed by Mr Geurts and Mr Dijkgraaf. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33348-186]] [[This motion has been proposed by Mr Geurts and Mr Dijkgraaf. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33348-187]]
ParlaMint-NL_2016-06-08-tweedekamer-6.u5	I have a question about the previous motion. Why has Mr Geurts mentioned the compensation that farmers need to receive? I think a majority of the House agrees with that in one breath by putting the grey goose on the exemption list, which a majority of the Chamber may oppose? Whether you believe in the creation story or in the theory of evolution, the animals were there before man, so we have respectfully deal with it.
ParlaMint-NL_2016-06-08-tweedekamer-6.u6	The power of advertising is the repetition. I can also exude this sentence by now, because I hear it in every AO, VSO et cetera; fine. We deliberately put it in one sentence, because there is a chance that this cabinet will say: we are doing the one thing, but if there is damage or if there is insufficient hunting and there is damage, we will not do any damage, because you can hunt. That is why we are putting it in one sentence, Mr Graus.
ParlaMint-NL_2016-06-08-tweedekamer-6.u7	Short reaction.
ParlaMint-NL_2016-06-08-tweedekamer-6.u8	I can only say that I am sorry, otherwise I might support the motion. I feel a little challenged by "the power of repetition." It is true that every week since 1986 I dropped the word 'animal police, animal police, animal police'. At some point the animal police were a fact, even in dozens of countries.
ParlaMint-NL_2016-06-08-tweedekamer-6.u9	This was just a compliment to Mr Graus for being so good at advertising. So I don't see the problem. We shall consider his comments on the motion for a resolution. We will see if Mr Graus can help to support them.
ParlaMint-NL_2016-06-08-tweedekamer-6.u10	Mr. Chairman. I would like to thank the Secretary of State for his prompt response to the written consultation. It is always good to see that his ministry responds so quickly to that huge pile of huge questions. I would like to raise one point briefly. I am pleased that the Heerema/Geurts motion on the Oostvaardersplassen is in progress. This motion regulates the transfer of responsibility for the animal welfare of large grazers from the Empire to the province. That's a sensible step. I have one question about that. Can the Secretary of State indicate when he expects the final agreement with the province of Gelderland to be signed?
ParlaMint-NL_2016-06-08-tweedekamer-6.u11	Mr. Chairman. I have a brief announcement to make. I've been in the Chamber since 2006. It is true that I repeat a great deal, and it is also true that it often contains the power. The PVV was the only one who warned about the misery of Natura 2000. No party supported us all these years. I notice that several parties are waking up now that it's too late. We've tripped nature and the peasants and now we're gonna reach out to the helping hand. The PVV tried to prevent that. That didn't work. We have also warned of the banking crisis two years earlier. We have also warned of all the misery surrounding the refugees and Greece and mention it all. Every time the PVV gets right after so many years. I hope the Chamber will see that. If we say anything, it'll cut wood. As a second best, I have therefore signed the motion of my policy officer Professor Dijkgraaf. Of course we are and will remain against Natura 2000, but since the misery is there, as a second best I signed Professor Dijkgraaf's motion. I'd like to leave it at that. Have a nice day.
ParlaMint-NL_2016-06-08-tweedekamer-6.u12	Mr. Chairman. I'm filing two motions that the SP came up with on its own. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas a province is currently unable to stop the hunting of animals on the exemption list, even if a province wants to use the fox, for example, to combat goose pollution or if the wood pigeon falls in numbers and does not appear to cause any nuisance in that province;]] [[calls on the Government to allow the provinces to remove an animal from the exemption list at provincial level through a provincial non-freedom list,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[considers that in the event of damage and nuisance, animal-friendly methods should first be extensively tested, but that in practice this is not enough;]] [[calls on the Government to discuss with the provinces what steps can be taken to promote animal-friendly alternatives and to report on the results to the Chamber by spring 2017,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Gerven. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33348-188]] [[This motion has been proposed by Mr Van Gerven. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33348-189]]
ParlaMint-NL_2016-06-08-tweedekamer-6.u13	The Secretary of State says he needs two minutes to prepare his response.
