ParlaMint-NL_2016-05-26-tweedekamer-9.u1	There is a request from Mr Van Raak who has a point of order.
ParlaMint-NL_2016-05-26-tweedekamer-9.u2	The clock crawls to 11:00. It is not customary to start legislation after 11 p.m. I realize that it is the second term, but this law is also very closely linked to an initiative law. I am sure that during this period a lot of questions can be raised, at least on my part, and that it will not be dealt with very quickly. At this time, this may not happen with the care that the trial deserves. That is why I would suggest that we not continue to deal with this law now but at a later date, if possible next week or a little later.
ParlaMint-NL_2016-05-26-tweedekamer-9.u3	I am looking at the other Members to see if there is sufficient support for this.
ParlaMint-NL_2016-05-26-tweedekamer-9.u4	Of course, because I would immediately have discussed with the Minister whether this is so neat, given the fact that there is a Parliamentary initiative in the Upper Chamber. It's neat that this is being handled first.
ParlaMint-NL_2016-05-26-tweedekamer-9.u5	It's legislation and legislation wants to treat you as carefully as possible. Given the clock, I do think it makes sense to deal with it at another time. It is also not that there is a jumping rush; this can be done just a few weeks later.
ParlaMint-NL_2016-05-26-tweedekamer-9.u6	Support for the proposal.
ParlaMint-NL_2016-05-26-tweedekamer-9.u7	Although I am always very keen to go with people, I would like to point out that this bill has been stalling for a year. We have to go through it procedurally, but I think it will be a chicken-and-egg discussion. As far as I'm concerned, we're good to go.
ParlaMint-NL_2016-05-26-tweedekamer-9.u8	I can go along with that. A year ago, we had the first term. I think we discussed it on 11 and 18 June 2015, so almost a year ago. In my opinion, there is a need to do something quickly with what this proposal proposes, because every week the WOB is being abused and tax money is being spent that can be used differently.
ParlaMint-NL_2016-05-26-tweedekamer-9.u9	It's been quiet for a year, so a few more days can be added. 23:00 a.m. is 11:00 p.m.; this has often been discussed at the Bureau. This is really going to be night work because there will be a lot of fundamental discussions. So I would strongly urge you to stop now.
ParlaMint-NL_2016-05-26-tweedekamer-9.u10	I note that there is no support for the request.
ParlaMint-NL_2016-05-26-tweedekamer-9.u11	Let us then agree on one thing, namely that it will be scheduled for next week. In that case, the Labour Party does not want to be too difficult about this. But it must be dealt with at a time when it will not be taken off the agenda again if a debate ends, otherwise we will be able to keep busy. At first, the law was before the Open Government Act (Woo), but then we dealt with the Woo first. This is getting very procedural.
ParlaMint-NL_2016-05-26-tweedekamer-9.u12	I can go along with that. As far as I'm concerned, I can do it tonight, but given the timing, I'd be happy to have some compassion. I do want it to be on the agenda for next week and not put back on the road again.
ParlaMint-NL_2016-05-26-tweedekamer-9.u13	I note that there is support for the request, provided that the debate is scheduled for next week. I can't live up to the commitment here, but I'll pass it on to next week's planning.
