ParlaMint-NL_2016-06-29-tweedekamer-3.u1	I would like to welcome the Minister for Economic Affairs.
ParlaMint-NL_2016-06-29-tweedekamer-3.u2	Mr. Chairman. We are having an important debate today. It is important for the Chamber, for Groningen, for the Wadden, for all those affected by gas extraction and for anyone who wants to get rid of the use of fossil fuels quickly. Welcome to this new climate! That's what NOS-weatherman Gerrit Hiemstra said at the beginning of this month after heavy storms over North Brabant and Limburg and Germany and France also faced extremely high water levels. It was not the first time that we had to deal with extreme weather and it is not the last time. The Secretary of State for Economic Affairs is currently on his way to areas in Limburg where farmers have suffered a lot of damage from extreme rain and hail over the last few days and even weeks. Due to the extremely wet month of June in some places in the province of Limburg, 20 cm of rain fell in a few days, four times as much as usual in a whole month of................................................................................................................................................ This is a harsh blow to farmers and a small example of what climate change brings about. I live in South Limburg and this month I have also been with mops and buckets in the weather to make a flooded basement anhydrous. Fire and emergency services had to pull out dozens of times every day to help people and traffic had to be rerouted due to flooded streets. Welcome to the new climate! Why do I start my contribution to this debate on mining and gas extraction with a story about extreme weather and extreme rain? Because this illustrates why it is so important to get rid of fossil fuels as quickly as possible, which contribute greatly to global warming and climate change. We have brought about the misery of ourselves and we must solve the problem ourselves. The greatest challenge of our generation is to keep the Earth alive. That is to say, we must prevent the global warming from getting too far. The necessary adjustment of the economy is so drastic that it is comparable to the collapse of the Eastern European economies after the fall of the wall in 1989; this is what CE Delft rightly writes in a recent report. As the Eastern bloc had to adapt to a different form of economy and to live together, so will we have to do with all of us worldwide. We will have to shape our lives in such a way that they weigh much less on the climate, on nature and on the possibilities of future generations. There's no planet B, there's no exit. Keeping our earth viable is an overriding interest. All policies, all laws must be in this sign. We must test everything against this interest, too, or perhaps just mining. After all, not only does burning fossil fuels heat up our earth dangerously, its extraction causes great problems for nature, man, climate and the environment. Unfortunately, we have not spoken for too long about what the extraction of gas from the Groningen field actually meant for the people there. Now we are having a lot of debates on this, and that is only right. We are trying to solve the problems caused by gas extraction. It is, of course, everyone's aim to ensure that gas extraction or salt extraction or any other mining activity does not cause any problems. The Mining Act, as we are discussing today, does not appear to be an appropriate and complete instrument for this purpose, and we still need to change the law. The Mining Act is only a market organisation law. Under the Mining Act, permits are issued for experimental drilling, for mining or for the use of soil to store things as a waste pit, for example, waste water that causes so many problems and worries in Twente. The Mining Act aims only to ensure that the company has the exclusive right to extract gas or oil in a given area. That's what the Minister emphasizes every time. The safeguards for people and the environment, for example in view of the danger of groundwater pollution or the prevention of damage to houses due to soil degradation and earthquakes, are not at all included in the Mining Act. The test of activities on their effects on the environment and health is only in environmental and environmental laws. That's not what this Mining Act was designed for at all. The basis of the law is an efficient extraction of our mineral resources. According to the Party for Animals that is really the wrong starting point. What we see in practice is that licensing for gas extraction or salt extraction, and perhaps in the future also for shale gas extraction, is an automatism. In fact, permits under the Mining Act are always given. The Minister has no grounds for refusing the licence, lets be able to amend or withdraw a licence once issued. These are market organisation licences, but not licences which take into account the risks to man and the environment of pilot drilling or extraction. The Chamber has tried to strengthen this on the basis of firm advice from the Security Research Council. I shall return to that later in my speech. I'm gonna go check on the current permit. The market organization authorisation under the Mining Act is therefore almost always given. The same applies to the permits needed to be able to effectively drill, namely the environmental permit and in some cases a nature protection permit. They're usually delivered. It is very difficult to demonstrate that the intended drilling entails unacceptable risks. This does not happen in practice, or hardly does it. A company can simply drill for mineral resources that are all ours, for mineral resources that, when mining and using them, warm up our climate even further, for mineral resources that are under our houses and next to our drinking water supplies. These drillings have done an incredible amount of damage in recent years. Why, I ask the Minister, is we so much inclined to offer investment security to companies in our country and so little in terms of the safety of people and the health of our climate and environment that the political consideration of saying "no' to the application for mining permits is nowhere in this process? The Animal Party considers the whole Mining Act to be wrong, and that is not surprising either. The Mining Act of 2002 replaces, among other things, the Mining Act of 1810, which was introduced under the rule of Napoleon. Also in this Mining Act, as in the early nineteenth century Mining Act, it is mainly about the efficient extraction of fossil fuels. The Mining Act of 2002 is still a very conservative law. The biggest difference from the law of 1810 is that the old law was drafted in French and the Mining Act in Dutch. It is time for a new law, a modern twenty-first century law aimed at the future, aimed at keeping the earth viable rather than at efficient extraction, aimed at the transition to a sustainable energy supply. Let us therefore call it a transition law. Whether or not to win Dutch mineral resources can then actually become an informed decision rather than an automatic one. I would like to hear a response from the Minister to this proposal. I am considering tabling a motion on this point. Until there is a future-proof law, we will have to do it with this Mining Act. Today we are discussing two changes to the law, two changes with a long history. For decades, billions of cubic meters of gas have been extracted from the ground in Groningen every year. This is done to meet our addiction to fossil fuels and, at least as important, to fill the state treasury. For a long time, the safety and well-being of the inhabitants of Groningen have not been an important factor. The creed was "more," but it wasn't "safer." Physical damage to buildings, damage to emotional well-being due to constant stress and tension: in Groningen, gas extraction has left deep, deep traces. Unfortunately, she still does. Last year, my group was forced to use an amendment to the Mining Act, which was intended to prevent disasters such as the Deepwater Horizon in the Gulf of Mexico, to do what the Minister had for years failed to do, namely to defend the interests of the Groningen people who are being held up by the NAM. The Groningers were saddled with damage to their homes and had to learn and fight for years to get that damage compensated. My colleague, Mr Ouwehand, together with colleague Jan Vos of the Labour Party, tabled an amendment to make sure that victims of damage no longer had to prove themselves that the damage to their homes was caused by gas extraction. The burden of proof would then be transferred to the NAM. That was only logical, since the NAM, who caused the damage, had left the people in the cold for years. Those people didn't ask for their house, that safe place they're proud of and where they put time, energy and money, to be damaged. The Chamber has been insisting for a very long time, since the original Mining Act in 2001, on helping those people and taking care of them. The government has always refused to do so. Even now, the Minister has ignored the wish of a broad majority of the Chamber. I'm gonna explain that. The novelle has completely stripped the amendment adopted, which, in the event of mining damage, placed the burden of proof on the causer. Of course, I have also read the opinion of the Council of State. There is no conclusive legal framework that states that there would only be a presumption of evidence in the case of many reports. It is up to the legislator to determine the scope of the law. Can the Minister confirm that? He now proposes that instead of the whole of the Netherlands, the impact area of gas extraction in Groningen should be eligible for reversal of the burden of proof. But what exactly is this area of effect? And why does the Minister want to designate this per ministerial arrangement, which in fact puts the Chamber out of play? If it is indeed based on already recognised claims of damage, is it true that the Technical Committee on Soil Movement estimates that this area will be very small and that this will also lead to great legal inequality? In a manner of speaking, people on one side of the street could call for compensation, but not their neighbors. If this assumption is correct, why did the Minister choose this serious restriction of the amendment? The Minister's solution now leaves far too many people in the cold. Together with colleagues from other groups, we have sought ways of getting as many people as possible under this reverse burden of proof. After all, all people who are saddled with mining damage have a right to be helped. The battle of the Groningen against the mighty NAM is an unequal battle: a battle by David against Golinam. Let us try to help David to force the giant Golinam to his knees. The restrictions imposed by the Minister on the reversal of the burden of proof really go far too far to achieve its objective. Today we are proposing a new regime, linking the reversal of the burden of proof to gas extraction in the Groningen field. After reading the history of this amendment, the next thing really has to be my heart. I hope that the Minister will be generous in his attitude towards the people who are being burdened with damage to their homes. Let's get the best deal possible for them, Minister. Only in this way can we implement the recommendations of the Research Council for Security and restore the broken relationship with the people of Groningen. Does the Minister agree with me? The Minister said that he embraces and accepts all the recommendations of the OVV. The amendment to the Mining Act, which we are discussing today, comes from this. But once again, the Chamber really had to take the lead, simply because the Minister is not speeding up enough. And here too, in anchoring the security importance, the better involvement of the local authorities and the extension of the grounds for refusal of permits, the Minister weakens everything. Why is that happening? I would like to thank my fellow Members for all the amendments they have tabled on these points in order to better safeguard the interests of public health, the municipalities, the waterboards, the provinces, our drinking water and, of course, the population. I would like to leave the explanation to them in a moment, but I say that I have co-signed the amendments with full conviction and that I hope for a cooperative attitude by the Minister. He is also the Minister of the Groningen. As a devil from a box we received a letter of amendment to the law last week, which allows the storage of CO in use in gas fields and which the Minister also wants to establish the security of supply in the law. This minister clearly does not want to say goodbye to the fossil economy. CO storage is not a solution to climate change. CO storage is an excuse for coal plants and other fossil industries to continue to emit greenhouse gases. It legitimizes their existence and legitimizes their survival. That's sticking your head in the sand. That's what lived in the last century. Every euro we invest in CCS (Carbon Capture and Storage), the storage of CO, is one euro less invested in new, renewable energy. The Minister now wants to get ROAD (Rotterdam Storage and Capture Demonstration Project) off the ground at all costs and even amends the law to push through a currently unproven technique, the safety and environmental risks of which are not known, at the expense of the taxpayer. The companies ENGIE and Uniper have built 3 billion in new coal plants, but they pay EUR 100 million in ROAD, less than 20% of the total cost. Is that right? Is it true that he himself invests 150 million and that the European Commission invests even more, namely 180 million? The tax reductions for companies that want to use gas off our coasts are apparently not enough as a financial injection for the fossil industry. This amendment will ensure that taxpayers pay for the storage of COvan coal plants via both Brussels and The Hague. This also involves direct State aid for the production of fossil fuels. How does this relate to the polluter pays principle? This principle is also embraced by the Cabinet. I propose that we stop paying the polluter's accounts through tax rebates, funding demonstration projects or whatever. I would like to receive a response from the Minister, because I am considering a motion on this point. Can the Minister also confirm that CO will be used to increase the pressure in the field in order to gain more gas? This will partly offset the temporary climate effect of that CO storage. Is that really a sensible climate measure? Not as far as the Party for Animals is concerned. I have an amendment in preparation to reverse the Minister's change in CO storage. CO storage is not a useful tool in the fight against climate change. The same applies to shale gas. The Minister has reluctantly agreed to a moratorium on shale gas extraction until 2020. At the same time, he opens the door to extraction by making sure that tests are carried out for scientific purposes. The law allows the Minister to exclude mineral resources from extraction per AMvB. I ask the Minister to say to the Chamber that he will not allow shale gas drilling at least until 2020 and to record it in such an AMvB. I'd like to get a response from the Minister. The Animal Party has for years been pointing to the large emissions of greenhouses associated with the production of our food. Deforestation, fertiliser use for the production of animal feed, animal dragging, animal feed and meat all over the world, but above all the emissions of greenhouses from livestock, including methane, contribute more to global warming than all traffic in the world combined. Methane is a very strong greenhouse gas that does its destructive work in a short time. If we manage to reduce methane emissions in the short term, we will make a major blow to the climate. However, methane is not only a by-product of the meat industry; the largest proportion of natural gas is methane, i.e. more than 80%. And I said it's an extremely powerful greenhouse gas. It's tens of times more powerful than CO2. So it has much more impact on climate change. Like I said, methane is the main product of gas extraction. It must therefore be said that a great deal of methane escapes and that it enters the atmosphere when it comes to extracting natural gas, the same methane. How much methane escapes from gas extraction in the Netherlands every year? Does the Minister know that? If not, can and will he have it investigated? President Obama earlier launched plans to reduce methane emissions in the oil and gas sector by 45% over the next ten years.
ParlaMint-NL_2016-06-29-tweedekamer-3.u3	Mr. Jan Vos wants to interrupt.
ParlaMint-NL_2016-06-29-tweedekamer-3.u4	It's about that CCS. It is very nice to table an amendment on this and say: we do not want that. Sensitively, I can go a long way along with that. But even Greenpeace recognises that the capture and storage of CO will be necessary. Then where is the Party for Animals?
ParlaMint-NL_2016-06-29-tweedekamer-3.u5	We don't think it's a good measure. It is not really a structural solution, because coal will continue to be used and we think that we should get rid of it. And that CO you're trying to store temporarily. COis a gas that's heavier. I mean to say it sticks when something goes wrong and the gas escapes. This may cause asphyxiation. So it's not like it's gonna blow up and get into the atmosphere. You're really playing with fire, because it could be a dangerous technique. The evidence for this technique has not been provided. In particular, it is an extremely expensive technique and it provides a safety valve, an outlet, to continue firing coal in coal-fired power stations, which we consider very undesirable. If we really want to get rid of these coal plants, we need to invest the money in alternatives instead of investing 500 million in the collection and storage of CO. It is not a real measure, but it is a sham measure, a pubic measure.
ParlaMint-NL_2016-06-29-tweedekamer-3.u6	CCS is not only used worldwide at coal plants but also in initial processes and at gas plants. The International Energy Agency (IEA), the United Nations and Greenpeace recognise that this technology will be urgently needed to prevent us from emitting too much CO and extracting that gas from the atmosphere in the future. Everyone recognizes that. The last argument is not reflected in your story. So it's very easy to keep this up, but I really don't think you'll be in reality.
ParlaMint-NL_2016-06-29-tweedekamer-3.u7	Is this a question or is this a thesis? I just extensively argued why I'm...
ParlaMint-NL_2016-06-29-tweedekamer-3.u8	You may respond, but you do not have to.
ParlaMint-NL_2016-06-29-tweedekamer-3.u9	I'll take it as a statement. Mr Vos does not seem to agree with me. I have argued that we are not finding a solution to the storage of CO. I have just said that it is a very expensive technique and advocates that the money that is available and that should be made available should be used to replace those coal plants. Put on renewable energy instead of patching up the old techniques.
ParlaMint-NL_2016-06-29-tweedekamer-3.u10	You want to explain something?
ParlaMint-NL_2016-06-29-tweedekamer-3.u11	Yes. Rewording: what argument do you want to show that you think you know better than the International Energy Agency, the United Nations and Greenpeace?
