ParlaMint-NL_2016-11-30-tweedekamer-8.u1	I welcome the Minister of Security and Justice. I call the first and only speaker: Mrs Kooiman.
ParlaMint-NL_2016-11-30-tweedekamer-8.u2	Mr. Chairman. We have discussed a lot in the AO about fire services, but two points have remained. I'll just file my motions right away, because I think they're clear enough. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[considers that the control of the fire department by the Minister and Municipal Councils is very limited;]] [[considers that this creates a democratic gap in the control of fire and safety regions;]] [[whereas the Safety Regions Act will not be reviewed until 2019;]] [[calls on the Government to carry out the evaluation of the Security Regions Act already in 2017,]] [[and goes to the order of the day.]] [[This motion has been proposed by the Member Kooiman. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-30821-35]]
ParlaMint-NL_2016-11-30-tweedekamer-8.u3	What is so great about this motion is that the Minister may not be able to say 'I am not about to' after that evaluation, because I would very much like the Minister to have something to say about it. That's actually what my next motion is about. It's meant to give the minister a hand. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas, in the event of a decisive incident, the safety regions differ from the composition of a basic fire-fighting unit defined in the Decision;]] [[Whereas the safety regions do not immediately deploy a tank car sprayer and/or insufficient personnel in the event of appropriate incidents and this has an impact on primary impact;]] [[noting that Article 3.2.1 (3) of the 2016 Security Regions Decision states that the unit always has a tank-vehicle sprayer equipped with equipment;]] [[calls on the Government to appeal to the security regions to comply with the Security Regions Decision and to ensure that, in the event of a decisive incident, a tank sprayer is always sent directly to the incident,]] [[and goes to the order of the day.]] [[This motion has been proposed by the Member Kooiman. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-30821-36]]
ParlaMint-NL_2016-11-30-tweedekamer-8.u4	That was neat in two minutes, Mrs. Kooiman.
ParlaMint-NL_2016-11-30-tweedekamer-8.u5	Yeah, I think I'll be ready right away.
ParlaMint-NL_2016-11-30-tweedekamer-8.u6	Thank you. We'll wait for the two motions to be copied.
ParlaMint-NL_2016-11-30-tweedekamer-8.u7	Mr. Chairman. I recall that we had a very good and thorough exchange of views with the Chamber on all aspects relating to crisis management, disaster management and fire-fighting. Many elements have already been put into effect, including with the assent of the Chamber. Two motions have been tabled by the SP Group. With the motion in part No. 35 is asked to bring forward the evaluation of the Security Regions Act. That would be crazy. We did the final evaluation according to the appointment with the Chamber in 2013. We then discussed them with the Chamber. Then we agreed that we would do that again in 2019. I do not see any reason to fill in that agreement differently from what we discussed with the Chamber earlier. I must therefore discourage the motion. The motion in part No. 36 is interesting. If Mrs Kooiman means this motion so that the security regions must comply with the legal provision that, in the event of a dimensional incident, a tank sprayer with equipment is to be yanked out and that the combinations of, for example, a SIV2 and a TS4, a TS6 or two TS4s, which have been added together, can be understood, the motion is in line with current policy. Then the motion is superfluous, but I can leave the verdict to the Chamber. If Mrs Kooiman means the motion so that it should always be a TS6, while some security regions have chosen within the framework of the law to build up to the impact of a TS6, it becomes complicated to leave the vote on the motion to the Chamber.
ParlaMint-NL_2016-11-30-tweedekamer-8.u8	I need to make it a little more complicated for the Minister. In fact, Article 3.1.2 (3) of the Security Regions Decision states that a tank-vehicle sprayer must be used, but that there may indeed be a derogation from the staffing requirement. Unfortunately, SIVs are now sent forward in a decisive incident, for example in the Gooi- en Vechtstreek and Hellevoetsluis. Actually, that's not in line with the agreements. I would therefore ask the Minister to say that, in the event of a decisive incident, at least a tank sprayer comes with equipment.
ParlaMint-NL_2016-11-30-tweedekamer-8.u9	That is where I can reassure Mrs Kooiman. We agree that if there is a need to yank out with a tank car sprayer, so if the measuring incident prescribes a tank car sprayer, two SIVs cannot be enough, because then there are up to four people with two cars. This is not enough to meet the requirements of the regulation. If Mrs Kooiman and I agree that this motion should be understood in such a way that it will never be yanked out with two SIVs or one SIVs instead of a tank car syringe, because that is not enough, but at least with a TS6, a TS4 and a SIV and/or two TS4s, then the motion corresponds to the current policy. Then I can leave the verdict on the motion to the Chamber.
ParlaMint-NL_2016-11-30-tweedekamer-8.u10	Finally, Mrs Kooiman.
ParlaMint-NL_2016-11-30-tweedekamer-8.u11	It went so well, until that last sentence. The point is that the law states that it must be a tank car sprayer. It's okay with four people, but a SIV, a Quick Intervention Vehicle, has too little impact. The Security Regions Decision states that a unit must have a tank-vehicle sprayer in the event of a dimensional incident. I therefore ask the Minister simply to implement this law and address the security regions so that no plant syringes are sent to a meaningful incident.
ParlaMint-NL_2016-11-30-tweedekamer-8.u12	The difference of opinion between Mrs Kooiman and me seems to be that a TS4 plus a SIV equivalent would be insufficient. Do I understand Mrs. Kooiman that well? That is the current practice, which is also possible alongside the other combinations I have mentioned.
ParlaMint-NL_2016-11-30-tweedekamer-8.u13	As long as one tank car syringe is sent to a measuring incident. There's four people in there, but no SIVs.
ParlaMint-NL_2016-11-30-tweedekamer-8.u14	No, but they'll have to come in. That's the joke. A TSV4 is not enough for a decisive incident, if I understand correctly. I believe that confusion has arisen now, while we are in agreement. It's either a TS6, or a TS4 plus another TS4, or a TS4 plus a SIV2, but never two SIVs. That's what I've been saying all along. Mrs. Kooiman and I agree from the beginning. The motion is superfluous, but I'll leave the verdict to the Chamber.
ParlaMint-NL_2016-11-30-tweedekamer-8.u15	We will vote on the two motions next Tuesday.
