ParlaMint-NL_2016-03-16-tweedekamer-4.u1	I would like to welcome the Foreign Minister.
ParlaMint-NL_2016-03-16-tweedekamer-4.u2	Mr. Chairman. We are going back from the Rules of Procedure to legislation, and we are going back to special legislation, because it is a matter of national legislation and we do not have so many national laws. If I have counted correctly, there are five consensual laws binding the other countries in the Kingdom. This will not be a consensus law, but it will be a state law. This law aims to make it possible for the National Council of Ministers to agree to European sanctions and to make them binding on the other countries of the Kingdom. The Labour Party shares the government's view that it is important that sanctions are implemented throughout the Kingdom. This is desirable for the unity of external relations and for the effectiveness of European sanctions. A sanction measure may have different consequences for the Caribbean countries than for the Netherlands, and this could lead to a conflict or dispute between the Caribbean parts of the Kingdom and the European Netherlands. In my contribution today, I will express those concerns in particular. It took quite a while for this bill to come on the agenda. Have there been any developments since the bill was offered? Is Curaçao, for example, still opposed to this proposal? Has Curaçao actually taken over the sanctions against Russia or is it still not? I also have two questions on the note on the report. The Minister replied that, in terms of both regulation and application, the Netherlands would provide assistance to the countries or perhaps already do so. What does this assistance look like? Can countries always claim this assistance, even if there are conflicts in other areas? So far, the government has often tied up requests for aid from countries with other ongoing discussions. The Minister also replied that the Ministry of Foreign Affairs is open to suggestions from the countries to further improve the coordination procedure. The process of dealing with the bill has therefore been stalled for more than a year now. What further work has been done at that time to improve this coordination procedure? The PvdA Group is therefore concerned about how disputes that will arise as a result of this law will be dealt with. There is no mention of this in the law in any way. Countries will be involved in the determination of the position of the Netherlands, but this obligation to coordinate has yet to be developed. Has the protocol on the coordination procedure already been finalised? If so, can the other countries agree to this protocol? If not, does the Minister intend to reach consensus with the other countries within the Kingdom before adopting the Protocol? How can the countries concerned address violations of this protocol? What if they are not informed in good time, fully or correctly? In what way can they be heard? Can they also block the agreement of the Netherlands to sanctions if the protocol is not followed? Where can countries go if their input is not sufficiently taken into account and they are faced with sanctions that are very detrimental to them and that are disproportionately harsh to them? For example, the impact of travel restrictions on Latin American countries can be considered. With a possible President Trump, sanctions against the United States are not unthinkable either. I am also thinking of the consequences of sanctions against Venezuela, especially if they affect the oil trade. Such sanctions could cost the countries of our Kingdom tens of percent of their gross national product. Where can they go if the Netherlands decides to agree to sanctions, despite their objections? The only provision they can rely on is the provision in the Staff Regulations that there will be a dispute settlement, but it is still not there. Is the Minister prepared to look with the Minister for the Interior and Kingdom Relations at how the National Sanctions Act can be properly implemented under the functioning of a dispute settlement system? A good way is for the Labour Party to do justice to both the purpose of the law and the interests of the other countries within the Kingdom.
ParlaMint-NL_2016-03-16-tweedekamer-4.u3	I would like to ask the PvdA Group about the disproportionate effect of sanctions on a country such as Curaçao. The PvdA Group is always deeply concerned about the sanctions that have been imposed against Russia and is always in favour of increasing those sanctions in the Chamber. The Netherlands is a country that is 70% to 80% dependent on oil and gas imports, when it comes to our bilateral trade relationship with Russia. So I would say: if one country could be disproportionately affected by this type of sanctions, it is the Netherlands. However, I understand that Mr Van Laar is mainly concerned about the islands, in this case Curaçao with the Isla refinery. Does Mr Van Laar not think that this is disproportionate, that he is here as a Dutch representative in favour of heavier sanctions against Russia and at the same time calls for attention to be paid to the possible future effects of heavier sanctions on a country such as Curaçao?
ParlaMint-NL_2016-03-16-tweedekamer-4.u4	We need to look closely at how legislation works out for all concerned, in this case the countries concerned. As the House of Representatives, we are a bit of the Kingdom Parliament. We don't have a Kingdom Parliament, but this is where national laws are passed. So we need to look here at how this legislation works out for the different countries in the Kingdom. The Netherlands is a much larger country than the small countries in the Caribbean. Curaçao has less than 150,000 inhabitants and has important relations with a very small number of countries. The Netherlands has a lot of trade relations with a lot of countries and will therefore never be strongly affected if sanctions are imposed against one country. In that case, the GDP will never blow down by 10%. However, this situation may arise in, for example, Curaçao. That is why we ask: how do we deal with that? We are not asking that question to stop it, but to address it properly.
ParlaMint-NL_2016-03-16-tweedekamer-4.u5	The Labour Party considers it all very sad for Curaçao that it may be badly affected. On the other hand, Venezuela's insane financial and economic policy itself is primarily a cause for the islands to worry about the economy. Future sanctions can only contribute to this. I would ask Mr Van Laar to pay particular attention to Dutch interests. For example, the Netherlands has an interest in unity of government policy, especially with regard to foreign policy, and certainly with a blunt weapon as sanctions. A party such as the PvdA, which so often advocates sanctions, especially with regard to Russia, will only benefit if everyone acts together. If Mr Van Laar is going to say exceptions for Curaçao or for any island, or if he is even going to understand them, then he is undermining his own position.
ParlaMint-NL_2016-03-16-tweedekamer-4.u6	I share Mr Ten Broeke's concerns about the policy being pursued in Venezuela, as well as his concerns about sanctions policy. That is why we said at the beginning of our speech that we support the law and the idea behind the law, but that does not mean that the law must be put together in such a way that countries cannot go anywhere if a dispute arises. Decisions must be taken carefully. This cabinet and previous Cabinets have sometimes taken a short turn when it comes to procedures relating to conflicts with other countries in the Kingdom. However, it is important that a careful procedure is laid down in the Protocol and that a dispute settlement procedure may be used.
ParlaMint-NL_2016-03-16-tweedekamer-4.u7	Mr. Chairman. At least now we are here to deal with a real legislative proposal. We in the committee regularly discuss this: when can we debate a legislative proposal in plenary? Today that is the case. Eleven years ago, the people of Curaçao went to the ballot box in the context of a referendum, on which the politicians of Curaçao agreed at the time, unlike our own consultative referendum on 6 April, that the outcome would be binding. 68% of the voters chose to leave the Antilles and make Curaçao an autonomous country within our Kingdom. This decision meant that Curaçao would accept the Statute for the Kingdom of the Netherlands, as the Curaçao PAR Group correctly stated in the report on the legislative proposal, the desires and the burdens associated with it. As provided for in Article 3 of the Staff Regulations, external relations are governed by the Kingdom. I leave it to you to decide whether these are desires or burdens. However, I would point out that the islands also enjoy the desire of collective defence by the Netherlands for the burden of common foreign policy, a lust made possible by the Dutch taxpayer. The National Sanctions Act now before us would not have been necessary if the autonomous countries, including Curaçao, had properly adapted their own sanctioning country regulations, or, more simply, simply adopted the EU sanctions. The countries of Aruba and Sint Maarten have now completed their national routes, but in Curaçao the States have rejected a draft country regulation for this purpose. As a result, a sanction law at the state level is the only remaining means to ensure that Curaçao takes over the EU sanctions and that the foreign policy of the Netherlands and the European Union remains guaranteed. The VVD Group has therefore taken note with surprise of the report by the States of Curaçao. For example, the MFF, which is the party of the convicted ex-premier and the current state member Schotte, claims that "Curaçao itself should be able to decide to take sanctions against other countries." Take the MAN Group, which says that there is, of course, yet another "arrogant proposal." We've heard that before. Both groups do not care much about the fact that the country has committed itself to the Statute, thanks to a binding opinion of 68% of its own population, I would add. And so it's simple: you're part of the Kingdom and then you stick to the Statute, or you go out and then you're free to conduct your own foreign policy. I am already looking forward to Curaçao's candidacy for the UN Security Council. Sanctions against countries that distort the international legal order or even commit terrorism are a serious weapon. We all know that. It is rarely used and it is also not always effective. If that blunt weapon is to be used, it will only work if the European Union and the Kingdom show complete unity in it. I have already mentioned this in an interrupting debate with Mr Van Laar. We cannot allow another execution within the Kingdom. This would make the Kingdom particularly vulnerable and delegitimate, thereby damaging the international position of our Kingdom. As far as my group is concerned, the National Sanctions Act has nothing, but nothing at all, to do with an attempt to impose our will on the partner countries within the Kingdom out of show of power. The opposite is the case. We agree on a legal order which should be equally important for all of us, for example in the international fight against terrorism. It is only an implementation of the Staff Regulations. We have just signed this Statute in accordance with the wishes of the islands. We have unity of foreign policy. That is how we agreed to do it, and that is in everyone's favour. Let there be no misunderstanding: our government still takes account of the countries, by consulting them, approaching them and informing them on time. So I think all of Mr Van Laar's concerns are well addressed. Everything's being cut to size. Curaçao chooses his own friends. Sometimes the question is whether it always does so with the same care. You can say the same thing about some of the members of the States. But that's not the issue right now. The issue is whether a country should have the space to pursue its own foreign policy. We say no. Moreover, we never hear the islands complain if the Netherlands guarantees their defence. When we talk about the lusts and the burdens, some Curaçao statesmen seem to forget that very quickly. So it doesn't work like that: it's in or out, it's in, it's in, it's in, it's out, it's out, it's out, it's out, it's out, it's out, it's out, it's out, it's out, it's out, it's out, it's out, it's out, it's out, it's out, it's out, it's out, it's out, it's out, it's out, it's out, it's out, it's out. As long as Curaçao is an autonomous country within the Kingdom, it will have to adhere to the Statute and thus to the unity of foreign policy, if necessary.............................................................................................................................................................................................................................................. I would have preferred not to discuss him, but it's nice that we can do it today.
ParlaMint-NL_2016-03-16-tweedekamer-4.u8	Mr. Chairman. With this bill for a National Sanctions Act, the government wants the sanctions that have been imposed at EU level to continue working in the Caribbean parts of our Kingdom. European Union sanctions must also be applied to Aruba, Curaçao and Saint Martin. These are sanctions against individuals, such as freezing assets and travel and visa restrictions, and sanctions against countries, such as trade restrictions. I read in the government's documents that the proposed National Sanctions Act must guarantee the unity of the Kingdom's foreign policy. However, it seems that Curaçao wants to pursue its own foreign policy. We would not have had to stand here today if Curaçao, like Saint Martin and Aruba, had simply amended its own sanction regulation. Unlike those two islands, Curaçao chose in 2014 to reject the Penalty Act, which means that today, after all, we have to deal with and perhaps introduce this bill in the form of a National Sanctions Act. The PVV would like to know how the government of the Netherlands assesses Curaçao's actions. Surely the cabinet cannot confine itself to saying that it is Curaçao's autonomous power to reject a sanction law? Curaçao's actions have put a lot of civil servants here in the Netherlands to prepare this bill. My group would like to know what the Minister's views are now on this Curaçao action, on Curaçao's own and undesirable action? There are also costs involved. Officials were put to work, the Council of State had to work, the Minister and the Chamber had to work on it, and soon the First Chamber will have to work on it. All this is undesirable and not necessary as far as the PVV is concerned. On Curaçao the aversion against the meddling of the Netherlands is great. I place "intruderism" in this connection between quotes. Curaçao apparently wants to continue to receive financial contributions and loans from the Netherlands, but is not prepared to play into line with the Netherlands when it comes to sanctions against villains. You can expect from an island like Curaçao any loyalty to the hand it nourishes. In addition to Dutch money, Curaçao also receives financial support from the European Union with the European Development Fund. For 2007-2013 alone, the EU provided the then Netherlands Antilles with 24 million euros of which just over 11 million euros was for Curaçao. They're not celestially shocking amounts, but still. The message that I am sending here is: getting money from the Netherlands and the European Union, but rejecting the Sanction Act in 2014 shows that Curaçao ultimately has something to do with us. This is not the first time that Curaçao has unilaterally rejected sanctions against Iran in 2012.
ParlaMint-NL_2016-03-16-tweedekamer-4.u9	The attitude of Curaçao within the Kingdom is somewhat similar to that of the PVV Group in relation to European foreign policy. May I have a brief comment from Mr De Roon on the following? He says that he considers the unity of foreign policy so important, but he is in fact always opposed to the unity of sanctions of the European Union, the only means we have of foreign policy in Europe, except when it suits him. What is the difference between Curaçao's action in relation to the Kingdom and the PVV Group in relation to European foreign policy? Can he explain that to me?
ParlaMint-NL_2016-03-16-tweedekamer-4.u10	That's very easy. The PVV chooses the Netherlands and Curaçao chooses Curaçao. We can't have that in one kingdom.
ParlaMint-NL_2016-03-16-tweedekamer-4.u11	If the Netherlands chooses the Netherlands, in a European Union with 28 countries and 28 different views, then we sometimes have to do something about it. Mr De Roon will never accept that. In such situations, Mr De Roon is the Curaçao of this Parliament. Let him say how important he thinks it is for the European Union to take a clear stance on this issue, especially when it comes to Iran, for example. The VVD and the PVV share the concerns about that country, I think more than any other party in this Chamber. For this, only one thing is effective, namely a common foreign policy of the European Union, which Mr De Roon is always ignoring. There is only one reason why they have sat down at the table, namely the European Union's common foreign policy. Let Mr De Roon confess to that policy.
