ParlaMint-NL_2016-06-14-eerstekamer-5.u1	I have already welcomed the Minister for Economic Affairs.
ParlaMint-NL_2016-06-14-eerstekamer-5.u2	Mr. Chairman. On the website of the Eerste Kamer there is a list of points of attention for the members of this house for legislative quality: a kind of manual senator. Everyone is, of course, free to play their part in this house, but it is nice to read how we are supposed to test the legislative proposals that are being tabled here. In particular, the terms "legality" and "efficiency" are frequently used. No one in this house will question the legality of this bill. The Minister can delete the CCS. But what about efficiency? To what end does the Minister delete the Zbo CCS, the independent administrative body Central Commission for Statistics? What is the problem with this bill? Is there any clarity as to the causes, nature and extent of the problem, if there were any? The suggestions on the website of the First Chamber appear to be useful tools in the handling of this bill. The PVV Group comes to a rather sad conclusion. The Minister has not been able to explain in any way why this law was tabled, either on the other side of this square or in writing with this house. The explanatory statement states that one of the objectives of this proposal is to reduce the number of ZBOs. In the debate in the Lower House, however, the Minister said that this was a misunderstanding. The goal isn't to get any less ZBOs. So we can delete that. The aim is, according to the debate in the Lower House, to clarify the steering relationship between the Minister of Economic Affairs and the DG of the CBS. But what was the problem? What was going on with this steering relationship, which has existed since the end of the nineteenth century? Well, the Minister wrote, in 2004 the CBS DG was placed at a distance, together with the CCS, because both became a ZBO. The cabinet called it an unnecessarily heavy facility. Nothing material happened, nothing other than that the CCS got the stamp "zbo." If you intervene because of the unnecessarily heavy equipment, the removal of the Zbo is therefore an end in itself. In addition, the AFM has a supervisory board which is also organised in such a way. Apparently, the facility isn't too heavy. So what problem do we have here? The steering relationship would be less transparent because one zbo oversees the other. That seems to me to be quite transparent in itself. What needs to change is not clear to us, especially since the legislator has sought to distance these organisations from politics in order to guarantee the independence of statistics. Although the amended Advisory Board has a right of recommendation, this law allows the Minister to appoint, suspend and dismiss the CBS DG. One of the main tasks of the CCS was to define and approve the multiannual programmes and the work programme of the CBS. I do not think this debate can be followed at home. That responsibility for that determination now goes to the Director-General of the CBS itself. The Minister can only formally intervene if the programmes fall outside the financial and organisational frameworks. The integrated, independent, non-politicized test carried out by the CCS expires. With this, the Minister creates the opportunity to get a grip on the CBS through financial and organisational frameworks. What if the minister had to cut back? Knowing that the Minister has the legal capacity to dismiss the CBS DG, there is a tremendous pressure on that DG's shoulders to satisfy his minister, while the full, independent, non-political test of the CCS has disappeared. In the debates in the House of Representatives, the Minister pointed out that these powers gave him the opportunity to quote "to check more closely and to monitor better." This suggests more political influence on the CBS. And yes, the House of Representatives can control him for that, but there are also politicians in that Chamber, while you want to keep statistics as far away from politicians as possible. They must be independent. So it's a mistake as far as we're concerned. You would hope not only for us, because statistics should be independent. Is the removal of the CCS perhaps a cut-off? We asked for this in writing, because that is also an objective of the coalition agreement. Is the money coming up? Well, the CCS costs €90,000 a year. We do not yet know how expensive the new council of advice of Mei Li Vos is, in which the necessary political friends will be established. So it can happen that by deleting the Zbo CCS afterwards we are even more expensive out. As far as we're concerned, that's putting the horse behind the cart. Then I come to Eurostat. Eurostat mentions in a report, which came out after the Minister had submitted the bill to the House of Representatives, the current construction with the CCS is a best practice. That's a sound from Brussels. This should be addressed by colleagues, especially those who are not speaking today. This is the way to organise your statistics, Eurostat says, other countries should take an example. But no, the Minister is deleting the CCS because European rules do not require the CCS, a monitoring body, to exist. Eurostat also states that this change could lead to less independent and less reliable statistics. The Netherlands therefore adapts to the morality and lower quality of southern Europe. The government agreement states that the government will look at the management of ZBOs and will also consider whether this form of supervision is the most appropriate way. Eurostat states, in all languages, that this is the case, that this is the most appropriate way to follow in the Netherlands, so nothing unclear steering relationship. Where the other parties in this Chamber are normally in the position when a run-up comes from Brussels, only Mr Gerkens of the SP and the PVV are speaking today. As I said, everyone fills out their roles in their own way. Berenschot found that CCS played an important role in improving the management and efficiency of the CBS. There were no bottlenecks in the steering arrangements. In addition to the tasks of CCS vis-à-vis the CBS, CCS also has the task of promoting statistical information by the public authorities. That child is also thrown away with the bath water. The CBS DG therefore deals with this legislative proposal on the multiannual work programmes and needs to organise its own governance. That's quite an accumulation of power with one person, for all the statistics of the Netherlands. In addition, the austerity has also put pressure on the CBS DG to carry out more tasks for third parties. This will also put pressure on the quality of the CBS. The whole process is similar to that of Minister Plasterk, who wanted to merge a number of provinces at the beginning of this cabinet period. He started an ARHI procedure, had municipalities and interested parties speak up, but at the end of the procedure, when everyone had had their say, he came up with a rattling report on why the merger was so good. This procedure exhales the same thing. We are deleting a Zbo, because that is the intention of the coalition agreement and we will then figure out why we think it is such a good idea. Like Minister Plasterk, this minister has failed to come up with good reasons for doing so. Although more and more policies are completely facts-free, I refer to the Energy Agreement. Statistics should be above any doubt, especially over political doubt. The PVV Group finds it completely incomprehensible that a large part of this House does not discuss this proposal.
ParlaMint-NL_2016-06-14-eerstekamer-5.u3	Mr. Chairman. Politics is often a matter of common sense, but unfortunately common sense is sometimes confused with a gut feeling. In one of my previous relationships I learned from the marketing manager: n is not equal to 1. Unfortunately, today, politics is often dominated by n=1 formulas. Facts are corroborated by what one has heard from grandma, friend, or worse, a friend of a friend. What happened to the individual makes the truth and then the policy. Now the concept of 'fact' has also become a diffuse concept in our country. Results of the same research may vary depending on who quotes that research, but there are often policy-based claims made without research. An independent institution above all suspicions, which gives factual figures, is therefore of great importance in order to prevent policy being made on these pure underbelly feelings. In the Netherlands we have such a beautiful institution, the CBS. The primary task of the CBS is statistical research in the Netherlands. That research provides the facts and figures, which are then used for the policy to be made. The role of the CBS is therefore important for politics. The CBS is a Zbo and thus operates independently. Besides the CBS we also have a CCS. This committee approves the annual programme of the CBS, together with the Minister of EZ, but that is not her only task. It also coordinates the investigations, ensures that the correct data are available from the government and can entrust independent research to the CBS, without the Minister's approval. The CCS will disappear in this bill and an advisory council will replace it. In short, the autonomous functions of the CCS lapse. The argument for this is that everything can be arranged more efficiently and equally well with an advisory board and without a CCS. However, the current structure is praised and mentioned by many as the reason why our research is so independent. The Minister is now trying to replace this position with an advisory board that can advise on the work programme of the CBS. However, this advisory board does not have the last word on the work programme. The main argument put forward by the Minister is that the current construction with the CCS is difficult to operate, but it has never been demonstrated. He also wants to make the relationship more transparent. He also says that he is committed to the independence of the CBS. On balance, however, there is now a proposal in which the Minister has all the power to give advice and advice. That is an undesirable construction because the CBS is getting closer to the minister, just where distance is desirable. We ask the Minister to reconsider giving the Advisory Board the opportunity to reject the work programme if it has serious reasons. I'd like a response from the Minister. I can imagine an outsider thinking, "What are we worried about now? It's about collecting data, a rather dry matter and, well, what could go wrong with that? Isn't that right?" In this context, it is worth noting that the CBS has changed course in recent years. The CBS, formerly a reliable source of independent data, has become an organization that makes news with that data. The idea behind it is that the CBS can interpret the data like no other and that it should not be left to others, such as journalists. For example, in recent years, the CBS has issued a number of press releases indicating that the current policy pursued by this cabinet was on the right track in various areas. Unfortunately, it turned out that in several cases the data had been misinterpreted. As an example, I would like to mention the message from the CBS that the cuts in childcare from 2009 to 2014 did not lead to fewer working mothers. That story didn't add up. The cuts only came in 2011 and until that time the number of childcare jobs increased. After the austerity, the number of jobs fell and the number of mothers working decreased. Let me give you another example. The Scientific Council for Government Policy presented a report on income inequality over the last 30 years. The conclusion was that this inequality increased. The CBS didn't come up with its own investigation much later. The CBS's conclusion was that income differences are small and stable. However, this study covered the period from 2008 to 2012 and did not look at the lack of capacity. These are nice losers, for the benefit of this government policy. But instead of the Minister coming up with a proposal to improve supervision, there is a proposal to simplify supervision according to a model in which the butcher adopts his own meat. The appearance of dependence has already been awakened. Is that what the Minister is worried about? I'm gonna close up with what I started. Policy is based on facts. If these facts seem to be different from what was thought, then we must tackle the policy and not the investigation. The investigation must be above all suspicion, highly independent and not flufted or excited. The investigation should just give the facts as they are. With the disappearance of the CCS, the CBS loses its much-needed independence. How does the Minister intend to guarantee it? I look forward to his answer.
ParlaMint-NL_2016-06-14-eerstekamer-5.u4	Does one of the Members still wish to speak in the first term? That is not the case. I shall then give the floor to the Minister for Economic Affairs.
ParlaMint-NL_2016-06-14-eerstekamer-5.u5	Mr. Chairman. I was wondering if Mrs Gerkens was aware that she was contradicting herself at the end. At first, her reasoning was that the CBS constantly comes up with press releases to support the cabinet. Next, she said that the cabinet intended to gain more control over the CBS and to be able to send in the coverage that goes out from the CBS. She really spoke against that for a while, and that didn't support her story.
ParlaMint-NL_2016-06-14-eerstekamer-5.u6	This is almost entrapment. 'Cause this isn't what I said. I was just saying that in recent years there has been a change of wind at the CBS. In the policy change that this Minister has put in place, perhaps I should not call it a cake, because it is not as beautiful as it is to remove the independent supervision. This trend has thus already been observed in this cabinet policy.
ParlaMint-NL_2016-06-14-eerstekamer-5.u7	It's really not like that. The cabinet is not sending press releases issued by the CBS that are supportive of cabinet policy. That is absolutely not the case, and that has not been the case at any time. I didn't do anything to influence those messages. I'm fighting the temptation to say, on the contrary. This is just a misconception by Mrs Gerkens. I'm glad I've been able to take it away now. The government has critically assessed whether the ZBO implementation is the most appropriate implementation for parts of the public service remit. It also considered whether the form of an agency might be better, because it would then be 100% government. The idea of the cabinet is that it is most insightful to the citizen and most obvious to everyone if a task is either of the market or of the business sector, business then carries out that task and is then automatically corrected by the market or by the government. And in the latter case, you should have that task done by the government, possibly in the form of an agency. In the Netherlands, we have the growing practice of working with independent administrative bodies. For some organisations there is something to be said for that. We walked past this and had a look at all these independent administrative bodies. What about the desirability of as clear a distinction as possible between government and business and between government and market? Let's not make the intermediate structures more complicated than necessary? We've had all these ZBOs checked out. We were able to draw conclusions from this, including with regard to the Central Bureau of Statistics. At the Central Bureau of Statistics you had the special situation of two Zbos. One was the Director-General of the Central Statistical Office. The other was the Central Committee for Statistics. This situation was something between the government and the market. The CBS was close to the government, but it was not really government, there were two independent administrative bodies and then there was also a minister who had to play a role in it and who had to be accountable to parliament. The man who vetted this report, De Leeuw, came to the conclusion that this was a little insightful construction. The cabinet has thought about this and made that conclusion. The cabinet also found it strange that there are two different independent administrative bodies, which have a relationship with each other and also have a relationship with the minister, and that then it should be clear to the parliament and to the people in the country how that works. We didn't think that was right. That is why we have looked at how we could best organise this. Two things must be clear. Firstly, the independence of the statistical system must prevail. Secondly, the role of the minister must be clear, so that he can answer to Parliament, the First and the Second Chambers. We've developed this further. We have come to the conclusion that the abolition of one ZBO, the Central Committee for Statistics, and the continuation of the Director-General of the CBS as an independent administrative body, could provide clarity. All tasks and activities of the CBS in relation to the budget, the annual accounts, the multiannual programme, the work programme, the quality of statistics, the promotion of the statistical supply and the right to be heard before an investigation is started shall be carried out by the Director-General of the CBS. The Minister for Economic Affairs will then be given the power to approve the multiannual programme and the work programme. He already has this power in relation to the budget and the annual accounts. So these are generally drawn up documents. He may approve the Minister in charge. The responsibility for all other things that relate to the quality of work What exactly do you do, how exactly do you do it and how do you communicate about it with the outside world? He is with the Director-General of the CBS. He is also protected by his position as an independent administrative body, by the law that exists for ZBOs and by the separate law that exists for CBS. That gives him the independence he needs. That is where the Minister cannot simply decide whether or not to approve a budget, annual accounts, multiannual programme and work programme, depending on what he or she is in the mood at the time. No, he or she can only reject these things if they are not in accordance with the financial and organisational framework established by the Council of Ministers. This can only be done on those grounds and in accordance with a procedure set out in the new law. What the Minister is allowed is precisely defined. How he can do that is also described. It is quite clear which considerations should be taken into account and which documents should be the basis for this. That is therefore a very clear protection for the Director-General of the CBS, for his independence and thus for the institute CBS. So that independence remains. We have ensured that the Director-General of the CBS itself determines the method by which the statistical surveys are carried out. I have already said that he also decides how and when he publishes and communicates about it. He remains independent on this point. The framework law regulates independent administrative bodies for all Zbo's, including the CBS, which the minister stands at a distance from that Zbo. The Director-General of the CBS shall not be subservient to the Minister. I may be able to draw up policy rules on how the Director-General of the CBS should act in a general sense, but there is no way for me to intervene in individual cases. That gives the Director-General of the CBS the independence he needs. We have now set up a system which, in our view, is an excellent guarantee of independence. During the examination of the bill in the House of Representatives, we decided that a five-yearly evaluation of the CBS will take place. That's what's laid down in the bill. In this five-year evaluation, we will examine in particular whether the independence of the Director-General CBS is optimally guaranteed in the way now organised.
ParlaMint-NL_2016-06-14-eerstekamer-5.u8	I have two questions. I know this minister likes to get them one at a time, so let me start with the question about the handling of the bill in the House of Representatives. Mrs Vos stated there that the Minister said that the Chamber could even more closely monitor him with this bill as regards his powers towards the CBS. The Minister said that this is the intention of the bill. I can only interpret this as having more influence on the Director-General of the CBS, on whom all the responsibilities now lie, as the Minister himself said. This shows that the Minister says that politics will have more influence on the CBS.
ParlaMint-NL_2016-06-14-eerstekamer-5.u9	Yeah, but I don't think that's dirty. If you give the people's representatives in a democratic country the opportunity to address a ruler on matters that happen within the complex government organisation, then it is good to settle that with each other. Who else would do that but the People's Assembly? We have set up an organisation that is transparent, clear and logical, within which the Minister takes responsibility for the annual accounts, the budget, the work programme and the multiannual programme, because he approves them. Parliament can appeal to the executive. In the past, the parliament could not address the CCS. Parliament can appeal to me. There is, therefore, a clarification in the relations between the Minister and the Central Statistical Office and there is talk of giving more opportunities to the people's representatives to carry out their duties.
ParlaMint-NL_2016-06-14-eerstekamer-5.u10	That was excellent for two centuries, even with Eurostat. We can leave this point behind, because we do not think so. We believe that the Minister will have more political influence on the CBS. How can Eurostat, for example, say that the way it is organised in the Netherlands is the best? When a bill comes along, I'm always looking for the answer to the question of what problem that bill solves. I still haven't heard that problem. Eurostat also says that everyone should do it this way, but that is precisely how we abolish it. Can the Minister respond to that again?
ParlaMint-NL_2016-06-14-eerstekamer-5.u11	I just said what the problem was. I'm going to repeat my story now. You have the market and the government. You have things with the government that you can organize, if you want to take responsibility for, in your own device. You can do that through agencies, but in fact they are also part of your own device. It is also possible to use an independent administrative body in certain cases. That is less clear, because such an organ is a bit between the two. If you use an independent administrative board, you have to do it in a clear way. If you have two independent administrative bodies controlling each other and you also have the minister, then that is not clear. If we can clarify that, then that is an improvement. We have now organised this improvement. Mr Dercksen says that things have been going well for two centuries. It is indeed going well from the moment we do this, from the end of the nineteenth century. This is also because we have always had the good attitude of the government to behave in this way, both in terms of the legal rules and in terms of the actual behaviour towards that organisation, which results in optimum results. The legislative proposal before us today is an example of constantly looking at whether we have organised the matter in the best way possible. We do not undermine the independence of the Central Bureau. We maintain the independent administrative board Director General CBS. We continue to protect that through the Law on the Central Statistical Office. The relationship between the Minister and the CBS is governed by the framework law independent administrative bodies. We have still arranged everything in a proper way, but it is getting a little clearer now. This is in the interest of the CBS and in the interest of the parliament, which the minister can better control.
