ParlaMint-NL_2016-07-06-tweedekamer-10.u1	I would like to welcome the Secretary of State for Security and Justice.
ParlaMint-NL_2016-07-06-tweedekamer-10.u2	Mr. Chairman. I'm filing two motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that the European Commission Communication of 7 June stated its intention to conclude deals with third countries with the aim of reducing the number of refugees reached by the EU;]] [[calls on the Government not to agree to agreements between the European Union and third countries making EU development aid conditional on border control with a view to stopping refugees and, alternatively, to call for development aid to be used to combat the causes of migration and to improve reception in the region,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that the European Commission Communication of 7 June stated its intention to conclude deals with third countries with the aim of reducing the number of refugees reached by the EU;]] [[Whereas the Court should be able to hear in advance deals concluded between the European Union and third countries;]] [[invites the Government to report to the Chamber without delay if there is a concrete intention to conclude an agreement between the EU and a third country under the Migration Compact, indicating the exact content and legal status of the agreement,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Voortman, Mr Sjoerdsma, Mr Voordewind and Mr Gesthuizen. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32317-430]] [[This motion has been proposed by Mr Voortman, Mr Sjoerdsma, Mr Voordewind and Mr Gesthuizen. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32317-431]]
ParlaMint-NL_2016-07-06-tweedekamer-10.u3	Mr. Chairman. During the debate, I tried to raise a very large number of questions, which could not be dealt with differently from this JHA Council. They weren't on the agenda. The Secretary of State has answered a number of questions, but a lot of them haven't either. I would like to table one motion on what I myself have raised, also because I no longer have any other option for the recess. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the COA has a Regulation on Abstention Benefits (ROV) which allows measures to be imposed on residents of COA locations to ensure safety, manageability and viability, and that one of those measures is that reception conditions may be temporarily or temporarily withheld;]] [[noting that the COA refused the shelter 243 times in 2015 and that these people were not always able to find an alternative place to sleep, which meant that they had to spend the night on the street;]] [[Whereas the right to housing is one of the fundamental human rights and that this should not be imposed on anyone as a measure of order without the intervention of a judge;]] [[Whereas sleeping COA residents on the streets are undesirable to the individual concerned, to the vicinity of the COA location concerned and to society as a whole, thereby undermining the support for the reception of refugees;]] [[calls on the Government to remove the refusal of reception facilities as a possible measure from the ROV and to ensure that residents of COA locations do not stand against their will on the street;]] [[and goes to the order of the day.]] [[This motion has been proposed by the Member of the Houses. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32317-432]]
ParlaMint-NL_2016-07-06-tweedekamer-10.u4	I see the Secretary of State can answer directly. The last motion will be distributed shortly. I call the Secretary of State.
ParlaMint-NL_2016-07-06-tweedekamer-10.u5	Mr. Chairman. The motion-Voortman c.s. in piece No. 430 on conditionality, I would advise against. The cabinet wants to put the effectiveness first, but therefore does not exclude this. We focus on broader partnerships and look positively at agreements, over and over again, on readmission and on contributing to better migration flows. Initially, as has also been advised by the ACVZ, we will focus on measures within the migration domain itself, but I do not want to rule out in advance that it can be extended and that a relationship is also established in the wider relationship between the EU and the third country. That's why I'm deceiving that motion. The motion-Voortman c.s. in piece No. 431, I believe that, apart from the technical fact that such a compact is probably not an agreement in the legal sense or in the sense of this motion, it is unnecessary because we intend to keep the Chamber regularly informed for JHA-Raden or, more likely, RBZ-Raden where this will be discussed. As we are used to, we will continue to share and discuss that flow of information. A semantic discussion of whether there is an agreement, legal or material, could cause confusion.
ParlaMint-NL_2016-07-06-tweedekamer-10.u6	The Secretary of State states that the motion is superfluous, because he intends to inform us anyway. Does he intend to do so when there is a concrete intention to conclude an agreement?
ParlaMint-NL_2016-07-06-tweedekamer-10.u7	Now we are talking about an agreement that needs to be concluded. This implies that there is a legally binding document somewhere, while it may also be a set of agreements between countries. Usually you see it coming. It does not therefore mean that there is a draft text in advance. Look at the way things are going around the European Union and Turkey. We have discussed this and the Chamber has been able to indicate in advance where the limits lie for her, but the Prime Minister did not have to press "pause" to come back with all kinds of texts. We'll look into it from that collaboration and inform the Chamber about it.
ParlaMint-NL_2016-07-06-tweedekamer-10.u8	Unfortunately, I shall have to put the motion to the vote.
ParlaMint-NL_2016-07-06-tweedekamer-10.u9	That's your right.
ParlaMint-NL_2016-07-06-tweedekamer-10.u10	The Gershuizen motion in part No. 432 I don't recommend. The COA doesn't deny someone light reception. Then you must have made it pretty bad. I foresee that we will be better able to implement more targeted measures. We are working on an azc specifically for people who have caused inconvenience elsewhere, which will make this measure less necessary. However, I do not want to exclude them as a last resort for people who are impossible to maintain at that facility and for whom an alternative can be arranged. The necessary warnings and other measures have been preceded, but I do not want to rule it out.
ParlaMint-NL_2016-07-06-tweedekamer-10.u11	We've come to the end of this VAO. We will vote on the motions tabled at 3.15 p.m.
