ParlaMint-NL_2016-12-14-tweedekamer-4.u1	I would like to welcome the Prime Minister. Good day, Mr. Omtzigt.
ParlaMint-NL_2016-12-14-tweedekamer-4.u2	Good morning, Madam President. The documents we can see through Delegates Portal include an opinion from the Council attorney, the official lawyer of the European Union, on how Treaty law applies to the statement prepared by Prime Minister Rutte with the other 27 Heads of Government. I ask you to share this document in the House of Representatives. I would actually ask the government to make this document public. I understand that negotiations on the treaty or the agreement itself are not public, but the lawyer's advice can be public, just as the country's attorney's advice is sometimes public. It states when it is legal or not, and that is essential for the input into the debate. Mr President, can you spread this around and make it public?
ParlaMint-NL_2016-12-14-tweedekamer-4.u3	I fully support this request. This only contributes to a transparent debate on this issue.
ParlaMint-NL_2016-12-14-tweedekamer-4.u4	A question is being asked about a confidential piece. I can't judge whether this should be public or not. If it's confidential, I think it's just confidential. I hear the Prime Minister wants to explain. The floor is up to him.
ParlaMint-NL_2016-12-14-tweedekamer-4.u5	I also look at the officials, to put it very precisely. I believe that this is not a part of the Netherlands, but a part of the Council. This is therefore covered by normal confidentiality at this stage of decision-making, as is the concept conclusions. So we're not at liberty to spread this. I can't. If we succeed in reaching an agreement, we will then exercise as much transparency as possible, but we cannot do so now.
ParlaMint-NL_2016-12-14-tweedekamer-4.u6	That's clear.
ParlaMint-NL_2016-12-14-tweedekamer-4.u7	Mr President, I am very disappointed. As rapporteur for the Chamber, I drew up an own-initiative paper on openness and infringement of the Access Info Europe judgment. It says that this kind of document must be public. I don't suppose we're gonna settle this today. I get that. However, I would ask you to distribute this document to Members of Parliament now. They can see it. I'm asking you to do this through the messengers. I would ask the government to take a special look at whether it can succeed in convincing the Council to make this public during this debate.
ParlaMint-NL_2016-12-14-tweedekamer-4.u8	It's a confidential piece. That piece was made available to the public. That's different than spreading it to the members. I understand that this is the status of the document and that this is the way in which confidential documents are handled.
ParlaMint-NL_2016-12-14-tweedekamer-4.u9	Technically, this isn't a secret piece at all. This is because limité documents under European treaties do not require secrecy. Then I'll take a look at the exact qualification of it. The Council has therefore itself laid down guidelines which state that it remains secret. There's no penalty for disclosure. That makes it all worse. Members of parliament may get an internal sentence from you. In the European Union, however, he cannot go to court to prohibit this.
ParlaMint-NL_2016-12-14-tweedekamer-4.u10	I didn't know I could be punished. Is that right?
ParlaMint-NL_2016-12-14-tweedekamer-4.u11	I believe that Mrs Voortman has suffered from something. That's why I'm officially asking. I think this is a very important piece for the debate. It says when it's public. So I'm asking you to spread it to the members. It's possible.
ParlaMint-NL_2016-12-14-tweedekamer-4.u12	That's not up to me. I'm looking at the Prime Minister.
ParlaMint-NL_2016-12-14-tweedekamer-4.u13	Once again, this is not a part of the Netherlands, but of the Council. This is covered by the normal procedure for this type of document. They're confidential for inspection. I do not know exactly what is going on between the Chamber and Council documents, but as a government we do not have the opportunity to intervene. I can't. If it succeeds tomorrow, I can only promise that we will then try to apply maximum transparency. Then we will include all these considerations. Then those pieces are covered in a different batter.
ParlaMint-NL_2016-12-14-tweedekamer-4.u14	I hear here the promise that the documents will be public afterwards and...
ParlaMint-NL_2016-12-14-tweedekamer-4.u15	I do not know which part you are referring to, because I cannot check it now. My point is this. I understand now that the officials are also writing along what you would like to have. Everything we can give, we give, but I cannot give a firm guarantee on this right now. Now we cannot do that, but afterwards we will give what we can give, as we always do.
ParlaMint-NL_2016-12-14-tweedekamer-4.u16	This is the document of which eight MPs requested disclosure two days ago. This request is therefore not new. I therefore call on the Prime Minister to ensure that this document is made public as soon as possible. It was one of the key points of his presidency that the documents would be made public immediately after the decision-making process. I therefore assume that they will be made public immediately after discussion in the Council, no matter what happens. I am sorry that I have to have the debate in this way.
ParlaMint-NL_2016-12-14-tweedekamer-4.u17	Your call is clear. The Prime Minister has said that he will take the call to Europe and do his best. Let's start with the debate. I call Mr Jasper van Dijk.
ParlaMint-NL_2016-12-14-tweedekamer-4.u18	Mr. Chairman. We are talking about the European summit to be held tomorrow. "Too often the elites in Europe say: the citizens do not understand. But it's not. You don't understand yourselves." Those are the words of our Prime Minister at the European Liberal Congress. There is no point in explaining Europe better; if citizens' concerns are not taken seriously, Europe is in danger of falling apart, he said. The SP fully agrees with that. All the more remarkable is our Prime Minister's attitude to the Ukraine referendum. This is an excellent opportunity to take citizens' concerns seriously. But what does the Prime Minister do? He says, "Thank you for your advice, but we'll keep going anyway." If the Prime Minister were serious about the words he spoke at the Congress of the European Liberals, he would take seriously the outcome of the referendum and send a repeal law to the Chamber, with which the treaty would be de facto off the table. I'd like to get a reaction to this. Instead, the Prime Minister comes forward with a legal statement. We already know this from the CETA Comprehensive Economic and Trade Agreement (Comprehensive Economic and Trade Agreement). That declaration will then be annexed to the Ukraine Treaty, while the electorate was so clear. The voter said no to the whole treaty. In addition, this declaration is signed only by the Member States, not by Ukraine itself. That's what makes it crazier. It makes that explanation a wash nose. It amounts to a shameless money laundering operation in the referendum. I'd like to get a reaction to this. Is it true that there is still no agreement in that declaration on the fact that Ukraine cannot become a member of the European Union? Is it true that Eastern European Member States in particular have problems with this?
ParlaMint-NL_2016-12-14-tweedekamer-4.u19	We have discussed this with the SP Group before. I am still a little surprised that Mr Van Dijk is so disappointed and takes off leather so hard. I think everything in that statement is exactly what the SP has indicated in the campaign. The points the SP objected to were included. Last time I quoted the leader of the SP Group, Mr Roemer. He mentioned all these points: the free movement of workers, corruption and so on. In my view, these are all points that the SP raised during the campaign and now they are addressed, Mr Van Dijk says that it is all nonsense. Was the SP campaign really all bullshit?
ParlaMint-NL_2016-12-14-tweedekamer-4.u20	The weakness of this interruption is at the start of the question, namely: I think. Mrs Maij said: I believe that the points to which the SP had objections are all in that statement. That's the whole point. Mrs Maij doesn't know that at all.
ParlaMint-NL_2016-12-14-tweedekamer-4.u21	I've had a lot of debates with...
ParlaMint-NL_2016-12-14-tweedekamer-4.u22	Mrs Maij, Mr Jasper van Dijk has the floor.
ParlaMint-NL_2016-12-14-tweedekamer-4.u23	I say to the Labour Party, as to the Prime Minister, that the electorate was crystal clear. The voter said no to the Ukraine Treaty. If a valid referendum says no, it means that the treaty is off the table, and not that you are working in the back rooms with all kinds of statements and speculations about the reasons why people have said no.
ParlaMint-NL_2016-12-14-tweedekamer-4.u24	I'm fine with the debate trick. I'll be less nuanced next time. I have had the debate with many of Mr Van Dijk's colleagues. I quoted Mr Roemer last time. I sent Mr Van Dijk the link of the debate at the NIS on 31 March between Mr Roemer and Mr Samsom. In that he put forward exactly those points. I didn't make them up, the SP made them up. Mr Van Dijk is now saying: you are talking, Mrs Maij. No, Mr Van Dijk, these were exactly the points you made on behalf of the SP. Again: the campaign was apparently based on nonsense.
ParlaMint-NL_2016-12-14-tweedekamer-4.u25	Mrs Maij is making exactly the same interruption. That's not gonna make any sense. There is another point: what is the value of this legal statement? I'm asking the Prime Minister to respond to an article in Trouw today. It says: "With an international treaty, not one of the two parties can, in this case, add Europe "just to add a legally binding explanation. The value of an EU declaration with no Ukrainian signature is therefore limited." I'd like to get a reaction to this.
ParlaMint-NL_2016-12-14-tweedekamer-4.u26	Mr Van Dijk is now reading very carefully the legal situation. That's what's good for him. But in the referendum campaign, the SP almost daily claimed that Ukraine would become a member of the European Union as a result of the association agreement. That's what the SP said on a daily basis. If Ukraine does not become a member of the European Union, what does the SP say to all the people it has claimed to be? Well, that's just a tough lie, isn't it?
ParlaMint-NL_2016-12-14-tweedekamer-4.u27	That's the question I just asked the Prime Minister. Ukrainian membership of the European Union is precisely im Frage. The Prime Minister wants to rule that out in the declaration, but Eastern European Member States have difficulty with that. Poroshenko, President of Ukraine, said: of course this treaty is a stepping stone to membership of the European Union. So if the declaration has no legal value whatsoever and if Ukraine itself sees the treaty as a stepping stone to membership, then I ask Mr Verhoeven why he wants to deny it.
ParlaMint-NL_2016-12-14-tweedekamer-4.u28	Then let's turn it around. Of course, Poroshenko made that kind of statement. I know. Of course, they find it more difficult to do this in Eastern Europe. But turn it around: if the Netherlands gets it done, then tomorrow the Prime Minister will have to fight for it at the summit meeting in order to get a legally binding declaration that Ukraine will not become a member of the European Union. This is already the case for a long time, because EU membership is nowhere in the association agreement. What does the SP say? Surely a concern has been clearly removed from all the voters who have been frightened by Mr Van Dijk's colleagues by Ukrainian EU membership?
ParlaMint-NL_2016-12-14-tweedekamer-4.u29	The best way to show that Ukraine is not joining the EU is to throw this treaty in the trash. That is exactly what Mr Verhoeven said one day after the referendum: no is no. Unfortunately, he has turned and now D66 is also behind the Prime Minister with his sweetener, the statement. The key question is whether the Prime Minister acknowledges that the legal statement is a sham. And where's that statement? We must now have a debate without having that statement. The Prime Minister says, "I'm gonna try to get her in tomorrow, and then we can talk about it." I would like the Prime Minister to confirm this, because we should be back here next week in order to have a proper democratic debate on this. It is also remarkable that the opinion of the Independent Advisory Council on International Questions calls for ratification of the Convention. How serious should we take that? Jaap de Hoop Scheffer, former CDA leader, already voted for ratification in February, regardless of the outcome of the referendum. Where did this advice come from? Did the Prime Minister request it? Does he share the view that he can put it aside? The Prime Minister is now very busy negotiating his statement. If he does not manage to make a deal with the Member States, will he come up with a repeal law that will make the treaty de facto off the table? Or does the part of the Ukraine Treaty, which is exclusively a European competence, come into force or enter into force? As far as we are concerned, it is clear: stop with the back room politics and send that repeal law directly to the Chamber. That would do justice to the outcome of the referendum. The SP is shocked by the recent attack in Istanbul which killed dozens of people. We condemn this brutal act of violence and our thoughts go out to the next of kin. The attack was claimed by the TAK, a division of the PKK. In response, President Erdogan had over 200 members of the HDP arrested for alleged ties with the PKK. Can the Prime Minister tell us more about the motives for the attack? Does he have any indication that the arrested HDP MPs are involved? We all know that President Erdogan will not pass up an opportunity to confront his political opponents. I'd like to hear a reaction to that. In Sur, located in Diyarbakir, there has been a curfew for a year that was originally established for fighting between the PKK and Turkish security forces. Amnesty refers in a report to home evictions and the closure of water and electricity. Will the Prime Minister make an effort to lift that curfew? Has the government implemented the wish of the Chamber to freeze negotiations with Turkey on accession for six months, or has the government not implemented them, as I read in the Volkskrant? A report by Oxfam shows that the Netherlands is in place three of tax havens. In Europe, we are even at the top. Nothing to be proud of! On the contrary, it is scandalous that the Netherlands is actively contributing to large-scale tax avoidance, partly from developing countries. According to Oxfam, there is no less than EUR 25 billion in misplaced profits for US multinationals. Does the Prime Minister share my view that this is unacceptable? What is he going to do to prevent these unfair practices? I hear it's our finance minister, Jeroen Dijsselbloem, who's on the brakes in Europe. He refuses to perform a SP motion to work with it by 2018 and wants to postpone until 2024. Does the Prime Minister share my view that this is not possible, that the Minister of Finance must also simply carry out an elected chamberal motion? Finally, I have a question about the situation in Italy, where the majority of the population said 'no' in the referendum on a constitutional change. How does the Prime Minister see the future of Italy within the euro area, as the Eurocritical opposition parties in Italy contributed significantly to the profits of the Neekamp?
ParlaMint-NL_2016-12-14-tweedekamer-4.u30	Mr. Chairman. I shall begin with the most important point of this European summit: how to deal with the outcome of the Ukraine referendum. This summit should lead to a legally binding declaration reflecting the substance of the outcome of our Ukraine referendum. I read in the annotated agenda that the Cabinet believes that the most appropriate form is a decision by the Heads of Government meeting in the framework of the European Council. For D66 it is crucial that it is legally binding, so that it actually does justice to the outcome and concerns of the no-thumb. So we do not want cosmetics, but a binding text that addresses the concerns that have emerged so clearly during the campaign and beyond. That is why I have a number of questions about the legal form and the sustainability of this statement. Following other referendums in Ireland and Denmark, for example, such decisions have been taken earlier to address the concerns of voters, i.e. the inhabitants of those Member States. Have these decisions always lasted? Is Ukraine prepared to join this decision of the Heads of Government? What does the Prime Minister expect from Ukraine in this context? After the Prime Minister's months of waiting, I hope that we can move on quickly. As soon as there's an agreement, will he send an approval bill to the Chamber? How does the Prime Minister inform the Chamber as soon as possible about the outcome of tomorrow's summit? This is also in line with Mr Omtzigt's concerns. How does the Prime Minister see the planning of the handling of this bill in the Lower House and in the Upper House? Not only the voters, but also all the other stakeholders in Europe deserve clarity after nine months of waiting. I come to the ALDE Congress, the Liberal Congress.
ParlaMint-NL_2016-12-14-tweedekamer-4.u31	You weren't there.
ParlaMint-NL_2016-12-14-tweedekamer-4.u32	I was there, but fortunately I didn't attend the Prime Minister's speech. That was a dramatic speech. I was there on Friday, but I was gone on Saturday morning. Then the Prime Minister came in and apparently he said certain things there. Today, as Prime Minister, he also says things, but there he was as a VVD list leader. He allegedly turned against Europe because problems such as migration have not yet been resolved, while Prime Minister Rutte is simultaneously working with his cabinet to make migration policy fully European, also because he thinks it works so well. So that's odd. The Prime Minister mentioned "trust" and "take citizens' concerns seriously." Is it not popularism to send out press releases against Europe, which says that Europe is falling apart, while his cabinet and Mr Rutte are simply working on European migration policy? Isn't that exactly the way to lose people's trust? Why blow the tower high over the fall of the Roman Empire, which could not protect its external borders, after precisely this cabinet, at the request of D66, has improved Europe by creating the European Border and Coast Guard? I would like to get a reaction from Prime Minister Rutte, so not from list leader Rutte or VVD-campaigner Rutte. I just want a reaction from Prime Minister Rutte, who always does a good job in Brussels and shakes no in The Hague.
ParlaMint-NL_2016-12-14-tweedekamer-4.u33	I thought Mr Rutte spoke there as leader of the Dutch Liberals. But D66 has been getting excited about that speech for two weeks, especially in written questions. Mr Sjoerdsma and Mr Verhoeven spoke about this. Can Mr Verhoeven understand that I think Mr Rutte's speech is getting better as D66 gets more annoyed by it?
ParlaMint-NL_2016-12-14-tweedekamer-4.u34	I can imagine that, but I think the rest of the Netherlands has the right to know that it was a really bad speech. It was a speech with all kinds of nonsense. The Prime Minister pretended that others dream of more Europe and he doesn't do it himself, while it's the other way around. The Prime Minister is the one who constantly fights against all the European Commission's proposals and the proposals of other Heads of Government in Brussels, because sometimes they are good proposals for solving people's problems. But in The Hague, the VVD always pretends to think Europe is very dirty. I find that doubly and unwise. It lacks people's confidence in Europe. I call on the Prime Minister and also Mr Mulder of the VVD not to do so. Just tell me what you stand for and don't pretend.
ParlaMint-NL_2016-12-14-tweedekamer-4.u35	Didn't the Prime Minister just stand on the delicate souls of D66? D66 wants more and more Europe for every problem and also wants a direct European tax. Isn't that why D66's a little hurt?
ParlaMint-NL_2016-12-14-tweedekamer-4.u36	No, that's not the case.
ParlaMint-NL_2016-12-14-tweedekamer-4.u37	That was very short.
ParlaMint-NL_2016-12-14-tweedekamer-4.u38	I see two kisses-bissing liberal parties here. I would remind them that Guy Verhofstadt is the leader of the ALDE Group, to which both parties belong.
ParlaMint-NL_2016-12-14-tweedekamer-4.u39	Sure!
ParlaMint-NL_2016-12-14-tweedekamer-4.u40	Happy birthday!
ParlaMint-NL_2016-12-14-tweedekamer-4.u41	Thank you very much, Mr Segers. I would have liked to say that, but I wanted to be brief, otherwise we will go on for too long.
ParlaMint-NL_2016-12-14-tweedekamer-4.u42	That was a brief summary of the cosmetic difference between the two parties when it comes to Europe. I have another question about what Mr Verhoeven started with. He started with the result of the referendum. That must be done right. This must be emphasised. It must not be a cosmetic solution, it must be a legally binding declaration. We have read and heard about all kinds of elements that may be in there, but how does that legally binding statement add something to the referendum, as it is now? How does this statement for D66 make a difference in substance to the association agreement that has been concluded?
ParlaMint-NL_2016-12-14-tweedekamer-4.u43	That is a very fair question. We saw in the campaign that the concerns of those who ultimately voted no were largely based on assumptions from the association agreement. People were very afraid that Ukraine would become a member of the European Union, but that is nowhere in the association agreement. There is constant reference to statements made ten years ago, but that is simply not going to happen. Ukraine will not become a member of the European Union, certainly not of this treaty. Another concern was the large amount of money that would flow from the European Union to Ukraine as a result of this treaty, but that is not the case either. The treaty doesn't change that. Military cooperation was also a concern. A number of issues relating to the legally binding declaration confirm what D66 has always said, namely that membership is not going to happen. A number of other elements will, where possible, refer to the content of the Convention, where people think there is something that is not actually there. That must also be made clear. It is about removing concerns in substance by making it legally binding that things that people fear are not going to happen. I'll say it as much as I can in plain human language.
ParlaMint-NL_2016-12-14-tweedekamer-4.u44	Yet this sounds no different than a cosmetic solution. The binding declaration only says what the treaty is not, but we already knew what the treaty is not. It is not accession to the EU. It's not that military cooperation. It is a binding declaration of something already bound by the Association Treaty. Why does the D66 Group place so much emphasis on the legally binding declaration as not a cosmetic solution, but a firm statement with teeth? Mr Verhoeven then says that it is only a confirmation of what we already know.
ParlaMint-NL_2016-12-14-tweedekamer-4.u45	That is what we are doing in order to do justice to the substance of the 'no' vote. The 'no' vote has raised a number of major concerns. It must be made clear in a legally binding way that these concerns have been captured. That's the point. It's as simple as that.
ParlaMint-NL_2016-12-14-tweedekamer-4.u46	This is a very weak story. The voter says no in a referendum. Then I say that treaty has been rejected. The Prime Minister says no, we're going to make a statement. Then you would expect that there will be new things in that statement, which will respond to the no vote, as Mr Verhoeven would like. However, we have just found that this statement adds nothing and is only cosmetic. Something's coming up. One of the two signatories, Ukraine, is not even going to sign, which makes the legal validity of the declaration completely a sham. How does a state-of-law party like D66 deal with that?
