ParlaMint-NL_2016-11-30-tweedekamer-4.u1	I would like to welcome the Minister in our midst.
ParlaMint-NL_2016-11-30-tweedekamer-4.u2	Mr. Chairman. This summer, after ten years of battle, the House opened for whistleblowers. What I would have liked to have stood beside the minister to ring the opening bell together, but the minister got it to his heart. I sincerely hope that was not caused by us. The Minister has had a rough summer and I am glad that he has returned in one piece and full of energy. For years I pulled on one side of the rope and the minister on the other, until the First Chamber forced us to pull together because the interests of whistleblowers are greater than the political contradictions between us. It wasn't a mild delivery. Immediately after birth I had to give up my love baby again, because the minister had to set up the House for whistleblowers. How's it going? Are reports handled properly and detectors adequately protected? How does cooperation with other organisations work? Does the House have enough people and resources to do their own research? The House for Whistleblowers is mainly intended for new reports of wrongdoing, but there are still many old wrongdoings that have not yet been resolved or which the reporters are still suffering from. Their lives have been in ruins for decades. Is the Minister prepared, together with the House of whistleblowers, to set up a sort of coldcase team for major old whistleblower cases to learn from mistakes and provide redress? A special case is that of Frits Veerman, who, 40 years ago, revealed an atomic espionage that helped Pakistan to create an atomic bomb called an "Islamic bomb" in that country. Pakistani spy Abdul Khan stole information about ultracentrifugation at URENCO in Almelo. In his own words, he has sold these secrets to Iran, North Korea and Libya, among others. He also had contact with Al Qaeda. Prime Minister Ruud Lubbers revealed in 2005 that the Dutch government had knowledge of this espionage, but Khan allowed it to go ahead on behalf of the Americans. Veerman was a close colleague of Khan and reported the espionage, but ended up in the Bijlmerbajes himself. Veerman was fired and has been bearing the consequences of doing his civic duty for 40 years. I am pleased that Frits Veerman has asked the House for whistleblowers to conduct an investigation. I ask the Minister to assure me that the government will not try to influence this. I also want a substantive study of this international nuclear espionage. I want to know why our government has never acted against this and let this spy go. Is the Minister prepared to ask the CTIVD to investigate this espionage affair? Has the minister seen Oliver Stone's movie Snowden? That's highly recommended. The film is about a young patriot who went to work at the NSA out of patriotic love, but couldn't bear to see what he was seeing there. The NSA can also track Dutch citizens anytime and anywhere, for example via computer or telephone. The NSA can access all the information, but it can also manipulate it. Not only potential attackers, but also our politicians, entrepreneurs, scientists and journalists are the subject of espionage if the NSA considers it necessary for the interests of America. I was reminded of the hearings we have organised here and of the experts we have heard. I was reminded of the debate we had at our request in April 2014. While watching that movie, however, I was especially reminded of the deafening silence I have heard in the Chamber since then. A government that is silent when it appears that our digital sovereignty is under threat. Some debate has been held in America and some rules have been adapted, but foreigners, including Dutch, are still outlawed. Our security is still in the hands of an all-powerful organization, the NSA, which will soon be in the hands of the erratic President Trump. What has the Minister done since the debate in April 2014? What actions have been taken in those two and a half years? When is our government finally prepared to grant Edward Snowden asylum? Of course, there is also a great danger from the other side. Yesterday there was reports about Russian hackers. The director of the German secret service, the BND (Bundesnachrichtendienst), warns that in the coming election year Russian hackers may be active in influencing the elections, not only by stealing information but also by spreading misinformation, as probably happened in the United States. Is the AIVD aware of this, too? How does the Minister see the danger to the Netherlands? Does he think there is a danger in the forthcoming elections in March and in the campaign that Russian hackers want to influence our democratic process? Has the government been in contact with political parties? What's the government's scenario to prevent this? I come to other democratic processes. Does the Minister know the video of the D66 council member from Hellendoorn who proudly said that the municipality has pocketed €45,000 of the €61,000 for the Ukraine referendum? Zutphen, Pijnacker-Nootdorp and many other municipalities have also made half of the referendum and put money into their own pockets. I ask the Minister about which municipalities are involved. I also ask the Minister to have these municipalities repay it to the last penny. Money intended for the referendum has been spent on other matters. The Minister also knows the stories of the mayor who said he couldn't open enough polling stations because there wasn't enough money. The Chamber then insisted on extra money. Now it turns out it was just unwillingness of mayors who have an opinion instead of doing their job. I also hear reports that in the forthcoming elections in March, municipalities are planning to set up fewer polling stations. Did the Minister hear those noises? Can he assure us that this will not be the case? Can he assure us that there will be as many polling stations in the March elections as there will be in the previous national elections? Then there are also discussions about voting boards that are no longer put out and about all kinds of other matters. Can the Minister assure us that we are not going to cut back on access to our democracy and that he is going to act against municipalities that want to set up fewer polling stations? The Minister is working hard to strengthen local government. Aldermen are becoming more and more executives of decisions taken elsewhere in regional contexts. People's representatives are becoming more and more popular officials, who are sitting late to meet but are increasingly less and less. Does the Minister see with me that his policy is partly responsible for this, that the decentralisation of care tasks has laid a whole new management layer on the municipalities of expensive consultants and smart advisors? They pay dearly for their cheap chatter and send officials on a course of €8,000 per person on how to make citizens happy, with lucky coordinators, fortune budgets and the designation of happiness spots in the municipality that would increase luck for every citizen. Does the Minister know these people? They send local directors on expensive courses to find out if their congregation of the future will be an Ikhoven or a Mergendam, or perhaps become a State Castle. Does the Minister know the examples of council members who get an expensive master class in which they hear things like: decisions are not taken, but happen to us? Yeah, those councilmen would've figured that out by now. I would like to ask the Minister whether this kind of chat can be over. Can't the Ministry even stop letting hardworking people be harassed by people who have read a management book? Will the Minister please free the local government from this chatty class? I was shocked by a message in De Telegraaf from a journalist who made a portrait of the Secretary of Defense. The ministry seems to have placed phone records of employees alongside those of the journalist in an attempt to reveal anonymous sources. This was not about a state secret, but about the image of the minister. That's impossible, isn't it? Can the Minister respond to this?
ParlaMint-NL_2016-11-30-tweedekamer-4.u3	Mr. Chairman. Everyone in the Netherlands regularly has to deal with government services, whether they are seeking an identity card, making a tax return or making a declaration of birth or death. We prefer to handle our business online today, especially when it is easier and faster than offline. However, the VVD wonders whether our data is safe and with whom it is shared. The government agreement states that everyone should be able to handle their business with the government digitally from 2017. There are many initiatives, such as User Central, and the number of connections to the basic infrastructure is growing, but the government still threatens to miss the digital boat. On the rankings of the most digital countries, the Netherlands is still in the top ten, but it is rapidly declining. The helm has to be turned. This is why the VVD will focus on the very urgent need to respond to the rapid digital developments around us. A transition to a digital government leads to profound disruptions of traditional processes and requires a firm approach to organisations, processes, people and culture. The current approach is too slow, too focused on projects and too old-fashioned. We are putting the contents of CDs on a hard drive while the world around us is working with Spotify. The government must now make the battle to become truly digital. The keywords are ease, speed and reliability. However, we should not forget to facilitate those groups that may not be so convenient with the computer. I recently saw a nice development of digital services in healthcare. There are various platforms in healthcare. Through these platforms, chronic patients can upload the results of measurements they have made at home and pass on any changes in well-being to the hospital. A necessary change in medication can take place within 45 minutes instead of within three days. This requires a different organisational structure at the hospital, other roles and functions and a different way of working for the doctors and laboratory workers involved. The login must also be safe, better than the current DigiD. That's what people are all about. If it doesn't get there soon, all these hospitals are gonna come up with their own safe DigiDs. That is the consequence: if the government goes crazy, the world is going to build up its own systems, which can or cannot be brought together.
ParlaMint-NL_2016-11-30-tweedekamer-4.u4	I was a little triggered by the words "safe," "fast" and "easy" and by the apps that would send data from us to and from hospitals. I have just devoted a huge questionnaire to this, because it is going very badly there. On the one hand, I hear the VVD pleading for greater ease for the citizen, but on the other hand the story stands to ensure good safety. That hasn't been settled yet. Mrs de Caluwe speaks to the Minister for the Interior, but it is ultimately about the whole society we are dealing with at the moment. That train is driving like crazy now. We're also talking about safety. My question concerns another aspect. We're working on the law on computer crime. The VVD wants the government to install backdoors in software, making that software even less reliable. How can a party that talks about security on the one hand say that it will be made less safe for the citizen in this way while on the other hand saying that it wants to run very fast and put everything in an app? How does the VVD rhyme these two things?
ParlaMint-NL_2016-11-30-tweedekamer-4.u5	One doesn't have to rule out the other. For the sake of safety, it cannot be that we say: then we do not move, then we wait. The world around us is changing. I absolutely agree with Mrs Oosenbrug that it must be safe. That is why we always say that the basis must be in order. That is what we have said about the eID. The base must be in order. It's gotta be safe. It must be clear in advance what conditions and safety requirements there are and how privacy is secured. That's gotta be really safe. That does not mean, however, that we must stand still and therefore do not make any changes. Otherwise, the world around us is going to do that and the government is going to go after it. So you're gonna fix it at the back instead of organizing it at the front.
ParlaMint-NL_2016-11-30-tweedekamer-4.u6	Mrs. Oosenbrug, rounding up.
ParlaMint-NL_2016-11-30-tweedekamer-4.u7	Yeah, rounding it up. I agree that the basis should be in order. But what is happening now is that we are going to amend all kinds of legislation on all sides. I believe that there is a little coordination problem here and that we do indeed need someone who is coordinating a task. How does the VVD feel about that?
ParlaMint-NL_2016-11-30-tweedekamer-4.u8	I think Mrs Oosenbrug is right to say that this coordination can definitely be strengthened. This is also demonstrated by the fact that there are so many different people, organisations and ministries involved. Coordination can still be strengthened and at some point there must also be a certain power of perseverance with one minister who indicates how we are going to do it. This can prevent you from installing safety on one side and running too slowly on the other. I will continue my speech. Systems must be more compatible. That's what we see with the eID. One system it had to be, with multiple means. What do we see now? Multiple resources, own systems and a set of basic conditions that hopefully six months before the implementation of the entire project will finally come about. Another long-term project is the Basic Registration Persons (BRP). In August, KPMG presented a report stating that the code generators "Those are the generators to which the software is being hung" were removed from the project and replaced by a manually encrypted model. What impact does this have on the duration of the project and on the costs? Does that have consequences and, if so, which ones? After all, we are already running hopelessly and the project is already three times over in terms of costs. It is high time for action in the area of digitalisation. In doing so, we need to look in particular at the needs of citizens, such as the desire to have control over their own data. Can I see, for example, who looked at my data in the long term? And how are we going to settle this in a simple way and at a low cost? Another question is whether in the future, for example, I can choose to have my name, address and residence data from the BRP passed on to civil society organisations of my choice. It would be easy if I didn't have to e-mail the sports club, the library and the church separately in a move. That's innovative digitalization that really adds something. The VVD wants a much more assertive approach for the future and has the following concrete proposals for this. The desired innovations I have just mentioned require a different view on the matter. In the UK, a group of creative, innovative ICTs are working on the development of new, groundbreaking digital pathways for government. So I am not in favour of yet another Directorate-General. On a small scale and with a small budget, very nice things can be invented. What's the Minister's position on that? That doesn't have to cost anything extra, it simply earns back by saving on the current expensive routes. In addition to the next digi-year programme of the Ministry, the Minister must also look at the longer term, say five years. That's a very long term in ICT. That must be a look-through with concrete goals, roadmaps and resources. The use of digitalisation requires a corresponding budget. Now that the business case eID has been created, the ICT budget from 2018 doesn't even prove sufficient to hold that eID in the air, let alone the rest of the digital infrastructure. It is also necessary to indicate which services are to be provided to the Dutch and what consequences this has for ICT, the working methods and the human resources, including knowledge and skills. Can the Minister undertake to do this? Digitisation projects need much more thinking from the citizen. This is not about what the government is offering, but about what facilitates citizens. In this context, for example, the VVD wants us all to be able to actively identify, in the long term, what data we share with which social institutions are shared, both ad hoc and structural. Now you can only view data via my.overheid.nl, but you can't actively do anything with it. The Special Forces I just mentioned could work that out. What's the Minister's position on that?
ParlaMint-NL_2016-11-30-tweedekamer-4.u9	I'd really like the customer to be the key keeper. Some time ago, I tabled a motion to make this possible. I had exactly the same reasons as Mrs De Caluwé has just mentioned. The customer must see at all times what happens to his data, who looks into his file and why he has looked into it, so that the customer can control it. Does the VVD intend to make such a proposal, so that we can hang out together? Then perhaps the motion can also be passed. Last time the VVD voted against.
ParlaMint-NL_2016-11-30-tweedekamer-4.u10	That's right. We did indeed vote against last time, because the point was that you could have access to who looks into your data in the short term. The Minister has rightly indicated that this would be a very large and very expensive project. That is why I have also indicated that it would be very nice to appoint a special unit to see how this can be done in the long term at low costs and in a fairly easy way. If we had it figured out and it happened at low cost in the long run, we would be able to find each other.
ParlaMint-NL_2016-11-30-tweedekamer-4.u11	In the end, it's about the goal, and we share that goal. I think we'll figure it out. We're gonna make the customer key keeper and we're gonna make sure he knows exactly what's going on with his data and that he can control it.
