ParlaMint-NL_2016-12-19-eerstekamer-7.u1	I give the floor to the Minister for Foreign Trade and Development Cooperation.
ParlaMint-NL_2016-12-19-eerstekamer-7.u2	Mr. Chairman. Thank you for all the questions and comments I will deal with later. I'm gonna have to get something off my chest before I do. Several senators have questioned the system of the score card. That's possible, because there are countless ways to calculate. I am happy to answer for the way we did that. But what I found less pleasurable was that there was a hint on officials who would make political choices in their assessment. Look, the Chamber may accuse me of anything, but my officials don't. The Chamber can only congratulate them on their work spirit and their insight. It is a technical exercise, the results of which are presented to me. I will then make a political assessment of whether I take that advice or not. But that score card is based on page-long notes. I would very much like to give a technical briefing on it if I so wish. In short, it is a technical, rather sophisticated procedure. It is not tested by external independents. Because what is the score card built up from? From external evaluations of different donors. There is, of course, a rather comprehensive and comprehensive framework used by donors to assess multilateral organisations. That's good. It's been done a little longer to prevent you from doing incident policy. That scorecard shall be based on and on evaluations by organisations themselves. I would like to address myself if it is thought that there is a political choice, but not the officials, because that is simply not true. Which brings me to the second question, which is related to that. Why was UNIDO not allowed to give input on the score card? We are not of "we of toilet duck find toilet duck the best product." No organization is allowed to provide input on that score card. This is because we have built up the scorecards from evaluations that have often been involved. That is why we do so. By the way, we are not the only country to do that. We also talk regularly with organisations about the assessments, their functioning, our functioning as donors and so on. These are usually constructive conversations. The score cards show the Dutch vision. It is important that we do so, in order to get a clear view of the functioning of organisations and their relevance to the Dutch policy agenda. Moreover, this is done at the request of the House of Representatives. It even insists on cutting down, and sometimes even stopping, less relevant UN organisations for the Netherlands. I think it is all the more important because we support these organisations with taxpayers' money. I believe that not only civil society organisations such as Oxfam Novib and others should account for what they have done with the resources they have received from the Netherlands, but that multilateral organisations should do just as well. It would be strange if we asked Oxfam to report and evaluate in detail every year, and did not do so from multilateral donors. It's also a little "like monks, equal hoods." Why am I standing here again, asked a number of senators. Has anything changed compared to last time, three years ago? What we note is that, on the one hand, the importance of a robust UN is increasing by the day, while, on the other hand, the support for the development activities of the robust UN system is not necessarily increasing. There is a call for reform and there is a call, also by me, for more result guidance. I think that's a good development. Moreover, development cooperation is at the forefront of this. Our own Court of Auditors congratulated us on the transparency of the budget and on our understanding of the results achieved. If you do result control, you do have to judge organizations ok. We'll do it the way I just explained it. Then we see that UNIDO's score cards raise at least a number of questions about the relevance of UNIDO to the Dutch agenda and about the functioning of UNIDO, compared to its functioning on the same priorities of a number of other organisations. If you ask that question, there will be a number of answers. Here the assessment of cabinet and senators may differ a bit. However, I would very much like to argue our view in more detail. The organization functions according to our understanding, even if you look at the score cards, not good enough. Improvements have indeed been made recently, particularly when it comes to accountability and transparency, that is something we can truly recognise, but of course it is not just about accountability, but also about results. Then we see that UNIDO still does not score enough on strategic direction, focus and result measurement. We believe that UNIDO's work is too fragmented and has too little focus. Is the organisation not relevant for the implementation of the Dutch priorities? How can the Minister say that the climate is not relevant? She didn't say that either. One of the senators said that: of course the climate is relevant, but the question is how to spend the resources we spend on climate adaptation and mitigation most effectively and through which organisations.
ParlaMint-NL_2016-12-19-eerstekamer-7.u3	I thought the minister would stick to the scorecard for a while, but he's not. I do have a question about that. If I understand correctly, this is a biennial process and we now have this discussion on UNIDO and the scorecards, about which the Chamber was informed in June 2015. That's right. It is therefore about information that is likely to have been collected in 2014 and in the first three months of 2015. How does the Minister see the relationship with the haste this is in? Our group chairman, Thom de Graaf, dealt with this issue last time, at the end of 2013. Then it was said: we withdraw the proposal to withdraw from UNIDO. Our group has understood this as: this gives UNIDO a chance to improve itself. With all due respect to the minister's officials, of whom I am sure they are acting very carefully, it seems that the organisation is not functioning properly, on the basis of score cards that were completed in 2015. What's the rush? What will be done with the information provided by UNIDO itself since 2014, 2015 and 2016 to assess the functioning of this organisation?
ParlaMint-NL_2016-12-19-eerstekamer-7.u4	I do not agree with Mrs Stienen's judgment that we are in a hurry. The first time I stood here was three years ago. Over the past year, we have gone through all the steps needed to reach a decision. That should not be taken lightly. I very much agree with Mrs Stienen. In my opinion, we started the process after we were able to assess UNIDO in 2015. We have gone through that, dressed with all the care that is rightfully associated with it.
ParlaMint-NL_2016-12-19-eerstekamer-7.u5	I like to be corrected if I don't remember correctly. In my opinion, UNIDO was not part of the score cards in 2013 at the time of the previous examination of this bill, to withdraw us from UNIDO.
ParlaMint-NL_2016-12-19-eerstekamer-7.u6	That's right.
ParlaMint-NL_2016-12-19-eerstekamer-7.u7	That is why it seems to me at least careless that an organisation has not been assessed first, then that it is not satisfied by the Dutch Government and then that the Dutch Government wants to withdraw from the treaty. Then the organization gets a year. Then it'll take a while to get through the House of Representatives. Then, within a few weeks, we in this house must decide to withdraw from a treaty with a UN organisation for the first time. In a few weeks for an organization of which we have been a member for 30 years, I really speak of haste.
ParlaMint-NL_2016-12-19-eerstekamer-7.u8	Again, we have carefully observed the procedure and the deadlines. The experience of that period is different for all of us. I would like to say to Mrs Stienen that we have acted with absolute care, precisely because we have been able to assess UNIDO on the basis of that score card. It remains that the Netherlands has a number of policy priorities and that we fill them in in a way that is most effective for us. That hasn't changed since 2013. We work in the area of climate, for example, with the Green Climate Fund. We also work with UNPD. We think it is important to emphasise the role of women in climate adaptation. The topics that UNIDO focuses on are of course relevant. No one will say that climate is irrelevant. Of course, you can shape these interventions in many different ways. You can also shape them very different in many places. Our view is that UNIDO is too fragmented and therefore the impact of the programmes is not what it could have been. This is also apparent from evaluations carried out by UNIDO itself. Has it been done enough to inform UNIDO about what the Netherlands thinks, what our opinion is? Have we had enough contact with UNIDO? I can taste that question with Mrs Stienen and others.
ParlaMint-NL_2016-12-19-eerstekamer-7.u9	I may be wrong, but I have just heard a lot from the Minister, but no answer to Mrs Stienen's questions. She said that the scorecard was first drawn up in 2015. UNIDO had not been assessed with this system. That assessment was made on the basis of information gathered in 2014 and early 2015. After that, a lot of information was added. A lot's happened. I myself referred to UNIDO's 2015 annual report. The question was: what did the Minister do with that information? To what extent does this lead to a reconsideration of the opinion contained in that scorecard? I would like to hear a more precise answer to that.
ParlaMint-NL_2016-12-19-eerstekamer-7.u10	I was definitely going to give that to you, too. That's why I took this runaway. Has UNIDO had enough chance to improve? In other words, have we had contact with the organization? I would also like to comment on Mrs Stienen's and the SP's questions. Let me start in general. If we only heard from others around us that UNIDO's way of working has become much more strategic, much more focused, if we had received such signals, we would of course have gone into that more closely. I just want to say that thinking didn't stop at the 2015 score card. Of course, we remain committed to UNIDO. We also keep reading those annual reports. However, we have seen no reason to reconsider our decision. We may differ on that. We've brought in our concerns. We have done so in bilateral contacts with UNIDO. Our permanent representative in Vienna has often been in contact with UNIDO's dg. We've discussed our concerns. We have also indicated the reasons for the Netherlands to withdraw from membership. We have also included these points in the EU coordination meetings. Of course, we have also participated every six months in the regular consultations of EU ambassadors with the Director-General of UNIDO. These consultations shall discuss the progress of the work plan and the functioning of UNIDO. However, we have not seen any reason to change the judgment. Let it be clear that the thinking did not stop in June 2015. We have chosen to cooperate on climate, water, energy and green growth issues with organisations that we believe are more effective and relevant in this area. That's what I just said. In the area of climate, for example, we do this with UNEP. Recently we have been working very constructively on the 'dirty diesel'. I mentioned UNPD. We're also working with the World Bank. The issues have an explicit place in our policy priorities, but our opinion is that other organisations act more effectively on them. I would just like to say a few words about UNIDO and then reflect a little more on what it means to cancel membership of a UN organisation. That was the second point raised here. Mr Schrijver of the PvdA said that the Minister may have this opinion, but that others may have a different opinion. They have, for example, made substantial contributions to UNIDO, especially in recent years. We have, of course, been digging into what that came out of. Germany and Norway, for example, have done so. They have supported specific programmes. That's what they said. You could say UNIDO is running projects for them. It is an implementation organisation for German and Norwegian policy in this area. We want to be another donor. We do not want organisations merely to carry out what we believe should be done. They have their own mandate. On the contrary, we want to make unintended contributions so that, within their mandate, organisations can make their own decisions on how these resources can be used most effectively and efficiently. On the contrary, we do not want to sit on the seat of these organisations, but leave them in their value, so to speak, given their mandate. That's how the Netherlands looks at it. Other donors look at that differently. Of course you can. I have a judgment on what we should do, but I cannot take into account their considerations. I come to the question of why we are doing this at UNIDO and not at WHO and UNESCO, which did not do very well in terms of scorecards. The latter is a fact, which we have all been able to observe. That has to do with two things. WHO and UNESCO are organisations with a unique mandate in a specific area. No other organization makes a list of world heritage, for example. No organisation is standard in terms of health, such as the WHO. So you can't exactly compare those mandates. That's one. Two. We look at the relevance to the policy priorities of Foreign Trade and Development Cooperation, but the WHO and UNESCO are also involved in other policy areas: OCW, VWS. So the relationship is wider, it's not just about BuHa-OS. With UNCTAD, the Netherlands has a special history. Implementation may not be as strong, but the analyses that are being carried out are very relevant to the foreign trade and development cooperation agenda. I would just like to say that, on the basis of these scores, we are making this kind of trade-offs which, in the end, I repeat, can lead to a politically planned decision in abundance. What does it say if the Netherlands cancels its membership of a UN organisation? I have a few arguments for that. The most convenient argument is the first, because then we are done with it: others have done it, and in the appearance of those countries there has not really been a significant change. I am referring to the US, Canada, Australia, New Zealand and eight EU Member States. Anyway, I used to learn from my mom at home: if your little brother jumps into the Meuse, you shouldn't just jump after it. So you have to keep making your own decisions. This was the easy argument. We'll shove that aside. The Netherlands is, rightly, a loyal and a great supporter, both politically and financially, of the UN system. The UN system has almost 100 organisations. We're not active in all that 100, and we don't have to. We are very active in organisations such as UNFPA, UNDP, ILO and UNHCR. We have a strong role to play there in discussing policy, direction and opportunities for improvement. I believe that the withdrawal of membership should not be taboo. If you don't make a choice, everything will be defenseless and worthless. On the contrary, it is good to ask the question with some regularity: does this organisation fit in with what is important to the Netherlands, is it effective and efficient and is it also the appropriate organisation in terms of the policy that the Netherlands wants to use and the results it wants to achieve? You want to appreciate the efforts of organizations, sometimes negative, fortunately, this happens very rarely, sometimes positively. The cabinet assumes that the consequences of termination will be limited. A number of Members said: it is so annoying for Dutch business. We are assured that programmes can still continue. In the Director General's letter, I also read it. You might read something else. I do not find that very sympathetic, if I may say so. But it's up to him. If Dutch business sees so much bread in UNIDO and vice versa, this cooperation will continue. To be honest, I would also find it a bad argument if one only works with Dutch companies because the Netherlands is a member. If the companies are as good as they are now and the Netherlands is no longer a member, would they suddenly lose weight? We used to call that tied help. I'm very opposed to that, and I'm sure many of the senators are against that, too. To be honest, I don't think that's the way to put that link. It is worth mentioning that the European Commission is UNIDO's largest donor. At the request of the Dutch States-General, the government is committed to UNIDO's EU membership. The tires are not cut completely in this way either. I felt some resistance in the Chamber to do that. So we remain connected to UNIDO through the European Union. I think I have answered the questions I have been asked. I hope that I have been able to convince the senators of the robustness and care with which we make this proposal to them.
ParlaMint-NL_2016-12-19-eerstekamer-7.u11	Thank you. Then we have now reached the second term of office. I give the floor to Mr Lintmeijer.
