ParlaMint-NL_2016-11-02-tweedekamer-7.u1	We'll continue with the first term of the Chamber. I call Mr Rog of the CDA.
ParlaMint-NL_2016-11-02-tweedekamer-7.u2	Mr. Chairman. Our education is as good as the teacher in the classroom. Children deserve to be taught by well-educated professional teachers who have authority. For good teachers we also need good teacher training and time and space for the teacher to train and to work in team on teaching preparation, intervision and evaluation of lessons. The CDA is concerned about the growing shortage of teachers, but it does not see any reason to negotiate with admission requirements for the pabo and teacher training. It is precisely high training requirements and high entry requirements that will increase the attractiveness of the profession and, in the long term, ensure that the best pupils opt for teachership. To promote this, the CDA wants to focus on "teachnasia." In it, the pabos and the secondary education work together and offer additional courses, switching programmes and internships to seduce havescholielen or vwo-scholielen to the teacherhood. This is also the opportunity to challenge male students to choose teachership, as well as immigrant students. This allows more diversity in role models for the classroom. Can the rulers state what is going to happen to my motion on this point? The CDA is in favour of a more specialist pabo in which, after a general year, there is a specialization in the young or the older child, in which deep digging knowledge is acquired about the stages of development, in which there is more scope for pedagogical and didactic knowledge and in which more practical experience is gained. An additional advantage of this is that the male pabo students present today often prefer to teach in the superstructure. They can therefore focus in this proposal on primary school pupils in that superstructure. Can the Minister state what she's up against? Does she share the CDA's ambition? Does it recognise that it would be unwise to lower the admission requirements to the pabo for, for example, MBO students? Should we not keep the entry requirements correctly or focus on the specialization to be chosen? A good teacher in the class provides good education and contributes to good development opportunities for students. Yet we see that there are obstacles in our education system. Our early selection after primary school is a blessing for some typical VMBO students and typical gymnasies, but for other students in whom it is only later possible to determine which level suits them best, it is not good. The number of broad bridge classes, roofing bridge classes or extended bridge classes has fallen dramatically in recent years. In a culture of risk-avoidance, schools sometimes steer at a low level, while setting high expectations can challenge pupils enormously. The CDA therefore wants to encourage school communities to opt for more broad bridge classes, roofing bridge classes or extended bridge classes in the interests of student development opportunities. If we are to offer equal opportunities, we must also value young people in practical education and in vocational education to what they can rather than emphasise what they cannot do. The diploma could be a great instrument for this. This will enable young people up to the MBO 1 level to understand their professional skills and thus increase their chances in the labour market. When can we expect the Minister's intention to draw up the diploma? When will the grant scheme, which now applies to vocational education, also apply to practical education?
ParlaMint-NL_2016-11-02-tweedekamer-7.u3	To all those who are about to interrupt, I say that the interruptions must be really short.
ParlaMint-NL_2016-11-02-tweedekamer-7.u4	Very briefly, can Mr Rog say something about how he wants to stimulate these broad bridge classes?
ParlaMint-NL_2016-11-02-tweedekamer-7.u5	That's a fair question. I think we are coming out of a situation in which equal pay is increasingly being used for the individual directions. I would very much like to keep that for the pupils who belong there and at the same time look for tools in wider school communities..................................................................................................................................................................................................... Unfortunately, after four years of social democratic education policy, inequality of opportunity has only increased. Now, in the aftermath of the cabinet, the Minister chooses an equal opportunities coalition. It seems a bit like the Minister first set fire to the place, now distanced herself from her past and shouting to everyone: look how good I am putting out the place. The most pregnant is the introduction of the loan system, which has reduced the number of mbo's passing to the hho by 15%. Throughout the equal opportunities coalition, there is no concrete plan to offer these young people opportunities for further training in HBO. Does the Minister simply accept this decline? Transitions from one type of education to another always offer opportunities, but also lead to a fallout. The CDA wants to improve the transition from VMBO to MBO. For that I have tabled a motion to start switching paths, so that more vmbos will be successful in the MBO. That point is reflected in the equal opportunities coalition and the Minister's letter. That's very nice, but with a range of 3,000 to 5,000 students there can be a bit of ambition. What is the reason why ambition is so limited? Is that about money or capacity? I would like a response from the Minister. In relation to labour market developments, too few VMBs opt for a technical profile. The number of technical VMBOs has been halved over the past 15 years. In 200 municipalities, including even large cities, such as Utrecht, Leeuwarden and Haarlem, the offer of technical vmbo is actually dramatic. Schools as well as VNO-NCW and SMEs complain that the funding is lagging behind, but the Secretary of State has promised that he will prevent a blow in the technical vmbo. Entrepreneurs are allowed to report; then he intervenes. Well, those entrepreneurs checked in, yesterday in the House of Representatives. What will the Secretary of State and the Cabinet do about the cuts in the science hubs, the regional networks of secondary education and higher education and the Science Technology Platform? Is this not in stark contrast to the need to opt for technology? Refugees in the Netherlands also deserve equal opportunities for access to education. Refugees who want to study in MBO should also be able to count on good guidance. Is the Minister prepared to examine, together with the foundation for refugee students, the UAF, the MBO Council and Refugee Work, how best to organise this organizationally and financially? Together with the VVD and the PvdA and student and student organizations, we have opened the attack on the fallout, because also the flow from vo to ho can be better, especially now, with the high debt mountain against which potential students are hijacking by that maleized loan system. Students have their own responsibility, but they also deserve to have good high-level matching activities, such as a serious conversation, a real picture of what is expected of them and the labour market perspective offered by the training. The CDA also wants to accommodate chronically ill and disabled students, who have left the loan system on a massive scale since the introduction of the loan system. 20% less influx of young people with disabilities into HBO is unacceptable. The CDA wants a financial concession for these students, for example by giving them an additional year's grant. In addition, the CDA would like to open up the possibility for disabled people and chronically ill to pay per credit instead of per year if it is already clear in advance that they will not reach the nominal number of credits. In the engineering sector, employers are crying out for highly qualified staff. The government also sees this and invested millions in successive years, including the Platform Beta Technique and the Technics Pact, in order to tempt more young people into a study in technology. Finally, this approach has been successful. At last, more young people are structurally opting for a technical study. In fact, there are so many that twelve courses have now set up a student stop. And what does the Minister for Higher Education do? Nothing at all! In her answer to written questions from the CDA, she does not go much further than pointing the finger at business. However, if society wants young people to opt for technology, we must also give them the opportunity to continue their training. This is in their interest, but also in the interest of society. The CDA wants the Minister to take action now and do everything in his power to undo the announced numeri fixi. In addition, we want the Minister to carry out a solid and independent study into the adequacy of student benefits in the different fields of study. I am making this request with Mr Duisenberg. The CDA Group sees that Dutch colleges and universities are becoming increasingly attractive to foreign students. A very significant proportion of these students are trained here, but eventually they will go back to studying in the country of origin. That's nice for those students and it's also nice for the country of origin, but here it leads to problems. In some of these students, we allocate money, while in studies with numeri fixi we do not train enough people for our own labour market. Does the Minister recognise this development and, if so, what is it going to do about it? Isn't this part of the solution to the problem of student stops? If we consider lifelong learning to be so important, how is it possible for the Minister to make substantial cuts in the training allowance? After old social democratic use, it brings forward money from the future. So that's a game of pottering, while the Chamber doesn't yet know what the new stripped-out subsidy scheme is going to look like. Does the Chamber have anything to say about that later? Last week, the AOW age was raised again. Will we take this opportunity to open up lifelong learning credit to workers over 55 years of age? The school is small society. It is the place where you learn to deal with differences, where you learn that you have rights, but also duties, where you learn how to interact and where you learn that equality is something other than "everyone is equal." Unfortunately, all the autonomy that students are awarded in new learning seems to be causing more and more problems of order in the classroom. The Education Inspectorate and the OECD are waking us up on that point. A lot of education time is lost with Wi-Fi problems, computer start-up and hassle. Students often pay more attention to social media during the lesson and to watching stupid videos than to their teacher for the class. The worst thing is that this behavior is often accepted, because the lesson must of course remain fun. And well, as long as the test gets fixed later. But the learning climate in the classroom is suffering from this. And well, Sem and Sterre will eventually get their tests through expensive homework desks, at least if they count for the report. But Said and Cheryl are pulling out. Education deserves the restoration of the teacher's authority. This is a task for directors, for school leaders and for teachers themselves, but also for the government. It should, for example, maintain that the lessons are taught by qualified teachers. He must not always want to interfere with the content of the lessons. It should not force new mandatory tests over and over again. The CDA is therefore co-author of an initiative law by Mr Bishop of the SGP on the withdrawal of the diagnostic interim test. He'll explain it later. Education is not only about getting the most out of yourself, but also about what you can do for each other in society. It is precisely at this time that citizenship is crucial. Vwo'ers and havists get an important subject as a social study, but in some MBO schools citizenship is a bit attached: no coherent curriculum, no compulsory subject and no competence requirements for teachers. The CDA wants this to change. That is why, together with Mr Mohandis, I am preparing a motion on this subject. In addition to the very valuable content of citizenship in the professional subjects, MBOs deserve to learn about our democratic rule of law, to learn to think critically about it, to exercise democratic citizenship under the guidance of a qualified teacher. That is someone who can spark the fire among these students to participate in our society, as in secondary education.
ParlaMint-NL_2016-11-02-tweedekamer-7.u6	I would like to come back to the reproach of those who have released money in order to maintain the funding of technical universities in the long term. I'm talking about the CDA counter-plan. I have heard that you want to re-introduce the basic grant, that you want to keep the investment going and that you want to keep up the full path map, which, according to all the studies, is as expensive as the current public transport card. I don't know if you have any idea what that should cost. What are you thinking?
ParlaMint-NL_2016-11-02-tweedekamer-7.u7	I understand that we are now going from the 2017 budget to the 2017 election programmes for the elections. You do not see me as a counter-budget on this issue this year, because I know that the Labour Party and the VVD have a large majority in a pact with D66 and GroenLinks that can stop such a thing. The CDA does indeed make the choice in its election programme to re-introduce that basic grant. We consider the declines in HBO to be important, for example the -20% disabled students. Also the MBOs do not flow through: 15% less. There are almost 15% fewer first-generation students. We must give them the equal opportunities that we always talk about in this house so that we can finally study in HBO. The CDA considers this to be more important than a free public service right. We want students to retain the opportunity to travel from home to institution. They can upgrade this to the current level in new contexts. Curiously enough, they also have the money for this, I say to Mr Mohandis, because we are restoring the basic grant.
ParlaMint-NL_2016-11-02-tweedekamer-7.u8	The questions must be brief and so must the answers.
ParlaMint-NL_2016-11-02-tweedekamer-7.u9	The CDA cannot restore the basic grant with the plan launched by colleague Rog. I'd like to talk about those choices. Take the O.V. card. Mr Rog indicated that he wanted to keep a path map, i.e. from place of study to place of residence. I would like to tell him that it is as expensive as maintaining a full public health card. The OV-kaart for all mbo'ers is a long-cherished wish and becomes a reality as of 1 January 2017. Can Mr Rog guarantee that it will not be destroyed simply because the CDA wants to restore the basic grant? That is what I hear from the speech about morbidity on the public health card.
ParlaMint-NL_2016-11-02-tweedekamer-7.u10	I continue to find it very interesting to have the debate on this issue. The chairman will allow it, and I'd be happy to go into it. We say that it is precisely in the interest of all those MBO students, of which 15% is now less flowing to HBO. I really think that's a terrible number. That should be a concern for a Social Democrat like Mr Mohandis. I want those students to be able to get into HBO with a scholarship. And yes, I would prefer that there should be a more restricted right of residence to university or MBO institution than that there should be a free right of residence and 15% fewer MBOs that flow to HBO. By the way, the loan system coalition has another 200 million on the table for the austerity of the public transport card. Students at the CDA know what they're up to. In the Bachelor's phase, they have the right to travel from home to institution with a basic scholarship. In parties like PvdA and D66, they don't know that. What they do know is that they have lost their basic grant and that 200 million will be cut on the O.V. card.
ParlaMint-NL_2016-11-02-tweedekamer-7.u11	The answer must be really short and contain no repetition.
