ParlaMint-NL_2016-02-18-tweedekamer-10.u1	Speaking time is two minutes per group, including tabling motions.
ParlaMint-NL_2016-02-18-tweedekamer-10.u2	Mr. Chairman. The European Commission is preparing a decision on China's market economy status. It is possible that a status with mitigating measures, with still high import rates, could be imposed, at least higher than with full market economy status. The question is whether this will eventually become such strong measures in the polder, because the European force field is very divided. According to Morgan Stanley, China sells steel for nearly $100 a tonne below cost. As a result, the world market is falling so far that steel producers are in trouble all over the world. Sanctions against this dumping by China have helped steel producers so far. They will soon be evaluated by the European Commission. Yet there are thousands of jobs in the steel industry throughout Europe, not least in our own IJmuiden, from which some 300 people went to Brussels last Monday to protest. In that light, I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the European Commission is currently preparing a decision to grant market economy status to the People's Republic of China, with or without mitigation measures;]] [[having also noted that the European Commission has on several occasions examined whether China meets five criteria which are necessary for granting this market economy status but which do not meet most of these criteria;]] [[considers that market economy status should not be granted to countries that do not meet these criteria as this will lead to an uneven playing field and may result in major disadvantages for non-Chinese companies;]] [[calls on the Government to commit itself within the Council of Ministers to refusing market economy status to China as long as it does not meet the criteria set by the Commission,]] [[and goes to the order of the day.]] [[This motion has been proposed by the Member of the Houses. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-30-372]]
ParlaMint-NL_2016-02-18-tweedekamer-10.u3	Mr. Chairman. I'd like to file my motion immediately. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the World Trade Organisation (WTO) has no criteria for giving a country market economy status (MES);]] [[noting that there are regular discussions on (alleged) dumping of goods, such as steel, in China;]] [[Whereas the anti-dumping legislation for countries with market economy status is significantly lighter than for countries which do not have this status;]] [[Calls on the Government to monitor the process of granting China market economy status proactively and very critically and to give the level playing field for industrial sectors a decisive place in the overall balance;]] [[calls on the Government to involve the Chamber closely,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van Veen. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-30-373]]
ParlaMint-NL_2016-02-18-tweedekamer-10.u4	Mr. Chairman. This is the first time I have spoken as a consumer market spokesman. I wish the Minister and all colleagues all the strength. It seems like a very nice wallet to me. I'll take it from my colleague Mei Li Vos. She has worked for years to ensure good consumer protection. For her, this is the rounding, for me the start. We have a motion on the current differences in consumer protection. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the European Commission has proposed a Directive on online sales for harmonised consumer protection;]] [[noting that the rules on product conformity, which protect consumers from defective products, should be fully harmonised, with a period of two years for all products;]] [[noting that the rules on product conformity apply only to online sales and other sales or distance;]] [[Whereas in the Netherlands a product conformity is different for each product and often exceeds two years;]] [[considers that it is undesirable for the Dutch consumer protection to be reduced in this way;]] [[considers it undesirable for online and offline shops to be subject to different rules in this way;]] [[calls on the government to make every effort to maintain consumer protection in the Netherlands at at least the same level as it is now;]] [[calls on the government to ensure that the same rules are applied to both online and offline shops;]] [[calls on the Government to report to the Chamber on the important developments in this dossier,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Jacobi and Mr Mei Li Vos. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-30-374]]
ParlaMint-NL_2016-02-18-tweedekamer-10.u5	Mr. Chairman. The problems raised by the spokesmen are, of course, different. The spokesmen will realize that, too. Mrs Gesthuizen says that China already sells the steel $100 below cost. If you regulate that in Europe that is no longer possible, that means that European companies can no longer buy those steel at that cheap price in China. As a Dutch company you have to compete with companies elsewhere in the world that can buy the steel much cheaper than yourself. So you're being squeezed out of the market. We must realise that this can have very negative effects on companies and employment in the Netherlands. Things like this always have different sides. The spokesmen also spoke about market economy status. This status would be granted to China no later than 15 years after China's accession to the World Trade Organization. This means that this should be done on 11 December of this year. The spokespersons already pointed out in their input that different types of decision-making were possible. We have noted that the Commission has announced that it will first carry out an in-depth impact assessment on the various options in order to respond to China's request for market economy status as of December. A public consultation has already started. In mid-March there will be a meeting with all stakeholders, so that all input can also be transferred face to face. The Commission will then examine this further and come forward with a legislative proposal after the in-depth impact assessment. Indeed, a legislative proposal is needed to grant that status to China, so the European Union must take a position on this. There is therefore still a complete legislative process to go through. In short, there is still a lot to be done before it is done. I think that the motion in part No. 372 by Mrs Gesthuizen, in which the government is asked to make efforts to refuse that status, comes too early. We need to see what the impact assessment means first. Then we can assess that and bring our commitment into the legislative process. It does not seem to me to be conducive by making a harsh statement about this, at the beginning of that process, without taking into account the nuances. I therefore advise against Mrs Gesthuizen's motion.
ParlaMint-NL_2016-02-18-tweedekamer-10.u6	Maybe the Minister isn't reading the motion properly. I have made it quite clear that market economy status must be refused to countries which do not comply with the criteria which we ourselves have drawn up for that purpose.
ParlaMint-NL_2016-02-18-tweedekamer-10.u7	I have read the motion in the short time available. The government is called upon to commit itself within the Council of Ministers to refusing market economy status to China as long as it does not meet the criteria set by the Commission. To what extent this is or is not the case, and how we should respond to it, this impact assessment can be seen. The European Commission must then adopt a position on this issue, which is presented to the countries and the European Parliament in a legislative proposal. Then we can draw conclusions. I believe that the situation in the steel market requires rapid action. I am also pleased that last Friday the European Commission decided to add three more to all the levies on steel from China. I will also argue in favour of going through the processes, in order to reach conclusions on these anti-dumping duties, as soon as possible; I will say something about this in the context of Mr Van Veen's motion. However, in view of the way in which Mrs Gesthuizen has put it, I must advise against her motion on market economy status.
ParlaMint-NL_2016-02-18-tweedekamer-10.u8	Should I conclude, then, that the Minister says: it is all right to grant market economy status even if countries do not comply with those criteria that we share?
ParlaMint-NL_2016-02-18-tweedekamer-10.u9	Before I go into the Council of Ministers on something, I would like the day-to-day administration of the European Union, which is the European Commission, to look at the different perspectives from which to look at such a problem and to see what the consequences are. That is what we call an impact assessment in Europe. If there is an impact assessment, the Commission has said that it is going to be a thorough one, I want to assess it, like the Commission's proposal. Then I want my input into the legislative process. I don't think it's a good idea to make that statement in advance as a Chamber. That's why I didn't recommend it.
ParlaMint-NL_2016-02-18-tweedekamer-10.u10	Finalizing, Mrs. Gesthuizen.
ParlaMint-NL_2016-02-18-tweedekamer-10.u11	This isn't interrupting anymore. I feel the mood already hanging, especially since the VVD has tabled a motion that comes a little close to this. So I'm holding my own motion.
