ParlaMint-NL_2016-11-15-eerstekamer-4.u1	I would like to welcome the Minister of Security and Justice to the First Chamber.
ParlaMint-NL_2016-11-15-eerstekamer-4.u2	Mr. Chairman. I thank the Minister for having found time for a brief debate. The debate may be brief, but it is no less important. It is important that the EU Directive 2013/48/EU is implemented in Dutch legislation. I'm sure the SP Group is behind this. However, I would like to ask a number of questions about the way in which the implementation is shaped in Dutch legislation. I would like to discuss three issues with the Minister today. The first is the content of the hearing aid, the second is the recovery of the costs of the hearing aid and the third is the legal aid of minors. The first subject I would like to discuss with the Minister is the content of the Honorary Assistance. Current and intended practice is that the lawyer is allowed to ask questions before and after the police interview. The text does not explain whether this concerns questions to the defendant, the detective or both. In my opinion, this means that questions can be asked to the detective and the suspect. It may be important in the interests of truth finding and efficient litigation that the lawyer also asks questions to the defendant during the police interrogation. After all, this may also enable exculpatory evidence to be collected at an early stage, allowing criminal cases where there is insufficient evidence to be dismissed by the D.A. in the ZSM assessment. This is in line with the intention of revising the Code of Criminal Procedure, which places more emphasis on the investigation phase. This would prevent unnecessary interrogation with the judge commissioner. It prevents unnecessary claims for compensation for unfair deprivation of liberty which the taxpayer must bring to bear. This is also in line with the EU directive that is being implemented with this bill. Article 3 (3) (b) of the Directive provides that the counsellor may participate effectively in the questioning of the defendant. Does the Minister agree with me that on the basis of the current bill, following the detective's questions in the interview, the lawyer can ask the defendant his questions, so that the questions and the answers are included in the interrogation report? I would like to hear the Minister's response to this. The second subject I would like to discuss with the Minister is the story of the costs of hearing aid. This legislative proposal provides that the costs of legal aid relating to the appointment of a counsellor for the defendant whose freedom is denied may be recovered from him after an irrevocable conviction if he is sufficiently capable. I should like to know from the Minister where and in what way he intends to work on this. Has a cost-benefit analysis been made of this? If so, we would like to know about this. Or would the Minister undertake to forward it to us? We would also like to know whether research has already been carried out into the impact of this proposal on the defendant's re-socialisation process. If so, can the Minister tell us what the results have been? If not, does the Minister intend to carry out this investigation? The third and final issue I would like to discuss with the Minister is the legal assistance of minors. The bill means that a minor will no longer have the right to an addition of a lawyer and that he or she will then have to pay his or her own lawyer if the Public Prosecutor wants to impose a community service of 32 hours or less. The border is now at 20 hours. These are minors who spent hours alone in a police cell and who are asked in the opening of the cell door whether they agree to a community service of, for example, 32 hours in order to prevent further criminal proceedings. They're tired and want to go home. It is also a matter of minors who are invited to a public service hearing and are asked whether they want to agree to a public service offer of 32 hours. Minors cannot see the consequences of their consent and cannot, without having seen the file, assess whether there is sufficient evidence in the file. Does the Minister agree with me that a minor here should have the right to a lawyer's assistance in assessing whether he should agree to this offer of community service and whether he should perhaps oppose the prescribed service, at least in the event of inability to do so? I look forward to the Minister's response.
ParlaMint-NL_2016-11-15-eerstekamer-4.u3	I understand that there is something wrong with the sound recording of the sitting and therefore suspends the sitting for five minutes.
ParlaMint-NL_2016-11-15-eerstekamer-4.u4	Mr. Chairman. The legislative proposals before us have already been dealt with fairly extensively, so I limit my contribution to the legislative proposal implementing the directive on access to a lawyer in criminal proceedings. As a result of this directive, not only minor but also adult suspects will be entitled to legal aid during police interviews. My group welcomes this active support of the suspect at an early stage of the criminal proceedings, and believes that this support also serves the progress of the investigation and the importance of the truth finding. Somehow, the criminal justice chain has a difficult relationship with the interrogation assistance. For half a century there has been a debate on whether the right to assistance by a lawyer also applies to the police questioning. Spranken recently concluded in the Dutch Juristenblad that this long duration is mainly caused by the strength measurement between inquisitory and accumulative principles. Although the influence of detectives, but also repulsive against the financial consequences of the introduction of interrogation assistance, has been able to stop for a long time, judicial errors have led to the door being opened to lawyers during the hearing. But the main incentive has of course been the case law of the ECHR. Following numerous judgments of the Court, which also condemned the Netherlands, the Hoge Raad decided to set the State an ultimatum to apply the standards of the case law of the Court. Since that ultimatum, March 1st 2016, suspects have the right to an attorney during interrogation. The discussions have not yet been resolved. A point of dispute is the question of what that lawyer may or may not do during the interrogation. Another point of dispute concerns the remuneration of that lawyer: what is a reasonable remuneration for the assistance? I shall dwell briefly on both points. According to the OM policy letter governing interrogation assistance since 1 March, the activities of the counsellor are mainly limited to before and after the hearing. During the interrogation, he may only make the interviewing official aware that the defendant does not understand a question as to whether undue pressure is being exerted, or that continuation of the interview is not justified. And he may at least ask for an interrogation at least once. The question is whether these rules only implement the case law of the ECHR, or also of the EU Directive. In December of last year, the Supreme Court had ordered that the directive be implemented, in order to prevent further convictions by the ECHR and to promote legal certainty. However, in its decision on the question referred for a preliminary ruling last September, the Hoge Raad did not examine the OM rules on the basis of that directive, but only on the basis of the case law of the ECHR. Explicitly, the Supreme Court states that an unbiased right to interrogation assistance cannot be based on the Directive, as the implementation period had not yet expired in September. The High Court then concludes that neither Article 6 of the ECHR nor any other rule of law currently in force implies that a counsellor should be able to participate actively in the hearing, as long as restrictions do not make the right of interrogation illusory. Does the Minister share the conclusion that the High Council has not reviewed the policy letter in the light of the directive? This bill is intended to incorporate the standards that will apply to the Netherlands from 27 November into our laws and regulations. And then there is the pressing question of whether the directive offers more protection and guarantees than the ECHR. The Charter is clear on this. Article 52 (3) provides that Union law may provide more protection than the ECHR. This directive does that. The provisions of the Directive are at least in line with the Charter and the ECHR, but build on this through further and more detailed legislation. Recitals 6 and 7 explicitly refer to further development and build on the minimum standards of the ECHR. During the negotiations on the proposal for a directive, the Minister acknowledged that he was heading towards the Chamber and was somewhat displeased. He wrote that the Commission underestimated how far the Directive went beyond the ECHR. However, in the reply, the Minister states that the level of protection is no wider than the case law of the ECHR, and he quotes recital 53. However, that recital only obliges Member States to comply with the provisions of the Directive the ECHR case-law. However, the directive contains more detailed provisions. The President of the Court of First Instance, who referred the question to the Hoge Raad, considers that Article 14 of the Directive provides that the Directive does not go further. However, this Article contains a non-regression clause prohibiting Member States from using the Directive to limit or derogate from European rights or existing national rules, if they provide a higher level of protection. This clause makes it clear that the directive must never lead to a lowering of standards. But I'm going to raise it. Does the Minister recognize this? I have been thinking about this for so long because my group has the impression that the meaning of the directive is likely to be limited to the setting of standards that we have already been bound by. In other words, nothing new under the sun. This would only mean that the Directive would have the function of making Member States better aware of these obligations, now also by the Commission, and that the Court of Justice would also have the power to interpret them. But that is, in our group's view, a misconception, which should not take root in Dutch legal practice. We have a new instrument, and the principle of Union law requires full compliance with the obligations. The aim of the Directive is to strengthen mutual trust between Member States in order to promote criminal cooperation within the Union. According to the Directive, this requires further development of existing safeguards. Article 3 (1) of the Directive requires Member States to give suspects access to a counsellor in such a way that they can effectively exercise their right of defence. The third paragraph further elaborates this right of access, which provides for Member States to ensure that the counsellor is present at the hearing and can actually participate in it. Such participation may be regulated by national procedures, but only in so far as they do not affect the effective participation and the essence of the right to interrogation assistance. In recital 25, the Directive explains what such active participation should consist of, namely making statements, asking questions and questions. This is not an exhaustive list, but it makes it clear that this active participation really needs to be implemented. The Minister has taken this into account by stating that "only" is a recital in the preamble, but, as the Minister knows, the Court of Justice often takes the recital as the starting point in explaining the provisions of a directive. And the Court will always assess whether the objective is not undermined by national rules. Here is the purpose of the Directive, the further development of criminal safeguards, and the purpose of the provision itself, the effective exercise of the right of defence through the active participation of the counsellor in the hearing. It is up to the Minister to adopt its own rules in accordance with Union law and to the judge to review those rules through the eyes of the Court. If in doubt, the Supreme Court will not have the last word, but the Court of Justice will have the last word. A reply to a question referred for a preliminary ruling by the Hoge Raad can never replace the answer to a question referred for a preliminary ruling by the Court of Justice. I trust the Minister shares this view. If we look now at the interpretation of that law by the legislator, it is first of all striking that the law does not say much about it, and that the policy letter of the prosecutor determines how the right to interrogation assistance is fulfilled. Is this a proper implementation of Union rules? Should they not be included in generally binding rules, so that everyone is aware of them and it promotes legal certainty? If we look at the content, we can see that active participation is being strictly restricted. In this way, can there still be an interpretation of the role of the defence by the lawyer and of actual legal aid? Of course, the interviewing officer will remain in charge of the interview, and the interviewing assistance does not make it possible for equal parties to be present. But if a counselor really wants to be of use to his client, if he wants to be able to actively support him, he will have to act and intervene as much as possible at his own discretion and on the basis of his professionalism. The more his role is laid down in rules, and in particular in the restrictive sense, the more tension this can create with the importance of bringing the professional role of the lawyer to justice. Does the Minister recognise this and, if so, how does he intend to resolve it? Of course, the granting of certain possibilities before and after the hearing can replace or compensate for the need for intervention during the interview. Only during the interrogation can he inform the suspect or the interviewing official of certain matters, and ensure that certain matters are dealt with in more detail and that the process is adjusted where necessary. Is it not important that there should at least be sufficient flexibility during the interviews, so that each of his own craftsmanship has the opportunity to assess, on the one hand, where the counsellor needs space and, on the other hand, to assess where the order of proceedings requires it to be further restricted? It is very difficult to impose this in advance in a blueprint. Every interrogation situation requires a different assessment and direction. I'd like a response from the Minister. The Minister is quite sure that the restrictions he now imposes on the counsellor are well related to the obligations of the directive. My group feels differently about this, and I fear that we are not going to agree today. That is why I would also like to focus on the future, and I would like to know from the Minister whether he is prepared to exercise sufficient flexibility in practice and, at the same time, to monitor closely, together with the legal profession, or whether the objective of active participation in the hearing is adequately justified. I'd like a response from the Minister. Then there's the question of funding. The financial consequences of interrogation assistance have always been part of the government's opposition to properly arranging interrogation assistance. But now that the directive is in place, there is no longer any policy choice: we need to get it in order. If the right to interrogation assistance cannot be adequately fulfilled, because the funding is inadequate, then the government undermines the useful effect of the Directive. So it is really important to ensure that we fill that out properly. In the run-up to implementation, the Minister has already been pointed out by the profession that the reserved budgets are insufficient to achieve the right to interrogation assistance. The professions insist that the flat-rate compensation system should not be applied, because the number of hours questioned varies enormously. Besides, the lawyer doesn't have anything to send in there. It's up to the police and the D.A. to assess how often and for how long an interrogation takes place. If you want to maintain the flat-rate system, you are actually forced to sit very generously, to prevent the counsel from simply not being able to afford the assistance the defendant is entitled to. The quickscan has produced a report that is not considered representative. Does the Minister understand that? The question is what conclusion this should lead to. My group is very concerned about whether we are sufficiently complying with the directive with the current remuneration we have left: three hours for heavy cases and one and a half hours in all other cases. Is the Minister prepared and willing to carry out a new and thorough investigation, taking into account the criticisms of the Significant method used? My group believes that there is nothing else to be done. I am glad that the Minister is also working on this. The current compensation is on the very tight side. If we go into the implementation phase, we risk undermining the objective of the directive. The Minister does not want to run this risk either, and will therefore also take a positive view of the collection of reliable data, in order to adapt the fees to the necessary level. I hope to get a very clear commitment from the Minister. I would also urge that this be done quickly to ensure that the period of doubt about the proper implementation of the directive is as short as possible.
ParlaMint-NL_2016-11-15-eerstekamer-4.u5	We're going to prosecute the bill. I call the Minister for Security and Justice.
ParlaMint-NL_2016-11-15-eerstekamer-4.u6	Mr. Chairman. Allow me to thank the Chamber very much for its keenness to deal with this bill. The reason for this is, of course, that the European directive should be implemented on 27 November. We will not achieve that entirely, especially since the legislative proposal leading to implementation is not referendable and the supplementary legislative proposal is referendable, which means that things are running apart anyway. But it is important that we can deal with both legislative proposals today. I would therefore like to thank the Chamber for the speed with which it has done so. Of course, I would also like to thank Mrs Strik and Mrs Wezel for their contribution. After a few general remarks, I am happy to answer their questions. In these legislative proposals, it is very important to distinguish between the right to consultation assistance and the right to interrogation assistance. With consultation assistance, I am referring to the right of suspect to consult a counselor prior to the hearing. By interrogation, I'm referring to the defendant's right to be assisted by counsel during interrogation. The good news, of course, is that the right to interrogation assistance has now been introduced into practice. Many people, but probably not those who have just spoken, might have the impression that the legislative proposals would have less priority. But, of course, nothing is less true. A vigorous examination of these legislative proposals is of great importance because it is necessary to give certainty to the implementation practice and because the additional legislative proposal extends the deadline for the cessation of investigations from six to nine hours, so that the necessary interrogation assistance can also be granted. It simply takes that time. This practical extension, which everyone agrees on, can only take place by means of a legislative amendment. Finally, it is a question of the deadline for implementation. We hope that today's debate and hopefully next week's votes will not lead the Netherlands to face infringement proceedings. As I have already recalled, the right of interrogation has now been introduced into practice as a result of the judgment of the Supreme Court of 22 December last year. According to the ruling of the Hoge Raad, the practice of interrogation assistance was introduced in the Netherlands on 1 March 2016. I would add that this happened with steam and boiling water. This was not an easy task, because, of course, a later deadline was taken into account. This practice is based on the temporary policy rules of the Public Prosecutor's Office and the Legal Assistance Board. These policies have created a legal basis for implementing the judgment of the Supreme Court, in anticipation of the entry into force of the draft implementing law. I would also like to point out that, in a number of questions, too, that this temporary policy has not immediately been able to count on everyone's support. For very understandable reasons, I believe, the Dutch Association for Criminal Law attorneys and the Dutch Association for Young Criminal Law attorneys have indicated that they do not agree with the way in which the implementation took place. They then brought interim proceedings against the State against that temporary policy in spring 2016 on the basis of that ruling of the Supreme Court. The judgments of the Supreme Court were based on the fact that both the rules on legal aid and the rules on the organisation of the police hearing, and thus the rules on the role of the lawyer, have passed the judicial test. With regard to the establishment of the police hearing, the appellate court also based itself on the answer by the Hoge Raad to the questions referred for a preliminary ruling by the appellate court. Mrs Strik says that a judgment of the European Court can also be followed later. That might be possible, but I'm confident in that. This means that the answer by the Supreme Court to the questions referred for a preliminary ruling by the Court of Justice was based on the draft decision referred to above on the establishment of the police hearing and the role of the counsellor during that hearing. An earlier concept of this decision has already been annexed to the explanatory memorandum of the implementation proposal. The final draft decision was presented to the Advisory Section of the Council of State in October. I aim to ensure that this Decision establishment and order police interrogation will enter into force at the same time as the new formal law. I would now like to continue answering the individual questions. Mrs Wezel asked about the role of the counsellor in the field of interrogation assistance. And can counsel also ask his client questions? I think it is good, also for the Acts, to say here that the rules on police interrogation are the minimum rules. This means that where there is discussion, for example between counsel and detective, the minimum standard is clear. I have already said in the House of Representatives that my own experience, a very limited criminal law experience as a lawyer, was that in situations where the atmosphere is good and the counselor is constructive, then much more possible than was already possible under the law. I have also indicated in the House of Representatives that I do not rule out at all that in practice the competence, role and manner in which the role of the counsellor in that interview is to be different. However, this will be situational and likely to lead to tailor-made work. If a counselor behaves in such a way that as a detective you have to point out the minimum rules, the minimum rules apply. In this respect, it is clear that the basis is laid by the rules and that then in the interview there is also the possibility to deviate from them, but with the detective in a leading role. That is, after all, the questioner who is responsible for the correct way in which the hearing is finally concluded. Does this also mean that the counsel may ask questions to the defendant? The answer is yes, but through the detective, because that's the role the detective himself has. That's the main rule. If the detective decides to deviate from that for practical reasons, he may, but he doesn't have to. I think that's very important for the different roles in such an interrogation. We have all described this in the draft note to the explanatory memorandum.
ParlaMint-NL_2016-11-15-eerstekamer-4.u7	I hear the minister saying that the detective can state that he doesn't want the lawyer asking questions to the defendant. From the documents I have read, I understand that this is the case with the questions during the interview. Just for the sake of truth, wouldn't it be nice if the lawyer had the opportunity to ask the defendant questions after the hearing? This could lead to truth finding, which could be relevant to the answer to the question of whether a suspect should be detained or sent home.
ParlaMint-NL_2016-11-15-eerstekamer-4.u8	Just so we're clear, the rules state that at the end of the interview, counsel may always ask questions to the defendant through the detective. That's the basic rule, the foundation. If the detective considers it appropriate for the counselor to be given the opportunity to ask questions through him during the interrogation, that is fine as far as I'm concerned, but that is based on the judgment of the detective or the detectives in charge of the interrogation, because the lead rests with the detectives. If they do not wish to allow this, they may, therefore, be allowed to do so under the rules, but they must allow further questions to be put to the defendant at the end of the interview via the detective by the counselor.
ParlaMint-NL_2016-11-15-eerstekamer-4.u9	Thank you.
ParlaMint-NL_2016-11-15-eerstekamer-4.u10	I come now to Mrs Wezel's question on the measure relating to the recovery of legal aid costs. This issue may not be directly related to both legislative proposals, but it may play a role indirectly. The measure will be developed in the Law on Legal Assistance, which assigns powers to the Legal Assistance Board. The Decision on judicial and criminal data has now been amended and will enter into force at the same time as the law enters into force. There has been no study of the effects on resocialization. Of course, this is also the case, which is quite obvious because, according to the nature of the case, it is a question of strong convicts. The Legal Assistance Board is doing this carefully. I do not therefore see any reason to investigate further the consequences for socialisation, precisely because these are strong convicts. In the explanatory memorandum, the question of what the expected effects are on resocialisation was discussed in detail. It also indicates what the yield will have to be. Let me just say this quickly: the expected revenue is about 2.1 million. Implementation costs are expected to be around 0.2 million; perhaps a little more or a little less. This means that this measure is expected to amount to 1.7 million net. Mrs Wezel also asked about the importance of young people in imposing a criminal order. The Public Prosecutor's Office involves the importance of young people in the consideration of imposing a criminal order. That's been the policy for years. The way in which this consideration is made lies in the designation of the Public Prosecutor's Office, titled: Directive and framework for criminal proceedings for young people and adolescents including measures of punishment Halt. This designation sets out the principles governing the treatment of criminal offences in juveniles and the application of juvenile criminal law. In making this designation, the best interests of the child were, for understandable reasons, a primary consideration. This means that, from a central coordination point, the youth of each region is coordinated and assessed on a daily basis with the police and the Children's Protection Board. More generally, I believe that we agree that juvenile and juvenile criminal proceedings should be of a pedagogical nature, with the general principle of combating recidivism. That is also the starting point as it is. In addition, the Code of Criminal Procedure establishes separate criminal proceedings safeguards aimed at the special approach of the juvenile during the criminal trial. This approach is developed in detail in that designation for the Public Prosecutor's Office. There is a balanced approach, with no ill-thought-out adoption of a criminal order against young suspects. It goes without saying that a minor always has the right to be assisted by his parents or by a legal representative. The creation of a threshold, to which Mrs Wezel referred and which has always been there, also fits in with the existing system.
ParlaMint-NL_2016-11-15-eerstekamer-4.u11	What is the government's view that legal aid for minors should be withdrawn, so that legal aid is no longer granted at 20 hours but even at 32 hours? What is the government's idea behind that? The Minister says that it is intended to have a pedagogical effect, but does it not mean that children with parents can pay legal aid and children without parents who can pay legal aid?
