Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-01-19-tweedekamer-5	ParlaMint-NL_2016-01-19-tweedekamer-5.u1	Report of the meeting of the Dutch Lower House, Meeting 43, Session 5 (2016-01-19)	2016-01-19	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 43	Sitting 2016-01-19	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	FatmaKoşerKaya	Koşer Kaya, Fatma	F	1968	
ParlaMint-NL-en_2016-01-19-tweedekamer-5	ParlaMint-NL_2016-01-19-tweedekamer-5.u2	Report of the meeting of the Dutch Lower House, Meeting 43, Session 5 (2016-01-19)	2016-01-19	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 43	Sitting 2016-01-19	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	RonaldPlasterk	Plasterk, Ronald	M	1957	
ParlaMint-NL-en_2016-01-19-tweedekamer-5	ParlaMint-NL_2016-01-19-tweedekamer-5.u3	Report of the meeting of the Dutch Lower House, Meeting 43, Session 5 (2016-01-19)	2016-01-19	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 43	Sitting 2016-01-19	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	FatmaKoşerKaya	Koşer Kaya, Fatma	F	1968	
ParlaMint-NL-en_2016-01-19-tweedekamer-5	ParlaMint-NL_2016-01-19-tweedekamer-5.u4	Report of the meeting of the Dutch Lower House, Meeting 43, Session 5 (2016-01-19)	2016-01-19	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 43	Sitting 2016-01-19	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	RonaldPlasterk	Plasterk, Ronald	M	1957	
ParlaMint-NL-en_2016-01-19-tweedekamer-5	ParlaMint-NL_2016-01-19-tweedekamer-5.u5	Report of the meeting of the Dutch Lower House, Meeting 43, Session 5 (2016-01-19)	2016-01-19	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 43	Sitting 2016-01-19	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	FatmaKoşerKaya	Koşer Kaya, Fatma	F	1968	
ParlaMint-NL-en_2016-01-19-tweedekamer-5	ParlaMint-NL_2016-01-19-tweedekamer-5.u6	Report of the meeting of the Dutch Lower House, Meeting 43, Session 5 (2016-01-19)	2016-01-19	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 43	Sitting 2016-01-19	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	RonaldPlasterk	Plasterk, Ronald	M	1957	
ParlaMint-NL-en_2016-01-19-tweedekamer-5	ParlaMint-NL_2016-01-19-tweedekamer-5.u7	Report of the meeting of the Dutch Lower House, Meeting 43, Session 5 (2016-01-19)	2016-01-19	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 43	Sitting 2016-01-19	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	FatmaKoşerKaya	Koşer Kaya, Fatma	F	1968	
ParlaMint-NL-en_2016-01-19-tweedekamer-5	ParlaMint-NL_2016-01-19-tweedekamer-5.u8	Report of the meeting of the Dutch Lower House, Meeting 43, Session 5 (2016-01-19)	2016-01-19	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 43	Sitting 2016-01-19	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	RonaldPlasterk	Plasterk, Ronald	M	1957	
ParlaMint-NL-en_2016-01-19-tweedekamer-5	ParlaMint-NL_2016-01-19-tweedekamer-5.u9	Report of the meeting of the Dutch Lower House, Meeting 43, Session 5 (2016-01-19)	2016-01-19	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 43	Sitting 2016-01-19	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	FatmaKoşerKaya	Koşer Kaya, Fatma	F	1968	
ParlaMint-NL-en_2016-01-19-tweedekamer-5	ParlaMint-NL_2016-01-19-tweedekamer-5.u10	Report of the meeting of the Dutch Lower House, Meeting 43, Session 5 (2016-01-19)	2016-01-19	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 43	Sitting 2016-01-19	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	RonaldPlasterk	Plasterk, Ronald	M	1957	
ParlaMint-NL-en_2016-01-19-tweedekamer-5	ParlaMint-NL_2016-01-19-tweedekamer-5.u11	Report of the meeting of the Dutch Lower House, Meeting 43, Session 5 (2016-01-19)	2016-01-19	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 43	Sitting 2016-01-19	-	Reference	English	Regular	MP	notMinister	50PLUS	50PLUS	Opposition	Centre	HenkKrol	Krol, Henk	M	1950	
