Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-01-26-tweedekamer-2	ParlaMint-NL_2016-01-26-tweedekamer-2.u1	Report of the meeting of the Dutch Lower House, Meeting 46, Session 2 (2016-01-26)	2016-01-26	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 46	Sitting 2016-01-26	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	FleurAgema	Agema, Fleur	F	1976	
ParlaMint-NL-en_2016-01-26-tweedekamer-2	ParlaMint-NL_2016-01-26-tweedekamer-2.u2	Report of the meeting of the Dutch Lower House, Meeting 46, Session 2 (2016-01-26)	2016-01-26	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 46	Sitting 2016-01-26	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MartinvanRijn	van Rijn, Martin	M	1956	
ParlaMint-NL-en_2016-01-26-tweedekamer-2	ParlaMint-NL_2016-01-26-tweedekamer-2.u3	Report of the meeting of the Dutch Lower House, Meeting 46, Session 2 (2016-01-26)	2016-01-26	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 46	Sitting 2016-01-26	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-01-26-tweedekamer-2	ParlaMint-NL_2016-01-26-tweedekamer-2.u4	Report of the meeting of the Dutch Lower House, Meeting 46, Session 2 (2016-01-26)	2016-01-26	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 46	Sitting 2016-01-26	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	FleurAgema	Agema, Fleur	F	1976	
ParlaMint-NL-en_2016-01-26-tweedekamer-2	ParlaMint-NL_2016-01-26-tweedekamer-2.u5	Report of the meeting of the Dutch Lower House, Meeting 46, Session 2 (2016-01-26)	2016-01-26	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 46	Sitting 2016-01-26	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-01-26-tweedekamer-2	ParlaMint-NL_2016-01-26-tweedekamer-2.u6	Report of the meeting of the Dutch Lower House, Meeting 46, Session 2 (2016-01-26)	2016-01-26	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 46	Sitting 2016-01-26	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	FleurAgema	Agema, Fleur	F	1976	
ParlaMint-NL-en_2016-01-26-tweedekamer-2	ParlaMint-NL_2016-01-26-tweedekamer-2.u7	Report of the meeting of the Dutch Lower House, Meeting 46, Session 2 (2016-01-26)	2016-01-26	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 46	Sitting 2016-01-26	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-01-26-tweedekamer-2	ParlaMint-NL_2016-01-26-tweedekamer-2.u8	Report of the meeting of the Dutch Lower House, Meeting 46, Session 2 (2016-01-26)	2016-01-26	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 46	Sitting 2016-01-26	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	FleurAgema	Agema, Fleur	F	1976	
ParlaMint-NL-en_2016-01-26-tweedekamer-2	ParlaMint-NL_2016-01-26-tweedekamer-2.u9	Report of the meeting of the Dutch Lower House, Meeting 46, Session 2 (2016-01-26)	2016-01-26	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 46	Sitting 2016-01-26	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MartinvanRijn	van Rijn, Martin	M	1956	
ParlaMint-NL-en_2016-01-26-tweedekamer-2	ParlaMint-NL_2016-01-26-tweedekamer-2.u10	Report of the meeting of the Dutch Lower House, Meeting 46, Session 2 (2016-01-26)	2016-01-26	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 46	Sitting 2016-01-26	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	FleurAgema	Agema, Fleur	F	1976	
ParlaMint-NL-en_2016-01-26-tweedekamer-2	ParlaMint-NL_2016-01-26-tweedekamer-2.u11	Report of the meeting of the Dutch Lower House, Meeting 46, Session 2 (2016-01-26)	2016-01-26	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 46	Sitting 2016-01-26	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MartinvanRijn	van Rijn, Martin	M	1956	
ParlaMint-NL-en_2016-01-26-tweedekamer-2	ParlaMint-NL_2016-01-26-tweedekamer-2.u12	Report of the meeting of the Dutch Lower House, Meeting 46, Session 2 (2016-01-26)	2016-01-26	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 46	Sitting 2016-01-26	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	FleurAgema	Agema, Fleur	F	1976	
ParlaMint-NL-en_2016-01-26-tweedekamer-2	ParlaMint-NL_2016-01-26-tweedekamer-2.u13	Report of the meeting of the Dutch Lower House, Meeting 46, Session 2 (2016-01-26)	2016-01-26	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 46	Sitting 2016-01-26	-	Reference	English	Regular	MP	notMinister	50PLUS	50PLUS	Opposition	Centre	HenkKrol	Krol, Henk	M	1950	
ParlaMint-NL-en_2016-01-26-tweedekamer-2	ParlaMint-NL_2016-01-26-tweedekamer-2.u14	Report of the meeting of the Dutch Lower House, Meeting 46, Session 2 (2016-01-26)	2016-01-26	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 46	Sitting 2016-01-26	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-01-26-tweedekamer-2	ParlaMint-NL_2016-01-26-tweedekamer-2.u15	Report of the meeting of the Dutch Lower House, Meeting 46, Session 2 (2016-01-26)	2016-01-26	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 46	Sitting 2016-01-26	-	Reference	English	Regular	MP	notMinister	50PLUS	50PLUS	Opposition	Centre	HenkKrol	Krol, Henk	M	1950	
ParlaMint-NL-en_2016-01-26-tweedekamer-2	ParlaMint-NL_2016-01-26-tweedekamer-2.u16	Report of the meeting of the Dutch Lower House, Meeting 46, Session 2 (2016-01-26)	2016-01-26	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 46	Sitting 2016-01-26	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MartinvanRijn	van Rijn, Martin	M	1956	
ParlaMint-NL-en_2016-01-26-tweedekamer-2	ParlaMint-NL_2016-01-26-tweedekamer-2.u17	Report of the meeting of the Dutch Lower House, Meeting 46, Session 2 (2016-01-26)	2016-01-26	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 46	Sitting 2016-01-26	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RenskeLeijten	Leijten, Renske	F	1979	
ParlaMint-NL-en_2016-01-26-tweedekamer-2	ParlaMint-NL_2016-01-26-tweedekamer-2.u18	Report of the meeting of the Dutch Lower House, Meeting 46, Session 2 (2016-01-26)	2016-01-26	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 46	Sitting 2016-01-26	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MartinvanRijn	van Rijn, Martin	M	1956	
