ParlaMint-NL_2016-02-18-tweedekamer-12.u1	I would like to welcome the Secretary of Defense. I give the floor to Mr Jasper van Dijk.
ParlaMint-NL_2016-02-18-tweedekamer-12.u2	Mr. Chairman. The reason for this debate was a report by EenVandaag, which strongly criticized the RIVM research on PX-10, the weapon oil used to clean military weapons. There are a lot of people who are sick now. On 26 January there was an information meeting of the Defense Department. I was there and I saw a lot of former employees with complaints. However, the DOD insists on the RIVM investigation in which any connection is denied. My thesis is that this investigation is raging. The conclusions are soft as butter. Only 23 people were questioned. The RIVM was based on average exposure and had little regard for the peak load. It was based on a group approach rather than an individual approach. The actual effect of PX-10 has never been investigated because it did not know RIVM. This criticism is also mentioned by several experts, such as Professor Tytgat. RIVM has spoken to him, but the disagreement remains standing. Today we also heard that the exposure to PX-10 was actually much higher than the RIVM claims. A document for this purpose, published today, was published in 1980. I'll give it to the chairman so it can be made available to the CIP.
ParlaMint-NL_2016-02-18-tweedekamer-12.u3	I assume there is no objection to this document being made available to the Central Information Point of the Chamber. (For inspection at the Central Information Point of the Second Chamber of the States General.)
ParlaMint-NL_2016-02-18-tweedekamer-12.u4	In short, the RIVM research was done on the basis of questionable assumptions. The consequences of using PX-10 have not been properly investigated. The Chamber and the government will have to do something with that. As far as I am concerned, new independent investigations will be launched, otherwise we will abandon victims. Last Monday, a report came out from ClaimZorg. 480 employees were interviewed about their experiences with PX-10. Conclusion: one in three soldiers has become ill. We also read that the DOD had been aware of the dangers of PX-10 for a long time. They were known from the 1950s on. However, it was continued by the Defense Department, without any security instructions, which is mandatory under the Arbo Act. At that time, the Department of Defense is failing. The burden of proof will then be reversed: Defense will have to prove that someone has not become ill by PX-10. Does the Minister recognize that? I'd like to hear a reaction to this. When will we get a full response to the report from ClaimZorg instead of the very brief note we received yesterday? Today we can do something. The least is new research or a so-called counter-expertise that answers the many outstanding questions. In addition, a compensation scheme would be fair for those who complain. The minister is obliged to do so to her people, as with the chrome paint. An arrangement has also been made for this. Of course there are costs involved, but that should not be a reason to leave victims in the cold. Does the Minister agree with me? If that's the case, I'm asking her to at least provide a counter-expertise, an independent assessment of the RIVM study.
ParlaMint-NL_2016-02-18-tweedekamer-12.u5	I see that Mr Teeven has another question. For clarity: I allow two interruptions and those interruptions go in two, so ask and follow-up question.
ParlaMint-NL_2016-02-18-tweedekamer-12.u6	I would like to ask Mr Van Dijk if he is an employee or former member of the Defense Department.
ParlaMint-NL_2016-02-18-tweedekamer-12.u7	No, I'm not.
ParlaMint-NL_2016-02-18-tweedekamer-12.u8	Then what were you doing as a MP at a private meeting for employees and former employees of the Defense Department, Mr Van Dijk?
ParlaMint-NL_2016-02-18-tweedekamer-12.u9	Well, that's very simple. That information meeting came because of myself, among other things. Indeed, I asked in November to look very closely at this RIVM research. The Minister did not want that, but offered to organise an information meeting. Then what's wrong with going there, Mr. Bitch? In fact, I had hoped that you would be there and that you would also be concerned with the people who are now sick and incredibly concerned about the fact that this has to do with PX-10.
ParlaMint-NL_2016-02-18-tweedekamer-12.u10	I am very concerned about the fate of employees and former employees. If they're ill, that should definitely be investigated. I'm gonna ask my question again. If he's not a Defense Officer or an ex-Defension Officer, isn't it a little sneaky for Mr. Van Dijk to crawl in on such a closed agreement? Isn't it?
ParlaMint-NL_2016-02-18-tweedekamer-12.u11	A private meeting? I just called, signed up, and I got let in. Mr Teeven could have done the same. It didn't have to be a private meeting for me either. There was someone there from the press. It was not approached in the most pleasant way, to my great surprise. What's with all the secrecy? This will increase the suspicion towards the Defense Department. PX-10 is a cover-up and that case needs to be solved.
ParlaMint-NL_2016-02-18-tweedekamer-12.u12	Mr Van Dijk says that it would be a lot more people who worked with PX-10 than the number that RIVM included in the report. I have looked into the dossier and come to the conclusion that there is confusion. People assume that PX-10 would contain benzene, whereas that is not the case. Therefore, they are higher than the number mentioned in the RIVM report. Is Mr Van Dijk aware of the information that in PX-10 no benzene was used as a weapon oil and that it had a completely different function and application?
ParlaMint-NL_2016-02-18-tweedekamer-12.u13	I'm stunned about this. No benzene in PX-10? I would like to say to Mrs Günthal: listen to the experts who have spoken on this matter and look at the document that I have just had added to the Acts. PX-10 was extremely toxic, partly due to the benzene contained in it. The big problem is that RIVM researchers have never been able to find out the actual composition of the PX-10 used at the time and have therefore never been able to do a good research. I am counting on Mrs Günal's support, because the PvdA always attaches a great deal of value to defence personnel. There are now a lot of victims working with this medicine. They're entitled to a proper investigation. That good research hasn't been done yet.
ParlaMint-NL_2016-02-18-tweedekamer-12.u14	I will serve Mr Van Dijk in my contribution at first glance.
ParlaMint-NL_2016-02-18-tweedekamer-12.u15	Well, well, well.
ParlaMint-NL_2016-02-18-tweedekamer-12.u16	Whether he will be satisfied with what I will say, let me say in the middle, but I am not making this up myself. I take this out of the report of the meeting of 28 January, where Mr Van Dijk was also present. RIVM makes it clear that the confusion is caused by the fact that in PX-10 it is confused with weapon oil where no benzene was present and had a completely different function and application. Explicitly, this sentence is contained in the aforementioned report. I'd like to look it up for Mr Van Dijk.
