ParlaMint-NL_2016-09-07-tweedekamer-8.u1	I welcome the Minister for Education, Culture and Science. We need to get back to work.
ParlaMint-NL_2016-09-07-tweedekamer-8.u2	Mr. Chairman. It has been a long time since we talked about this, at least that is what it feels like, and I thought: how many minutes would I have? The SP indicated in its first term that it was positive about this bill. We want to support it, but there is one thing we are not so happy about, and that is the binding study opinion. We shall therefore vote against the relevant article. The SP has asked attention to registering the number of unsubscriptions. There is a lack of clarity about that. JOB talks about hundreds of unsubscriptions, but the MBO Council speaks of a few cancellations. It is therefore unclear how many young people are rejected when they are admitted to an institution. That's why the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that it is unclear how many and on what grounds prospective students are rejected for the training of their choice by MBO institutions;]] [[considers that the numbers of rejected prospective students are the subject of discussion between educational organisations, and it is preferable to clarify this;]] [[calls on the Government to set up a simple registration system for MBO institutions in which MBO schools record how many students are refused and establish the reason for refusal,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Siderius. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34457-21]]
ParlaMint-NL_2016-09-07-tweedekamer-8.u3	I have one more question for the Minister. If a student receives negative study advice, it is intended that he or she leaves the programme and whether or not he or she goes to another programme. In the first term, I had an exchange of views with the Minister on whether these students would be notified by the institution to the municipality where they live. The Minister did not deal with this in the first place. In her letter I read that it is reported to the RMC and therefore to the compulsory education officer. I hope that's true, because it's our preference.
ParlaMint-NL_2016-09-07-tweedekamer-8.u4	Mr. Chairman. A student who wants to do an MBO course in graphic design, but is refused because he would be too old. A havo-student who, after failing to complete her HBO training, is refused on the MBO because she is "too intelligent." A student who has completed a level 2 course but does not receive a chance from her school to continue the course at level 3. They are just a few of the examples that the JOB has collected and show how important the right of admission is. We want to give these young people opportunities and not take them away. D66 is therefore in favour of this right of admission, but this bill also introduces a binding study advice for the entire MBO. In the first period, I have already discussed our objections to this point in detail, because no matter how well the process is described in Parliamentary letters and amendments, a binding study opinion is, in practice, intended to minimise risks to institutions. And that's not what D66 is about. Our aim is to offer opportunities to young people. We want to guide students to the place that does the most justice to their talent. That has not been changed by the Minister's explanatory statement. We have too many concerns that guarantees will not stand up in practice. My amendment to remove the binding study opinion from the legislative proposal, I therefore maintain. It'll be in the mood. I had tabled another amendment, namely that to move the date of registration to 1 May, because we consider one date of registration to be much clearer than two throughout tertiary education. But there's more to the login date. Some groups are affected by the early registration date of 1 April, e.g. students switching from programme A to programme B, students moving from e.g. level 2 to level 3, side-intromers, repeaters or doubters. That's not a few, their numbers are up to 60,000 students, 10%. Sometimes they can't register sooner. Then what are the consequences for these students, I ask the Minister. Can the Minister guarantee that there will also be a place for these students in the training they would like to take? Then there are the students who want to follow the vocational guidance learning path, the bbl, a training linked to a job at a learning firm. April 1st is very early for both the student and the employer to record you for a start on August 1st or September 1st. Does the Minister see this problem? Finally, we hope, of course, that the D66 amendment to delete the binding study opinion will be successful, but if this is not the case, then I think it is very important to ensure that we carefully assess the consequences. That is why I shall table the next motion, which I will be happy to withdraw if the amendment does succeed. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the right of admission to MBO also introduces a binding study opinion;]] [[noting that an evaluation of this law takes place only after four years;]] [[Whereas it is unclear how the binding study opinion will be developed in practice and whether the safeguards will be adequately implemented by institutions;]] [[Whereas a binding study opinion could have a major impact on the future of young people;]] [[invites the Government, within two years of the entry into force of the Act, to report to the Chamber, in cooperation with the JOB, on the number of negative binding study opinions issued, the number of complaints received, and the way in which MBO institutions deal with admission law, binding study advice and guidance in the first year,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Meenen. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34457-22]]
ParlaMint-NL_2016-09-07-tweedekamer-8.u5	That's it, Mr. Chairman.
ParlaMint-NL_2016-09-07-tweedekamer-8.u6	Mr. Chairman. In the first term, the VVD has already indicated its support for the principle of a right of admission in the MBO, because every MBO student deserves an opportunity to prove himself and to develop to the maximum. So: yes admission rights, provided that, as Mr Lucas clearly stated at the time, it is in balance with the duties of the student. That is why the VVD in part No. 18 tabled an amended amendment which provides for students to be granted the right of admission if they have registered on time and if they have also participated in study-choice activities. Please note: non-qualifying persons are not covered, and the institution retains the possibility to hire a student. In addition, in order to maintain the rights and obligations, the VVD believes that it is right to introduce a binding study advice in the MBO. In the first term, the VVD is not convinced by the Minister that training with limited training places should only apply a lottery draw to choose their students. For example, I do not want to take away the ambitious VMBO who wanted to get started in bakery training from a young age, because of a twist of fate. Ambition, as I say in this left-wing Chamber, is not a dirty word. It deserves our appreciation and support. That is why we are maintaining our amendment to item No. 11 in which we arrange that not the bingo cards of the draw but the motivation of the students is placed at the centre. I'm closing up. For the VVD, the binding study opinion is inextricably linked to the right of admission, but the rights and obligations will have to be even more balanced. In this way, I will assess the legislative proposal and I will advise my group whether or not to vote in favour or against.
ParlaMint-NL_2016-09-07-tweedekamer-8.u7	I see Mr Rog of the CDA is trying to interrupt. That means you have to stand still, Mr Duisenberg.
ParlaMint-NL_2016-09-07-tweedekamer-8.u8	I understand that the VVD is a warm supporter of an absolute right of admission, which arises when this law is passed. Does Mr Duisenberg believe that the majority of students who are currently rejected for training are rejected on inadequate grounds? Or does he think that this is based on a reason that is in the interest of the student himself, for example because he will have no study success on predictable grounds that the professionals who do the intake have knowledge of?
ParlaMint-NL_2016-09-07-tweedekamer-8.u9	Many discussions are taking place on these grounds. One report says this, the other report says that. The VVD believes it is right that everyone has that right of admission in principle, but not just that right. That's what this duty must be about. You may be admitted, but you must be active as a student. This means that you participate in study-choice activities and that you sign up on time. It also means that after a few months or a year a binding study opinion can be delivered: it is not going well, you have to leave now.
ParlaMint-NL_2016-09-07-tweedekamer-8.u10	It is clear to me that the VVD has an amendment aimed at ensuring that the student participates in all these activities. I can tell you that this will also receive the support of the CDA. The intakes, the professionals, the professional teachers have knowledge of things and know which battle student successfully completes the programme or does not, and can or does not succeed in a profession. In fact, we put them aside and know an absolute right for students aged 14 to 16 to decide which education they are going to. Does Mr Duisenberg think that this is proportionate and sensible?
ParlaMint-NL_2016-09-07-tweedekamer-8.u11	We are still looking at the stocktaking of the measures. We're not just giving you that absolute right. Against this right is a number of obligations, including the obligation to follow study-choice activities.
ParlaMint-NL_2016-09-07-tweedekamer-8.u12	Does Mr Duisenberg realize that, despite these few duties to participate in all kinds of activities, it is possible that students, students who are clearly unfit because they do not possess certain competences to practice that profession, we are now talking about vocational training and will end up in those training courses and will not be successful at the end of the day? This can have enormous consequences for the student himself: disappointment, frustration and so on. That's gonna happen. Mr Duisenberg's amendment does not change the essence of the right to be admitted.
ParlaMint-NL_2016-09-07-tweedekamer-8.u13	Hence the importance of the binding study advice, which will apply to all students, as in higher education. There you are also obliged to participate in the study selection activities. From that comes an advice that you may or may not follow. If that doesn't work out successfully for you in the end, a binding study advice will follow. I think that's a good balance.
ParlaMint-NL_2016-09-07-tweedekamer-8.u14	That binding study opinion was already there. What does the obligation to participate in some of those activities add? I honestly don't understand.
ParlaMint-NL_2016-09-07-tweedekamer-8.u15	If you don't participate, you don't have that right of admission. Of course, there are also students who are completely unmotivated and just go to an education. They will not be granted the right of admission if they have not taken a serious part in those activities. If they did not participate, the institution can say: we do not have to accept you at all. The institution may also say something else, but in principle it does not have to.
ParlaMint-NL_2016-09-07-tweedekamer-8.u16	Mr. Chairman. The CDA attaches importance to a good transition between the types of education and shares the Minister's concern about the 2,000 pupils who do not take the step from VMBO to MBO each year. In the first term, I said that the CDA had not yet had a final judgment on the law. I also said that we support parts of the law, such as the early date of registration and the study choice advice. I asked for an Actal investigation into the administrative burden and thank the Minister for her willingness to carry out that investigation. The results of this reassure me as to the administrative burden. However, the CDA continues to question the proportionality, usefulness and necessity of this law. The right of admission should provide a solution for a very small number of unjustly unplaced students, about 100 to 200 per year. By creating a virtually absolute right of admission other than in secondary and higher education, MBO schools will no longer be able to select on the basis of motivation and appropriate pre-training. The CDA would prefer to look at the balance between rights and duties of pupils and students at system level. Why does the Minister for MBO not agree with the duty of care in primary and secondary education, including the dispute settlement or appeal procedure? Isn't it true that a refusal must already be justified in writing? Why does the Minister not adapt the existing flow control system? That too could provide a solution. You don't have to flee into new laws right away. The right of admission can, paradoxically, undermine the choice of study advice. After all, the prospective student has an unconditional right of admission. Motivation, the educational environment at school, pre-training, additional requirements of the business community or the declining field of profession will no longer play a role. Even the question is whether the right of admission could not have the effect of shifting the focus of training from the intake to the moment when they can give a binding study advice. After all, the entire study choice advice is nothing more than a non-binding conversation. From now on, the student determines, at least in the MBO, whether he or she is admitted to the study. A responsibility which, in the event of the student's wrong choice, could have disastrous consequences for his future. This law seems to put aside all the professional attention that all those parties such as D66, GroenLinks and the SP are talking about, from that professional, that teacher. An image is created as if every student who is refused is wronged instead of perhaps being protected from a programme that is predictablely inappropriate.
ParlaMint-NL_2016-09-07-tweedekamer-8.u17	Mr Rog's contribution says a great deal about his human image, in particular about the image of the upcoming MBO student. Apparently it is not able to make a well-founded choice of its own, supported by very well-meaning professional advice. I've also read the messages from the various drivers. By the way, they are also divided, I can tell you. I was at an MBO this week where people thought the right of admission was absolutely fine. However, the impression that the MBO authorities want to create is that they must stop all forms of information. That's not the case, is it? That's more important than that, isn't it? Does Mr Rog not now have any confidence in an MBO student to assess the value of this information and the matching that the student receives?
ParlaMint-NL_2016-09-07-tweedekamer-8.u18	What I am raising here is the fact that in recent years there has been an enormous amount of investment in this admission procedure, in that intake, to say it with an ugly English word. It is very good and it is very positive that all these students are involved through their professional union or youth union. What I am saying is that it is conceivable that MBO institutions can only use teachers once for the guidance of those students. This could perhaps be moved to a later stage, i.e. when the binding study opinion can be given. I'd be worried about that. I do not think that this is right for a route in which so much investment has been made in recent times and which, moreover, can still be further evaluated and improved.
ParlaMint-NL_2016-09-07-tweedekamer-8.u19	If Mr Rog is concerned about this, shouldn't it be the logical conclusion that he should refrain from introducing a binding study opinion? Then that energy doesn't have to be in there anymore and it can continue to be put into that extremely important intake. It's still gonna happen. The only difference is that in the end the student makes the assessment and decides whether or not to do the training.
ParlaMint-NL_2016-09-07-tweedekamer-8.u20	I believe that, contrary to Mr Van Meenen, I have confidence in the sector, the students and the teachers, who are laying down these procedures with each other at the front. I say this out of concern, in order to protect students from the wrong choice, from following a vocational training course which ultimately leads to unemployment. I think we have that responsibility. I'd be happy if we kept that opportunity.
ParlaMint-NL_2016-09-07-tweedekamer-8.u21	Mr Grashoff, GroenLinks.
ParlaMint-NL_2016-09-07-tweedekamer-8.u22	Mr President, on a point of order. Can I have a third time? We're talking about a bill here.
ParlaMint-NL_2016-09-07-tweedekamer-8.u23	I gave the floor to Mr Grashoff, but if you ask so emphatically, I would not know why I would refuse to do so, provided you do not repeat yourself.
ParlaMint-NL_2016-09-07-tweedekamer-8.u24	No, not at all. If we follow Mr Rog's reasoning that new students should be protected from the wrong choice, shouldn't that be the case in higher education, according to the CDA? So does Mr Rog also argue here for selection at the gates of higher education?
