ParlaMint-NL_2016-09-29-tweedekamer-5.u1	I would like to welcome the Secretary of State for Health, Welfare and Sport.
ParlaMint-NL_2016-09-29-tweedekamer-5.u2	Mr. Chairman. The pgb is so by now for personal ordeal. You will only have to use it and not be able to shape your life in any other way than with the pgb, and then be in uncertainty until 2020, because a few years ago, while all the signals were on red, this Secretary of State decided soloistically to introduce the drawing right. Also, municipalities mess with this wonderful instrument to conduct their own direction, with additional conditions and thresholds. I am asking for more action from the Secretary of State than simply conducting a little investigation under 10 out of 390 municipalities and then pretending that nothing is going on. Pgbs are in trouble and they can't. In the 2014 accounting survey, the General Court already talked about the non-legality of payments and about the fact that the lack of a structural solution is regarded as an imperfection. This is a serious conclusion for the Secretary of State a few years ago, although there is no working system to date. That's only there since 2020, we hear now. Because VWS may have to make another legislative change if the portal is to be managed by someone other than the SVB. But Van Rijn lets everything slip with the greatest ease. The introduction of the right of draw was intended to prevent fraud. Because of the total chaos that has arisen, that has not happened. A recent sample showed that 61% of the declarations are non-legal. Non-justice isn't fraud, but it does open a door. This is the government's fault, and whoever's responsible is in box K. The right of trekking has become a hugely powerful fraud magnet, not only throughout 2017, but allegedly even until 2020. Five long years of inadequate legality and constant misery with payout problems. Decent Dutch people are the victims. A trustworthy government can't do this. A secretary of state can't do this. Honest people are screwed. If the starting period for incomplete completion of the declarations expires on 1 November, no payment shall be made. But the government doesn't have a working system. Where have we seen this before? Oh, yes, in the Bulgarian fraud of former Secretary of State Weekers. Here too, there was a system that was tied together with rubber bands. But Weekers did honour himself, after 177.000 people had not received their much-needed supplements on time once. Van Rijn was a warned man. He therefore set up a steering committee and ignored the fact that he was informed about chain risks by that steering committee. His right to draw comes due to chain problems every month about 12,000 other caregivers in payment problems with their rent, mortgage and even paying their taxes to the government. It's the government's fault. They can even get a collection agency up their ass, by the government, while the government makes the mistakes. That will remain the case for the time being, and of course that cannot be done. This Secretary of State already received two motions of censure on his pants on the drawing right file. Afterwards he found himself super satisfied with a payout percentage of 95 within ten days. This is not only a banana republic standard, it was also just the right declarations. It now appears that 61% of the declarations are not lawful. How much does the drawing right debacle cut-and-paste cost? Another 160 million extra. For that money, we could have deployed additional fraud teams under the old system. Because did you know that on less than 1% of the files in the old system there was control? That's an oysterproof solution, but yes, from the PVV! The tension is high, but Van Rijn has all the support. He does not have to expect a motion of censure from the squeezing bitches' committee. No, they are already engaged in the elections, with the next cabinet, with being taken seriously, and with self-governing and becoming Secretary of State. And the people who depend on the system, well, they can wait until 2020.
ParlaMint-NL_2016-09-29-tweedekamer-5.u3	Mr. Chairman. Whoever uses a pgb doesn't have it easy. Because the personal budget is there for people who need very intensive care. People who are dependent on other people to participate in society through illness or an accident in life. That is why I understand that these people are horribly upset by the uncertainty they have been in for a year and a half. I share their frustrations about the problem at the Social Insurance Bank and their anger at the inability of the government to find the right solutions. Frustration and anger that don't get any less when you read that there are still companies that take advantage of people with a pgb. I mention the scandalous example that RTL brought to light last week, of a care institution in Friesland that deliberately abuses vulnerable relatives. Really nauseating, I can't think of another word for it. What does the Secretary of State say to these people? Can he guarantee, for the short term, that there will be no large-scale failure in the maintenance of checks on 1 November, in order to prevent abuse and fraud, as was the case in January 2015? Can the Secretary of State state indicate what he's going to do if there's a limited threat of failure? What scenario is there for that? We had already agreed that the Secretary of State will present a plan to the Chamber before 1 November to regulate the future of the right of draw. So I'm assuming that's what's happening. And can the Secretary of State confirm that there really is a plan on which the Chamber can take a decision? I would also like to know when it is finally settled that in the event of abuse by healthcare providers, liability is also laid down with them.
ParlaMint-NL_2016-09-29-tweedekamer-5.u4	Mr Potters wanted this debate this week, because something really had to be done. And now I hear he's waiting for the Secretary of State with a plan for November 1st. I must say, I find that disappointing. The VVD has put on a large pair of pants, but apparently has been sent back into the loft. But let me ask you one question with one condition. Does the VVD think it should be resolved by 2020? Or does she think it should be resolved in 2018?
ParlaMint-NL_2016-09-29-tweedekamer-5.u5	In the motion that also supported the SP, we agreed that there would be a plan before 1 October. The Secretary of State indicated that that would be in October. I am concerned that the vulnerable people who now want a solution should be made clear for now and in the future. The House of Representatives should be able to take a decision on this this year. That was also the reason for me to request this debate. I therefore want this plan to be there before 1 November and we can make a decision so that all those people at home finally know what they are up to.
ParlaMint-NL_2016-09-29-tweedekamer-5.u6	It was Mr Potters who said that we should have a debate on this this week, because if the Secretary of State comes up with nothing, then the Chamber will do it. Big words, which I support, because this dossier has been a problem for far too long. And we're not getting anything from the Secretary of State. I'll say the same in my term. And what direction does the VVD want to go? Does it have to be resolved in four years? We know the Ministry and the chain director want this. We're not being informed by the Secretary of State, but we're getting information. Or does the VVD say: no, that is really not the issue; we are going to do everything we can to make it possible as of 1 January 2018, because for that we are having this debate today, so that it is settled as of 1 January 2018? I just asked that question, and I want an answer to that.
ParlaMint-NL_2016-09-29-tweedekamer-5.u7	I think that is an old question, because we have already said that we are moving towards a new transition situation as quickly as possible. We all believe that this new transition situation should be carefully shaped. I believe that the Secretary of State should answer the question as to whether this will happen in 2018. I haven't seen a plan yet. I just saw an article in today's AD. It seems very important to me that the Secretary of State should answer the question of what the follow-up period is. That is why we are holding this debate: I believe that we in the Chamber want to keep our finger on the pulse and we want to be able to adjust the Secretary of State's plans on content.
ParlaMint-NL_2016-09-29-tweedekamer-5.u8	2020 or 2018? I want an answer to that. I asked you twice. The VVD wanted this debate and had big pants on. Now we also need butter for the fish: 2018 or 2020?
ParlaMint-NL_2016-09-29-tweedekamer-5.u9	As soon as possible, as I indicated.
ParlaMint-NL_2016-09-29-tweedekamer-5.u10	So 2018.
ParlaMint-NL_2016-09-29-tweedekamer-5.u11	As soon as possible.
ParlaMint-NL_2016-09-29-tweedekamer-5.u12	I regret, however, that Mr Potters does not clearly indicate here that we need to steer the road to 2018. Mrs Leijten certainly has a point, because in the spring Mr Potters called for us to have decided before the summer that we should not continue with the SVB. Then we had the debate before the summer. Then the VVD said: well, before October 1...; in October we make a decision. At the request of the VVD, we are having this debate this week. What's the VVD gonna do now? Why did this debate have to take place this week? What proposals does Mr Potters have?
ParlaMint-NL_2016-09-29-tweedekamer-5.u13	I think what I asked the Secretary of State is clear: there must be a scenario before 1 November on which we can decide. We in the Chamber have said that we want to be able to take a decision this year, because all these people are waiting at home for clarity about what is happening in the short term and about their long-term prospects. We also said that we want a new situation as soon as possible. I think it is fine if this happens in 2018 or as much earlier as possible, but I think that the Secretary of State should clarify where we are going and where it is going. As far as I am concerned, this is happening as soon as possible, but care is also important. We have all attached great importance to this. So I say, as far as I am concerned, as soon as possible.
ParlaMint-NL_2016-09-29-tweedekamer-5.u14	The conclusion that there should be a proposal before 1 November was already drawn in the previous pgb debate. Mr Potters said last week that this debate should be held this week. Then I assume that Mr Potters will come up with a new proposal. What new proposal does Mr Potters have, apart from saying that we should wait until 2020 for a new system?
ParlaMint-NL_2016-09-29-tweedekamer-5.u15	Now I'm being put in my mouth. I'm not saying that at all. I've been the first to say that we need to get to a new situation quickly. We have also all said that care is very important. The point is that people have a solution for the short term, but also for the long term. There's speed, because everyone's been waiting a long time. There's also due diligence. On November 1st there must be a plan. That is why we are holding this debate. I would like the Secretary of State to give a clear undertaking that there will be a plan before 1 November on which we, as a Chamber, can take a decision.
ParlaMint-NL_2016-09-29-tweedekamer-5.u16	I understand the confusion with my colleagues, quite frankly, because, of course, we are having this debate this week for a reason, but I have a question about what Mr Potters said. In November, we in the Chamber must be able to make a decision and there must be a scenario. What information should be available so that the Chamber can make a decision at all? I am also not referring to the fact that Mr Ton Elias is chairing the Elias Committee's recommendations today. Does Mr Potters agree with me that at least those recommendations of the Elias Committee should be respected?
ParlaMint-NL_2016-09-29-tweedekamer-5.u17	Yeah, absolutely. We in the Chamber have said to this Secretary of State: make sure that we can make a decision this year. So there's got to be a plan. We have passed a motion on October 1st. That eventually became "October." That plan must be in place by 1 November so that we can make a decision here. That is why we have requested this debate. I want that clear commitment from the Secretary of State.
ParlaMint-NL_2016-09-29-tweedekamer-5.u18	In any case, I am pleased that the recommendations of the Elias Committee are being respected, but Mr Potters has not yet answered my question. According to the VVD, what information should be present so that we as a Chamber can take a decision?
ParlaMint-NL_2016-09-29-tweedekamer-5.u19	The State Secretary would come up with an implementation scenario, a hybrid form in which all the benefits of the different chain partners would be combined. We are still waiting for that implementation scenario; I think the whole Chamber is waiting for that. That is the plan that must be in place before 1 November. If that is the case and if that is a full plan, we in the Chamber can make a decision this year. Then all the pgb-holders who are now waiting and who want to have clarity, know where they stand. I think it is important that we hold the debate for those people here. That is why we are standing here. I want that clarity as soon as possible, and I believe that the Chamber wants that clarity as soon as possible.
ParlaMint-NL_2016-09-29-tweedekamer-5.u20	Before 1 January 2015, there were never any problems with paying. Those who did it then, the health offices, have now come up with something together with Per Recht to work towards a situation in which the misery of the past year and a half disappears. What are we hearing? Or rather, what are we reading? We do not get that information from the Secretary of State, but we read it in the daily newspaper. We read that from the ministry of VWS everything is done to keep the SVB in view. That's for two reasons. The first is that the law should be amended. Well, that's what we're talking about here. The other reason is that there should be a tender. How does the VVD feel about that? I am distracted by what Mrs Leijten is now calling in.
ParlaMint-NL_2016-09-29-tweedekamer-5.u21	It only makes sense to say something here if we use the microphone.
ParlaMint-NL_2016-09-29-tweedekamer-5.u22	Yeah, exactly.
ParlaMint-NL_2016-09-29-tweedekamer-5.u23	So if you want to say something, you have to use the microphone. Your question to Mr Potters was clear. I call Mr Potters.
ParlaMint-NL_2016-09-29-tweedekamer-5.u24	I would like to add something, Mr President. Because the VVD is bringing us all here today. The plan that lies ahead can be implemented much earlier, with all due care, as Mr Bergkamp rightly pointed out. But what does the VVD really want, apart from standing here today and speaking nice words?
ParlaMint-NL_2016-09-29-tweedekamer-5.u25	We want the pgb-holders, the people who have been waiting for clarity for a year and a half, to have a solution for the short term, and we do not want a large-scale outage to come as in 2015. No one wants that. We want a guarantee that that won't happen. That guarantee must be given to the Secretary of State. In addition, the Secretary of State must state clearly: there is an implementation plan before 1 November which you as Chambers can decide on. I want the Secretary of State's undertaking today that that is really there. I, too, have seen the articles in the newspaper today, but I have not yet seen a concrete plan. So all the questions that Mrs Keijzer has about that, I would also like to ask the Secretary of State. After all, I can't respond to a plan I haven't seen. I believe that there should be an implementation scenario that is feasible and careful, and with which the pgb holders can get out of the way. I hope that the Secretary of State will also clarify this.
ParlaMint-NL_2016-09-29-tweedekamer-5.u26	Mr Potters is throwing everything into a pile, but I think today is really about whether we are married to the SVB or not. Apparently, the Ministry of VWS does, because everything is invented to keep the SVB in view. I have heard before from Mr Potters that that is not...
ParlaMint-NL_2016-09-29-tweedekamer-5.u27	"SVB" stands for the Social Insurance Bank.
ParlaMint-NL_2016-09-29-tweedekamer-5.u28	The Social Insurance Bank, thank you, Chairman. But everyone who's involved in this, unfortunately, knows what I mean.
ParlaMint-NL_2016-09-29-tweedekamer-5.u29	But we also have a public gallery and there are people following this debate at home. So please use as few abbreviations as possible.
ParlaMint-NL_2016-09-29-tweedekamer-5.u30	I think that we in this Chamber are always saying 'I am talking about my own words', Mr President.
ParlaMint-NL_2016-09-29-tweedekamer-5.u31	That's why I'm helping you.
ParlaMint-NL_2016-09-29-tweedekamer-5.u32	So I would very much like to hear from the VVD what she thinks about the fact that the VWS Ministry is apparently married to the SVB, the Social Insurance Bank, chairman of the board, and every time comes up with arguments that can be wiped off the table to my liking? And why would I want to do that? Because, with all due care, we have to move to another system as quickly as possible and we do not need to drag on all kinds of things that I do not think need to be discussed at all.
ParlaMint-NL_2016-09-29-tweedekamer-5.u33	I hear a lot of assumptions and thoughts from Mrs Keijzer. It's very difficult to respond to that. I think that, in view of the publication that is available, the Secretary of State should clarify where we stand with the implementation scenario and which direction we are going. But the most important thing is that we will have that before 1 November. I simply want the pgb-holders today to be clear about the follow-up process so that they can have the certainty, both in the short and in the long term, of what I believe they are really entitled to.
ParlaMint-NL_2016-09-29-tweedekamer-5.u34	I'm going to continue on this same point. This morning I read in the Algemeen Dagblad that I'm putting it down as sharply as I am. Per Balance doesn't cooperate with the Ministry anymore, but is looking for help from health insurers and municipalities to work together on a variant that really puts the budget holder at the centre. Now I hear Mr Potters of the VVD say: the budget holder must be at the centre. What does the VVD think of such a cry from Per Balance, that Per Balance says that the Ministry no longer stands up for the interests of the budget holders and seeks its salvation from other parties?
ParlaMint-NL_2016-09-29-tweedekamer-5.u35	I find Mrs Dik's thinking on this morning's report difficult. I read it, too. That also raises questions for me. I can't respond to it yet because I haven't seen any plans at all. I would have liked to talk about a plan today. That's not there yet. That is why this debate is taking place. Before November 1st, that plan has to be there. All these questions arise, both from the budget holders as well as from Per Balance and all other stakeholders. It is good that we are clear about this. This message is from this morning. I haven't had a chance to respond to that. I think the Secretary of State can shed some light on that.
ParlaMint-NL_2016-09-29-tweedekamer-5.u36	However, this debate had to be scheduled as a matter of urgency, because we had to talk about a plan that would clarify budget holders. There's no clarity. The only uncertain clarity we get is from the paper. This must be a thorn in the eye, too, right? This is something the VVD must also say: it cannot, I want clarity today, there must be a plan, this is really not enough for me?
ParlaMint-NL_2016-09-29-tweedekamer-5.u37	I am also disappointed in the process that has gone on so far. I will come back to that later in my contribution. However, I believe that the Secretary of State is now in the process, as requested by the Chamber before the summer, of coming up with that plan and with that clarity. It's not October 1st, but the plan isn't there yet. On 1 November, the plan must be there and then we must be able to make a decision as a Chamber. I expect the Secretary of State to give me a full yes to my question as to whether that plan is in place on 1 November.
ParlaMint-NL_2016-09-29-tweedekamer-5.u38	Mr Potters continued his speech.
ParlaMint-NL_2016-09-29-tweedekamer-5.u39	On the one hand, there are people who say that abuse of vulnerable budget holders can only be stopped by abolishing the pgb: everyone gets care in kind and further figure out how to organise it tailor-made. On the other hand, there are people who say that we should not complain about fraud in The Hague: just pay and hope for the best. These extremes do not appeal to me as a VVD. The fact is that pgb can be a fantastic tool for those who want to be able to choose for themselves what their life looks like, even if due to an accident or illness he is dependent on very heavy care. The fact is that by far most people with a pgb and caregivers are in good faith. Most people see that this instrument, which gives so much freedom, can only survive if we can tackle people who abuse clients and care money. It is also the fact that in the last year and a half the government has not succeeded in making the introduction of the widely supported right of draw a success. The Ministry and the Social Insurance Bank have failed to create a system that is "understandable, accessible and workable," as the three building blocks of the new drawing right have been formulated. That last fact is sad. If you're dependent on others to make something of your life, it's no good to have a government that doesn't have the base in order. I am therefore disappointed that there is still no solution today for people who have been in uncertainty for a year and a half. I am equally disappointed that the commitment to really tackle the fraudsters who abuse these people is being postponed once again because we cannot maintain it on the basis of controls. That is why I asked this question. After all, it is the people who have been waiting for a year and a half.
ParlaMint-NL_2016-09-29-tweedekamer-5.u40	The question is then a bit what we are having this debate for. I recall that this debate was originally requested on the reporting of the sample at the end of August. I do not hear Mr Potters say anything about this in his speech. Can he still reflect on that? I think that is important in the context of the debate we are having.
ParlaMint-NL_2016-09-29-tweedekamer-5.u41	That has indeed been one of the reasons for asking for this debate, as has the fraud committed by Woonfoyers, an example that we all know. That has, of course, increased the unrest, with pgb-holders and with us as Chambers. Are we going to have a system that works and will we be able to clarify it in the short term? A lot of declarations haven't been paid out in the system. Why is that? Are we in control when it comes to the process? For this reason, I have said that I believe that the Secretary of State should clarify this matter to the Chamber. The uncertainty is still very great. That is why we are holding this debate and we need to be clear today.
ParlaMint-NL_2016-09-29-tweedekamer-5.u42	I think we are confusing two things: we are waiting for clarity on a new implementation scenario, as Mr Potters calls it, but we are also dealing with the current implementation practice. We see in the sample that a worrying number of declarations do not meet this requirement. That was the reason for you to request this debate. So what do you want from the Secretary of State about the current implementation practice?
ParlaMint-NL_2016-09-29-tweedekamer-5.u43	I believe that we will have to deal with large-scale outages as of 1 November 2016, but we must avoid this at all costs. That is one of the questions I have asked the Secretary of State, which I believe should be clearly 'no' in the sense of: no, that is not going to happen to the extent that it happened as of 1 January 2015. We see in the first sample that there is a very large outage. We all want to set up checks and tackle fraud. Both interests are great. My question is whether the same thing will happen as from 1 January 2015. That cannot be the case. I don't think you want me to. I think it is very important for the Secretary of State to clarify this today.
ParlaMint-NL_2016-09-29-tweedekamer-5.u44	I think that these are the questions we can talk about today and not the ones we are all waiting for, namely that which will come in October.
ParlaMint-NL_2016-09-29-tweedekamer-5.u45	I don't hear a question, Mr. Chairman.
ParlaMint-NL_2016-09-29-tweedekamer-5.u46	Mr. Chairman. There will be a new system, but apart from the fact that we know at the request of D66 and Per Balance that the budget holders will determine the functional requirements, we still know very little about the so-called new portal, the new system. Yesterday, we received two letters from Per Recht, two letters in one day, and this morning I read in a tweet from the Algemeen Dagblad that Zorgverzekeren Nederland wants to build the portal. I'll ask the Secretary of State exactly what's going on. Is there a panic? Is there pressure on the kettle? Looking at the last time, I, like Mr Keijzer, plead for care. I also said in the interrupting debate that I think it is important that the recommendations of the Elias Committee be followed. For example, she said that politics should pay more attention to the lead times of an ICT project. I'd like an update from the Secretary of State. What's the latest? Where does healthcare insurers come from the Netherlands and why? Did the Secretary of State for Health insurers ask the Netherlands, or did this happen via Per Recht? I'd like to hear how this happened. And I want an explanation: why do we need to hear this kind of thing indirectly instead of hearing it directly from the Secretary of State? Another question in the context of expectations management is exactly what we will get in November. The VVD talks about an implementation scenario. Among other things, in order to reduce expectations, I would like to know very specifically what information we will receive in November.
ParlaMint-NL_2016-09-29-tweedekamer-5.u47	D66 considers care very important. Yesterday, in my documents, I found a quote from the Secretary of State for 2013. He said that the introduction of the right of draw for 125,000 budget holders is a major development and that this must be done carefully. We all know that 60% of declarations are not lawful and that if there is to be a legislative change, there will be no system for 2020. Then do you insist that care is still possible on this file?
ParlaMint-NL_2016-09-29-tweedekamer-5.u48	I think we should learn from the current drawing rights system. Of course, that went completely wrong. We have had several debates on this subject. In my contribution, I also point out that we need to learn from this and that in the new system we need to put the emphasis on care: to examine what we now know, including from the Elias Commission. There should be an opinion from the BIT (ICT Review Office). D66 attaches great importance to that.
ParlaMint-NL_2016-09-29-tweedekamer-5.u49	Picking leather? There are people who get into trouble every month paying their rent, paying their mortgage. The government makes sure they get a collection agency on their necks. It's the government's fault. And then the D66 Group talks about learning lessons? When is the D66 fraction gonna show her teeth? She can go to dinner with the SP to see if she can rule, but isn't it high time to oppose this Secretary of State?
ParlaMint-NL_2016-09-29-tweedekamer-5.u50	I have the impression that Mrs Leijten wants to make a personal statement.
ParlaMint-NL_2016-09-29-tweedekamer-5.u51	People's dinners are irrelevant in this debate. I fully support Mrs Agema when she says that it must be faster and also in this interruption, but she should not bring that up, because that has not helped the budget holders at all.
