ParlaMint-NL_2016-03-15-tweedekamer-29.u1	At the request of a number of Members, I propose that the following motions be repeated: 34300-XVI-37; 34000-XIII-118; 33043-17; 32849-67; 31239-159; 31239-158; 34000-XVII-32; 34000-XVII-31; 34000-VIII-51; 32735-134; 26485-205; 33495-89; 34300-XIII-50. I propose to add to the agenda: the VAO Animal Diseases and Use of Antibiotics, with Mr Wassenberg as the first speaker on behalf of the Party for Animals; the European Union's proposals for implementation of the BEPS agreements, with the first speaker being Mr Merkies on behalf of the SP.
ParlaMint-NL_2016-03-15-tweedekamer-29.u2	I call Mr Bashir.
ParlaMint-NL_2016-03-15-tweedekamer-29.u3	Mr. Chairman. During the examination of the 2016 Tax Plan, a motion was adopted asking the Cabinet to draft a proposal in this year's Tax Plan to convert the capital return tax into a capital gain tax by 2018, so that not everyone pays a fictitious percentage of tax, but about actual interest rates and profits in the accounts. Last week, the ECB decided to further reduce interest rates. At the same time, we received a letter from the Secretary of State for Finance. It says he doesn't want to send a progress report to the Chamber until the Tax Plan. That's not what the Chamber asked. We asked for a detailed bill.
ParlaMint-NL_2016-03-15-tweedekamer-29.u4	But what is your question right now?
ParlaMint-NL_2016-03-15-tweedekamer-29.u5	I would like to turn my thirty-member debate on this subject into a full debate and I would like to see it scheduled quickly.
ParlaMint-NL_2016-03-15-tweedekamer-29.u6	I have supported Mr Bashir before. That's what I'm doing now.
ParlaMint-NL_2016-03-15-tweedekamer-29.u7	The interest rates are politically concerned with The Hague, because I see that four requests will be made in this arrangement of work. There is a request now from Mr Bashir, Mr Ulenbelt has a request concerning the effects on pensions. Mr Krol and Mr Omtzigt will also ask about this.
ParlaMint-NL_2016-03-15-tweedekamer-29.u8	That's right.
ParlaMint-NL_2016-03-15-tweedekamer-29.u9	It seems practical to me to have one debate on the wider impact of ECB policy on pensions and finances. The Social Affairs and Finance Directors should therefore be present. I would like to support Mr Bashir in transforming the 30-member debate into an ordinary debate, but I would like to discuss these four subjects at the same time, Mr President. That seems to me to be a practical suggestion for you too.
ParlaMint-NL_2016-03-15-tweedekamer-29.u10	Let me take a look at Mr Bashir.
ParlaMint-NL_2016-03-15-tweedekamer-29.u11	My proposal is to talk about converting the capital return tax into a capital gain tax. I would like to talk about that, but I would not mind if Mr Nijboer took part in the debate and talked about other matters.
ParlaMint-NL_2016-03-15-tweedekamer-29.u12	Then I would like to hear explicitly from Mr Nijboer whether he supports this request, not the proposal to broaden it.
ParlaMint-NL_2016-03-15-tweedekamer-29.u13	I've been poking around with the others here a little bit. I think my proposal is a practical solution, so I maintain it. If Mr Bashir does not want to broaden it, I do not support it.
ParlaMint-NL_2016-03-15-tweedekamer-29.u14	Okay.
ParlaMint-NL_2016-03-15-tweedekamer-29.u15	Support for this request. The Secretary of State had to do everything he could, and we were just about to debate it. I have no major objection in principle to merging. I prefer to do it separately, I say to Mr Bashir, but if it is necessary to be able to discuss it at all, then perhaps he will consider it as well.
ParlaMint-NL_2016-03-15-tweedekamer-29.u16	We consider Mr Nijboer's interim proposal to be a very practical request. This means that Mr Bashir must broaden his request. Then we have a debate on all aspects of the reduction of interest rates by the ECB.
ParlaMint-NL_2016-03-15-tweedekamer-29.u17	That is not what Mr Bashir is doing.
