ParlaMint-NL_2016-06-09-tweedekamer-7.u1	I give the floor to Mr Kuzu as the first speaker.
ParlaMint-NL_2016-06-09-tweedekamer-7.u2	Mr. Chairman. I'm filing two motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that products from illegal Israeli settlements are still available in Dutch supermarkets and shops;]] [[Whereas these products have often been grown on fertile land which has decreased Palestinians, whereas Palestinian villages in the vicinity of settlements suffer from severe water shortages;]] [[Whereas ensuring proper labelling gives products from illegal Israeli settlements a appearance of legality;]] [[Considering that after Russia's occupation of Crimea, the EU imposed an import ban on products from Crimea;]] [[calls on the Government to support, at EU level, a similar ban on imports of products from illegal Israeli settlements,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Notes that a documentary by VICE News showed that institutions affiliated to the Israeli government, such as Jewish Agency for Israel, facilitate the establishment of European citizens in illegal settlements in the occupied Palestinian territories;]] [[Whereas the construction and expansion of settlements causes serious and large-scale human rights violations among the Palestinian civilian population;]] [[Calls on the Government to examine whether and to what extent such institutions in the Netherlands engage in activities to facilitate the establishment of Dutch citizens in illegal settlements and/or other activities that directly or indirectly contribute to the illegal settlement policy of the Israeli Government;]] [[calls on the Government to share with the Chamber its findings for the forthcoming budgetary treatment of the Ministry of Foreign Affairs,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Kuzu. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-23432-421]] [[This motion has been proposed by Mr Kuzu. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-23432-422]]
ParlaMint-NL_2016-06-09-tweedekamer-7.u3	Mr. Chairman. Consumer legislation is in fact generic, general or non-application. Here we are talking about special consumer legislation. It is about legislation on origin which consumers are entitled to, but which is not possible. I have just looked at it myself: Poland, Hungary and Cyprus do not maintain the interpretative communication that the Commission has issued. There are occupied territories and annexed territories, but there are also areas that do not govern themselves. For all areas, origin marking should be provided. However, this is not being developed; it is actually being developed for one category only. Sometimes it happens in the Netherlands, for example in this case, but not everywhere. And sometimes it doesn't even happen in the Netherlands. Take Tibet, which is actually China. At least that is what I read in the Minister's reply. The Tibetans must engage in dialogue with Beijing and try to label their annexed territory in terms of origin. With Golan, which is also annexed, that's very different. Netanyahu is not called into dialogue with Assad. I think this is understandable. Take a tomato from Western Sahara. There is no need for a European guideline for this, but there is a lack of clarity in business. In Westbank, however, this happens. So it's a bitch. That is why it is political labelling or ethical labelling, if you like. But because we cannot prevent labelling as such and there is nothing against it from the point of view of consumers, we must be consistent.
ParlaMint-NL_2016-06-09-tweedekamer-7.u4	Yes, but you really need to get to the motions now.
ParlaMint-NL_2016-06-09-tweedekamer-7.u5	That's why I'm filing the next two motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Netherlands is one of the European Member States maintaining the interpretative communication published in 2015 by the European Commission on the indication of the origin of goods from the territories occupied by Israel since June 1967 in such a way as to indicate that they originate from occupied territories on labels of products coming from these territories;]] [[noting that not all European Member States have followed the interpretation of the European Commission as the Netherlands, with the result that producers in the Netherlands are currently treated differently than in other European Member States;]] [[Whereas the role pursued by the Minister for Foreign Affairs in the labelling of products from these areas should not lead consumers and producers in the Netherlands to be subject to stricter regulation or enforcement;]] [[Calls on the Government not to maintain the designation of origin of products as defined in the interpretative notice published in 2015;]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Ten Broeke. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-23432-423]]
ParlaMint-NL_2016-06-09-tweedekamer-7.u6	If this is not possible, then I have a second motion on this one, to put it another tomato.
ParlaMint-NL_2016-06-09-tweedekamer-7.u7	Before you take the floor, the following. We agreed on two minutes' speaking time. I'm not being difficult when a little bit is exceeded, but you're keeping an extensive story here, knowing that you had two minutes and that you wanted to table two more motions. We're running out of time. I would like to appeal to everyone to take this into account. If not, I'll just hammer next time. You may, however, submit your second motion. Yes, Mr. De Roon?
ParlaMint-NL_2016-06-09-tweedekamer-7.u8	I just wanted to say that I just turned in my two minutes. Perhaps Mr Ten Broeke can get out of the way by four minutes?
ParlaMint-NL_2016-06-09-tweedekamer-7.u9	That's very kind of you, Mr. De Roon, but that's not how it works. I can see that you are hanging out very well with Mr Ten Broeke today!
ParlaMint-NL_2016-06-09-tweedekamer-7.u10	I understand you very well, Mr President, but I'm asking for a little clemency. I did so in advance, and I thought I would get it from you too, even if only because we had a rather limited second period in the debate itself.
ParlaMint-NL_2016-06-09-tweedekamer-7.u11	You get that leniency, but not as a structural solution.
ParlaMint-NL_2016-06-09-tweedekamer-7.u12	All I have to do is read out the second motion. It belongs to myself and to Mr Van Bommel. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the government has declared itself in favour of labelling products from occupied territories because it allows consumers to make a more conscious choice when purchasing products from territories occupied or illegally annexed under international law;]] [[noting that not only Israel has occupied or annexed territories according to the standards of international law, but that an interpretative communication has only been published for the labelling of products from these areas;]] [[noting that the probe was carried out in response to the Ten Broeke c.s. motion. on the designation of origin of occupied territories, it has shown that there is no basis for establishing guidelines for all products from all areas occupied or illegally annexed under international law;]] [[whereas European consumers are not only entitled to transparency as regards the origin of products from the territories occupied by Israel but are, above all, entitled to a consistent labelling policy;]] [[Whereas the Government should respond to the demands of industry on the designation of origin of Western Sahara products;]] [[calls on the Government, in the Foreign Affairs Council, to recommend that the European Commission also draw up guidelines for products from the Western Sahara annexed by Morocco,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Ten Broeke and Mr Van Bommel. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-23432-424]]
