Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-09-06-tweedekamer-5	ParlaMint-NL_2016-09-06-tweedekamer-5.u1	Report of the meeting of the Dutch Lower House, Meeting 107, Session 5 (2016-09-06)	2016-09-06	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 107	Sitting 2016-09-06	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	StevenvanWeyenberg	van Weyenberg, Steven	M	1973	
ParlaMint-NL-en_2016-09-06-tweedekamer-5	ParlaMint-NL_2016-09-06-tweedekamer-5.u2	Report of the meeting of the Dutch Lower House, Meeting 107, Session 5 (2016-09-06)	2016-09-06	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 107	Sitting 2016-09-06	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	EricWiebes	Wiebes, Eric	M	1963	
ParlaMint-NL-en_2016-09-06-tweedekamer-5	ParlaMint-NL_2016-09-06-tweedekamer-5.u3	Report of the meeting of the Dutch Lower House, Meeting 107, Session 5 (2016-09-06)	2016-09-06	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 107	Sitting 2016-09-06	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	StevenvanWeyenberg	van Weyenberg, Steven	M	1973	
ParlaMint-NL-en_2016-09-06-tweedekamer-5	ParlaMint-NL_2016-09-06-tweedekamer-5.u4	Report of the meeting of the Dutch Lower House, Meeting 107, Session 5 (2016-09-06)	2016-09-06	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 107	Sitting 2016-09-06	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	EricWiebes	Wiebes, Eric	M	1963	
ParlaMint-NL-en_2016-09-06-tweedekamer-5	ParlaMint-NL_2016-09-06-tweedekamer-5.u5	Report of the meeting of the Dutch Lower House, Meeting 107, Session 5 (2016-09-06)	2016-09-06	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 107	Sitting 2016-09-06	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	StevenvanWeyenberg	van Weyenberg, Steven	M	1973	
ParlaMint-NL-en_2016-09-06-tweedekamer-5	ParlaMint-NL_2016-09-06-tweedekamer-5.u6	Report of the meeting of the Dutch Lower House, Meeting 107, Session 5 (2016-09-06)	2016-09-06	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 107	Sitting 2016-09-06	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MeiLiVos	Vos, Mei Li	F	1970	
ParlaMint-NL-en_2016-09-06-tweedekamer-5	ParlaMint-NL_2016-09-06-tweedekamer-5.u7	Report of the meeting of the Dutch Lower House, Meeting 107, Session 5 (2016-09-06)	2016-09-06	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 107	Sitting 2016-09-06	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	EricWiebes	Wiebes, Eric	M	1963	
ParlaMint-NL-en_2016-09-06-tweedekamer-5	ParlaMint-NL_2016-09-06-tweedekamer-5.u8	Report of the meeting of the Dutch Lower House, Meeting 107, Session 5 (2016-09-06)	2016-09-06	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 107	Sitting 2016-09-06	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	ErikZiengs	Ziengs, Erik	M	1960	
ParlaMint-NL-en_2016-09-06-tweedekamer-5	ParlaMint-NL_2016-09-06-tweedekamer-5.u9	Report of the meeting of the Dutch Lower House, Meeting 107, Session 5 (2016-09-06)	2016-09-06	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 107	Sitting 2016-09-06	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	EricWiebes	Wiebes, Eric	M	1963	
ParlaMint-NL-en_2016-09-06-tweedekamer-5	ParlaMint-NL_2016-09-06-tweedekamer-5.u10	Report of the meeting of the Dutch Lower House, Meeting 107, Session 5 (2016-09-06)	2016-09-06	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 107	Sitting 2016-09-06	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-09-06-tweedekamer-5	ParlaMint-NL_2016-09-06-tweedekamer-5.u11	Report of the meeting of the Dutch Lower House, Meeting 107, Session 5 (2016-09-06)	2016-09-06	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 107	Sitting 2016-09-06	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	EricWiebes	Wiebes, Eric	M	1963	
ParlaMint-NL-en_2016-09-06-tweedekamer-5	ParlaMint-NL_2016-09-06-tweedekamer-5.u12	Report of the meeting of the Dutch Lower House, Meeting 107, Session 5 (2016-09-06)	2016-09-06	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 107	Sitting 2016-09-06	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
