Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-04-12-eerstekamer-7	ParlaMint-NL_2016-04-12-eerstekamer-7.u1	Report of the meeting of the Dutch Upper House, Meeting 27, Session 7 (2016-04-12)	2016-04-12	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 27	Sitting 2016-04-12	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LambertVerheijen	Verheijen, Lambert	M	1954	
ParlaMint-NL-en_2016-04-12-eerstekamer-7	ParlaMint-NL_2016-04-12-eerstekamer-7.u2	Report of the meeting of the Dutch Upper House, Meeting 27, Session 7 (2016-04-12)	2016-04-12	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 27	Sitting 2016-04-12	-	Reference	English	Regular	MP	notMinister	CU	ChristenUnie	Opposition	Centre-right	MirjamBikker	Bikker, Mirjam	F	1982	
ParlaMint-NL-en_2016-04-12-eerstekamer-7	ParlaMint-NL_2016-04-12-eerstekamer-7.u3	Report of the meeting of the Dutch Upper House, Meeting 27, Session 7 (2016-04-12)	2016-04-12	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 27	Sitting 2016-04-12	-	Reference	English	Regular	notMP	notMinister	SGP	Staatkundig Gereformeerde Partij	Opposition	Right	PeterSchalk	Schalk, Peter	M	1961	
ParlaMint-NL-en_2016-04-12-eerstekamer-7	ParlaMint-NL_2016-04-12-eerstekamer-7.u4	Report of the meeting of the Dutch Upper House, Meeting 27, Session 7 (2016-04-12)	2016-04-12	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 27	Sitting 2016-04-12	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	FrankKöhler	Köhler, Frank	M	1953	
ParlaMint-NL-en_2016-04-12-eerstekamer-7	ParlaMint-NL_2016-04-12-eerstekamer-7.u5	Report of the meeting of the Dutch Upper House, Meeting 27, Session 7 (2016-04-12)	2016-04-12	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 27	Sitting 2016-04-12	-	Reference	English	Regular	notMP	notMinister	SGP	Staatkundig Gereformeerde Partij	Opposition	Right	PeterSchalk	Schalk, Peter	M	1961	
ParlaMint-NL-en_2016-04-12-eerstekamer-7	ParlaMint-NL_2016-04-12-eerstekamer-7.u6	Report of the meeting of the Dutch Upper House, Meeting 27, Session 7 (2016-04-12)	2016-04-12	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 27	Sitting 2016-04-12	-	Reference	English	Regular	MP	notMinister	-	-	-	-	DanaivanWeerdenburg	van Weerdenburg, Danai	F	1976	
ParlaMint-NL-en_2016-04-12-eerstekamer-7	ParlaMint-NL_2016-04-12-eerstekamer-7.u7	Report of the meeting of the Dutch Upper House, Meeting 27, Session 7 (2016-04-12)	2016-04-12	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 27	Sitting 2016-04-12	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	KoosSchouwenaar	Schouwenaar, Koos	M	1947	
ParlaMint-NL-en_2016-04-12-eerstekamer-7	ParlaMint-NL_2016-04-12-eerstekamer-7.u8	Report of the meeting of the Dutch Upper House, Meeting 27, Session 7 (2016-04-12)	2016-04-12	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 27	Sitting 2016-04-12	-	Reference	English	Regular	MP	notMinister	-	-	-	-	DanaivanWeerdenburg	van Weerdenburg, Danai	F	1976	
ParlaMint-NL-en_2016-04-12-eerstekamer-7	ParlaMint-NL_2016-04-12-eerstekamer-7.u9	Report of the meeting of the Dutch Upper House, Meeting 27, Session 7 (2016-04-12)	2016-04-12	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 27	Sitting 2016-04-12	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2016-04-12-eerstekamer-7	ParlaMint-NL_2016-04-12-eerstekamer-7.u10	Report of the meeting of the Dutch Upper House, Meeting 27, Session 7 (2016-04-12)	2016-04-12	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 27	Sitting 2016-04-12	-	Reference	English	Regular	MP	notMinister	-	-	-	-	DanaivanWeerdenburg	van Weerdenburg, Danai	F	1976	
ParlaMint-NL-en_2016-04-12-eerstekamer-7	ParlaMint-NL_2016-04-12-eerstekamer-7.u11	Report of the meeting of the Dutch Upper House, Meeting 27, Session 7 (2016-04-12)	2016-04-12	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 27	Sitting 2016-04-12	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	FrankKöhler	Köhler, Frank	M	1953	
