ParlaMint-NL_2016-02-09-tweedekamer-24.u1	I would like to welcome both directors, as well as the spokesmen.
ParlaMint-NL_2016-02-09-tweedekamer-24.u2	Mr. Chairman. I'm filing a lot of motions, so start reading them right away. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the labour market is becoming more dynamic and therefore requires flexible vocational training which can provide tailor-made services, especially for the adult learner, and that private supply can be a good complement to the funded supply;]] [[Whereas, for the same reason, in higher education, it was decided to start pilots on demand financing, but the development of these pilots has a long lead time;]] [[noting that it is precisely at the MBO level that it is important that workers remain in schools and demand finance can also provide an incentive for participation in education;]] [[Whereas the case of De Vries Makkum has shown that experiments with demand financing within existing laws and regulations do not seem possible;]] [[calls on the government to examine how to experiment with demand finance in the MBO in order to strengthen lifelong learning, and to inform the Chamber on this for Princess Day 2016,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the introduction of innovative educational institutions makes innovation in the MBO difficult because the procedure for obtaining a BRIN number is particularly complex;]] [[Whereas the Government has decided to set in motion a legislative process aimed at facilitating the start of a new school in basic education;]] [[noting the urgent need for a broader and more appropriate educational supply for workers, particularly in the MBO, through developments such as robotisation;]] [[Calls on the Government to examine whether the application procedure for obtaining a BRIN number can be simplified in such a way as to encourage new initiatives in the MBO and to inform the Court of the results of this study for Princess Day 2016,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting the importance of continuous training of workers for the sustainable employability of workers and better matching of supply and demand with the labour market, and hence unemployment;]] [[noting that the existing training infrastructure for workers has been designed in a highly sectoral way, that it makes intersectoral labour mobility low and that large groups of workers are not entitled to these training and development funds;]] [[calls on the Government to examine how a national training fund, which could be used by all workers, could be shaped and the Chamber to outline different policy options for this by Princess Day 2016 at the latest,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Court has agreed that there will be experiments with demand financing for both the engineering and ICT sectors and the health and well-being sectors;]] [[noting that only in the field of technology and ICT is at present sufficient incentive for the experiments;]] [[Whereas in order to get a good idea of whether demand financing actually leads to more participation in and tailor-made work for part-time training, a wide-ranging experiment is needed;]] [[calls on the Government to ensure that the experiment in the health and well-being sectors also comes to fruition quickly, and to inform the Court of Justice of this by Princess Day 2016,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that the government with the OECD is launching a skills strategy that can provide building blocks for a long-term agenda aimed at strengthening the quality of the workforce;]] [[noting that the OECD considers that the Dutch wage flexibility has a negative effect on the extent to which employers and workers find each other in the labour market;]] [[calls on the Government, in cooperation with the OECD, to examine the impact of Dutch wage flexibility on lifelong learning and to take the skills strategy into account in this conclusion,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Lucas and Mr Rog. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-30012-56]] [[This motion has been proposed by the Member Lucas. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-30012-57]] [[This motion has been proposed by the Member Lucas. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-30012-58]] [[This motion was tabled by Mr Lucas and Mr Klein. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-30012-59]] [[This motion has been proposed by the Member Lucas. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-30012-60]]
ParlaMint-NL_2016-02-09-tweedekamer-24.u3	Mr. Chairman. I'm only filing three motions, so it could slow down a little bit. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas education contributes significantly to ensuring that people of all ages are and remain in the labour market;]] [[Whereas this can contribute to a solution to the high (long-term) unemployment among 45+;]] [[calls on the government to come up with a vision of adult education,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas education contributes significantly to ensuring that people of all ages are and remain in the labour market;]] [[Whereas it is important to take incentive measures in this respect;]] [[Whereas the validation of Recognition Acquired Competences (EVCs) is of great importance for the career development and deployment of training pathways for adults;]] [[calls on the Government to reconsider the removal of the tax deduction for the cost of an EVC journey,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas in its opinion, the ESC has stated in the future that older workers and low-skilled workers are less involved in training activities than younger workers;]] [[calls on the Government to come forward with proposals on how to ensure that all workers participate equally in training activities,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Krol. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-30012-61]] [[This motion has been proposed by Mr Krol. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-30012-62]] [[This motion has been proposed by Mr Krol. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-30012-63]]
ParlaMint-NL_2016-02-09-tweedekamer-24.u4	Mr. Chairman. You'd better have it from a party mate, let's just say. But it is nice, because after the five and three motions that have just been tabled, I now submit one. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that the Court had already asked the government in 2011 to seek more opportunities to use R&D funds for intersectoral training;]] [[Whereas the social agreement also provides for the social partners to provide more intersectoral training opportunities and training for flex workers andzzp'ers;]] [[Considering that the Technics Pact has agreed that technological R & D funds will remove barriers to intersectoral mobility for the summer;]] [[Calls on the Government to examine which R&D funds have not agreed on intersectoral training and to inform the Chamber of the results of this study by Prinsjesdag 2016 at the latest and to propose measures to strengthen these agreements, such as not declaring R&D funds generally binding without agreements on intersectoral training,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van Weyenberg and Mr Lucas. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-30012-64]]
ParlaMint-NL_2016-02-09-tweedekamer-24.u5	If you now think that this motion appears to you and that we have already voted on it this afternoon, you have seen it very clearly. However, one party did not vote in favour of the motion at the time, and I would, of course, like to give it that opportunity again.
ParlaMint-NL_2016-02-09-tweedekamer-24.u6	We'll see where that leads next week.
ParlaMint-NL_2016-02-09-tweedekamer-24.u7	Mr. Chairman. I'm also filing one motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the current scheme does not allow people aged 56 and over to use lifelong learning credit;]] [[noting that lifelong learning does not therefore mean lifelong learning;]] [[Whereas Rinnooy's report "Flexible higher education for adults" indicates 55 years only as an example age and only for budgetary reasons;]] [[Whereas in all sections of society, up- and up-skilling is vital to people's development and should be able to do so independently of age;]] [[calls on the Government to make the lifelong learning credit scheme available to people aged 56 and over in a budget-neutral manner, so that the financial incentive to learn lifelong learning becomes independent of age,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Klein. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-30012-65]]
ParlaMint-NL_2016-02-09-tweedekamer-24.u8	Mr. Chairman. I have one motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas recognition of Qualification Acquired Competences (EVC) through certificates and the corresponding exemptions within educational pathways can stimulate lifelong learning by reducing pathways and making them more relevant to workers;]] [[Whereas there are around 70 EVC providers authorised to issue EVCs and registered nationally by DUO in the EVC Registry, which ensures an independent review;]] [[noting that recognised EVCs do not lead to exemptions for the relevant subjects at all educational establishments, because examination committees in the MBO and HBO fear a negative assessment of the inspection, which would prefer to maintain the standard education programme;]] [[Whereas in the pilot projects ECVET has gained experience in improving cooperation between examination committees, inspection and recognition of previously acquired competences;]] [[calls on the government, the inspection, EVC providers and examination committees of educational institutions to agree on better coordination on the basis of the pilots, so that recognised EVCs will actually lead to exemptions for the relevant subjects, and to inform the Chamber for the 2017 budget of the agreements made,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Jadnansing and Mr Lucas. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-30012-66]]
ParlaMint-NL_2016-02-09-tweedekamer-24.u9	Mr. Chairman. I walk along the motions on my property, starting with the Lucas/Rog motion in part No. 56 in which the government is invited to experiment with demand financing in the MBO as well. I advise against this motion. First of all, I would like to say that our MBO education is really good for it and that many countries are also coming to the Netherlands to see how to provide good vocational education that is in line with the labour market, for young people, but also for the elderly. I therefore agree with the proposers that for attractive adult MBO education, the provision of non-costed institutions in the MBO is a good complement to the provision of funded MBO education. That also makes our system specific. However, I believe that in the MBO we already have more than enough room for tailor-made courses for adults, unlike in HBO in particular. The MBO knows the vocational guidance pathway, the bbl, and thus has a dual form of vocational education. The questioner is the move and not the institution. We also have the funded and non-cost education, each serving its own target group. In non-cost education, we also have the third learning path, which offers a lot of space for customization. From 2016/2017 onwards, we introduce certificates, whereby adults in the non-cost education can attend parts of MBO courses that are completed with a certificate. So that too is a new path. I am in consultation with De Vries Makkum and ROC Friese Poort about the pilot I promised Mrs Lucas. I happened to be there yesterday. That was a very interesting work visit. I think Mrs Lucas can confirm that, because I saw her there yesterday. I am therefore motivated to work on this, but I note that everything is already possible in terms of educational provision for adults in the MBO. I do not see any reason to take an additional measure on top of that. That's why I advise against this motion.
ParlaMint-NL_2016-02-09-tweedekamer-24.u10	Of course, a lot is already possible. But what we may have seen in higher education by the Rinnooy Commission is that demand for training could increase enormously if you introduce demand financing. In the debate, the Minister himself indicated that in the MBO the question could still be raised for those who are in and after school. As far as I am concerned, she does not explain why the experiment should not also be widened to the MBO, so I maintain my motion.
ParlaMint-NL_2016-02-09-tweedekamer-24.u11	Let me conclude, then, that in the HBO the experiment has a lot of demand finance in the ground and that this is not easy to get off the ground. I want to know what the effect of this is before I transfer that experiment to the MBO, while we are already entering so many new things in the MBO that I also want to know what the effect is. I therefore maintain my judgment and advise against this motion. The Lucas motion in part No. 57 is about applying for a BRIN number. I also advise against this motion. I know it's a big wish from Mrs Lucas. She has recently tabled questions to the House, which I will reply shortly. I note, however, that the issue of a BRIN number is an administrative procedure rather than a substantive objective. These are registration numbers that DUO uses in administrative traffic with institutions and schools. Institutions will receive such a number if they are eligible for funding or, in the case of non-cost institutions, if they receive a diploma recognition for an MBO course. In order to stimulate innovation, such an administrative act in itself makes no sense, because we have other measures to do so. I refer briefly to my letter on responsive MBO of September 2014. I am not complete, but I would like to mention a number of measures: cross-over training that we are going to make possible, combined learning, bol/bbl and the introduction of electives in the MBO.
