ParlaMint-NL_2016-02-16-eerstekamer-5.u1	I would like to welcome the Minister for Social Affairs and Employment to the First Chamber.
ParlaMint-NL_2016-02-16-eerstekamer-5.u2	Mr. Chairman. Let me begin by thanking the government for answering our questions. That does not mean, moreover, that in the rush with which the answers have been made, they lead to our full satisfaction. It should be known: as a CDA group, we were never in favour of the referendum law. We now see that this instrument often requires us to deal with laws in this house under steam, where more discussion with the government and reflection on the advantages and disadvantages of legislation might have taken us further. That was a comment aside. The country-of-home principle in the export of social security benefits is before my time in this house and I accept it as a fact. This principle, which also applies to exports to third countries, was also accepted by the CDA Group in this House when we approved Law 33162. That law introduces an export restriction for a number of social security laws. Our spokesperson, my colleague Wopke Hoekstra, had a lot of questions back then. He was the one who asked the question in the course of examining this bill as to what the termination of this treaty would mean. I'm quoting him literally. "To mention any country, Morocco, what are the rights and research opportunities lost for the Netherlands at that time and what is the assessment of the financial damage? If you look beyond the possible follow-up damage on the Minister's file, how should you weigh the wider interest of the Dutch state if you decide to terminate such a contract? What are the consequences for the State, so beyond the immediate reach of this minister's portfolio?" The outcome of the negotiations with Morocco, which has been achieved after long and intensive consultation of Dutch diplomats in Morocco with the authorities there, is, may I say, the outcome of the negotiations with Morocco? Oh, yeah, yeah, yeah, yeah, yeah, yeah, yeah, Therefore, if we cooperate today, as requested by the government, to terminate the agreement with Morocco, there will be no new exports of social security benefits: no child benefit, no WKB, no Anw, WAO, WIA, WAZ and not the Supplementary Act. However, the AOW remains at 50% and benefits that have been started are also maintained. In fact, the export of child benefit and the child-related budget by Dutch standards has been struggling for some time in our society. If I see correctly in the government's replies, an amount of 3.3 million in family allowances was exported from the Netherlands to Morocco in 2015. The wire transfer's gonna stop anyway. This will be done either in 2021 with a joint Netherlands-Morocco agreement, or in 2017 when we cancel the treaty. With the termination of the Convention in 2017, the influx of 150 children per year will be stopped. I'm just gonna put it this way. However, rights entered will remain in force for almost 18 years. I note, moreover, that we in Europe are not the only ones who apply different amounts of family allowances to the allowances we grant in their own country, as measured by the cost of living. Is total child benefit exports stopped in the neighbouring countries, as we do? There are people, such as those across the street, who think it is possible to apply the principle of housing within the European Union, but I would like to say that this cannot be done. This is based on Article 48 of the Treaty of the European Union and on Regulation 883. If I read it correctly, we will save EUR 40 million in structural terms with the termination of the treaty. That is not little, and for a lot of people it is even a very large amount. What we do not take into account is that we lose in other areas. When I look at the savings involved in the termination of the treaty, I come up with the Government's replies to €300,000 for child benefit, to 1 million for the ANW and to 0.3 million for the AOW. Moreover, the latter amount gradually rises to 5.5 million because the supplement to the AOW received by single people is no longer exported. In the government's replies, I also read that for 2014, 2015 and 2016, together, the benefits would have been 14 million lower if the export ban legislation had been in force immediately for Morocco. So we do not count on the costs of non-cooperation in controls because the Moroccan authorities are no longer in a position to do so, as they have already said. I am referring, for example, to the power test. However, if we go along with the government's intention to terminate, then there is also a new phenomenon, namely the EU association agreement with Morocco. The social protocol, to put it that way, is ready. The government doesn't want to get rid of that protocol. However, the consequence of that protocol is that a very large part of the benefits that we are stopping now, if we cancel now and the cancellation starts on 1 January 2017, will be resurrected. They're not all resurrected. Except for family allowances and the child-related budget. We received a fair answer from the government: the termination of the agreement with Morocco and the legal proceedings of the social protocol lead to the revival of the rights to survivor's and disability benefits; moreover, it will lead to an increase in the AOW from 50% to 70%. The government estimates that this will cost EUR 17,5 million of the planned savings of EUR 40 million. The 40 million cut is therefore of very short duration. As I said, there was a very good result of the negotiations with Morocco in September. However, it should not continue because at the last minute Morocco also wanted the Western Sahara under the agreement. International commitments on the non-recognition of Western Sahara have resulted in that agreement not being allowed to go through in concept, according to the government. The knife was pulled. The recognition of Western Sahara as a legitimate Moroccan territory is not in line with international rules, but if I do, the EU association agreement with Morocco also applies to the whole area of the Kingdom of Morocco. It's just not so written down. Why can't the Netherlands do what Europe can with the association agreement by not writing it down? Is the information on the state of play up-to-date? Does the government still believe that this agreement will enter into force soon? If I am well informed by the Brussels circuit, the Minister may correct me, then on 10 December the protocol on agriculture was cancelled by the General Court's conclusion. This does not, however, concern the addition of Western Sahara. I conclude from the Court ruling that there is no prohibition, either by international law or by EU law, to extend an agreement with Morocco to Western Sahara. However, certain conditions must be respected. That is what happens with the protocol on agriculture. There must be no disadvantage for the people there. If I understand correctly, there will also be an urgent procedure on the agricultural protocol, which is also about the fisheries protocol, in order to comply with the agreements requested by the Court of Justice in the ruling. Why did the Netherlands not follow this example? Why are we so fundamental and are we so testing good relations with a country like Morocco? I only have to refer to the answers given by the government to questions concerning cooperation on the readmission of foreign nationals, judicial cooperation and the verification of the accuracy of benefits and the assessment of assets. We can forget these things if we accept this legislation and thus end cooperation with Morocco. The Netherlands and Morocco have common interests. It is for our first name, but also for the EU the region is of strategic importance. Can the Minister convince us that the financial importance of a saving of 17.5 million is of greater structural value than geopolitical stability in this region? If we were to say 'yes' to this law of termination today, the Minister would have until 1 July to negotiate with Morocco. That's what he'd do with a firmer backrest. Is it possible, therefore, to reach that fine, previously negotiated agreement? There are not only financial interests but also other interests involved. If the Minister gives an adequate answer to our questions and also gives us a reflection that convinces us of the benefits of a cancellation now, with all the diplomatic consequences of that, such as in the area of justice, the readmission agreement, the control of exports of benefits and not to mention the revival at any time in the near future of the benefits abolished on 1 January 2017, then the CDA Group will then determine its position.
ParlaMint-NL_2016-02-16-eerstekamer-5.u3	In 2009, the then Minister for Social Affairs Donner stated that he was not in favour of limiting or ending the export of child benefit. In his opinion, child benefit was intended to cover the costs incurred by parents living in the Netherlands for the care of their children. This reduces the differences between the costs of people who do not have children and who do have children. At the time, Donner had the view that the export of child benefit should not be stopped. I heard Mrs Oomen particularly about the considerations and the advantages and disadvantages, but what is her group's position of principle?
ParlaMint-NL_2016-02-16-eerstekamer-5.u4	I am dealing with legislation that has been adopted. I do not need to repeat the discussions that have been taking place since the 1980s on the export of child benefit. I note that there has been a slight change of opinion in our society at the moment. Nor do I think it is right for us, with such a high export price called child benefit, to allow families or even to encourage families to have children without parents living in Morocco. The fact that we are looking at what is needed in Moroccan society is therefore important at the present time.
ParlaMint-NL_2016-02-16-eerstekamer-5.u5	Again. I was concerned with Mr Donner's position of principle at the time. It was not about the country of residence principle, but about the non-exportation of child benefit. Minister Donner said that we should not distinguish between costs incurred by parents and costs incurred by people without children if they both live in the Netherlands.
ParlaMint-NL_2016-02-16-eerstekamer-5.u6	I could and should reply to Mrs Strik that this position is over thanks to the legislation that has also been accepted in the First Chamber.
ParlaMint-NL_2016-02-16-eerstekamer-5.u7	So you do not have a position of principle on this at the moment?
ParlaMint-NL_2016-02-16-eerstekamer-5.u8	We take the basic view that certain legislation is simply accepted, including in the Upper Chamber. That's no use to me now.
ParlaMint-NL_2016-02-16-eerstekamer-5.u9	Mr. Chairman. The First Chamber almost four years ago adopted the Land Law principle in social security. The Christian Union Group has supported this law. As is well known, the country of residence principle means that the level of benefit for countries outside the European Union is aligned with the cost level of the country where the person concerned or the child resides. That seemed and seems to us to be reasonable and acceptable. I will not repeat our arguments for this, because we have passed this stage in the debate. The application of the Housing Land Law implied the adaptation of all kinds of bilateral social security agreements. Our highest court found that the law was contrary to the treaty with Morocco. However, negotiations with Morocco, which took up to five years, did not lead to the desired result. The meeting was terminated. In the light of this, the Lower House asked the government, through the approved motion Schut-Welkkenn/Dijkgraaf, to submit a legislative proposal to terminate the treaty with Morocco. The Christian Union Group in the House of Representatives supported this motion. This bill, passed by the House of Representatives, is before us today. The unilateral withdrawal of a bilateral treaty is not a minor issue. A treaty is not just a declaration, especially with a country with which so many countrymen are connected. This is a sensitive issue. My group therefore regrets that it has had to come to this. An agreement seemed to be within reach, as the Minister did in his letters of 29 September and 23 November last. Hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, A few weeks later, however, the dream sprang because Morocco suddenly demanded that exports of social security benefits should be extended to Western Sahara. The Netherlands was rightly unable to meet this requirement, because under international law this area does not belong to the territory of Morocco and therefore Morocco does not have the power to enter into treaty obligations on behalf of the Western Sahara. It's a de facto occupied area. It is therefore an unacceptable demand, also in view of the statements of the United Nations and the International Court of Justice on Western Sahara. Moreover, this requirement was introduced at a time when an agreement was in the pipeline. I understand from the statements made by the Minister in the Lower House that even the signatures had already been signed. My group can therefore feel that the Netherlands ended the negotiations on this dossier and paved the way for the termination of the bilateral agreement with Morocco. For my group, it is crucial to know whether the process has been properly conducted in the run-up to the present withdrawal proposal. Has the government really done everything to make the negotiations with the Moroccan Government a success? For the answer to that question, the Christian Union Group asked the government in the written round of questions for a brief reconstruction of, in particular, the final stage of the negotiation process, in which the break-up point around Western Sahara appeared unexpectedly on the Moroccan side. If we add this reconstruction to the overview of the negotiation process, which is included in the memo following the report of 8 May 2015, the Minister's letter to the Chamber of 15 December 2015. and the report of the written consultation held on 13 January, my group concludes that the Netherlands has conducted these negotiations correctly. It can also be inferred from this reconstruction that the Netherlands, I quote, has offered'soothing measures and longer transitional periods'. Can the Minister specify these measures and transitional periods? All this raises the question of whether the government had not received any signals before that Morocco would play the map of Western Sahara. Was it indeed a thunderbolt in the clear sky? How could Morocco have let it get this far? That country, too, will not benefit from the termination of the Convention. Can the Minister comment on this? The government was forced to cease negotiations. Does this imply that there was no rack in the Moroccan side's arrangement and that there was a final offer? Has the government considered any alternatives? I would also like to receive a response from the Minister. My group is concerned about the way things are going. Is the Minister still talking to his Moroccan colleague about the withdrawal of the treaty, perhaps through diplomatic or informal channels, or is there an overall cessation of communication in this dossier, over and over again? Does the Minister see any possibilities or is the endgame behind us? Will the period between now and the expiry date of 1 July a.s. still be used in any way? That date was partly motivated by the possibility of a consultative referendum. My group must take the view that the ideas of the referendum are now going to determine the legislative process in a completely separate way. Mrs Oomen also mentioned this briefly. The scope of the assessment of this bill goes beyond the Western Sahara issue alone. We must also take into account the geopolitical dimension, i.e. the consequences of the withdrawal of the Convention on our cooperation with Morocco in other areas. I refer, for example, to the control of fraud involving other social security benefits, trade relations, economic and development cooperation, refugee policy and the fight against international terrorism. That does not make things any easier and puts us in dilemmas. Can the Minister outline to the Christian Union Group how the cabinet has made this final assessment and, above all, what weighed the hardest? How did the risk analysis go? What does the Minister intend to do about damage control of our relations with Morocco? At this stage, it is above all about the way in which we deal with our own Moroccan community in this dossier. My group strongly believes that, should this legislative proposal be adopted, the government will communicate clearly with our Moroccan compatriots about the impact of the proposal on child benefit, the child-related budget and the cost of care. Can the Minister assure my group that a serious information pathway is being set up towards the Moroccan community? Can he promise that the conversation will take place? The uncertainty is great, as it turns out. Good communication and information are therefore needed. This commitment is important for my group for its final assessment of this bill. In conclusion, I would like to ask a question about the Association Decision between the European Union and Morocco, a decision which is specifically addressed. Does the Minister expect the European Commission to present this decision to the Council this year? Has he been informed whether the Western Sahara played a role in these talks with Morocco? For my group, however, the question goes even further. Suppose the Association Decision is ratified. Then overrulet this the present bill, should this be supported by this house tonight? If the answer is positive, what does that mean for our national social security self-direction, including in the case of this parliamentary debate today on the withdrawal by the Netherlands of the bilateral agreement with Morocco? My group looks forward to the Minister's answers.
ParlaMint-NL_2016-02-16-eerstekamer-5.u10	Before I give the floor to Mr Van de Ven, I would like to inform you that I am now handing over the Presidency of this sitting to Mr Kox in connection with my departure to Brussels because of the parliamentary EU meeting that will take place there tomorrow, and today, moreover.
ParlaMint-NL_2016-02-16-eerstekamer-5.u11	Mr. Chairman. This bill has too long a history. The first Rutte cabinet was committed to restricting the export of benefits. In the meantime, a number of laws have been introduced at national level to implement this policy idea. I refer to the Homeland Principle Act, the Export Disability Act, child benefit and child budget, and the end of world coverage in temporary stays in the Health Insurance Act. My group still believes that this was an excellent initiative by Rutte I. The principle underlying the limitation of the export of benefits is also simple and understandable. Benefits serve as a safety net for maintenance provision. In the case of payments to Dutch residents, the Dutch level of prosperity determines the level of benefits. In the event of emigration or remigration from the beneficiary to another country, the logic forces the difference in the level of prosperity between the Netherlands and that other country to be corrected. The amount of the Dutch benefits is the starting point as a maximum benefit. In Morocco, the cost of living is about 40% lower than in the Netherlands. Under the current Convention on social security with Morocco, the Netherlands grants beneficiaries in Morocco a benefit which is much higher for the purpose of living there than the benefit of beneficiaries residing in the Netherlands for their livelihood. Social security benefits are not intended for asset formation. The starting point is that the Netherlands is bound by its international conventions. "Pacta sunt servanda." The Netherlands has international tradition and reputation to uphold as guardian of the international legal order. I am thinking of the many and important international courts which have their seat in The Hague. My group is watching over that. The same applies to the social security agreement with Morocco. But the Netherlands, in my group's view, must correct an error in that old 1972 treaty. Please note, to be corrected in accordance with international treaty law as laid down in the Vienna Convention on the Law of Treaties. The Netherlands can therefore use amended national insights on the export of benefits to modify the current social security agreement with Morocco. In my group's view, the Netherlands has been working with more than the necessary international comity to bring about an adaptation of this agreement with Morocco. It commends Minister Asscher for his efforts to continue the social security agreement with Morocco under amended conditions and with, in part, a long transitional period of four years. What I would like to call the "Asscher Slide Road" was recorded in the note following the report to the House of Representatives of 8 May 2015 and in the note following the report to the House of Representatives of Friday 12 February 2016. Mr Ester has already referred to it, which shows that we have a certain level playing field. Both notes show the image of the Moroccan Contracting Party, which has no beginning to understand the Dutch principle of housing. I do not wish to repeat the facts of the negotiations. For the sake of clarity, I would refer you to this point. And after Minister Asscher informed the First Chamber with due pride on behalf of the Foreign and Health Ministers, Welfare and Sport, and the Secretary of State for Social Affairs and Employment in his letter of 26 October 2015 that the Netherlands and Morocco had reached an agreement under further generous concessions from the Netherlands, he was again forced to inform the Second Chamber by his letter of 15 December 2015 that Morocco had made a new demand, namely to make the amendment of the social security treaty applicable to Western Sahara. Under international law, this was an impossible requirement for the Netherlands to comply with. The Group of the European People's Party (Christian Democrats) and European Democrats considers Morocco's behaviour to be "chicane." The existence of the Social Security Convention with Morocco is being abused by this country to ignore the application of national laws of the Netherlands in the field of the export of benefits. This is unacceptable to the VVD Group. The chicanization of Morocco is that Morocco does not wish to participate at all in an amendment to the Social Security Convention. This is contrary to the 'good treaty loyalty' which states, parties to a treaty, have to contend with each other. The VVD Group agrees with this proposal to terminate the social security agreement with Morocco. However, my group is using the treatment of the termination of the social security agreement with Morocco to address a looming error in the Advisory referendum Act. To this end, the following applies. My group asked the Minister in the report on this bill when, on the basis of the deadlines set in the Advisory referendum Act, the entire process of a ultimately negative consultative referendum has been completed and could be terminated with Morocco. In the event of an interim consultative referendum, this Treaty may be terminated only after the referendum has been held. The Minister replied to this question from the VVD Group on page 11 of the note following the report. Based on the deadlines in the Advisory referendum Act, the Minister states, a referendum could be held between November 2016 and January 2017. The Minister thus confirms that a complete referendum on the termination of the Social Security Convention with Morocco will mean that notification of the termination to Morocco before 1 July 2016 is no longer possible. The earliest date on which the termination of the Social Security Convention with Morocco is possible for that situation shall be 1 January 2018. That's a further delay by a year. The social security agreement with Morocco already has a cooling-off period of six months. It is common practice to include a cooling-off period in international conventions. My group has no problem with that. However, the VVD is opposed to the cumulation of the time limits of the Advisory referendum Act and the period of notice in an international treaty to which the Netherlands is a party. In Article 5, the Advisory referendum Act excludes a number of laws to submit to a referendum. I refer to laws on the annual budget, laws amending the Constitution and laws implementing treaties. It is in line to exclude laws on treaties from holding a referendum. In my group's view, the adoption of the Advisory referendum Act has failed to exclude the ratification and termination of international conventions from the consultative referendum in Article 5.
