ParlaMint-NL_2016-03-03-tweedekamer-8.u1	I would like to welcome the Foreign Minister.
ParlaMint-NL_2016-03-03-tweedekamer-8.u2	Mr. Chairman. Islamic terrorism spreads across our globe like a deadly virus. In the fight against this, the Netherlands is making military efforts, but of course that is not the only thing we can do. The financing of terrorism must also be tackled vigorously. Many countries see that as well, but unfortunately there are also countries that do not do much about it. Qatar is one of those countries. Now this debate is not about whether or not Qatar's treasury flows money to terrorists, because I have no concrete indications of this. Nor is it a question of whether Qatar has sufficient rules against the financing of terrorism, because there are rules. Today, it is a question of what Qatar is actually doing to combat the financing of terrorism by what I call "private individuals." There is now a load of publications and research. These indicate that Qatar is structurally failing in this respect. The Foreign Minister, who is present here today, was aware of this, according to his letter of 15 February last year. He indicated that the government would enter into dialogue with the Gulf States on the financing of terrorism. He also indicated that more could be done to counter the private financing of terrorists. That was a year ago. On the one hand, I regret that it has taken so long for this debate to take place, but on the other hand it gives me the opportunity to ask the Minister the following questions. The dialogue started a year ago. Now, of course, is the question of what it has produced in concrete terms. How many terrorist financiers were arrested by Qatar in the meantime? And what assets have been frozen there to counter terrorist financing? In short, what are the concrete results? In the meantime, the wave states, including Qatar, have taken tough measures against the Shia terrorist group Hezbollah, but not against the financing of Sunni terrorists. Qatar actually functions as a kind of ATM for terrorist groups such as Al-Qaeda, Hamas and Islamic State. The authorities in Qatar simply leave behind to enforce international sanctions against terrorists. They tolerated terrorist financing. Dozens of terrorist financiers are now free in Qatar, while they are on international penalty lists. Let me give you one as an example. It's a person you may not know, but it's an important one. His name is Muthanna Harith Al-Dari. He's on the U.S. and United Nations sanction lists for funding Islamic State. A travel ban has been imposed against this terrorist banker. Nevertheless, he was warmly welcomed in Qatar last summer. He was even kissed and hugged by the previous emir of Qatar. But he's not the only one. Qatar leaves behind, taking tough measures against dozens of others. Terrorism experts even argue that no Qatari has been charged with terrorist financing. No one's under lock and key for that. Two months ago in Qatar, the book Snow White and the seven dwarfs were removed from a library because the image of Snow White did not appeal to the authorities. So we can see that Qatar is firm against Snow White, a fairytale figure, but not against the financiers of terrorism. There's gotta be another way. Can the Minister confirm that not much has happened yet? What are his proposals for clarifying and improving the situation in this area?
ParlaMint-NL_2016-03-03-tweedekamer-8.u3	Mr. Chairman. For many years now, and also since the request for this debate in 2014, the fight against terrorism has been characterised by a remarkable 'yes', one might say: bizarre 'contradiction'. On the one hand, Western countries are making all kinds of efforts to combat Islamic State, Al-Qaeda and similar organisations in all kinds of places in the world. On the other hand, Western allies in the Middle East support these radical jihadist organizations. A well-known example is Saudi Arabia, which has supplied weapons and money to radical organizations such as Al-Nusra, the official branch of Al-Qaeda in Syria. Infamous is also Turkey, from which the vast majority of radical fighters have left for Syria to join jihadist organizations, without being put in their way. And although there is less attention in the media, Qatar, which is at the heart of this debate, also belongs in this list. A few examples clearly illustrate the substantial support given from Qatar to jihadists in different countries. In August last year, for example, the United States imposed sanctions against two Qataris for being suspected of financing Al-Qaeda in Pakistan, Al-Nusra in Syria and extremists in Sudan. In December 2013, someone was also put on the penalty list because hundreds of thousands of dollars would have been transferred to Al-Qaeda in Syria. Earlier, in 2011, the United Nations Special Envoy in Libya accused Qatar of supplying arms and money to Islamic fighters in that country. In 2014, Qatar re-emerged for arms supplies to Islamists in Libya, while there is still a United Nations arms embargo against Libya. From Qatar, money would also have gone to Islamic State. Experts have calculated that in the years 2013-2014 some 40 million dollars went from Saudi Arabia, Kuwait and Qatar to Islamic State. Given the examples just mentioned, it is not surprising that in 2014 the United States blamed Qatar for being a tolerant environment for terrorist financing. The German Minister for International Development was even clearer in the same year. He said, "You have to ask yourself who's arming ISIS." Who finances IS? The key word is Qatar, according to the German minister. Does the Dutch Government share this view of the United States and Germany? The letter from the Minister of Foreign Affairs on financing of jihadist organizations from Qatar surprised the SP. It states that Qatar is an important partner in the coalition against IS and has committed itself to the fight against terrorism and its financing. The SP has the necessary doubts about this commitment. In the hope that the Minister can remove that doubt, I ask him the following questions. Is it true that in Qatar no one has been prosecuted who has been placed on a penalty list by the US for supporting jihadist organizations? Has the EU also placed Qataris on a penalty list? If that is the case, will they be prosecuted? Can the Minister indicate more generally what measures Qatar itself has taken against aid to terrorism? For example, does Qatar use a national penalty list? Do they have names on them? And does the Minister consider that Qatar is effectively acting against nationals who finance terror?
ParlaMint-NL_2016-03-03-tweedekamer-8.u4	Mr. Chairman. The wealthy Arab Gulf State of Qatar is best known as a major financer of football, including being a shirtsponsor of FC Barcelona. In 2010 it made a deal with perhaps the most prestigious club in the world of 170 million euros. Since 2012, it has owned Paris Saint-Germain. Qatar will also organise the World Cup football in 2022. However, the country also has other hobbies, and I am not talking about equestrian sport. The British discovered in 2014 that money intended for the construction of the infrastructure for the World Cup football in 2022 had been locked away to ISIS. It became a riot. Prime Minister Cameron called on Qatar's emir to stop this cash flow. It could be the tip of the iceberg. Qatar is not only a generous sponsor of football, but also of radical Islamic movements. The report Qatar and Terror Finance of the Foundation for Defense of Democracies shows that Qatar is an important financial hub for financing terrorism. The cabinet does not claim to have any indications that national authorities in the Gulf are actively involved in the financing of ISIS. However, the cabinet believes that more can be done to prevent private funding of terrorist organisations. We get this a lot. It's bad enough if rich oil sheiks can freely give millions to jihadists. But the government in Qatar isn't doing enough about it. What the Qatar government leaves behind is at least as worrying. It openly supports Hamas terrorist organisation and the fundamentalist Muslim Brotherhood. It also supports rebels and Islamists in Syria with money and weapons. Qatar seems to be playing a double role. According to Reuters, Western diplomats in expatriates would see cars driving around with ISIS stickers. According to the Cabinet, Qatar is an important partner in the coalition against ISIS and has committed itself to the fight against international terrorism and its financing. Can the Minister indicate how Qatar is acting against the financing of international terrorism and in the fight against ISIS? As far as we are concerned, there is sufficient reason for an independent international investigation into support for radical Islamic organisations. Is the Minister prepared to advocate this and put pressure on Qatar to stop this support? The export of salafism is also dangerous. Qatar is also generously funding Qatar. The cabinet does not do anything about that either, not even in the Netherlands itself. The Knops motion to restrict foreign financing of Salafism has not been implemented. Why not? We are appalled about this and will come back to it in another debate, which is not in line with this 30-member debate and the limited speaking time. I would like a response from the Minister to that. Our group wants pressure to be increased. Is the Minister prepared to curb arms exports to Qatar, as in Saudi Arabia?
ParlaMint-NL_2016-03-03-tweedekamer-8.u5	Mr. Chairman. Indeed, it has been more than a year since this debate was requested by Mr De Roon, but the issue of terrorist financing has become no less relevant. We're talking about Qatar today, an oil state. Actually, it's a royal family with an oil field and a TV station. At the same time, the family is very influential. It interferes with football, horses, peace negotiations in the Middle East, but also with less pleasant matters, and that is what we are discussing today. In the last article of Article 100, I read that the government is in the process of speeding up the implementation of measures for more intensive information sharing, detection and intervention of foreign terrorist fighters, travel movements, disruption of the financing of these foreign fighters and the reintegration of radicalised persons. As far as my group is concerned, an F-16 bomb on an oil field is still the most effective method of interrupting the flow of funding to, for example, ISIS and other groups. The Netherlands is co-chair of the Global Counterterrorism Forum with Turkey. A joint meeting was held in The Hague on 11 January. There has been talk of a number of initiatives and it is good that we can have the debate on them today. Such efforts mainly concern ISIS, but ISIS is not the only terrorist organisation richly funded from abroad. Al-Nusra, a branch of Al-Qaida currently fighting in Syria, is also included. While Qatar's emir claims to make a hard effort to prevent money from getting to ISIS, Qatar is formally part of the international coalition; we've already talked about that double role, reports from, for example, the American think tank Foundation for Defense of Democracies point out that money from individuals in Qatar continues to flow to Al-Nusra. The US Government also points this out. Qatar has "more work to do," according to a senior U.S. official. In August, the U.S. government put individuals from Qatar who would have lured money to Al Nusra in Syria and Al-Qaeda in Afghanistan and Pakistan on the penalty list. Did we follow that in Europe? According to Dennis Mac Eoin of the American Gatestone Institute, it goes beyond being reluctant to deal with those private donors. According to his analysis, Qatari Ministries of Foreign Affairs and Defence, the intelligence services and also the emir's cabinet are actively involved in streamlining relations with armed groups in both Syria and Libya. According to Mac Eoin, Qatar even financed terrorists in Mali where our troops are active. I'd like to get a response from the Minister. How does the Cabinet assess the Foundation for Defense of Democracies report and the analysis of the Gatestone Institute? Is Qatar doing enough to actually sanction those who support Al-Qaeda-like organisations in accordance with the 1989 Security Council Resolution? Has Qatar actually arrested the Qataries on the U.S. penalty list? The previous speaker also pointed that out. Are they even on the EU sanctions list? In addition to the involvement of Qatari individuals, are there any indications of government involvement, as claimed in Gatestone's analysis? What about those activities in Mali that we are supposed to have a good view of through our ears and eyes? Finally, the letter on Salafism sent to the Chamber by the cabinet last week says that the financing of terrorism is being countered, among other things, by providing training in the field of anti-money laundering and terrorist financing in the Gulf States. Is that even happening to Qatar? Is there any Qatari support for Salafist groups or mosques in the Netherlands and, if so, do we have an eye on how big it is?
ParlaMint-NL_2016-03-03-tweedekamer-8.u6	Mr. Chairman. I have the honour and pleasure to speak on behalf of my colleague, Mr D66, on behalf of 48 seats. Well, that's nice, too.
ParlaMint-NL_2016-03-03-tweedekamer-8.u7	But no double speaking time.
ParlaMint-NL_2016-03-03-tweedekamer-8.u8	That's too bad. Mr. Chairman. This debate was indeed requested a long time ago by Mr De Roon. As others have said, the subject is of course as topical as it was at the time. In fact, it has a long history in the Chamber. With a number of colleagues, we tabled a motion in September 2014 calling on the government to make concrete proposals independently and in cooperation with allies for a comprehensive sanction package to identify and address individuals and companies directly or indirectly doing business with ISIS. That's still necessary. This concerns not only the so-called donations from charities from the Gulf region, but also all other economic relations that strengthen ISIS, particularly, of course, the trade in oil from ISIS. In January 2015, we already received a letter from the cabinet, in which it stated, among other things, that more could indeed, and as I read in it, be done more to prevent the financing of terrorist organisations. At that time, the EU terrorist list and the Financial Action Task Force were already mentioned, in addition to a number of national measures. Since then, we have devoted a great deal of attention to this subject in all the debates, including in the last Article 100 debate, and rightly so. I have three specific questions for the Minister. He was a host himself in January and I believe that he was also the initiator of a meeting on foreign terrorist fighters. He co-chaired the Global Counterterrorism Forum. I would ask him not only to specifically address the issue of financing terrorism in this area, but also to indicate where his ambition goes beyond what was achieved at that time. Secondly, on 2 February, the European Commission presented the Action plan to strengthen the fight against terrorist financing. I would ask the Minister to give an opinion on that. What are the concrete measures and expected results of that plan? Again, there is my question: is it enough or should Europe do more, especially compared to the US? Because sometimes there is the impression that the US is a little more energetic in sanctioning and blacklisting individuals. Thirdly, there are, perhaps a little more the positive side of the story, more and more reports that ISIS itself is getting into the financial problems. For example, we have read that the salaries of warriors have been halved. Can the Minister confirm these messages? And can he give an analysis of that? Is this due to the relative success of some measures, or have other factors caused this? Last but not least, I would like to ask the Minister to take up the responsibility of Qatar and other Gulf States to do everything in their power to receive refugees and provide humanitarian aid in the region. How does Qatar score with other countries in the region on these two important issues?
ParlaMint-NL_2016-03-03-tweedekamer-8.u9	Mr. Chairman. Financing terrorism and failure to act by governments are serious violations of international law. They also undermine international political, diplomatic and military efforts to combat terrorism. Therefore, every effort must be made to combat funding from outside parties, including Qatari. The Netherlands combats terrorist financing at UN, EU and national level. At EU level, the Netherlands supports freezing measures on the basis of the EU terrorist list. In the UN context, efforts are being made to strengthen compliance with terrorist sanctions through improved monitoring and assisting countries in the implementation of the measures. The SGP is committed to expressing its appreciation of the government's efforts in this regard. However, we would like to know from the Minister which countries are assisted in the implementation of anti-terrorism measures and measures against the financing of terrorism. And specifically, does Qatar belong to this too? The SGP supports the prioritisation of the fight against the financing of ISIS and the dialogue with the Gulf States. According to the government, countries in the Middle East are "increasingly demonstrating an active attitude to halt terrorist financing." That leads to the following questions. In what way and with which Gulf countries is the dialogue currently taking place? What is the result of this active attitude of the Gulf States in the fight against terrorist financing? In this context, I would also like to know what concrete effects this dialogue has had to date. The SGP agrees with the Minister that the private sector can play an important role in identifying terrorist financing by oil trade. It is essential that the Financial Intelligence Unit-Netherlands is unfortunately called "Unfortunately" which has and keeps sufficient capacity to help banks at national and international level to identify transactions related to jihadist activities. My question to the Minister in this context is what possibilities he sees for further strengthening these alert mechanisms, so that appropriate measures can also be taken through the support of the private sector against those who help to finance criminal activities such as terrorism.
ParlaMint-NL_2016-03-03-tweedekamer-8.u10	This brings us to the end of the first term of office. There is a need for a short suspension.
ParlaMint-NL_2016-03-03-tweedekamer-8.u11	Madam President. I thank the Chamber for the first-term questions. I would also like to thank the PVV Group for requesting this debate. It has indeed taken a very long time, I believe fourteen or fifteen months, but of course I share the urgency and importance of this debate. I think that we have all been told that we have also been regularly discussed about the effective fight not only against ISIS, but actually all terrorists and terrorist organisations. We also need to consider, in this case for Qatar, whether the Netherlands is at its most effective in dealing with that problem. Let me say straight away that, given the fact that it was 15 months ago, I assume that the Chamber attaches importance to an update on this point. Because the Dutch government shared and shares the concerns of the Chamber, it has been very active on many fronts, both in its bilateral relationship with Qatar and in our international activities in the global coalition. The Chamber has received a report on this. These are specifically very concrete measures relating to suspicious transactions in the financial world and the way in which they are dealt with. I think that's the essence. The hardest thing is to find out about these flows, to know where they come from, then to work with the private sector on them and to get that sector to the table. That's the only way you can do that. It's complicated, but it has to be done. In the last letter I sent to the Chamber concerning the measures taken and being implemented, you can read more about this. However, this is mainly Qatar. I will start by replying to that and then make a few comments on the more general problem of lists of sanctions, which a number of groups have asked for. It has rightly been said that Qatar is a rich country. In fact, I believe it has the highest income per capita in the world, because of the immense gas and oil resources. The Chamber has indicated that the report issued by the Foundation for Defense of Democracies in 2014 has been an important guide to her in asking the questions. Before I get to the point of financing government versus private players I'm going to say something about the role of Qatar. This role has shifted and changed over the past fifteen months, also due to the international pressure of the coalition, including the Netherlands but also the United States. You will see that Qatar participates very actively in the coalition's efforts to counter the funding of ISIS. In addition to the substantial military and humanitarian contribution to the coalition, the coalition leaders have been based in Qatar since 2009. From there, all air strikes are planned. It is also the country where the chiefs of defense of the coalition have come together. The Global Counterterrorism Forum, of which the Netherlands was elected co-chair, is also held there. This does not mean that countries automatically do exactly what we want them to do, but it is politically important to point out that this has happened in the period since this debate was requested. The Financial Action Task Force, which is currently operating very effectively with the various transactions from mainly private sources, is indeed mostly concerned with..... is now also organized in Qatar. Qatar also coordinates this in the MENA region. Combating money laundering and financing terrorism is central to this. Qatar has also proved to be a very active player at the meeting on terrorist financing that we held here. I have, of course, taken note of the publication of the Foundation for Defense of Democracies, partly in response to the request made by the PVV Group and, in fact, by the Chamber. It is mainly about Qatar's alleged role in financing terrorist organisations. Several publications have been published in this field. I've looked at the report again. It relies mainly on media reports and sometimes difficult to verify reports from foreign intelligence services. I am not primarily concerned with Qatar's government, but also with other players. At any rate, the government does not currently have any indications that national authorities of the Gulf States are actively involved in the financing of ISIS. I don't say that for nothing. It's based on research. I've also involved our own intelligence services. As you know, Qatar strongly rejects all allegations. Given the importance we attach to this, I have spoken with Qatar at a high level. The Qatari Foreign Minister has also publicly stated that Qatar has no ties with ISIS or Al-Qaeda. This has been confirmed in talks with the Dutch Ambassador in Doha, who has also spoken openly with the Qatari Prime Minister. At my request, she also spoke with the Deputy Foreign Minister. Moreover, the Netherlands is one of the few countries, especially within the European Union, which engage in dialogue in Doha on contentious issues such as the financing of terrorism and the position of migrant workers. We will ensure that this is raised to the highest level. There are, of course, public statements that I think are important. The Qatari ambassador to Paris has, precisely because of that international pressure and the change in Qatar's role in the international coalition in recent years, reiterated that ISIS and Jabhat al-Nusra are terrorist organisations that are not supported by Qatar. The country itself was co-sponsor of Security Council Resolution 2253, which sees, among other things, the tightening up of measures to combat terrorist financing. Under pressure from the United States and European countries, as well as the international framework of standards we have established in the FATF, it is now a question of combating private funding. The main questions relate to this. We do not have any indication that the government is doing this, but proper monitoring of possible private funding is needed. This also applies in the Netherlands and elsewhere. Qatar has adopted new laws to this end and strengthened the supervision of financial transactions. I think that's a good thing. In particular, it is a question of monitoring charities in order to prevent them from being used as a cover. It is also about tackling networks and fund-raisers for financing foreign organisations, as well as effective implementation of UN sanctions and freezing. The institutional framework has also been strengthened with the establishment of Financial Intelligence Unit, a counter-terrorism committee in which the Central Bank of Qatar is also represented. On the most recent listings of Qatari citizens I'm talking about Al-Kaabi and Al-Kuwari uh, Qatar has taken immediate action. Suspects are grounded and their assets are frozen. Moreover, the Cabinet considers that Qatar can do even more to address the informal channels for private funding of terrorist organisations and prosecute those involved. So I share the concerns about this in the Chamber. I discussed this with the United States, which was also a relative critic in this area. Qatar has taken important steps and meets international standards, but much more can be done to implement them. I would like to draw attention to a number of important players, such as Mr Al-Nuaymi, a leading player who has been placed on the list by the US and the UN. In the meantime, Qatar has acted against him. The same applies to Al-Kawari, because action was taken immediately against him as well. His assets have been frozen and he's been placed under house arrest. The same applies to Mr Al-Kabi and Mr Al-Khawar. According to information from Qatar, the latter is now being prosecuted. It means that a significant strengthening and improvement has been achieved over the past period, on the basis of international cooperation but sometimes also on the basis of technical cooperation. It is, of course, not only a question of political will, but also of capacity and ability to monitor it properly. Qatar has therefore taken important steps. The freezing lists of the United Nations, the European Union and the United States are leading us. I would like to add that effective action is being taken against terrorist financing. This is partly due to the initiatives taken by the Chamber, the pressure from the United States and the European Union and to the changed geopolitical situation in Qatar, which is now part of the ISIS coalition, and the fact that terrorist organisations are also increasingly threatening the Gulf States themselves. The 12 persons mentioned in the report have been addressed. In addition, Qatar has committed itself to international standards against terrorist financing and makes an active contribution to the fight against ISIS.
