ParlaMint-NL_2016-12-06-eerstekamer-9.u1	I would like to welcome the Minister for Housing and National Service to the Upper House.
ParlaMint-NL_2016-12-06-eerstekamer-9.u2	Madam President. At the moment, the law recognises three categories of persons seeking housing who must have priority in assigning a social housing. We are talking about foreigners who have applied for a fixed-term residence permit in the Netherlands and as a result have received a residence permit, about house seekers who are staying in a temporary care facility and who have left their living quarters in connection with problems of relational nature or violence, and, last but not least, house seekers who provide and/or receive cloak care. This legislative proposal removes the statutory priority position of licence holders. As a result of this proposal, municipalities will be able to decide for themselves the position of licence holders vis-à-vis other property seekers after the adoption of this law. This can therefore vary from one municipality to another. Since the Netherlands is not a single sausage and the situation may vary from one region to another, the CDA Group considers this decentralisation of the designation power to be tailor-made in itself. And we're always custom-made. Following the introduction of this amendment, municipalities may choose to continue to appoint licence holders as an urgent group in the municipal housing regulation. If the municipality chooses not to include licence holders as an emergency category, the groups included in them will have priority over other house seekers. In other words, the legislative proposal before us is quite simple. However, the underlying problem remains that in some regions there are simply too few homes for too many house seekers. The measures taken by the Minister for temporary accommodation of licence holders will at best solve this problem only temporarily. Structurally, other measures are needed, also in view of the fact that the mandatory number of status holders to be housed per municipality continues to exist. Nor does it solve the problem that people in some regions are on a waiting list for a home for years. You'll only be the one who's been waiting so long; it doesn't cheer you up. We have often pointed out to this government that their strict and income-generating housing policy can also have a downside. The answer to the written questions shows, in terms of numbers, that there would be no problem with our housing stock. However, reality shows something else. We point to the response of our 32 major cities. Since these municipalities also have the largest housing assignment of licence holders, there is a major problem. This weekend, we read in the newspaper that corporations, according to the minister, would suffer from the "Dagobert Duck" complex. In short, they stay on their dime. The members of the CDA Group would like to hear whether this quote is correct. The members of the CDA Group stress that, in accordance with our Constitution, ensuring adequate housing is a task for the government. You can't expect everything from the market. It's about people who need a roof over their heads. In a civilized country like the Netherlands, that is the basic principle. More attention should be paid to people who are at risk of falling between shore and ship because they can either not get a house or the rents rise in such a way that they are unable or almost unable to pay them. It is precisely now that the economy is attracting that the housing market is still far from being in order. There are long waiting lists for social rentals due to the too high landlord's tax. There are far too few rental homes for people who are not eligible for social housing, the so-called middle segment. And still there are far too many people who, with their income, would no longer have the right to a social housing. To get the housing market moving again, it will be necessary to enable corporations to rebuild houses and stimulate the free rental market to build rentals for a rent between €700 and €900. If necessary, we need corporations to build houses if the market is to fail. In particular, sufficient rental and purchase accommodation should be available around the larger cities. The private market or investors can also help in this, but they should not be penalised for paying the landlord's tax. In other words: we need to build! In the eyes of the CDA group, pointing the finger at corporations should change in the search for the connection. One must become allies. We wholeheartedly support the call of the House Union, quite translated: stop bickering and do something! The members of the CDA Group would like to hear the response of our Minister for Housing and National Service.
ParlaMint-NL_2016-12-06-eerstekamer-9.u3	Mr. Chairman. Article 12, third paragraph, of the Housing Act 2014 stipulates that licence holders seeking accommodation for the first time in a municipality with a housing regulation should in any event be designated as an urgent seeker. The proposed draft law deletes this provision. According to the Cabinet, the housing of licence holders places a disproportionate pressure on the social housing system which requires regular house seekers to wait a very long time for an assigned home. The aim of the proposal is to remove a statutory priority position for licence holders. The proposal is without prejudice to the fact that municipalities retain a mandate as laid down in Article 28 of the Housing Act and that the Cabinet addresses them accordingly. The removal of the provision in Article 12, third paragraph, forces the municipalities, the cabinet believes, to be creative in addressing the housing of licence holders. The present proposal has led to extremely critical reactions outside the parliament. There was criticism from the Council of State, the VNG, the IPO and the G32, the largest municipalities in our country. The criticism is always the same: the cabinet does not solve any problem with this proposal and the cabinet does not help municipalities to solve a major and important social issue. First of all, it is good to find out why the priority article was introduced at the time, not only for this group but for all those who are actually homeless. People who have fled from a war zone to the Netherlands and have been recognised as status holders here after a strict procedure must learn our language as soon as possible and contribute to our society through work. They, and all of us, have a great interest in that. It prevents a lot of trouble. Adequate housing helps and saves costs. After all, reception in asylum-seekers' centres is expensive. Without a priority position, obtaining adequate housing in many municipalities is impossible. A status holder has no "points" and comes at the bottom of the waiting list, which makes the necessary integration more difficult and more difficult. At the same time, and that problem is very real, the arrival of newcomers on the emergency list puts bad blood on people who have been looking for an affordable home for a long time. The D66 Group therefore believes that the housing of status holders should not be at the expense of other vulnerable groups. There are currently at least 14,000 status holders on the waiting list for a home. In what way, apart from this bill, does the cabinet intend to solve this problem without at the expense of the current people on the waiting list? I will come back to what this bill contributes to this. Ultimately, there is only one solution: the influx of status holders into Dutch society must be accompanied by accompanying policies. Give people the opportunity to learn Dutch as soon as possible and prepare for the labour market and build good and cheap homes for all those who need it. What does this bill contribute to solving the housing and integration issues of status holders and others on the housing waiting lists? The D66 Group has not yet been able to find out. We have not received an answer in the preliminary report to our question as to what is the solution to this problem. The cabinet reiterates in its reply that municipalities can provide local customisation with this proposal and that this proposal encourages them to increase housing stock. I would ask the Minister to go into that further. Municipalities I call the G32... see this itself quite differently. In their view, this proposal does not support them at all in order to solve a major problem. In the House of Representatives, one of the government parties argued and the debate began by saying that the proposal could be accepted because it is merely symbolic legislation. I would like to hear from the cabinet how it relates to this accusation of symbolic politics by one of the government parties. Can the Minister explain to this House why he thinks, against all civil society organisations, that this is a necessary instrument to solve the problems that the municipalities are struggling with? What will the cabinet say will be the proceeds of this bill? To make it more concrete: how many people, according to the cabinet, can this proposal start their integration earlier, because their housing is regulated? How many waiting for the current waiting list will be housed earlier? The D66 Group likes to hear it from the cabinet. The current law lays down the principle of proportionality. It gives the municipalities the opportunity to work together with the housing cooperatives to offer those groups a home that most need it. Nor is the current proposal necessary for this. The point is that the number of houses needed is not available and the measures taken by the Cabinet so far have not led to sufficient solutions. In particular, these measures led to differences of opinion between the housing cooperatives and the cabinet, which will not be understood by the citizens concerned. Last week, too, there was a lot of talk about the black game between the Minister and the housing cooperatives. The Council of State is extremely critical of the proposed proposal. The Council of State even refers to Article 1 of the Constitution. Under the heading "equal treatment', the Council writes: "However, this results in a distinction being made between licence holders and regular house seekers as to the nature of the accommodation provided. This distinction is directly based on the residence permit of the person concerned and indirectly on the nationality of the holder of the authorisation. In fact, the category of licence holders is that it concerns only foreigners. (...) In this connection, the Section notes that an increase in a number of licence holders alone is not sufficient reason for unequal treatment between licence holders and others as regards the type of accommodation they are provided with." The cabinet does not share the criticism and considers that the present proposal does not distinguish between licence holders and regular house seekers. After all, the cabinet has added sober housing facilities to the housing stock and these are not only accessible to status holders but also to regular house seekers. The question is whether the cabinet does not refer to a paper and legal reality. I therefore also ask the Minister how many of the houses added to the administrative agreement have been realized and how many of them are inhabited by non-status holders. It is interesting, I believe, that the government's motivation for this proposal is in response to the Council of State. The Cabinet considers that the abolition of this statutory distinction is justified, given the large increase in the number of licence holders. In view of the social acceptance of the large group of licence holders, it is very important, according to the Cabinet, to prevent regular house seekers from engaging in social housing only after a very long period of time. Does the government not really indicate that it has not succeeded in achieving enough cheap rental homes for the citizens who are dependent on the social housing stock and that this problem has become more acute due to the influx of a number of asylum seekers who have become status holders? I would like to receive a response from the cabinet. In 2015, the Netherlands received asylum seekers who were driven out of their own country by war and misery. A large number of them were given a status after a strict procedure. It is in the general interest that these people quickly learn our language, receive education, become settled in and contribute to our society through work. The consequences of accepting these new citizens should, in the opinion of the D66 Group, be borne by society as a whole and not passed on to a group of Dutch people who are already struggling on the housing market or otherwise. Together with municipalities and housing cooperatives, we will have to face the housing consequences of this. It is therefore with great interest that the D66 Group looks forward to the Government's answers.
ParlaMint-NL_2016-12-06-eerstekamer-9.u4	Madam President. In Western Europe, and more particularly in the Netherlands, we live in a very privileged position when it comes to peace, security and prosperity. Of course you can happen to anything here, but in principle we can meet our own individual development as best we can. We believe that this situation of peace, security and prosperity also brings with it a divine responsibility to provide shelter for those who do not have it, who must save their lives. Justice means that we pursue a generous refugee policy and that the people who had to fear for their lives find a form of shelter. This has historically always been the role of the Netherlands. I'm talking about the 16th and 17th centuries. In this sense, this is in line with our best historical traditions. At the same time, there are thousands of house seekers who have sometimes been on a waiting list for years, who are now less easily arriving at a home. This proposal is not about the admission of refugees, but about the way in which we deal with housing in our country, among other things about the people who are pouring out the asylum-seekers' centres. The proposal is to end the legal tie-up when it comes to priority for licence holders over other priority categories and to indicate that there is only one thing that counts for the government: to meet the current targets in a qualitatively adequate way, leaving the way in which municipalities do so to themselves. For my group, the essence of this task is and must remain central. Furthermore, municipalities are strongly recommended to do so in the best way possible. Indeed, there is not a single model for this, which can be done in a way as indicated in the administrative agreement, for example through the Temporary Scheme to promote housing authorisation holders, or in other ways. If they meet the requirements for quality housing, municipalities can decide for themselves. The motive for this bill is that the waiting times for regular house seekers become so long. This is not easy to understand, according to the explanatory statement, because it would allow the acceptance of licence holders to evaporate if there were at least other possibilities for them. That is not what this proposal is about. Can this proposal be expected to provide an incentive which will have a positive effect on methods of housing other than just being on the priority list for social housing? Moreover, there is no obstacle to maintaining the priority position of the municipalities themselves. If a city in the housing regulation wants to keep this category as a priority, like the legally required categories, then so be it. All that matters is that the government no longer prescribes that. The Minister expects that this will provide an incentive to increase the numbers. In this context, I have the same question as Mr Pijlman. I too was surprised by the wording of Mr De Vries of the Socialist Group on the other side of the House on symbol legislation. We do not need this, nor did we need it in the explanatory memorandum to this bill. We therefore assume that what the Minister says is true and that this legislative proposal can be expected to be effective. But can he explain why a coalition colleague who indicated that he was only involved in this bill because it was agreed, calls it symbol legislation? This is important for us to take ourselves seriously. Indeed, it would be very strange for a coalition party to speak rightly about symbol legislation, and here we are following the legislative proposal on the assumption that the argument contained in the explanatory statement is correct. Can the Minister be more specific about the expected impact of the law? Can he show that changing the law by removing the mandatory category actually encourages the municipalities? After all, our aim is that, as I see it, 15,000 licence holders in asylum seekers' centres should be housed in a regular manner as soon as possible. Only then can their integration into society be achieved. In this respect, my group is somewhat surprised by the attitude of the members of the G32, who show in a special way that they prefer less than more freedom of policy. I just indicated that nothing forbids the municipalities to maintain that preference in their own regulation. The minister gives municipalities the freedom, but they are now begging us not to leave them that possibility. My answer would be: at the head of a municipality is the council, not the First Chamber or the legislator. B and W can, if they want to, agree with that council that they will do what they want, namely maintain that priority position. I'm surprised by that letter. Does the Minister still want to reflect on that? I have another question about the other categories that remain in the Housing Act. You can perhaps say for as much reason as the Minister now indicates that positive effects are expected from the deletion of this category of licence holders, that those other categories, namely those in stay-of-my homes and caregivers, are also better off if they go out of the law. Municipalities will then feel more responsibility and solve the problems themselves. Can the Minister answer that? In that case, we are in the process of deregulation. That's wonderful, because less rules and more effect everyone wants. The flow of refugees is less than before, but this does not mean that all solutions are available. I am not necessarily saying that refugee policy is improving. This is not so much a criticism of the Netherlands as of the general international situation. I think that, as a European society, we have a huge problem with the great moral issue of refugees. This does not mean that we have to stand in the way of some kind of framing or fixation in taking the most appropriate measures to achieve that central word 'justice'. I will inform the government that if justice is served by this bill, we will support it. If not, it will be difficult for us to support it. I am happy to await the Minister's answers.
ParlaMint-NL_2016-12-06-eerstekamer-9.u5	Mr. Chairman. The amendment of the Housing Act 2014 which changes the position of licence holders in the allocation of housing leads to little joy. Apart from that, the bill does not solve the shortage of available homes, not for status holders and not for other people in the Netherlands who are looking for an affordable rental house. But it can lead to stigmatisation of an already vulnerable group. Under the Rutte I and II Cabinets, the share of cheap and affordable rentals in the housing stock has decreased significantly. This is not a natural phenomenon, but the result of conscious liberalisation policy and the gradual increase in the landlord levy. Liberalisation leads to the transfer of better housing from the social sector to market players, making them more expensive in practice. The landlord levy leads corporations to make money from their assets through a combination of sales and higher rents. The result for house seekers can be guessed: especially in the big cities people are eight to ten years on the waiting list for an affordable home and the number of people who live too expensive for their income has overtaken the number of people who live too cheaply during this cabinet period. Scheefwoningen has become more and more expensive living. The structural imbalance in the housing market is a result of deliberate liberalisation by the Rutte/Asscher cabinet. The influx of asylum seekers and the granting of refugee status is only marginal in this policy. And what does the Cabinet do? It amends the law so that status holders, about the most vulnerable group in the housing market, no longer need to be considered as urgent property seekers. It is as if we are at the station in the winter and say to the people waiting on the train: we have not enough space and anyone wearing only a summer coat can no longer buy a ticket from us; try it at the municipality. It is not for nothing that many organisations involved are seriously questioning this bill. VNG and IPO do not see any added value and do not consider the bill appropriate or desirable. The G32 calls the cabinet argument of the large influx of asylum seekers a deception and the legislative proposal itself totally superfluous and undesirable. In the debate in the Lower House, coalition party PvdA called the bill stupid. The dome of housing corporations Aedes thinks the proposal is unwise. The Verwey-Jonker Institute argues, on the basis of research at twenty large municipalities, to maintain the awareness of urgency for house-seeking licence holders. The Verwey-Jonker Institute requires specific attention for minors and for the consolidation of existing measures. They are not the words of my group, I am just quoting from what comes from the social field of qualifications. For the GroenLinks group, the impact on the housing market for licence holders is heavy. For the time being, those in the housing market seem to be nil. For status holders, the effects are only negative, in position and in imaging. The Group of the Greens/European Free Alliance does not see anything about the designation of one specific group in society whose urgency is reduced as a seeker of residence, especially if it is a group vulnerable to its recent arrival in the country. The influx of refugees is not the cause of the rising shortage of affordable housing in cities in particular. We have just argued that this has other causes. With this legislation, the cabinet seems implicitly to blame a group of people with a difficult starting position and hardly a social safety net in Dutch society. We find this politically undesirable, and there is a risk that a vulnerable group will be wrongly identified as the cause of a problem, without a solution being proposed. We're not in on that. From the role of the First Chamber, my group also looks at the constitutional side of the law. And then, too, there are considerable reservations. In its opinion, the Council of State is highly critical of the government's motivation to move away from the equal treatment of different groups of urgent housing seekers. Like my group, the Council of State sees great tension with the principle of equality as laid down in the Constitution and in the ECHR. Now fundamental rights are never absolute and there can be serious reasons and legitimate considerations to depart from a fundamental right as the principle of equality. Then there must be a sufficient and irrefutable motivation underneath. My group has not yet found it. This is all the more important because interested parties see no effect of the law in shortening waiting lists and helping people with an urgent need for affordable housing. We therefore ask the Minister once again to state clearly the motivation behind the departure from the principle of equality. The Human Rights College points out that the legislative proposal is based on the Refugee Convention and Article 32 of the EU Qualifications Directive. It requires Member States to make efforts to ensure equal opportunities for refugees in terms of access to housing. Paragraph 2 states that "Member States shall endeavour, without prejudice to the scope left for the national distribution of beneficiaries of international protection, to pursue a policy aimed at preventing discrimination against beneficiaries of international protection and providing them with equal opportunities in terms of access to housing." We ask the Minister how the bill relates to this anti-discrimination clause. This bill seems to be motivated by the suggestion that refugees receive preferential treatment. My group has a different view of this. Recognized refugees do not treat them as an urgent home seeker but put them on a normal waiting list, does not lead to equal treatment with other house seekers. Status holders are in a different position than people who have always lived here. They don't have roots and networks yet. They can't fall back on anyone and do need immediate housing. In fact, the longer it takes, the longer the Empire has to take care of the shelter, the more the central reception will be under pressure. And the more waiting times increase, the worse this is for the integration of licence holders, because it really starts with the establishment in a municipality, where language and labour market leadership can be started. And what are the consequences for family reunification? Refugees should apply for family reunification within three months of granting status, precisely because a rapid deadline would promote integration. However, this only makes sense if a house is also available to the family. Who's gonna take responsibility for that? I'd like a response from the Minister. With this bill, the cabinet is moving away from a long history in which the Empire actively engaged in helping to distribute constantly changing groups of migrants responsibly across the country over the years. The fraction of the Christian Union began in 1600. I start a little later, namely shortly after the Second World War: from Indian Dutch to Moluccans, later Surinamese and now refugees with a status. Housing of new groups of people in society has also led to resistance in the past. That is why it was and is important that the Empire should also assume its responsibilities and that municipalities and housing seekers with a foreign background should not be left alone. With this law, there is now a change of heart. Symbol legislation is the understanding that we have come across the most in the opinions on this law. We think that is too understated. The signal the cabinet sends to status holders is negative. The signal to society that we are solving a problem with this is meaningless. The signal to municipalities is: solve it yourself. In this way, the government takes steps back into the reception and integration of refugees who have been granted a recognised status. That is something we do not want to support.
ParlaMint-NL_2016-12-06-eerstekamer-9.u6	Mr. Chairman. We see a huge migration with large numbers of refugees in Europe. Our receiving system beeps and creaks. The Netherlands is doing this well. My group very much appreciates this for all volunteers, municipalities, the COA and refugee organisations; for everyone who helps. Yet there are always new problems. One of them we are discussing today: the legal automatic priority for licence holders. The problem with this priority is twofold. It does not invite us to look for alternatives and is not conducive to support for reception in general. That is precisely what is needed. It is therefore proposed to remove the legal automatic priority and to leave priority to the municipalities. My group believes that this is a good proposal. It has been criticised from several quarters, briefly in six points: the proposal impedes outflow; priority is indispensable for achieving the target; We need to build more; it is symbol legislation; it leads to exclusion; financial support is insufficient. That's a big deal. That is why I would like to say something about it. First of all, it hinders the outflow. Authorisation holders are entitled to housing, health care, education and work. This promotes their integration. My group supports this. However, regular house seekers also have interests. These interests are not weighed up in the current law. They're rejected unseen and categorial. It's hard to accept, and it doesn't make it any bigger. Secondly, priority must be given to achieving the target.
ParlaMint-NL_2016-12-06-eerstekamer-9.u7	I would like to ask Mr Schouwenaar what he actually expects of this bill when it comes to the position of people on the waiting list.
ParlaMint-NL_2016-12-06-eerstekamer-9.u8	Does Mr. Pijlman mean the people on the regular waiting lists?
ParlaMint-NL_2016-12-06-eerstekamer-9.u9	Yeah, sure.
ParlaMint-NL_2016-12-06-eerstekamer-9.u10	We expect increased building effort to create more living space to meet the target, but also to create more living space for house seekers who are on the regular waiting lists. It should be stressed that the temporary subsidy scheme, other housing schemes, or municipal acceleration arrangements, are not only for status holders but also for people who have been on the waiting list for a long time.
ParlaMint-NL_2016-12-06-eerstekamer-9.u11	That's true, but that temporary arrangement is already there. Nevertheless, Mr Schouwenaar expects that the bill we are talking about today will lead to more building. I'd really like him to point that out again.
