ParlaMint-NL_2016-02-09-tweedekamer-29.u1	I see Mrs Leijten at the interrupting microphone.
ParlaMint-NL_2016-02-09-tweedekamer-29.u2	Mr. Chairman. I have a request to make to you and to colleagues. In the first period, it was a difficult point, on which the VVD and the Labour Party disagreed. Now I hear that this is the case and that an amendment to the law has been tabled by these two parties. I haven't been able to read this yet. I think it is really important, even for my second-term speech, to be able to take a look at it. So my question is whether we can read for ten minutes so that we can see exactly what is in it.
ParlaMint-NL_2016-02-09-tweedekamer-29.u3	I see everyone nodding and I see that this is acceptable. Is it enough if I suspend the meeting until 8:05? Or 8:10?
ParlaMint-NL_2016-02-09-tweedekamer-29.u4	If we get it now, 8:05 is fine, but I don't know how long it'll take us to get it.
ParlaMint-NL_2016-02-09-tweedekamer-29.u5	Let us suspend until 20.10 a.m. in order to be sure.
ParlaMint-NL_2016-02-09-tweedekamer-29.u6	We have now reached the second term. I give the floor to Mrs Leijten on behalf of the SP Group.
ParlaMint-NL_2016-02-09-tweedekamer-29.u7	Mr. Chairman. If anything became clear in the first term of this debate, it is that everyone, at least everyone except the VVD and the Secretary of State, really wants to anchor the pgb well. Everyone, except the VVD and the State Secretary, considers it essential that uniform admission criteria be established by law or by General Measure of Governance, so that there are no differences between health insurers and the requirements they impose on people who receive a personalised budget. I might have expected it from the VVD, but I find it a little strange that the Secretary of State does not choose the budget holders. The Secretary of State isn't Secretary of Health Insurance, is he? Let us take a look at what we are talking about here. Health insurers together have 13.6 million insured. Of them 400,000 people receive neighbourhood nurse care and of that group about 30,000 people have neighbourhood nurse care via a pgb; then I took it very widely, because it is actually 27,000. So we are talking about just over 0.2% of those insured with a pgb. The question of whether or not they are admitted to the pgb according to uniform admission criteria was ultimately the whole first time. The Secretary of State hid behind agreements and agreements. According to him we'll figure it out, someday, probably; trust me! But this Secretary of State forgets something very essential, namely the completely different positions of power in which a budget holder and a health insurance company find themselves. A health insurance company can really wait endlessly, and a procedure, when it is initiated to get a pgb, endless stretching. That time a budget holder doesn't have. He needs his care. He can't wait. Nevertheless, the Secretary of State says that we can work it out together. He does not want to bow down to a large majority in this Chamber, and he advises against all the amendments aimed at ensuring that health insurance companies do not try to keep budget holders out of the door as much as possible and put them off to their competitors. I would like to ask what he is going to do if the majority of the House decides that uniform admission criteria will be established, but five minutes before the debate, like a bum out of a box, the VVD has the Labour Party back in the booth. I congratulate Mr Potters from this position. He did it. He was delayed for two weeks because there were too many amendments. Last week we did not complete the treatment. In the meantime, he has used it to put Mr Van Dijk of the Labour Party under such pressure that it is now off the table. The majority is gone, fetish. Where I started by saying that there was a clear majority except for the VVD and the Secretary of State, the PvdA unfortunately joined the latter. For what is in an amendment that makes all the other amendments from almost all the groups in this Chamber superfluous? Those other amendments will not be adopted, since 76 seats in this Chamber now decide otherwise. That amendment states that it is possible to set uniform criteria in the future if it proves necessary. Last week's whole debate was about us finding it necessary. By which way we would arrange this, we would see. One wanted to regulate it in the law, the other with General Measure of Management. We would have figured that out. Now, however, it is said: only when the monitor shows that it is necessary. To all those who have now applied for a pgb and who have been put in the cold by the health insurance companies, it is said: we do not listen to your experiences; we will first set up a whole monitor. In the report on that monitor, we can read, in Van Rijnian language, that it is not all that bad, or that it has not yet been sufficiently investigated and we are going to investigate it again. By the time it turns out it's really necessary, there's already a new cabinet and it's completely off the table. So we are now having a mock debate on the anchoring of the pgb in the Health Insurance Act. I had prepared a very nice text, but I am a bit perplexed by this. I thought, "Now let's see the room's teeth." I thought, "Now let's show that we're sticking up for people in the Chamber." I thought: now let us show that we in the Chamber see that policy is working out badly and that we are adjusting it. Yet we are standing here again empty-handed, because it is clear that the Labour Party would like to stretch it for a while. I have to say, they don't do that at the PvdA because they want to. I don't see it that way. This is what they do at the PvdA because the VVD has blocked them. However, I would like to pass on the amendments I have tabled, i.e. the proposals for amending the legislative proposal. In my amendment to item No. 39 it is proposed that health insurers cannot deduct the own risk of a person's pgb that is open to buying care. On this point, the Secretary of State hides behind the Civil Code but actually refuses to see what inequality he creates with it, and what this entails for pgb-holders. In fact, of course, we have to get rid of our own risk at all. But it's weird that you don't have your own risk for community care, but that a health care provider can deduct an insured person's own risk from the pgb. I call on the House to simply support and adopt this amendment. In the amendment to item No. 28 provides that conditions are to be laid down for all health insurers to comply with. That is at the heart of this debate. I've already talked about that. There was a majority in the Chamber who shared the position of the SP on this issue. We have put forward several proposals. However, we can now see that, unfortunately, these proposals will not reach the finish line. In the amendment to item No. 29 states that there should be a basic rate so that budget holders are given sufficient budget to buy in the necessary care. I do not want to wait until things go wrong; I think we can now arrange for this to be just guaranteed. In the amendment to item No. 36 states that all health insurance companies are required to conduct a conscious choice interview with people applying for a pgb. During that conversation it can be made clear what rights and obligations there are attached to the pgb. That conversation is also intended to assess whether a pgb is appropriate. Such a call brings benefits for both the health insurance provider and the budget holder. The evaluation of the conduct of conscious choice interviews is positive. So you should not only have such a conversation with people if you suspect that the situation is not suitable for the pgb, but you should have such a conversation with anyone who applies for a pgb. This is an effort obligation for health insurers. So this should not be left optional, which means that one is going to have such conversations and the other is not. Everyone just has to do this. I think that would really strengthen the position of the pgb. On some of the points that I raised in the first term, I have heard the Secretary of State fail to respond, and I am dissatisfied with answers to questions about this. I would like to make further motions on this matter. Those points are about planned care, mediation agencies and securing evidence if there are suspicions of fraud. Going to the bathroom is not a planned concern, said the Secretary of State last week. Helping with respiratory support is not a planned concern either. However, health insurance companies use this to determine whether people are eligible for a pgb. Because you can plan when you go to the toilet, you are not eligible for a personal budget if you need help for that. Last week I asked the Secretary of State if he would ask the directors of the health insurance companies to go to the toilet for a week. He didn't respond to that. However, I am serious about this. It's crazy that they're suggesting this. This shows how great the power they have and can use. It is undesirable to assess whether a pgb is appropriate on the basis of this type of care. It is debatable and undesirable that a health insurance company should intervene so far and so substantially in life and the possibilities for self-determination. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that health insurers reject a pgb when the care that someone needs can be referred to as "planable care";]] [[Whereas the "planable care" criterion leads to very painful differences of interpretation;]] [[calls on the Government to stop applying the criterion of "planable care" when granting or rejecting a pgb,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Leijten. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34233-42]]
ParlaMint-NL_2016-02-09-tweedekamer-29.u8	Last week, I went through a number of cases that undermine the support for pgb, including the tariffs applied by pgb mediation agencies. They're actually getting rich from both sides. To the budget holder looking for caregivers, they say, "You can pay me." Then they say to the health care provider who is looking for clients: pay me too. And that is what they are asking only for the establishment of conciliation. Sometimes it goes up to 20% to 25%. In May last year, ZZP Netherlands made a call about this, I have already put in a series of parliamentary questions about it, I haven't got any further with this Secretary of State and therefore I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that pgb mediation agencies make a great deal of money by mediating budget holders with self-employed people without staff;]] [[noting that no maximum or fixed rate has been set for such mediation activities;]] [[considers that percentages that both health care providers and budget holders have to pay are at the expense of pgb funds intended for care;]] [[calls on the Government to fix a maximum percentage that may be requested for mediation,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Leijten. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34233-43]]
ParlaMint-NL_2016-02-09-tweedekamer-29.u9	We often talk in this Chamber about tackling care fraud. Last week, I proposed that a health insurance company should be able to report it when it suspects fraud in an institution, thereby securing evidence. That's something other than a hotline. That's a different way of doing things. I do not have the idea that the Secretary of State has understood me and wants to change the practice in this way, so that's why I'm putting it before the Chamber. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the health insurer himself has no investigative power if he has information or suspicions of fraud with a pgb and cannot secure evidence;]] [[Considers that, in the event of suspected fraud, the health insurance provider should report this to an investigative body so that it can take possession of any evidence as soon as possible;]] [[calls on the Government to make this procedure possible,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Leijten. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34233-44]]
ParlaMint-NL_2016-02-09-tweedekamer-29.u10	Mr. Chairman. Last week, the CDA discussed the anchoring of the personal budget in the Health Insurance Act with the Secretary of State. The CDA is in favour of a legal commitment, but the CDA also wants clear access criteria. The CDA also wants to improve the flexibility of the personalised budget in the Health Insurance Act. Now it seems that health insurers are putting too much care under planned care. So people don't get a personal budget. Last week it appeared that the entire House of Representatives, with the exception of the VVD, argued for better legal access criteria. The solution is quite simple: the access criteria set out in the Long-Term Care Act are also included in the Health Insurance Act. It is disappointing that the Secretary of State was deaf for all these arguments. He has the effects of the law monitored, he waits for the results of the past year, he doesn't see the added value yet, he doesn't think it fits the Health Insurance Act, he prefers to stick to the administrative arrangements, but he also thinks that people should have good access to the personal budget. But if the Secretary of State feels that people should have good access to the personal budget, why doesn't the Secretary of State choose to give people with a personal budget greater legal certainty? Why doesn't he lay down clear access criteria in the law? The aim is that every budget holder has the same rights with every health insurance provider. Of course, there is a duty to be careful and legitimate in dealing with this personalized budget. The CDA finds it striking that there was so little room for a real debate with the Secretary of State. Why was the Secretary of State not open to the conviction of the majority of the House of Representatives? I shall make a few comments on this in the light of the last amendment we have received. The CDA has tabled an amendment on guaranteed aid. This means not only that family members, but also relatives in the area can apply for a personalised budget. This is necessary if someone is no longer able to apply for and manage the personalised budget. Of course, it is important that the neighbors in the environment are reliable, but the benefit of guaranteed help is that you do not have to go to court to get permission to do so. The Secretary of State also said last week: I like it, but I think it is too early to lay it down in the law. It is his intention to wait until it is monitored, until problems have arisen in practice, until they have to be repaired. The CDA prefers to catch problems in advance. I would like to receive a response from the Secretary of State on this point. The planning of care has been the subject of a wide exchange of views. Several parties have pointed out that some health insurers also consider toilet hallway to be planable. There's no way that's gonna work at the CDA. The Secretary of State refers again to the administrative arrangements. They have been around for a year now, but just over the past year they show that these agreements have not worked very well, because with planning it has really gotten messy. The CDA would like more action on this. The CDA therefore supports Mrs Bergkamp's motion and the amendment tabled by Mr Van der Staaij and Mrs Voortman. My colleague, Mona Keijzer, has often been working for better intensive child care in recent times. The Secretary of State has said that he also wants to solve the problems with intensive child care. For this purpose, the set think tank must become a "doo tank." These are the words of the Secretary of State. This discussion has been going on for over a year now. The CDA really thinks it's time to come up with solutions quickly. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Secretary of State has created a think tank for intensive child care;]] [[noting that care for intensive children is complex;]] [[Whereas, in addition to various practical issues, parents are also confronted with different legal regimes;]] [[Whereas it is very important to organise and support the integration and cooperation of these children between legal regimes on practical issues;]] [[calls on the government to inform the House of Representatives of the summer recess on the concrete solutions that have been devised for the care of intensive children,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Bruins Slot, Mr Bergkamp and Mr Dik-Faber. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34233-45]]
ParlaMint-NL_2016-02-09-tweedekamer-29.u11	Actually, this motion doesn't have to be necessary if the Secretary of State says he's gonna do this. We have just received an amendment from the PvdA and the VVD. That is a disappointing amendment, I must say to Mr Otwin van Dijk. He had tabled an amendment with Mrs Voortman, which was so much better, that we could so much better regulate the rights of people with a personal budget. I see that Mr Potters has had good coffee, but it is a sneak broth of what was lying there. I'll be very honest with you about that. I also see a considerable gap in this amendment. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[I would like to make a few comments on this point. 41 (34233) may be required by or under AMvB on the conditions imposed on the insured person or his representative in order to qualify for a social security scheme;]] [[calls on the Government, also in this AMvB, to ensure that health insurers are not allowed to impose additional requirements in their model agreement,]] [[and goes to the order of the day.]] [[This motion was proposed by Mr Bruins Slot, Mr Leijten, Mr Voortman, Mr Dik-Faber, Mr Van der Staaij, Mr Agema and Mr Bergkamp.]] [[She's getting No. kst-34233-47]]
