ParlaMint-NL_2016-11-30-tweedekamer-9.u1	I would like to welcome the Minister and the Secretary of State for Security and Justice.
ParlaMint-NL_2016-11-30-tweedekamer-9.u2	Mr. Chairman. My 3-year-old boy makes a building once in a while. If something goes wrong or if it doesn't go exactly the way he wants it to, he'll beat up the whole tower, because then he'll be angry. As a father you say: you don't always get what you want; beating up your whole building doesn't really help because then you have nothing at all. I had to think about this when I saw the Minister working with the Organization Law Supreme Administrative Court. He was almost there, but then the Chamber adopted amendments. So it didn't go exactly the way the minister wanted it to. Then the Minister withdrew the whole law. Anything for nothing. The legislative capacity, the unrest in the colleges and the judges and we are back to square one. So the minister threw in his own structure. My son is 3, but this minister isn't. It may be assumed that the Minister is wiser and also has more respect for democratic decision-making in the Lower House. The project's administrative jurisdiction has thus failed. I come to the formation of the national police force, also a structure that really is not yet in place. However, there was more that did not go well in recent times. I refer, for example, to the case law, which is under pressure. The organisation of legal aid in the ZSM method of operation has not been successful. Improving access to justice has also failed. Huge cuts on this have even had to stop the Chamber. I would also mention the major cuts in the Public Prosecutor's Office and the Dutch Forensic Institute and the quality of the autopsy not to miss crimes. Two years ago, the SP called for a lot of attention from this place. Nothing has been done about that in the interim. The clearing rate is still around 25. So that's way too low. The number of convicts out there is far too high. My first question to this VVD Minister is: how did you actually feel about it? And we had stuff, a lot of stuff. I mention: the ticketing affair, the drug-criminal deal Cees H., the unjustly through the mire of MH17 professor Maat, the photograph of Volkert van der G. and the debates about terrorist attacks where the information always didn't come to the right place. There have been periods where literally no week went by or there was trouble again. How does the Minister himself look at this? What did all this do to the confidence? The evaluation of six years of VVD at the Ministry of Security and Justice is therefore not good for the VVD. The VVD has badly ensured the rule of law. The VVD hasn't handled our country's security properly. The VVD has not done a good job of trusting the Ministry of Security and Justice and the VVD leaves a risky budget with gaps in it. The latter confirms the General Court of Auditors. The budget is therefore risky. Mistakes can be expected, including from national police and justice. Their own funds have been exhausted in recent years. Why does the Minister do that? How big are these budgetary risks? Why is this minister now presenting new austerity plans, dubious austerity plans? I refer to the payment of a levy by people who are under curate. Yes, millions have become available to do important things, but that extra money is not extra money; less money goes off. It's a bit like you've dug a far too deep pit and expect a pat on the back when you discard a few shovels of sand. The fact that the Minister is good at collapsing his own structures can also be seen in the construction of the national police. The only foundation of this building that still stands like a house is the staff themselves. The plan, which was essentially good, turns out to have been implemented disastrously. Do you remember the promises of the national police? They were: less bureaucracy, more service, better ICT and more agents in the neighbourhood and on the street. Ask a random cop about it. It will indicate that none of these promises have come to fruition. And do you remember the VVD's election vows in 2012? "There's no need to cut back on safety." Promise broken. Another one: "Blue belongs on the street, not behind a desk." Yeah, the VVD does put cops out on the street, just a little too literal. She shuts down 200 police stations and removes 2,500 agents. I don't understand. There are still too few district agents at the moment. The neighborhood agents who are there are still busy with other tasks, while the police should maintain their information position in the neighbourhoods, especially in view of the terrorist threat. This is where the cabinet really fails. Does the Minister recognize that? In order to make it even more difficult for officers to be in their neighbourhoods, the cabinet also closes half of all police stations. Blue is getting more and more out of the neighborhoods. It's often impossible to report them in the neighborhood. Cops themselves say they're losing contact with the neighborhoods. This while accessibility is really essential. It also creates even more dangerous situations for citizens and police personnel themselves, as driving times become longer. Now we hear that the Minister also wants to cut mobility. How much more is going to be saved on mobility? What does this mean for the police fleet? ICT is still not in order in the police. People still have to work with computers from the Flintstone era. The servers are now in need of thorough maintenance. The base is actually a gang. Turning off a video on a desk is just an impossible task. Can the Minister indicate how and when he's going to solve this? Cops are in the front line day in, day out, but they're not trained enough. The initial knowledge of cops is still insufficient. There's a lot of late maintenance. But the cuts in police education are also significant. What's the Minister gonna do to fix this? Fortunately, pressure from the entire opposition got money for the police. The police can keep the store open now. But for everything I just mentioned, there's no money. Innovation to keep up with the bad guys? No money. The reserves of the national police have been drastically reduced and so setbacks can no longer be met. With this, the Minister takes a risk, including financially. Why does the Minister do that? What if the police are going to function properly and start running at full speed? Then the follow-up to the criminal justice chain is not well prepared for this, because the Public Prosecutor's Office has also been severely cut back in recent years. We're asking more and more of them, but we're giving them less and less budget. That's unwise, if you want to catch more rather than less crooks, as the SP wants. I never understood why the Dutch Forensic Institute, the Dutch CSI, had to be cut so hard, especially because there is more and more technically possible. Isn't cutting the NFI so much contrary to the development that there is more and more possible? The cuts on the NFI forced 75 people to leave. Now we need to recruit and train staff again. What a capital destruction! In some cases doubts arise later. A suicide wasn't a felony, was it? The SP believes that the possibilities for next of kin to have the file examined should be extended, in the interests of truth finding and mourning. I would like to receive a response from the Minister, because I am considering tabling a motion on this matter in the second term. The funding of justice is too tight. Since the VVD delivered the executives for Security and Justice in 2010, fewer cases have been pre-financed than is the result of the agreements. Own funds are now zero, while we know that additional costs are to be expected. The question is particularly important: what does all this do with the quality of justice, the production pressure in the courts and the workload in the courts? Can they still take the time needed for good justice? That's what people in court can expect. I'd like to get a reaction to this. Is there any financial room for future justice? We are talking about socially effective case law that matters, such as the judge of the office and the judge of the administration in the case of divorces. I also like to get a reaction to this. The SP proposes to have a separate discussion about justice, our third state power in the trias politicians. For this reason, the SP has submitted an initiative legislative proposal which separates the budget from the Ministry's budget. The case law is not an implementing organisation. A separate budget is more appropriate to the independent position of the judiciary. Judicial errors are a disaster for the rule of law. Professor Ton Derksen published a book last week concluding that there are many more innocent people in prison than we think so far. The SP thinks we should take this very seriously. In any case, we must make it easier than we are now to recover unjustified convictions. The thresholds are now too high. Firstly, why is the criterion for revision that it should be a novel? Serious doubt about the conviction should be enough to reopen a closed criminal case. Secondly, the SP proposes that a fund be set up to investigate questionable convictions. Money must never be a reason for one person to remain in prison innocently and not the other. Thirdly, a review of judicial error should not take years. It must be subject to deadlines. I would like a response from the Minister to these proposals. Does the Minister share the view that we should minimise the risk of innocent people being detained and real perpetrators remaining free? Access to justice is not a good thing. In the earlier notes Right to justice, the SP argues for lower own contributions and wider income limits for subsidised legal aid. Another important point that also affects small and medium-sized enterprises is that having the right at your side and getting your right are still two different things. For an unpaid claim of €501, an entrepreneur must pay €471 to the Registry. Of course you can't. Paybacks are so rewarded, and that's a bad thing. The SP calls on the Minister to make an additional contribution to this type of claim in the interests of SMEs. After the destruction plan for the prison system there is a huge sword of Damocles over the prison system of even more destruction and even more closures. What is the situation with regard to the implementation of the Kooiman motion adopted (24587, nr. 666), which requires that prisons should not be closed down or partially closed down? We hear sounds that prisons are still being dismantled halfway. I'd like to get a response from the Secretary of State. Due to the demolition policy of this cabinet, there is now a shortage of operational capacity in the prison system. As a solution, security guards are being hired who have never worked with prisoners or seen a prison inside, or are being asked to put more people in one cell. This creates dangerous situations for staff and prisoners. Will the Secretary of State stop taking these bad half measures? When does he come up with a structural solution? What the SP is happy about, of course, is that there seems to be a majority now for regulating the back door of the coffeeshops. Indeed, the majority of the VVD party congress voted in favour of it. That's very good. How does the Minister see that smart regulation? Back to the budget. A great deal is being cut back, such as important subsidies for prevention and hotlines, so that criminals can be caught and victims prevented, and alternatives to traditional judicial proceedings. So the Minister is really scraping a lot, because he doesn't think there is any money for it at the moment, knowing that it will cost more in the long term and will cause more social damage than you are now cutting back. Turn this back. I think this short-term policy is making you miserable. The SP isn't in on this. That is why we have tabled a number of amendments. The SP proposes to continue funding the Foundation's Consumer Disputes Committees, because we believe it is important that consumers can achieve their rights in an accessible and cheap way. We want the Dutch Association for Justice (NVvR) as a critical counterpower of the Ministry not to be weakened, as the Minister wishes, and to continue to give critical advice on legislation. The SP wants to invest more in the Children's Porn Contact Point, because we think it is important that this hotline can track the dramatic increase in reports about child pornography material. With a contribution to sect signal trust, the SP aims to ensure that Sect signal can continue the important work for victims of wrongdoing within sects. The continuation of important work also applies to the UN Special Rapporteur, who ensures that child trafficking, child prostitution and child pornography can be better dealt with. Mr Kooiman and I have put forward proposals on all these important issues. In addition, we have also submitted proposals to ensure that the Communication Point Discrimination Internet is maintained, the subsidy for the Centre for Crime Prevention and Security is maintained and mediation in criminal law continues to exist. We have co-signed these amendments by colleagues Marcouch, Tellegen and Recourt. This was the last time we had budgetary treatment with VVD executives at the Ministry of V and J; really the last time. I say that not only because elections are coming, but also because the Ministry of V and J needs to be split up. This ministry, in this form, with this name ceases to exist, as far as we are concerned. At least I don't want to see the VVD back in this ministry. It's been long enough.
ParlaMint-NL_2016-11-30-tweedekamer-9.u3	Mr. Chairman. You might think that, after so much justified criticism, there is now a very positive story, but unfortunately, that is not the case. I too will ask many critical questions to the cabinet about asylum, the fight against fraud and privacy, although there is certainly a compliment hidden somewhere. Lebanon has been catching more than one and a half million refugees for years. One and a half million refugees! A quarter of the population is refugees there. Kenya has been home to hundreds of thousands of people in the largest refugee camp in the world, Dadaab. Other countries in conflict regions, such as Ethiopia, where members of the Security and Justice Commission were recently, Rwanda and Turkey, are catching massive flows of refugees, both structuralally and occasionally, as well and as badly as possible. Countries such as Lebanon and Kenya look at Europe and see that fortress Europe is closing down ever further. Europe is scared and angry and lets others do the job: as long as fewer refugees come to Europe. Unfortunately, that is also the cynical aim of this cabinet: less, less, less refugees. That's what the Rutte cabinet wants to do. For an important part, the cabinet also succeeds, according to recent figures. Tell me honestly: there is also little to expect resistance from people who are trapped far away in tent camps or, worse, have to survive on the streets. The Turkey deal works in the sense that Europe needs less refugees. Turkey is shooting at Syrians trying to cross the border. Greece has become an open-air prison, where more than 60,000 refugees are unable to move. The issue of refugees shows the failure of the European Union. Instead of working together to solve problems and alleviate suffering, Member States point to each other, turn a blind eye to the EU and put their self-esteem on sale. The government here welcomes the lower influx of the last few months, while I would like us to pay a little more attention to international solidarity. I find it sad, but it is not surprising that a country like Kenya is keeping a close eye on what Europe is doing and, unfortunately, seems to want to follow the European example: it wants to close the camp at Dadaab. The mantra "care in the region is best" is often true. Especially for emergency aid, it's a truth like a Dutch cow. However, many regions burst out of their joints. In this kind of extreme situation, the Netherlands must lead the way and want to resettle more people. I'd like to get a reaction to this. A typical example of how the government tries to ignore the situation in the world as much as possible is the way in which refugees from Yemen have recently been dealt with. On 12 August 2015, a decision and departure Moratorium was established for them. On 7 July 2016, a shocking report was issued on the security situation in Yemen. By the end of April of this year, over 21 million Yemenis needed humanitarian aid. Half of them were kids. However, the decision that Yemenis cannot be returned and should therefore be granted a temporary residence permit under Article 15c of the Qualifications Directive only became known last week. At that time the Yemenis had been in uncertainty in our country for 15 months; they should not have worked or integrated. How is it that there are months between the appearance of the new post and the final decision? What political considerations are behind this? Is the cabinet afraid of a new large influx, like the one from Syria a year ago? I'd like to get a reaction to this. The same uncertainty also applies to the refugees who have been persecuted by the Secretary of State for the past week, who said that the negotiations, better known as the bed-bath-bread negotiations, had failed. What's gonna happen to them now? What the government was quick with was the dismantling of the azc's, the dismissal of IND employees and the cessation of the self-care arrangement. The inflow rates have fallen and the system is dismantled without a change. The emergency shelter had to be kicked out of the ground last year in days and sometimes even in hours. Groups of civilians felt mugged. Refugees were distraught because they had to wait months for their procedure or family reunification. Are we gonna see that again? I hope that the conflict in Syria will come to an end soon, but last week all the hospitals in Aleppo were bombed! All of them! It doesn't surprise me that people are forced to flee. Is the Secretary of State prepared to maintain a spare capacity of 3,000 beds? After all, governance is forward-looking. Yesterday, VVD and PvdA were able to jointly prevent the Chamber from debating this debate, which was requested by Mr Verhoeven, on Erdogan's statements on the opening of borders. They have blocked it, but it is statements that we have to take into account. What will the situation, Secretary of State, look like in the Netherlands if this does happen? In many cases, crime follows money. I ask these questions to the Minister and vice versa. Our attention to financial and economic offences must therefore be particularly high at this time. Last year, the Financial Intelligence Unit reported that files in search services remain because of lack of capacity. The Minister assured me that this has gotten better. Fine! So I lit my own light. I was impressed by the way in which the FIU presented itself to me and I am convinced that very good and important work is being done there. To the Minister, but above all through the Minister, a compliment to the people working in this service! However, it appears that many cases are still a long way from being dealt with and that there is a preference to deal with those cases that are most likely to be dealt with. That is a risk, of course, because not only the simplest things are worth tracking down and checking out. May I have a response from the Minister? The FIU suffers from a capacity shortage. They are equipped with 57 FTEs, but ideally there would be 80. The Minister would look at more capacity for research into terrorist financing by the FIU, but what about money laundering? Let's start with 10 extra FTEs. That's a million dollars, but these people pay themselves back double and square. In the fight against fraud, the cabinet wants to be too often in front of a dime in the first place, for example, take the dirty funding of the Fraudhelpdesk. Why does the cabinet remain so reluctant? Does the Minister himself not see the need and benefits of providing good information to citizens and businesses and to those who have been victims of fraud? May I remind you that we are talking about many billions a year, which not only damages society but also the Dutch tax authorities? Finally, I would like to ask a few questions about privacy. Privacy is of vital importance to all people. We can't live our lives without it. It's one of the key elements of our rule of law that you can't just be followed or bugged, that the content of your mail is secret, and that you know that no one is watching when you're surfing the Internet. But this government has little use for privacy and the privacy of all Dutch people has been under attack for years. The unfocused collection of telecommunications data, the possibility of hacking by search services, the approval of data exchange with the US: that is what the government stood for. She does so all under loud protest from Dutch and European supervisors, because many measures that help to destroy privacy in an attempt to make society safer create more insecurity. Large amounts of data increase the risk of identity fraud. The conscious creation or exploitation of vulnerabilities in software or the destruction of encryption make ICT an easier target for criminals who, of course, communicate with each other in a different way in secret. Is it perhaps because of all this valid criticism from, among other things, the Personal Data Authority that the same authority is being financed with such economy? The General Data Protection Regulation does however examine the impact on the performance of the tasks and the workload of the Authority. This year, the report would be ready. How's that going? Following the report, the Minister would consider whether money could be released by 2018. I think that's too late, and that's why I'm considering a motion.
ParlaMint-NL_2016-11-30-tweedekamer-9.u4	Mr. Chairman. Over the past year, too, we have often talked about safety in our country. We talked about the police working with man and power 24 hours a day on that security and about all the other people working to make our country safe and to keep it safe. I refer to the people of the fire department, those of the rescue brigade, those of justice, those of the FIOD, the people of the KMAR and those of customs. I call the boas, the private security guards, the people of the D.A.'s office and so on. I'm bound to miss a lot of them. We have talked about laws that have proved necessary in order to be able to do even more work on tackling crime and crime. And we have talked about important measures in the fight against terror, in order to minimise the risk of an attack in our country. It has been the fight against terror, the threat from a jihadist angle, which has led to our security being at stake at national or international level over the past year. Think of the many times we debated with each other after attacks were carried out in Paris and Brussels, among others. The images of this will be on our retina for a long time to come and make us realize that such an attack could have happened in the Netherlands as well. In addition to the terrorist threat, other developments beyond our borders created an unsafe feeling here at home. Think of the demonstrations in our country that followed the coup in Turkey or think of the asylum problem with the many riots in relation to the arrival of azc's as a result. It is developments that have led people to worry and feel unsafe. The security portfolio is not just a portfolio; the subject is at the heart of our existence. Security is the foundation of our society. People want to be safe and feel safe. They want to live safely, live safely and work safely. That's the point. Especially in these uncertain times when there is insecurity within and beyond our borders, parents want their daughters to be able to cycle safely to school without being harassed, to go to Saint Nicholas's entrance without being trampled underfoot by fighting protestors, elderly people want to be safe on the streets without being robbed, conductors on the train can do their job safely without being harassed, shopkeepers do not want to make a fortress against robberies, fathers with their sons want to safely go to football law and two men in public can walk the streets. It is this sense of security that is under pressure, which is no longer self-evident and for which we must fight. Without security, there is no freedom and security is the most important task of the government. All 17 million people in our country can only enjoy their freedom if their security is in order. It has been said many times: unfortunately, we cannot guarantee this safety. However, we can do everything we can to make our country as safe as possible. And looking back on recent years, we have seen progress in many areas: the crime rates of the so-called high impact crimes have fallen, the comprehensive approach to undermining crime and organised crime is paying off; in the fight against terror, there is a very broad and robust package of measures to minimise the risk of an attack, and in the field of the storage of personal data, laws have been adopted that allow for longer retention of data from potential criminals under strict conditions. Important legislative proposals such as the Computer Crime III Bill and the intelligence and security services will hopefully be dealt with during this cabinet period. Last but not least, this budget adds 450 million for security and for the consolidation and strengthening of the rule of law.
ParlaMint-NL_2016-11-30-tweedekamer-9.u5	I heard Mrs Tellegen use the word'security' very often in the last few minutes. I think she called it a hundred times. Apparently, the VVD thinks security is important, and so does Mrs Tellegen. I'm glad. Only the VVD started this period on Security and Justice after an election in which she said: you should not cut back on security. So the VVD says that security is the most important thing and that it is not going to cut back on safety. However, in 2013 a press release was issued that more than 1 billion savings in security were made. If the VVD considers security so important, why is there so much savings in the past period?
ParlaMint-NL_2016-11-30-tweedekamer-9.u6	Mr Verhoeven is well aware of how we started this cabinet period. There was an order to bend 50 billion, as we say in jargon. 50 billion! Each ministry has taken on its responsibilities in this respect. Security and Justice could not say at that time: we are not participating. Why should we cut back on care, but rule out security and justice? Everyone has assumed their responsibilities, so has Security and Justice.
ParlaMint-NL_2016-11-30-tweedekamer-9.u7	I understand very well that sometimes you face a difficult task when you take government responsibility. The question is why the VVD said very clearly to the whole of the Netherlands in advance: you should not cut back on safety. That's not the only thing. The VVD also said: from now on, punishment for anyone who deserves punishment, and it turns out that in 2015, 12,000 convicts were just out there. Criminals go free because of the public prosecutor's workload. CID's running out of quality. There are all kinds of reports that show that there is no punishment at all for anyone who deserves punishment, and so there is a lot of savings in security from the VVD. So yes, we are here to deal with the budget, it is the last time. Mr Van Nispen said it: happy. I myself am very relieved that this is the last time, but why did the VVD do this? Why say you're gonna give security and then just don't?
ParlaMint-NL_2016-11-30-tweedekamer-9.u8	As I said, the Ministry of Security and Justice has also contributed to the 50 billion that this country had to cough up in order to make it financially sound. When I look back at what has happened in the meantime to add that amount again, that is quite a lot. I'll take you through the years. In February 2015 128 million additional structuralally. In November 2015 250 million additional structuralally. In May 2016 48.5 million structuralally added. And now, 450 million more structuralally. So where the ministry could, it actually put money back in.
ParlaMint-NL_2016-11-30-tweedekamer-9.u9	Finally.
ParlaMint-NL_2016-11-30-tweedekamer-9.u10	This is a bit of a double message. First of all, say that you have to take government responsibility and that you must also cut back on security, that safety that you are talking about and which you think is so important, and that that makes perfect sense. And then say that you returned a lot of money after you made that cut; of course less than you took it off. And who did that come from? Especially by the opposition, which has said endlessly to the cabinet and to the coalition: do something about that security. So let's note that the VVD didn't think security was so important at all, until the opposition to the VVD said: this goes wrong on all fronts. The AIVD, the CID, the neighborhood cop, everyone's short-handed to do their job properly. All those people who are in the front line and Mrs Tellegen always says that they are doing such good work, were not getting enough money. Now the VVD says: yes, we have all made up for that.
ParlaMint-NL_2016-11-30-tweedekamer-9.u11	And so it is.
