ParlaMint-NL_2016-11-23-tweedekamer-8.u1	I would like to welcome the Secretary of State for Social Affairs and Employment.
ParlaMint-NL_2016-11-23-tweedekamer-8.u2	Mr. Chairman. Everyone knows someone in their environment who is unable to participate properly in the regular labour market and needs support to work because of a visible or invisible disability. Not only during work visits have I seen how important it is for people to have a job. Also in my life for politics I worked on a team in which there was room for employees who just needed a little more support. The added value of work is particularly great for this group of people. You're part of it. You can and may contribute to society. It is precisely for this group that we have made a number of specific agreements with the introduction of the Participation Act, which appear to be under pressure in practice. The people who it's about are worried about this. Whether they are people who are unable to earn the legal minimum wage or those who can only work in a sheltered working environment, they should not have to worry about whether they have the right support from the municipality in which they live. I find it difficult to understand that municipalities are increasingly failing to comply with the agreement on the provision of sheltered work places and are resisting an anchoring in the law, while the Association of Dutch Municipalities (VNG) supports the necessity in the consultation in the Work Chamber. I find that downright disappointing. In addition, I cannot understand that there are people who expect that opening up the practical route would open the door to including people without restrictions in the target register. Let's stop scaring each other and scaring each other. The implementation of the Participation Act may not be flawless in all respects, but I am confident that the present amendment will make implementation easier in practice and make it easier to create a labour market in which everyone can participate. This does not include putting people into day-to-day spending if they are able to get into wage-forming work. That may sound a bit technical, but unfortunately that is what municipalities are doing now. People who can work under adapted circumstances do not get this opportunity, unlike the appointment made. There are municipalities that offer these workplaces. So it's possible. There are two main elements to this legislative amendment. In addition, there is a ministerial arrangement abolishing the so-called re-employment conditions. These are three elements that have been removed from the field after long consultation with all the parties concerned as a solution to a number of identified problems which hinder the objective of achieving a labour market in which everyone can participate. There is also part of the problem. We all note that there are blockades in the implementation. Then there is endless talk of finding a solution that all parties support. In the previous debates, we discussed in detail the problems we face in practice and in the implementation of the law. I can't explain it in my neighborhood. We passed a law in 2014 with the aim of an inclusive labour market. We're looking at what someone can do instead of what someone can't. We've made agreements with social partners and the VNG. We have employers, we have jobs and we have people, but the practice turns out to be a different one. By means of all kinds of rules in implementation, employers and the people who are involved cannot find each other. It is a good thing that some of these rules are finally being amended.
ParlaMint-NL_2016-11-23-tweedekamer-8.u3	Chairman...
ParlaMint-NL_2016-11-23-tweedekamer-8.u4	Mrs Nijkerken, are you going to continue on the same subject or have you largely closed it?
ParlaMint-NL_2016-11-23-tweedekamer-8.u5	I'll go on about this for a while.
ParlaMint-NL_2016-11-23-tweedekamer-8.u6	Shall we wait for that for a moment, Mrs Karabulut? Continue, madam...
ParlaMint-NL_2016-11-23-tweedekamer-8.u7	Well, I'd rather not...
ParlaMint-NL_2016-11-23-tweedekamer-8.u8	Please continue, Mrs. Nijkerken.
ParlaMint-NL_2016-11-23-tweedekamer-8.u9	As I pointed out, we have talked a lot about this matter in terms of content and many times. The VVD therefore sees the present legislative amendment as a complete package. I have also emphasised this in previous debates. I am also pleased that the Secretary of State is now presenting this as a single proposal to the Chamber. I understand that individual municipalities may experience the obligation to offer sheltered work as intervention in the policy freedom of municipalities. I'm not being light about this. Frankly, I am very upset that we need to talk about imposing an obligation. But agreements aren't being kept. In fact, fewer and fewer municipalities keep to the agreements, despite the funds from the Municipal Fund to realize these places and the many handouts that have been made in the past period. The figures show no improvement, rather a decline. Putting people in day-to-day spending that can come to work does the people who it's about, lack. Work is essential to them. In fact, this part of the legislative amendment is no more than anchoring an earlier agreement in the law. I do think it is important to stress that the VVD attaches great importance to the freedom of municipalities to implement the way in which they intend to design the sheltered work, even after this legislative amendment. I therefore ask the Secretary of State to confirm this in reply to the first deadline. So can the Secretary of State explain once again when there is actually wage-creating work, because that is the criterion for offering shelter. I have a feeling there's still some uncertainty about that. Following questions from the VVD on the possibility of a re-evaluation, the State Secretary indicated that there was no mention of this in the Participation Act. What does this mean, in concrete terms, in the context of the development that someone is going through? Someone may first be dependent on a sheltered place, but someone will develop in such a way that working in a guarantee job, for example, will be one of the possibilities. The VVD doesn't want to hold people in a booth or an arrangement. Is the Secretary of State prepared to look into the possibilities of including in the opinion on sheltered work the potential development perspective of someone?
ParlaMint-NL_2016-11-23-tweedekamer-8.u10	I believe we have here a so-called white. Mrs. Karabulut, would you like to interrupt?
ParlaMint-NL_2016-11-23-tweedekamer-8.u11	No, not right now.
ParlaMint-NL_2016-11-23-tweedekamer-8.u12	Mr. Heerma?
ParlaMint-NL_2016-11-23-tweedekamer-8.u13	Yes, I would like to comment on the last point. The Members of Parliament received a letter yesterday from Cedris containing a number of points. One of these points is very similar to the question that the VVD Group has just asked: what if development is taking place? What if sheltered work can be temporary, so a stepping stone to regular work or a possibility for a temporary relapse? That's what Cedris writes. Cedris suggests that you should use sheltered work not only as a provision but also as an instrument. Does that touch the point the VVD is making here or is that a misconception?
ParlaMint-NL_2016-11-23-tweedekamer-8.u14	The point I'm making here is that people can develop in my perspective. Whether you call that a provision or an instrument, this is about people. If an advice sheltered work is being issued, I would very much like the Secretary of State to consider whether there is any possibility of reaching a broader opinion in consultation with the UWV or something like a description of the development perspective.
ParlaMint-NL_2016-11-23-tweedekamer-8.u15	My impression is that this is very close to what Cedris writes. Perhaps I am attacking you with this, Mrs Nijkerken, but I heard you say that on behalf of the VVD Group during the debate. That's a lot like a question I wanted to ask. Perhaps the VVD group can look at the point of Cedris. Depending on the answers of the Secretary of State, this may be something to return to in the second term.
ParlaMint-NL_2016-11-23-tweedekamer-8.u16	I am very curious to see how the Secretary of State will respond to this. I will continue my speech. Over the past period, it has become more than clear that many employers want to offer guarantee jobs. A compliment for that is really in order. Entrepreneurs have kept their end of the bargain in difficult times. Now the government has to come to terms with it. In practice, it appears that it is difficult to make people eligible for the target group register through the UWV. We have often drawn attention to this in previous debates. The VVD is therefore very satisfied with the opening of the practical route. This makes it possible to assess from a workplace whether someone is eligible for this target group register. Not long ago, I spoke to a son's mother with autism. He really wanted to work with the necessary guidance, I say work in the care. I will not go into too much detail about the specific case, but without the practical route this boy would not have been eligible for the target group register. With this he should not have continued working with the employer where he was already internship. According to the UWV, he was best placed to work in the production. The municipality where he lives has dared to deliver customization. Customization, that's what this law is all about. He's now working in care, where his heart is. I am convinced that the practical route will make it easier for both employers and job seekers to find each other and avoid disappointments. My final point concerns the abolition of the re-employment requirement. Although this does not require any legislative change, this abolition is part of the overall package of measures and makes it easier for employers and job seekers to implement what we all want to achieve. I continue to work for a labour market where we start from what people can instead of what they can't do, now and in the future.
ParlaMint-NL_2016-11-23-tweedekamer-8.u17	Mr. Chairman. In the bill we're discussing tonight, two parts are linked. In recent years, when it comes to the Participation Act, the committee has perhaps mostly debated these parts and disagreed on them. A large part of the Chamber says that sheltered work must be made compulsory. Another part, to which my group belongs, is very opposed. Another part says: the practical route must be found to make the Participation Act work better and to reduce bureaucracy. An agreement has been reached in the workroom to do both. I must say that I appreciate that administratively, precisely because there seemed to be an impasse because some of the people involved, even outside this Chamber, wanted sheltered work but the practical route was absolutely not, and that another part absolutely wanted the practical route but did not want to make it compulsory. It is clear that my group is very happy and enthusiastic about the implementation of the practical route. I also recognise very much what the Secretary of State writes, namely that opening up the practical route can be expected to have a positive effect, both on the demand side and on the supply side. However, my group has some difficulty in requiring sheltered work, as part of the agreement concluded, partly because it is at odds with the idea of decentralization, because the proposal restricts the freedom of local authorities and because it happens very quickly after the law enters into force. It is primarily up to municipalities to decide how sheltered work is to be completed and what alternatives there are. We should also note with each other that municipalities have so far achieved few sheltered places, although there were agreements about them and even the works of the Act have been discussed in depth. I am left with the dilemma that I think it is early to draw the conclusion that it should be forced to do so, rather than looking at other ways of getting it off the ground and through which barriers it does not come off the ground. So my question to the Secretary of State is: wouldn't there have been better routes to get sheltered work off the ground instead of removing this obligation? What barriers does she see that it has not come from the ground? How can they be handled? It is precisely because of the concerns and questions about sheltered work and whether it is not going to cause new financial or other problems that I have today tabled an amendment with Mr Schouten from the Christian Union to evaluate the law and look specifically at these elements. I like to get an appreciation from the cabinet. That amendment, when I speak for myself, is based on the appreciation of the administrative solution for a deadlock on two issues, but on the other hand we are still very concerned about the'safe work' part of the legislative proposal. I'm gonna finish with two points, because I'm not gonna keep a very long story. On the first point, I have just asked the colleague of the VVD. We got a letter from Cedris yesterday. One of the points I find very interesting when it comes to sheltered work. Cedris indicates that sheltered work should not only be offered as an instrument but also as an instrument, precisely because it can be temporary, one's stepping up to regular work, or that it can take the form of a temporary relapse. I can imagine that there are hooks and eyes on this, but I think it is a very sympathetic idea. It is related to the question that the VVD Group has just asked. I am therefore curious to hear the Secretary of State's reaction to this. My final point is a bit critical, but I will put it as an open question. During the last AO, Mr Koşer Kaya asked a question about the practical route sheltered. The Secretary of State made a fairly clear commitment, but the note on the report followed a somewhat long answer which gave me the feeling that the commitment to Mrs Koşer Kaya might have been watered down. I'd say that's a shame. Perhaps the Secretary of State will be able to explain that long answer. The beginning of the answer was quite right: this bill is not about a practical route for sheltered working. But from the very long passage that followed, I got the feeling that some of the positive commitment was taken out of the last general consultation. And I'd say that's a shame.
ParlaMint-NL_2016-11-23-tweedekamer-8.u18	I have the amendment before me. I am not negative about the things that Mr Heerma has written down, but how should I see this in the light of a lot of other evaluation times that we have already agreed on? We have a plan of approach monitor Participation law, in which I think there are already nine moments when we are going to monitor things. We have the WSW's biennial thermometer. Perhaps the Secretary of State could also comment on this in her reply. We must avoid doing all kinds of things twice and creating a huge burden by simply evaluating each other and not being involved in the implementation of the law.
ParlaMint-NL_2016-11-23-tweedekamer-8.u19	During the past cabinet period, some legislative proposals have been regularly introduced by the coalition itself to tighten up evaluation times, both in time and in form. This amendment raises the issue of evaluation and, precisely on the elements of the law that we are not enthusiastic about, indicates that it needs to be thoroughly evaluated. That is separate from thermometers that are always there, and general consultations that are always there on certain subjects. This is a legislative proposal for which we are putting forward the evaluation exercise, with a number of demands, in line with amendments which I believe the VVD has also tabled in the last period on legislative proposals.
ParlaMint-NL_2016-11-23-tweedekamer-8.u20	In the written round, I myself asked for the evaluation. That is why I am not against this either, but does Mr Heerma agree with me that we should take a good look at things that do not interfere? Mr Heerma says he wants to bring forward the evaluation, but I need us to get an overview of the times when we are going to evaluate what things are going to be. Maybe we can make certain things a little easier to reconcile. If this amendment is to succeed, we might be able to base it on it. I really don't think it makes any sense to do things triple.
ParlaMint-NL_2016-11-23-tweedekamer-8.u21	I am a little reluctant in my reply, because I have heard twice that you are not reluctantly opposed to the amendment. I have some fear that my answer will turn that around, so I will respond very little. Laws are always reviewed and there are regular general consultations where the Chamber also evaluates progress. If we do not want to do things in duplicate, it has a general implication on all the issues where we evaluate legislative proposals and discuss them in general. I get the point, but I find the question a little difficult, because this still applies anyway.
ParlaMint-NL_2016-11-23-tweedekamer-8.u22	After this well-chosen self-limitation, I would like to give the floor to Mrs Voortman on behalf of the Group of the Greens/European Free Alliance.
ParlaMint-NL_2016-11-23-tweedekamer-8.u23	Mr. Chairman. The Participation Act would help more people to work. GroenLinks voted against the law. We supported the idea of moving to a single regulation, but the corresponding cuts were far too large at the time, and they now appear to be far too large. Last year, municipalities had a deficit of 400 million euros. This deficit is expected to increase. The question is what impact this has on the opportunities people get to participate in our society. At the time of the introduction of the Participation Act, one of the most important elements was that there would still be good, full-fledged workplaces for people who do not manage without help on our demanding labour market, people who need extra guidance or an adapted workplace, people who cannot work with a regular employer, as it is called in jargon, or people who can work well in a sheltered workplace. For them too, work is important to provide for their own income, but also because work provides structure and a network and because it contributes to society. With the closure of the Social Employment Services Act, there would be a solution for these people. There were supposed to be 30,000 sheltered places. Municipalities had to see for themselves how they would decorate it. They had the task of finding all the appropriate forms of participation for these residents. GroenLinks, of course, attaches great importance to the policy freedom of municipalities, because municipalities know their citizens and they know what is a right place. They can provide an appropriate workplace that matches the talents and needs of their residents. We wanted to be sure that there would be enough shelter for those who needed it. That is why, together with the SP, we have drawn up an amendment to make sheltered work compulsory. That amendment was rejected, among other things, by the Labour Party, because those 30,000 places would come naturally. Mr President, 115! 115 sheltered places came, while there should have been 3,200. Only 8% of the municipalities have one or more sheltered areas. In 2016, there were even more municipalities than in 2015 that chose not to create sheltered workplaces. That is really too thin as far as GroenLinks is concerned. Municipalities make this choice mainly because they do not want to take financial risks, partly because of the cuts that are still coming but perhaps more because of the uncertainty about the amount of money they will receive in the future. Of course, that's not so crazy when you've had to raise money to keep your SW business running for years. We all knew that in advance. For this reason, municipalities have sought alternatives to enter into a contract of employment but not to enter into a contract of employment. They sometimes found quite nice solutions, such as daily spending, volunteering and otherwise. The problem with this is that the people who are involved do not get a contract of employment. They do not receive a minimum wage level and it is uncertain how many hours they can continue to work or participate. They cannot provide their income on their own, even though they do participate. For this reason GroenLinks considers it important that there are places for sheltered work. GroenLinks wants people, whether they are people with disabilities or not, to be able to get a job and normally get paid for it. We also want people themselves to have the opportunity to seek sheltered work, because that is also their own direction. Although we attach great importance to policy freedom for municipalities, that last argument is ultimately decisive for us to vote in favour of this bill. We still have reservations about the funding. If municipalities are required to set up sheltered areas, they must also be given sufficient resources to do so. It turns out it's not clear what one shelter costs. With a view to changing social work provision, with the whole infrastructure changing with all its consequences for the costs of counselling and the workplace, the question is certainly what the costs will be in the future and what municipalities should get per place. After the significant deficit of 2015, further cuts in the Participation Act will be made in the coming years. The deficit per sw site is therefore only increasing further. Municipalities can therefore not accept an overpriced sheltering place themselves. Municipalities and SW companies indicate that the money they receive per sheltered area is too little. They fear that municipalities will have to invest money in every place. The Secretary of State continues to deny that. She says that there is a sufficient budget for municipalities and that in her view there is no need for more financial resources. In the report, the Secretary of State writes that there is currently no crystallised picture of the actual costs per shelter. Exactly that's the problem! If money is not added now, GroenLinks thinks it is important to keep at least a firm finger on the wrist. We need to keep a close eye on how much one shelter costs on average and whether this corresponds to what municipalities get for this. Then we also know whether the bonus of €3,000 per shelter is still needed after 2020 and whether additional measures are needed. I am therefore considering a motion to monitor this and report annually to the Chamber from 2019 on whether the costs and resources for sheltered workplaces still agree. A second aspect I would like to draw attention to is the number of sheltered areas. At present, 100,000 people are employed in the social services sector. Later on, there will be money for 30,000 places, but according to the Cedris branch organisation, 40% of the 100,000 WSW workers worked in a sheltered area or in a training course in a SW company in 2014. So that's 40,000 places! You'll only be that thirty thousand-and-first person who needs shelter and is entitled to it! Because 30,000 people went before him, he's unlucky! That is the risk we run if we pin funding on 30,000. GroenLinks suspects that in the long term more than 30,000 places will really be needed. That is not unrealistic either, since there are now 100,000 people working in the social service, while the Wajong is closed to people who are very well able to use shelter. People who can only work in a sheltered place are not just people with a benefit from the municipality. Also people without benefits, the so-called non-contributorys with limited wage values, or Wajangers will not find a job with a regular employer and would like to work in a sheltered place. Can the Secretary of State address the question of how the number of 30,000 relates to the total potential target group being sheltered? Is that assessment real? Does she agree with GroenLinks that, in the long term, more places and therefore more funding will probably be needed? As GroenLinks, we ourselves already take this into account in our election programme and in our pass-through. Then I have a question about the division of the country, but perhaps it would be better to wait for Mrs Schouten's interruption first.
ParlaMint-NL_2016-11-23-tweedekamer-8.u24	You were done on this subject?
ParlaMint-NL_2016-11-23-tweedekamer-8.u25	Yeah, exactly.
ParlaMint-NL_2016-11-23-tweedekamer-8.u26	Then Mrs. Schouten.
ParlaMint-NL_2016-11-23-tweedekamer-8.u27	That 30,000 comes from somewhere. It was in the social agreement. This number has been agreed. Does Mrs Voortman say that the social partners have been wrong?
ParlaMint-NL_2016-11-23-tweedekamer-8.u28	Well, I don't think it's a real assessment.
ParlaMint-NL_2016-11-23-tweedekamer-8.u29	Why is this how many years has it been? Three years? Didn't you communicate three years ago? Why wasn't it said by GroenLinks that, for example, the FNV had been completely wrong with the estimate that 30,000 places were sufficient? Now that we made that deal, isn't it a little late? We are now in the process of honouring that very agreement. I will say a few words about this in my contribution. Isn't it three years too late to come up with these comments all of a sudden?
ParlaMint-NL_2016-11-23-tweedekamer-8.u30	I don't see why it would be too late now. We can look at developments. In fact, I think I have said this in the very extensive treatment of the Participation Act. But even if I hadn't mentioned it, I still don't think it's too late, because you also have to look at developments you're expecting. Just as you do not always know how many asylum seekers come to the Netherlands, so there may also be developments here.
ParlaMint-NL_2016-11-23-tweedekamer-8.u31	It is true that it is always an assessment, but the Participation Act, which has indeed not supported GroenLinks, has, of course, taken a lot of other measures to ensure that people could end up on a regular basis, not necessarily in a shelter. How does Mrs Voortman take this into account in the whole of the 30,000 sheltered workplaces plus all the other efforts that are still being made to get people, for example Wajangers, into a regular workplace?
ParlaMint-NL_2016-11-23-tweedekamer-8.u32	Perhaps Mrs Schouten came in later, but I have just indicated that. You should also look at what suits people best. But I think that eventually there will also be people for whom sheltered work is the best solution.
ParlaMint-NL_2016-11-23-tweedekamer-8.u33	Please continue.
ParlaMint-NL_2016-11-23-tweedekamer-8.u34	Then I have another question about the division of the country. The money for the 30,000 places is divided between municipalities and each municipality receives a commission for the number of places it has to offer to the maximum. I do not need to dwell on the fact that the estimates of the Empire, for example in the distribution model, sometimes turn out wrong. What if the current distribution between municipalities is not exactly correct? You will only live in a municipality that has to make ten sheltered workplaces and realize them very quickly. You'll only report as an 11th resident for a shelter and then find out that you're unlucky because the municipality has already reached its target. Can the Secretary of State explain how the distribution of places between municipalities is achieved and how it is monitored that there are really enough places for all people who can only work with additional guidance or a adapted workplace? Then I have a brief practical question. When is the intended entry into force? Is it true that 1 January 2017 is foreseen and, if so, will it be achieved in the light of the agenda of the First Chamber? Finally, I would like to say something about the practical route of access to the target group register. In the social agreement, it was agreed that 125,000 additional jobs would be created for people with disabilities, the job deal. The people with disabilities who count must be included in the target population register. It is therefore important that the target group register is properly filled. Fortunately, this already happens with students from secondary special education, Wajangers and WSW'ers. In addition, people from the Participation Act were allowed to be nominated for an Indication Jobs Appointment. However, the theoretical assessment of the UWV was not always consistent with the experience in the workplace. The practical route will contribute to the number of people in the target group register and thus can work with an employer in the framework of the job agreement. It's good to keep an eye on whether this is actually happening. In any case, GroenLinks supports the line taken and hopes that this proposal will contribute to achieving the agreed goals in the job agreement. Finally. Work for the most vulnerable in our society is not self-evident. If we leave it to the market, they will remain on the sidelines. So I cannot help but express once again my concern about the financial frameworks of the Participation Act, but also about the outspoken regulation and coercion that people experience under the Participation Act. Release people and offer them opportunities and prospects for work for a fair reward. Then you make sure that everyone can participate fully in our society.
ParlaMint-NL_2016-11-23-tweedekamer-8.u35	Mr. Chairman. Covered work is explicitly included as an instrument in the Participation Act from the point of view that there is always a group of people who have wage values, but can only achieve this wage value in a sheltered environment. That sounds more complicated than it is. In our view, it was a shame to be able to close the social workshops. So it was nothing more and nothing less than an alternative to the death home construction that made this cabinet of social services. The alternative was the promise that municipalities would catch it. They were gonna take care of it. This was, moreover, following the promise made by this Secretary of State during Rutte I cabinet, namely that all social work facilities would remain open with unlimited influx. This Secretary of State said in June 2009, as I quoted earlier, "It's a beautiful day today thanks to the fact that the municipalities have just said no to the government's plans. This means that the people of the social workshops can simply continue to do their fantastic work standing up." End quote. The Secretary of State also hoped "that this cabinet still shows something of a social face," end quote. If not, the cabinet had to go home as soon as possible, because that's not how you wanted to run your country. We have now moved on almost two years since the introduction of the Participation Act. It now appears that more than a quarter of the municipalities do not offer the sheltered work or do not offer it sufficiently. The municipalities that offer sheltered work have only realized 115 sheltered jobs until April 2016, while the estimates are based on 3,200 at the end of this year. You shouldn't want to run like that, I'm gonna repeat to the Secretary of State. Only one person is jointly or mainly responsible for this, and that is the Secretary of State. Despite promises to reverse everything, it has abolished the social security system. We think it is transparent to use this law just before the elections as if nothing had been done and nothing had been broken down. That again feels like a pubic. For years many disabled people have been left to their own devices. A number of 115 sheltered areas are of course completely poor. The question is what will be better with this new bill. Is the financing of the provisions sufficient or will the municipalities soon increase their burden to comply with the new legal obligation? That is a point we need to answer, otherwise we will get it back in another way. People at home are going to pay higher taxes again. Is it not at the expense of existing cases to expand the target group? If not, how can we be sure in The Hague that this will happen? How many people are at home now? More questions have already been asked about these 30,000 people. What's the deal, exactly? I agree with Mrs Voortman, who has also asked for clarification on this matter. The portee of the law is that people with reduced wage values are more likely to fall within the target group of the Quotum Act among municipalities, so that it seems as if the government has fulfilled its quota better than it seems to be now. This is a enforceable construction cast, whereby people with reduced wage values are less easily excluded. Do we have this right? We really want to help people, but we do want all this cleared up. I am critical, but I am of course quite positive about the possibility of helping those people. The cabinet wants to take measures from its system responsibility to ensure that all municipalities create places for people who can only work under sheltered conditions; that is what it really is. So it's imposed on municipalities, but that's what the Council of State is against again. I would also like to get an explanation on this. I have a final matter, with half a minute left.
ParlaMint-NL_2016-11-23-tweedekamer-8.u36	This is legislation. You don't have to race. Take it easy.
ParlaMint-NL_2016-11-23-tweedekamer-8.u37	I had registered, but I might have taken a little more lyrics after all. The last issue I would like to raise concerns The Hague, where the Secretary of State has been alderman. One of its successors is Mr Baldewsingh, also of the Labour Party. He has repeatedly argued over the past few weeks that the town hall must be de-whitened. He was talking about people's skin color. He wasn't talking about the outside, but he literally said the inside of the town hall needs to be dewhitened. I thought for a moment that Mr Baldewsingh had become alderman of the ANC in South Africa. But no, he really seems to be a PvdA guy. Does the Secretary of State support these statements by her party colleague, who he made purely on the basis of skin colour? Or does she distance herself from that? I would like to have clarity at this point. Then there's my final question. Does the Secretary of State agree if the policy on shelters is actually doing very nicely there; we should also honestly say that this is also a victim of the evading practices of her partymate in the Ice Palace? Or is the Secretary of State going to appeal to him on this behavior and on these statements and prevent people with reduced wage values from falling under an unwitting policy, no matter how disgusting it sounds?
