ParlaMint-NL_2016-01-12-tweedekamer-10.u1	If he has stopped his phone, Mr Van Gerven has the floor first.
ParlaMint-NL_2016-01-12-tweedekamer-10.u2	Mr. Chairman. Today we are discussing the amendment of a number of laws to achieve two things: structural regulation of the funding of anonymous e-mental health and the possibility of anonymous funding of care to seriously threatened persons. Those are two topics you can't oppose. However, you may wonder whether this amendment of the law will solve the problem in a structural way. According to the SP, the problem is much greater than just the funding of anonymous e-mental health. The problem lies in the current healthcare system of competition between providers and the financing per operation. This care system must be able to justify every minute, leading to bureaucracy and mistrust towards the care professional. As a result, people's privacy is constantly under pressure. A dbc already contains a lot of information, namely about the treatment, the condition, the duration of treatment and so on. Shouldn't care just always be privacy proof? If so, isn't that anonymous e-health just unnecessary? For example, in the current legislative proposal on the electronic patient file, you must always give prior consent to the exchange of your medical data via the national switching point. As the Minister postpones the operation of the amendment that regulates this, the question arises as to whether this will lead to more or less need for anonymous assistance. I'd like to get an answer from the Minister. Already before the transfer of mental health care from the AWBZ to the Health Insurance Act in 2008, the SP warned about uncertainties, bureaucracy and scaling up. She also pointed out the patient's position. This transfer also meant a reduction in solidarity. After all, the AWBZ was a public insurance with a contribution tax according to capacity and the Health Insurance Act is not. The right to care is regulated, but the element of competition between the different health insurers and between the different healthcare providers is also included. However, the transfer is still ongoing. Since the Health Insurance Act requires that care can be traced back to an individual insured person, the financing of anonymous interventions in the field of e-mental health is no longer possible. For the transfer to the Health Insurance Act in 2008, it was agreed that a treatment could take place on the basis of a budget. After the transfer, funding via the service budget component was still possible, but with the expiry of this budget component by 2013 and the introduction of incentive payment, budgeted providers are no longer able to pay. The Minister himself writes this in the explanatory statement. With the present amendment of the law, the Minister says he will respond to a motion from the SP from 2007. Yes, it is. 2007. Eight or almost nine years ago, my then colleague, Mr van Velzen, already called on the government to identify the bottlenecks surrounding Internet treatment and to see if an anonymous directive is possible. Are all these problems actually being resolved, as the Minister claims to do? I have doubts about that. First of all, I have doubts about the feasibility of the present plan. That's for two reasons. Firstly, how can healthcare providers demonstrate that anonymity is really necessary for psychological reasons? Secondly, why is it that an annual subsidy period has been chosen, which nevertheless entails a great deal of unnecessary bureaucracy? Let me start with that last one. I would ask the Minister, for example, to set the subsidy period to three years. In this way, the bureaucracy involved in the annual contract can be reduced. I have a motion on that in mind. My first point was about the burden of proof for healthcare providers with regard to the anonymity necessary for psychological reasons. How are healthcare providers going to prove that this is the case? The VVD asked for this, like the SP, but I did not find the Minister's answer satisfactory. Instead of providing a solution, the Minister simply states that healthcare providers have to demonstrate how they do it. However, by placing the problem with the healthcare providers and by throwing it over the fence, as it were, it has not been solved. Doesn't this mean that the Minister is putting care providers on an impossible task? Does it not create more bureaucracy for healthcare providers? Doesn't she create a paper reality like that? If you, as a client, know that care is free when you fill in that anonymity is necessary for psychological reasons, then just check it, I'd say. That does not feel easy as far as the SP is concerned. So I ask the Minister once again: how are the healthcare providers going to prove that anonymity is really necessary for psychological reasons?
ParlaMint-NL_2016-01-12-tweedekamer-10.u3	It is right for Mr Van Gerven to point out effectiveness. The VVD has also asked the necessary questions about this. I'll come back to that later. However, I do wonder the following. On the one hand, Mr Van Gerven points out that it is not clear what the effectiveness of what the providers offer is. On the other hand, he proposes to give suppliers a three-year period. If you don't know about effectiveness, isn't it much wiser to have that term for a year?
ParlaMint-NL_2016-01-12-tweedekamer-10.u4	In my speech so far, it was mainly about anonymity: how should you prove that the care can only be delivered anonymously? Your question as to whether that care works, which you rightly claim, is another. I just haven't addressed that issue in my speech yet. My speech was mainly about anonymity: how can the healthcare provider prove that it has to go down that road alone and that it has to be completely anonymous? There is also the question of effectiveness. Of course, care must be effective, but I do not think answering that question depends on using a three-year grant period or one year. A healthcare provider or an aid provider must provide state-of-the-art care. This must be monitored by the Health Inspectorate and, where appropriate, the Health Institute must play a role; these bodies are involved. I think this should be separated from the direct grant application. My plea is to grant the grant for a number of years so that there is rest on that front. It concerns a limited number of providers and relatively small amounts, as we have read in the proposals. That's my preference.
ParlaMint-NL_2016-01-12-tweedekamer-10.u5	Mr Van Gerven can take it down as a relatively small amount, but it still adds up to 2 million. That's serious money, I think. In this sense, I am surprised that Mr Van Gerven does not link the content of what is offered with the duration of the contract. When you don't know how good the care is, isn't it weird that you're gonna keep doing that for over a year? In fact, if it doesn't work, you need to get rid of it as soon as possible.
ParlaMint-NL_2016-01-12-tweedekamer-10.u6	Let me make a comparison with the contracts with hospitals, about which there is a lot of discussion. Because the need for this is very strong, multi-annual contracts are increasingly being concluded. In this way, an organisation that provides assistance knows what it can expect, for example, from resources to provide care. This is independent of the general question that each institution is supposed to offer quality. The SP considers that the task of guaranteeing quality is not so much invested with the health insurance provider as it belongs more to the professional groups themselves who have to check each other's health care systems and supervisory bodies, such as the inspection. Mr. Chairman. My specific question to the Minister is whether the subsidy period of one year can be extended to, for example, three years, also in order to reduce administrative burdens and to reduce business uncertainty. A key question is whether it is not an idea to invest the grants at the Healthcare Institute. In doing so, we have also made a profit in terms of anonymity. If the subsidy flow were to go through the Healthcare Institute, we would be rid of individual accountability. After all, on the basis of individual accountability and declaration, anonymity is at stake, I am referring, for example, to the category of persons at risk. Wouldn't it be a solution to invest that at the Healthcare Institute? I'm here to talk to you about the seriously threatened clients. You have to think of girls who have become victims of honour vengeance or pimp boys. Because the funding of their care is not anonymous, such girls may end up in a life-threatening situation. For example, such a girl goes into hiding at a place where she receives care, but the bill goes to the health insurance company, which makes it possible to find out where she is staying. So there could be a leak. My question is whether that perception is correct; I think I read this in the documents as well. It is clear that there really should be no traceability for those who are evil-minded. Can the Minister point that out again? She herself says that it goes well in nine out of ten cases, but of course we are concerned with the one case where it is not going well. After all, you will only be that tenth that is threatened with death or whatever. That's not acceptable. I would therefore like to receive a response from the Minister: have we understood this correctly from the documents? It says that the health insurance companies have complied with the fact that the protection regime is in force, but the question is whether it is sufficiently effective and whether it is sufficiently effective. Another remark by the Minister on whom we are concerned concerns the system of monitoring and security, the SBB of the Public Prosecutor's Office. The question is how long it takes for people to be included in the SBB if that is at issue and how anonymity is guaranteed. We understand from the Minister's answers that anonymity is not guaranteed. However, it is stated that attempts are being made to apply the anonymity retroactively from the moment when the woman has disappeared from the sight of her killer, but I do not find that reassuring. So I would also like to receive a response from the Minister. Hence my previous question as to whether, in view of the functioning of the protection regime of health insurers and the lack of guarantees that threatened clients will always be included in the system on time, it is not better to have that funding run through the Health Institute. We do the same for illegal immigrants and asylum seekers. Then the health insurance companies can just get out. So I would like to receive a response from the Minister on this point. I'm considering tabling a motion on this.
ParlaMint-NL_2016-01-12-tweedekamer-10.u7	Mr. Chairman. "Care for the mind costs the most," notes the National Institute for Public Health and the Environment in its latest study of disease costs. The cost of depression and anxiety disorders has more than doubled in the last ten years. The cost of addiction has almost quadrupled. The number of people receiving help over the Internet has tripled in recent years. The latter is a good development in terms of costs, because treatment via the Internet is cheaper. The PVV is therefore in principle in favour of e-mental health. This is particularly true of the seriously threatened people. We still have a few questions about the grant of anonymous e-mental health to non-seriously threatened persons. "Anonymous" means: free care, no vision of quality or effectiveness and no control of the declarations. The Minister writes in the explanatory statement that anonymous e-mental health is necessary because patients could avoid care out of shame. I am surprised that the Minister does not regard care as a problem out of shame, but do not avoid it out of lack of money, and that while there are now several studies showing that care avoids because of the high risk is a growing problem and that there are no figures at all about care out of shame. In fact, I found the opposite in the Trimbos release for 2013-2015. I quote a number of findings. "In the Netherlands, the threshold to seek help for psychological or emotional problems seems relatively low compared to other countries." "But 8 percent of adult Dutch people say they feel uncomfortable talking to a professional counselor about their mental problems and only 2.6 percent say they are very ashamed of this." "Eighty percent of grown-up Dutch people don't give themselves much, or aren't ashamed at all when it becomes known that they have sought professional help for psychological problems." The Netherlands seems to be at the forefront in terms of easy access to help for psychological problems and shame about mental problems is hardly common. Then why this bill? Will the Minister respond to this? I am far from convinced of the need for anonymous e-mental health. The purpose of this bill is to regulate the financing of anonymous e-mental health by providing an annual subsidy. The grant has a lower limit and an upper limit of €100,000 and €700,000 respectively. The total amount available is 2 million. How did the lower limit and the upper limit come about? I cannot imagine that setting up an online platform with some fill-in forms and chatboxes, a number of 24-hour staff and a coordinator should cost so much. Last year, Stichting E-Help estimated that the cost of a complete, full online platform mix is about €450,000. As far as I am concerned, therefore, this upper limit can be halved, as can the lower limit. Or is two tons calculated for a principal's salary? I would like an explanation of this. How hard is that 2 million-dollar limit? What if there's a massive influx into this new offering of free online help in case of mental illness? Doesn't this bill create an entirely new healthcare offer, which ultimately makes the ggz not cheaper but much more expensive? Has the Minister taken into account the influx of patients at all? If so, who's gonna pay for that? How are the anonymous patients registered? How can their claims be monitored? How do we know if the treatment is successful or not? There's nothing in the bill about this. The indication merely states that there must be a psychological necessity. How stretchable is that understanding? Each supplier can draw up his questionnaire in such a way that the necessity has soon been demonstrated. Fortunately, the indication is now being evaluated against the DSM-IV criteria and not against the DSM-5 criteria, where a binge or a somewhat longer mourning period is already classified as a mental disorder. However, this may change at any time. In short, my group is very concerned about abuse and the sensitivity to fraud of this bill. It is in fact a kind of experiment, not based on research and figures, but on assumptions and expectations. I'm rounding up. The PVV Group is in favour of e-health, but anonymous e-health should be discouraged rather than encouraged. Is that how the Minister sees it? If so, how will it prevent influx and promote outflow?
ParlaMint-NL_2016-01-12-tweedekamer-10.u8	Mr. Chairman. Today we are discussing the amendment of the Health Insurance Act. This is about ensuring that the anonymity of people is guaranteed by health insurers. This will also make it possible for people covered by the monitoring and security system to remain anonymous. These are people who have often been victims of serious threats and/or abuse in sad circumstances. The safety of the safe house must be guaranteed for people covered by the surveillance and security system. Unfortunately, in the past, it has been found that a threater was able to retrieve the address data as a result of administrative traffic between the care provider and the health insurance provider. That's unacceptable. Let me give you an example. In 2004, a man shot his wife outside of a stay-of-my-living home. He traced her flight address through the health insurance company. People who rely on the monitoring and security system must be able to assume that they are safe. The present amendment to the Health Insurance Act allows for an anonymous settlement of the healthcare costs. The VVD therefore agrees with this part of the bill. At the end of 2007, a motion of the SP was widely supported to identify the nodes around internet treatments and to see if a directive on anonymity was possible. This reflected the internet therapies used for people with an addiction who wanted to remain anonymous. In recent years, the range of e-mental health applications has grown. E-mental health can be used in the treatment of various psychological complaints and can also be applied anonymously. For the VVD it is very important that people end up in a regular care path. Not for nothing has there been investment in the practical supporters ggz with the general practitioners in the past period and the basic mental health care functions. Care can be provided here in a very accessible way. These people are subject to medical professional secrecy, which ensures the confidentiality of such a conversation. This raises the question to the Minister as to what the argument is for the funding of anonymous e-mental health now to be laid down in a law. What is against continuing the current practice of providing a fixed subsidy of a ceiling of 2 million a year? The note of reply shows that little is currently known about the effectiveness of the application of anonymous e-mental health and that no structural monitoring has been carried out. The SP has already drawn attention to this. Who makes use of it and who benefits from it? Those are questions. Does the Minister agree with the VVD that it would be a good thing to have more insight into effectiveness? Which methods do work and which do not work? Does this form of anonymous help lead to solutions and are people looking for help in regular care? For the VVD these are relevant questions. Fortunately, scientific research is carried out on the effectiveness of the use of e-mental health. During a visit to the Vrije Universiteit in Amsterdam, I learned that a study shows that the combination of remote assistance via the internet and actual help through a conversation with a psychologist, the so-called blended care, leads to the best results. How does the Minister view this? Does the VVD consider that it is important that people enter the regular care process? Will this be a starting point for the application of anonymous e-mental health? The letter of 10 June 2011 states that a total of EUR 2 million, including implementation costs, will be allocated in a structural way to finance it. This amount shall be borne by the Health Insurance Fund. Will this amount be maintained in the coming years? Is this used for all forms of anonymous e-mental health? Or is a distinction still made for certain psychological complaints? Which ones are they? What role will the Healthcare Institute play in this? And what is the guarantee that this bill will not create a title to increase this budget? The VVD acknowledges that sometimes it can be very good to offer people the possibility of anonymous e-mental health; there is no misunderstanding about that. Nevertheless, for us, it is right for people to be helped within a regular care pathway. Now that there are so many questions, the VVD seems wise to continue the current scheme and gain more insight into the effects, tried and tested methods and results. A letter of amendment can provide that the important part of this bill on the anonymous settlement of the care costs of people covered by the system can simply be monitored and secured. I would like to hear how the Minister, as well as the Chamber, views this proposal. However, now that this bill is before us, the VVD has tabled an amendment this afternoon. This amendment asks for an evaluation after two years and a report on the effectiveness and effectiveness of this law in practice. Ultimately, it is about methods that make people better, especially in mental health care.
ParlaMint-NL_2016-01-12-tweedekamer-10.u9	Mr. Chairman. Knowing you need care, but feeling ashamed about your disorder or addiction. If you do not dare to leave anonymity to use regular care, an alternative must be possible. E-mental health can occur anonymously. However, the funding for this was not well arranged for a long time. There is now a good legislative proposal for this, as far as D66 is concerned. Anonymous e-mental health for first-line psychological care, including addiction issues, is made accessible through collaboration between government, insurers and providers. We think that is a good development. D66 strongly supports the possibility of anonymity for vulnerable groups, especially in the early stages of treatment, when people still struggle with feelings of shame, fear of the environment or insecurity. D66 wants people to use appropriate care within the regular system where possible. The Minister states that the healthcare provider must motivate or guide the user to regular care. D66 would like the Minister to carry out an evaluation on this point over time. That is why I agree with the amendment tabled by the VVD. D66 would like to know in how many percent of cases and after how much time the guidance to regular care succeeds. I would like to receive a response from the Minister. Does the anonymous e-mental health of, for example, the website Grip fall on your Dip from the Trimbos Institute below? It focuses mainly on prevention. Grip on your Dip actually wants to prevent young people from going to regular care at all. At the first signs of a feeling of depression, you can already intervene. Is the grant for Grip on your Dip included in this bill? Grip on your Dip is really proven effective. Can the Minister see if there is a possibility of multiannual funding in this case? This also makes it easier for such a programme to continue to work for as much prevention as possible. D66 has argued before, and also in other areas, for a good guarantee and security of data from seriously threatened clients. Of course, where people work, mistakes can occur, but this group really requires extra vigilance from all parties involved. My group welcomes the chosen line, which does not include data in the health insurance system, so that traceability becomes very difficult. I would like to hear a brief explanation from the Minister on this point. What steps will it continue to take to really minimise the risk of traceability? Can the Minister indicate whether she is prepared to identify the financial consequences of anonymous financing for seriously threatened clients and inform the Court of Justice about this? In conclusion, I can say that D66 believes that there is a good legislative proposal here. D66 supports the choice to make anonymous care available only to those for whom this is a necessary condition for treatment. I think it is important to hear from the Minister who sets the criteria for this. Who decides? Moreover, my group wholeheartedly supports the steps taken in this legislative proposal to allow people to enjoy necessary care anonymously and untraceable.
ParlaMint-NL_2016-01-12-tweedekamer-10.u10	Finally, Mrs Bouwmeester has the floor on behalf of the Group of the Party of Labour.
ParlaMint-NL_2016-01-12-tweedekamer-10.u11	Mr. Chairman. People need to be able to trust that they get the care they need and that they get the care that suits them. We have a comprehensive insurance package that is accessible to everyone, regardless of income, age or state of health. That's something to be proud of. However, there is also a group of people who do not have access to care, because these people, out of shame, do not dare to ask for help because of mental illness or addiction, whereas early preventive or real help is extremely important for them not to let it go any further. Unfortunately, there is still a very big taboo on help from the ggz. That is quite wrong, because someone with a mental illness is no more or less sick than someone with a physical illness. This is not always experienced, however, so that people who do need help do not always dare to ask them. This raises the question of how the persistent taboo on mental health can be broken. But we also need a practical solution. That is why we support the proposal for anonymous e-mental health specifically for groups of people who do need ggz help but only accept it from anonymity. There is also a group of people who for another reason have limited access to care. These, for example, are people who need additional protection because of serious threats. These people, such as women who fled from violence to women's shelters, are also protected by this amendment of the law. By financing care for them anonymously, they are less likely to be found in care via the declaration data and that is an important protection mechanism. My colleague from the VVD has just mentioned a very painful example of how things can go wrong. This law reduces the chances of that happening. Access to care is thus increased for two very vulnerable groups of people. The Labour Party considers that to be a very good example of organizing care from the demand and desire of people rather than based on thinking from a system. The PvdA is therefore also a strong supporter of this bill, but still has a number of questions. Good care is care that suits people, as I just said. One fits an internet treatment and the other fits care in the office. People should always have the choice to work with their healthcare provider to determine what suits them. E-mental health, according to research by e.g. the Nictiz, is many times more effective for certain groups of people than the classic treatment in the office. According to Nictiz, however, this more effective treatment is not always widely used, because a cultural change is needed first, in which the patient is really central and therefore, according to his wishes, what offer fits. It is also necessary to provide guidance and flexible financial space. Only then will this cover be made and this contributes to appropriate care. The question then is who is helping the patient. Who's acting in his best interest? What role does the Minister see for himself in this? I was just saying that at the same time there are also people who just like to get care from the treatment room. That's good, too. If that suits you best, it's our job to keep it up. Can the Minister guarantee that e-health, health from the treatment room or in any other way are always possibilities that persist side by side? In what way is it ensured that people who can be helped by anonymous e-mental health can actually find them? How is an appropriate offer organised, diverse and close to home, so that it can be found for these specific people? How do selection and referral take place? Where can one object if anonymity is really necessary but not honoured? A number of treatments are currently eligible for reimbursement. The question is why this number is limited. Which treatments are these exactly? My colleague from D66 already asked about the treatment Grip on your Dip, but there are many more preventive interventions. Are they eligible for this? The sooner early warning preventive assistance is provided, the more effective it is and the more cost savings will be made. We would like to see a substantive evaluation of what is eligible for this. Is that enough or should it be extended? Are there more, lighter interventions needed? What does this mean for the effectiveness of treatment and for the costs? My colleague from the VVD has tabled an amendment on an evaluation, which we support. We would like to see these points reflected. Then there's the last question. Why does this bill define the intention that the healthcare provider should ultimately refer someone to regular care? Is it meant to end up referring someone from anonymous e-health to e-health, but by name? Or is someone supposed to be referred from anonymous e-health to the treatment room? If reports show that e-health is many times more effective for certain people, then I think we should make sure that they get and keep that care that suits them, and not refer it to the office, because we are used to the office. Our starting point is: do what works, do what suits people and make sure it stays widely accessible. Compliments on this proposal, which is about people and not about systems.
