ParlaMint-NL_2016-11-02-tweedekamer-14.u1	Those who want to speak are present. I shall be the first to give the floor to Mrs Van Toorenburg.
ParlaMint-NL_2016-11-02-tweedekamer-14.u2	Mr. Chairman. Forgive me for speaking quickly, for we have a number of things to say. It is incomprehensible that different transporters, such as Arriva, Connexxion, EBS, Qbuzz, Syntus and Veolia, do not have a single system for registering social security problems. We call for a national integrated approach. D66 will put forward a motion on this matter which has been co-signed by Mr Van Helvert. We are also concerned about reporting fatigue. In January 2016, we received the disturbing message that NS personnel are not always afraid to report incidents. We passed that on to the Secretary of State. In the debate held in January, the Secretary of State confirmed that this is true and that it is in all our interests that incidents should be reported. A report from the WODC confirms that there is a decreasing trend around the willingness to report and the willingness to register. That is why we have a motion on this. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas staff in public transport do not always report the problems of social security;]] [[Whereas this leaves problems unknown and does not, therefore, address them;]] [[calls on the Government, in consultation with the public transport sector, to draw up a plan so that all social security problems in public transport can be safely reported and informed to the Court,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van Toorenburg and Mr Van Helvert. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-28642-88]]
ParlaMint-NL_2016-11-02-tweedekamer-14.u3	Then I have a motion on the double-humanization. The promised double-humanisation has still not been properly implemented, but it is of great importance at so-called risk lines and moments. To that end, the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the double-humanisation measure on the train on risk lines and moments of risk has not yet been implemented;]] [[calls on the Government to endeavour to implement the double-humanisation measure on risk lines and moments before the end of the first quarter of 2017 and to inform the Court thereof,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van Toorenburg and Mr Van Helvert. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-28642-89]]
ParlaMint-NL_2016-11-02-tweedekamer-14.u4	About that last thing it's interesting...
ParlaMint-NL_2016-11-02-tweedekamer-14.u5	You have seven seconds left.
ParlaMint-NL_2016-11-02-tweedekamer-14.u6	I was on the train the other day. Then I spoke to a conductor. I said, what do you think? She said, "They keep going; they're yelling that they're doing it, but they're not doing it." It's a thorn in the eye. That is why I think it is important to underline this.
ParlaMint-NL_2016-11-02-tweedekamer-14.u7	Thank you. Mr Hoogland has waived the floor. Then I give the floor to Mrs Belhaj of D66.
ParlaMint-NL_2016-11-02-tweedekamer-14.u8	Mr. Chairman. Yesterday we had extensive discussions here about infra and cars, but it goes without saying that travelling by public transport is extremely important, but must also remain pleasant. Now it turns out that a number of people, or rather too many people, have the need to behave rather strangely or aggressively against the staff working in public transport. That is why, as a result of the debate and a heart cry from many, we have the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas social security is served by a national data analysis system in which police and all carriers cooperate;]] [[noting that such cooperation is regulated in regional transport via the TRIAS system, but that there is no integration with the systems of other carriers;]] [[calls on the Government, in addition to the ongoing measures and in consultation with regional transporters, urban transporters, the NS and the police and justice services, to establish within six months a single national operating and integrated data analysis system within which the so-called ABC data are shared,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Belhaj and Mr Van Helvert. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-28642-90]]
ParlaMint-NL_2016-11-02-tweedekamer-14.u9	The motion may be a little technical, but it comes down to the following. If all transport companies know of each other at what place and at what time there are disturbances, it is very pleasant for the police to be able to take very targeted measures and not have to apply some sort of arbitrariness to different places and times. I hope that this motion will be adopted so that we can all return to normal public transport.
ParlaMint-NL_2016-11-02-tweedekamer-14.u10	Mr. Chairman. I welcome the Secretary of State's commitment to a national registration system. That's what's there. It's called TRIAS. One of the performers is in the public gallery, I happen to know. A motion has now been tabled. I await the Secretary of State's response. The debate also focused on dealing with black drivers. I shall now put to the vote a motion for a resolution on this matter. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas each carrier has its own approach to undeclared driving, which allows a black driver to build up a criminal record for each carrier and to remain undisturbed in the conduct of various transporters;]] [[Considering that undeclared driving should not pay and that the use of violence is often caused by undeclared driving;]] [[calls on the Government, in cooperation with carriers, to establish a joint registration and handling of undeclared driving in public transport,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr De Boer and Mr Hoogland. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-28642-91]]
ParlaMint-NL_2016-11-02-tweedekamer-14.u11	I would like to stress here that it complements the previous speaker's motion and the commitments already made by the Secretary of State on the common registration system. That's actually wider. I believe that the approach of black drivers is part of this. Then I'll move on to the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the safety of bus crews and passengers is to the benefit of putting up cameras on the outside of the bus, both preventive and detection;]] [[Whereas the ambition should be to provide contracting authorities and carriers with 5,000 cameras for the entire bus fleet, and to examine how the deployment of those cameras can be brought into line with the Personal Data Protection Act;]] [[Calls on the Government, with local and regional authorities and the public transport sector, to examine whether and, if so, how, when granting concessions, the hanging of cameras on the outside of buses can be included as a concession requirement and inform the Chamber of progress at the beginning of 2017,]] [[and goes to the order of the day.]] [[This motion has been proposed by the member De Boer. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-28642-92]]
