ParlaMint-NL_2016-03-15-tweedekamer-30.u1	I would like to welcome the Secretary of State for Education, Culture and Science.
ParlaMint-NL_2016-03-15-tweedekamer-30.u2	Mr. Chairman. Last week we talked about the workload in education. The Secretary of State for Education, speaking on television about this workload, used very tough words. He said that teachers should simply no longer carry out administrative tasks. Well, I don't think that's been said to deaf ears. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the State Secretary on television says that unnecessary administrative tasks need not be carried out by teachers;]] [[Whereas there is considerable uncertainty for teachers as to which administrative tasks need no longer be carried out;]] [[invites the government, school boards and teachers to inform about the administrative tasks no longer to be carried out by teachers, and to inform the Chamber about this before the summer recess 2016,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Siderius. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29515-380]]
ParlaMint-NL_2016-03-15-tweedekamer-30.u3	Research by the General Education Association shows that teachers work six hours a week on average. The Secretary of State doesn't really want anything. He doesn't want extra teachers, and he doesn't want to pay those overtime either. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that teachers work six hours a week on a structural basis;]] [[noting that overtime in education is not paid;]] [[calls on the Government to pay out teachers' overtime from school year 2017-2018 and to make room for this in the forthcoming budget,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Siderius. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29515-381]]
ParlaMint-NL_2016-03-15-tweedekamer-30.u4	Mr. Chairman. I'll file the next two motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Breakthrough project supports education and ICT schools and teachers in the realisation of personalised education, supported by ICT;]] [[noting that many schools may have barriers in terms of knowledge and adequacy of budgets to give ICT and digital facilities a place in education;]] [[Considers that reduced time spent on surveying, administrative work and over-typing of data can benefit time for professional culture at school and on teaching preparation;]] [[Considers that commitment to and attention to improving ICT facilities and digital processes in many schools can also make a significant contribution to reducing the workload and increasing the working pleasure of teachers;]] [[calls on the Government, within the Education and ICT Breakthrough Project, to focus on the opportunities and opportunities for reducing the workload of teachers and to report to the Chamber on this,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the pilot regular schools are currently running and that a progress report is being sent to the Chamber after the summer;]] [[noting that at present there are already suggestions and tips from education to eliminate unnecessary or unnecessarily restrictive rules and measures;]] [[considers that this provisional yield can also be very useful for schools which are not currently participating in the pilot;]] [[Calls on the Government to extend the provisional proceeds of the pilot regular schools and a black book on rules that can be abolished in education so that more schools can benefit from this in terms of reducing workload and regulatory burdens;]] [[calls on the Government to consider extending the pilot to non-excellent schools which are not currently participating in the pilot, following the progress report, provided that they meet certain quality standards,]] [[and goes to the order of the day.]] [[This motion has been proposed by the Member Ypma. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29515-382]] [[This motion has been proposed by the Member Ypma. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29515-383]]
ParlaMint-NL_2016-03-15-tweedekamer-30.u5	In doing so, my group hopes to be able to contribute to the high workload in education.
ParlaMint-NL_2016-03-15-tweedekamer-30.u6	I assume you want to contribute to reducing the high workload.
ParlaMint-NL_2016-03-15-tweedekamer-30.u7	Exactly, to reduce the high workload through the use of ICT, and by sharing all the experiences we have with regular schools more widely in education.
ParlaMint-NL_2016-03-15-tweedekamer-30.u8	Mr. Chairman. The debate on the workload in education once again raised the administrative burden and the pilot slow schools. The CDA has been advocating the pilot with regular schools for years. However, we wanted a broad pilot and not just a pilot for a few schools with a kind of "state hallmark" of excellence. We were given the impression in the debate that this view is now being shared more widely in Parliament. That is why I shall retable the motion I tabled earlier on 10 June last year. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that only schools with the designation "excellent school" may participate in the pilot regular schools;]] [[having also noted that PO Council, VO Council and all profile and management organisations are asking for wider admission conditions to the pilot regular schools;]] [[noting that schools that have been awarded the basic arrangement comply with the legal requirements and the yields are of sufficient level;]] [[Whereas a more varied field of participants in the pilot could also lead to a better understanding of where fewer rules can lead to better quality of education and more satisfaction;]] [[calls on the Government, including schools which have been granted the basic arrangement from the inspection, to allow them to participate in the pilot regular schools,]] [[and goes to the order of the day.]] [[This motion was proposed by Mr Rog, Mr Van Meenen, Mr Siderius and Mr Bishop. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29515-384]]
ParlaMint-NL_2016-03-15-tweedekamer-30.u9	Mr. Chairman. It is always good to table a motion once again if there is an increased chance that it will be adopted. Today, a motion that I have tabled for the third time has been rejected again, but I will continue. That motion was also about workload, and it was about reducing the number of teaching hours per lecturer. But maybe the motion will make it the fourth time. I'm not filing a motion. However, I would like to emphasise that I have warmly signed the motion tabled by Mr Rog. Unlike the Secretary of State, who says that there can be a lack of transparency when a school has the predicate excellent, my group is arguing exactly the other way round. We think education will be better if there are fewer rules. We must give this opportunity to any school that meets the minimum conditions. Hence my support for this motion.
ParlaMint-NL_2016-03-15-tweedekamer-30.u10	I understand that the Secretary of State has now received all the motions and that he can reply immediately. I call the Secretary of State.
ParlaMint-NL_2016-03-15-tweedekamer-30.u11	Mr. Chairman. I'd like to walk by the motions. The motion in part No. 380, tabled by Mrs Siderius, seems sympathetic, but I do advise against her. In the verdict I made, I also called on teachers to engage in that discussion within their own school. The motion assumes that we already know in advance exactly what administrative tasks or rules would be unnecessary. If that had been the case, they would have been abolished by now. This is about experienced regulation, phantom regulation, which must be discussed in schools. In the motion in part No. 380 the case is placed too one-sidedly only on the board of the government. It is clear that I too have the motion in part No. 381, also tabled by Mrs Siderius, dissuade. In the motion in part No. 382 calls for attention to be paid to ICT. Like Mrs Ypma, I see important opportunities for ICT in two areas. Schools must first know how to use ICT to their advantage. It is important that the correct standards are applied so that teachers only have to log in once, numbers do not have to be re-checked every time and the system is user-friendly. I think this is an important addition to the Doorbraakproject Education and ICT. I shall therefore leave the vote on this motion to the Chamber. The same applies to the motion in part No. 383. This is in line with what I promised to the Chamber earlier, namely that after the summer I will give an interim view of the initial experiences with the pilot slow schools. That is the right time to see whether and how the pilot could be extended and which schools would be eligible for it. The nice thing is that around the summer we are also going to have a discussion about differentiated supervision, where, for example, a judgment can also be added as 'good', which is between 'basic' and 'excellent' and which can form a kind of additional category of schools, which we say: they have already shown some more quality requirements. Maybe they could be part of the pilot. Furthermore, the hotline is about registration obligations. The reports that come from there and from the schools themselves, I will analyse carefully to see what we can delete and simplify. If I can interpret that black book as such, I think we're gonna figure it out. My verdict on this motion is therefore: "Examination Chamber." The motion in part No. 384, on the other hand, I would advise against. It's actually ahead of the whole discussion. It says that virtually all schools should be allowed to participate in the pilot regular schools, including those which are "just weak off" so to speak, just at the top of the line. We should not look at this at all, and the inspection should no longer play a role in this, Mr Rog and the other signatories to this motion. I think that would be extremely unwise.
ParlaMint-NL_2016-03-15-tweedekamer-30.u12	Mr Van Meenen has one question on the motion.
ParlaMint-NL_2016-03-15-tweedekamer-30.u13	I believe that the Secretary of State states that, according to Mr Rog, the inspection would no longer have to play a role in this. That is not at all the intention of the Rog c.s motion.? The approach is that if a school meets the legal requirements, it can waive a number of rules. That doesn't mean there's no more inspection, does it?
ParlaMint-NL_2016-03-15-tweedekamer-30.u14	Then perhaps it would be good if Mr Van Meenen took a closer look at the pilot slow schools. We have agreed that the schools participating in it are really slow, that the inspection stays away for the time being and that these schools do not have to comply with a number of rules. So you could say that this is a rather rough pilot, which we keep mainly for the sake of a number of schools in which we have the full confidence that they are providing very good education and that we can therefore withdraw from it. To do that in 95% of schools, I find extremely unwise. That's why I advise against this motion.
ParlaMint-NL_2016-03-15-tweedekamer-30.u15	Mr Rog, you are actually the first signatory.
ParlaMint-NL_2016-03-15-tweedekamer-30.u16	Yes, but that's okay, because Mr Van Meenen was also a signatory.
ParlaMint-NL_2016-03-15-tweedekamer-30.u17	Only the first signatory, but I thought I wouldn't say anything about that.
ParlaMint-NL_2016-03-15-tweedekamer-30.u18	Okay. I'm not in charge of your order. The Secretary of State now seems to indicate that all schools are immediately participating in such a pilot, but I do not think that is the situation. It is not the case that by opening up the pilot, we can get a broader picture of how such a pilot works, all schools also participate in it. There will therefore also be schools with a basic arrangement. I would like to draw the attention of the Secretary of State to the fact that the Labour Party has also expressly indicated that it is seeking this broadening.
ParlaMint-NL_2016-03-15-tweedekamer-30.u19	I heard that from the PvdA. Nevertheless, I read something else in Mrs Ypma's motion and she did not co-sign Mr Rog's motion for a reason. She asked me to indicate what is possible after the summer, when we come up with an intermediate position. So that's more open-minded. In addition, Mrs Ypma says that we can respect certain quality requirements. I do not read that in Mr Rog's motion either. I am therefore well aware of Mrs Ypma's motion and of Mr Rog's motion.
ParlaMint-NL_2016-03-15-tweedekamer-30.u20	We will vote on the motions tabled next Tuesday.
