ParlaMint-NL_2016-03-09-tweedekamer-10.u1	I would like to welcome the Minister for Economic Affairs.
ParlaMint-NL_2016-03-09-tweedekamer-10.u2	Mr. Chairman. Today we are discussing an amendment to the Procurement Act which entered into force in 2012. The reason for this is the implementation of two technical directives. When I think of invitations to tender, I think of two important points. Firstly, the government spends a lot of taxpayers' money on socially relevant projects. How can we prevent these projects from failing, among other things, because they can already go wrong in the tendering process? The inhabitants of the Netherlands want the right people with the right knowledge to work in the right place for them. We know that too many public projects are still failing, especially in the field of ICT. This leads to high failure costs, and for that our residents are presented with the bill. The second point on which I would like to draw attention, on behalf of the CDA Group, when dealing with this law is how small and medium-sized enterprises, after all, the job engine of our society, can have sufficient access to all these public contracts. The question is to what extent the majority of contracts simply go to large parties on the market because of economies of scale and their impact on prices. The Minister writes that the position of small and medium-sized enterprises has hardly improved since the law was introduced. Before I go into a number of points of the law, I would like to point out that another law is closely related to the Procurement Act, namely the Market and Government Act, which we will be discussing in the Chamber this spring. The government sometimes tends to think that it can do better itself, better than the market, for example by taking care of catering itself or doing cleaning work. The government calls this contracting out. In my group's view, this can be reduced. I refer to the shameful example of the scanstrats of the Ministry of Education and Science and the Tax Administration. Fortunately, the Minister has now promised to get better. It is to be hoped that our government is a real learning organisation and that these kinds of actions will soon become a thing of the past. I shall now turn to the increase in European procurement thresholds, the cluster ban, the division bid and the innovation partnership. The CDA has been calling for an increase in European procurement thresholds for years. I tabled a motion in April 2014 asking the government in Europe to call for the thresholds to be raised to EUR 1 million. In this way, local authorities will be given more room to put local public procurement into the market. Unfortunately, at the time, there was no majority in favour of this motion from the CDA. Then, of course, you hope that parties will come to the same understanding later. I am pleased that the note on the report shows that the VVD Group has now come to this understanding. I'm happy about that. Minister Kamp also wants to make a commitment to this. He will do so at the next round of negotiations of a government procurement agreement. If I read it correctly, it's not until 2019. That's a long way away. Is this true? My group is now calling on the Minister to start the lobby, especially since our European colleagues still have to be convinced in the first instance. Is the Minister prepared to raise this issue at the Competitiveness Council this year? Then there is the position of small and medium-sized enterprises.
ParlaMint-NL_2016-03-09-tweedekamer-10.u3	I will come back to the previous subject. You just used a very complicated English term. We have a public gallery and we try to conduct the debate as much as possible in such a way that everyone can understand it. Can you explain what this term means?
ParlaMint-NL_2016-03-09-tweedekamer-10.u4	Certainly, this is an international round of negotiations in which the Minister participates on behalf of the Netherlands. Such a round of negotiations is called the government procurement agreement. The 2012 Procurement Act explicitly called for attention to be paid to the position of SMEs. This is reflected in a provision designed to avoid unnecessary aggregation of contracts and in provisions requiring the proper allocation of large contracts, so that SMEs are actually eligible for these contracts. I would also like to mention the application of the proportionality guide, which has been specifically designed as a guideline for this purpose. The CDA is therefore concerned that the evaluation shows that the award to SMEs has remained virtually the same, whereas the aim was to improve the position of SMEs. Moreover, according to the Minister, this is not the law itself, but the application of the procurement rules. The CDA considers it important to increase the award to SMEs. Our question to the Minister is how exactly he is going to do that. We hear from various sectors in the field that roughly 90% of public procurement is still received by the larger parties. How's that? Is that a picture? Can the Minister provide us with figures? What is the quality of the performance of the assignments? Furthermore, the evaluation of the Procurement Act shows that two thirds of economic operators found the requirements in procurement procedures to be sometimes or regularly not proportionate in recent years. This was also a reason for SMEs not to subscribe to contracts at all. The CDA therefore wonders whether the government considers that the requirements in the procurement procedures have often been disproportionate for SMEs in recent years. We would also like to receive figures on this. Does the Minister have these available? In the field there are sounds about setting up a standard tender fee or tender fee. The CDA is more committed to reducing procurement costs for SMEs than to redistributing those costs. In the Minister's view, where are the opportunities to further reduce the requirements of the procurement procedures for SMEs? Are these, for example, in the better application of the EMFI criterion? "EMVI' stands for "economically most advantageous tender'. The Minister says that as a result of the increase in the percentage of tenders using this criterion, the cost of bidding increased on average by 10%. Can the Minister outline his expectations for the coming years? In any event, the CDA would consider it reasonable that parties who have made a serious contribution to a tender which is subsequently withdrawn by the contracting authority itself as a result of errors by the contracting authority should receive some form of compensation. To what extent do fees already exist in the current law and in the Guide proportionality for such cases? Is the Minister prepared to introduce a compensation scheme for this purpose, precisely in order to prevent and reduce errors on the part of the public authorities? The evaluation also shows that contracting authorities are not, or are hardly, receptive to suggestions for the adaptation of contract conditions. There is talk of a lack of reciprocity. How would the Minister think this could be better picked up? During the hearing on tenders held by the Lower House, it emerged that there is a great deal of attention to the price in the case of tenders. Maybe the price counts more than it's supposed to. The result is that there can be too little attention to quality. It has been pointed out by the Knowledge Circle of Procurement that the points that can be given in procurement for quality are not always 100%, whereas the price criterion is always 100%. The CDA believes that the Minister should make this a starting point for his policy in order to give full scope to quality. Is the Minister prepared to do so? We also understood from Professor Telgen of the University of Twente that there are more of these kinds of technical improvements possible. Is the Minister prepared to investigate this, to submit these improvements to the House of Representatives and to include them in the Guide proportionality if he so wishes? This type of measure may not have to cost much, but it may help to improve the position of SMEs. That's the CDA's assessment. Furthermore, the CDA wonders to what extent the laundry list of many strict conditions and specific labels required by contracting authorities works at the disadvantage of SMEs. It is generally more difficult for SMEs to meet this than for a large party, isn't it? I would like to hear an explanation from the Minister. Then I'll go into the cluster ban and the split bid. Both measures should allow access to procurement for SMEs. The Minister stated in his reply that the evaluation of the Procurement Act revealed that no significant impact had actually been assumed from the cluster ban on contracts. The proportionality guide states precisely that clusters are generally permitted, but only in logically coherent and inextricably linked parts of assignments. The CDA wonders whether proportionality should not simply be included in the Guide that clusters are in principle prohibited. We saw the example of the UWV, which clusters eight different services in a tender. Eight! Those are services that don't logically belong together. Examples include cleaning, greening and security. Of course, SMEs are never dealt with in this way. SMEs also do not want to end up in the position of subcontractors, because then there is really no margin left. What's the Minister gonna do about this? How does the Minister intend to improve this further? I come to the subject of innovation. The CDA considers it important that this legislative proposal should give more room for innovative purchasing. One of the possibilities that can be exploited is the Innovation Partnership. This will give contracting authorities the opportunity to seek new solutions together with market participants. The Minister states that tenderers should define those innovative solutions as concretely as possible. How is it ensured that the contracting authority deals with this very confidentially in situations where the contracting authority does not deal with the specific tenderer of the innovative idea? The CDA considers room for innovation to be important and considers that it has not been sufficiently developed so far. In many calls for tenders, a company must give a very detailed indication of its experiences, sometimes up to a hundred years ago with three decimals. This is important for SMEs, but also for start-ups. In practice, such requirements are simply hindering the promotion of innovation, aren't they? I would like a response from the Minister. What does the Minister think about the fact that Secretary of State Van Rijn will also include procurement rules in his own legislation? Shouldn't all that be in this law and be implemented through this law? The CDA hopes, of course, that the Minister will take all our points very quickly and that this will improve the quality of government and the contribution of government to society. I believe that I have ended well within my time.
ParlaMint-NL_2016-03-09-tweedekamer-10.u5	Within the time you specified, I'm sure.
ParlaMint-NL_2016-03-09-tweedekamer-10.u6	Mr. Chairman. I don't rule out the possibility that I might exceed my agreed time.
ParlaMint-NL_2016-03-09-tweedekamer-10.u7	What I am saying now is very dangerous, but this is legislation, and that is possible.
ParlaMint-NL_2016-03-09-tweedekamer-10.u8	You can't do anything, and that's why I'm afraid to say it, Mr. President. Let me begin by saying that I am sorry that there is not yet a letter on the progress of the better procurement plan following the evaluation of the Procurement Act. Actually, it's more than a pity that we're dealing with this law today, when the letter isn't there yet. If I'm correct, that letter should have been in the Chamber three months ago. How come we haven't received that letter yet? I am very interested in the plans and the progress that this Minister is making with regard to the evaluation and what should result from them. I'm in a bit of a hurry. It is strange to talk about all kinds of changes to a law, when we have not even been able to speak properly about its functioning. Anyway, now we have to. Let me therefore begin with my contribution to the legislative amendment we are discussing today. I'll start with the award criteria. The Minister has chosen to replace the most economically advantageous tender with three award criteria: the best value for money, the lowest cost based on cost-effectiveness, the lowest price. In response to our questions on this subject, the Minister wrote that the criterion of the lowest cost based on cost-effectiveness should be based on a higher quality product or better service. If the criterion is to be interpreted in this way, I wonder why it is defined separately. Surely such a thing should already be covered by the first criterion? To the Minister's explanation, this is actually a variant to the best value for money. Since the second criterion on cost-effectiveness does not need to be justified, I wonder whether it is necessary to maintain this criterion in this way. This could be defined differently by the contracting authorities. By this, of course, I mean that contracting authorities can make use of it in such a way that they can only award it at the lowest price, so that they do not have to motivate it. Does the Minister share our view that this criterion should therefore also be justified? I have tabled an amendment to this effect, because I believe that this should be the case. I hope that this amendment has now been circulated, otherwise it will come very soon. That amendment was tabled partly on behalf of the Christian Union and D66.
ParlaMint-NL_2016-03-09-tweedekamer-10.u9	If I see correctly, that is the amendment to item No. 11.
ParlaMint-NL_2016-03-09-tweedekamer-10.u10	Thank you. The Minister himself states that the procurement practice needs to be improved. He announced in the evaluation of the Procurement Act that he would come forward with a plan. In the meantime, there appear to be many problems, such as compliance. These problems could have been avoided by better application by contracting authorities. I often find what I read in the evaluation documents shocking. Public authorities are poorly represented and economic operators and contracting authorities indicate that they spend more time on contracting and on justifying the deviation from the most economically advantageous tender, which happens only in half of the cases. I would also point out to the Minister that two professors in January called for the establishment of a procurement authority, which should improve not only the legal side but also the procurement technical side of the contract. The European directives make such an authority possible, but the Minister has not seized this opportunity. Has the Minister taken note of the professors' article? Why doesn't he set up such an authority? After all, we already have the centre of expertise of PIANoo and also the Commission of Procurement Experts. Why shouldn't we merge them together and make them a full authority? I also have an amendment in preparation on this point. It is an important point for me. That amendment is still being written. The European uniform self-declaration will also apply to procurement below the European public procurement limit. That's not necessarily necessary. The Minister writes that he wants to implement this in order to standardise the procurement process. The single European declaration of my own, Mr President, I shall continue to pronounce this term entirely, in order not to upset you with abbreviations, however, leads to an increase in the burden, because a company may be asked by contracting authorities to indicate how it meets the requirements. In the Dutch self-declaration it is only necessary to state that the requirement has been met. How is this not to lead to a major burden increase? I wonder whether it would be better to maintain the Dutch own declaration for non-European procurement in order to avoid this burden on entrepreneurs. Then I come to the use of the Guide proportionality by special sector companies. The Minister writes that the guide is used by half of these companies, but that he sees no reason to make this mandatory for them. I think I have seen an amendment by Mr Ziegs and Mr Bruins on this point. As far as I am concerned, the SP Group will support this.
ParlaMint-NL_2016-03-09-tweedekamer-10.u11	That is the amendment to item No. 9.
