ParlaMint-NL_2016-03-24-tweedekamer-11.u1	This is an ordered order of business. I give the floor to Mr Wilders of the PVV.
ParlaMint-NL_2016-03-24-tweedekamer-11.u2	Mr. Chairman. At the moment, we would all be holding the important debate in response to the terrible attacks in Brussels and its consequences for the Netherlands. We have seen in the news that one of the perpetrators from Turkey would have been brought to the Netherlands. We would receive a letter about that. That letter would come in the course of the day. The last minute was 5:30. We don't have that letter yet. Through your employees we understand that it will take at least half an hour. Then we have to read the letter and probably have a lot of questions about it. This issue and this part of the debate is very important. It is quite something: one of the perpetrators has also been in the Netherlands from Turkey. I therefore propose that the debate be postponed to next week. If we get that letter in the course of the evening, I can imagine that we might have another round of questions from the various political groups to the cabinet and that we will get the letter with the answers to the questions on Tuesday morning, with or without the facts. As far as I am concerned, we can then have a debate on Tuesday in the afternoon or evening. Then we have a full, serious debate. I think this subject deserves that, too.
ParlaMint-NL_2016-03-24-tweedekamer-11.u3	Who was the first? I understand that was Mr Pechtold.
ParlaMint-NL_2016-03-24-tweedekamer-11.u4	This debate was intended not only to reflect on the horrific things that have happened, but also to see what progress has been made in the Netherlands on the many issues that we have agreed on in previous debates. But I agree with Mr Wilders that since today there has also been a difficult problem because of what Mr Wilders said about that one perpetrator. This can only be done carefully; that is what people expect from us. I therefore support Mr Wilders' proposal.
ParlaMint-NL_2016-03-24-tweedekamer-11.u5	Even after the attack in Paris, we didn't talk about it head-on. I too am in favour of care, and that is why I support Mr Wilders' request.
ParlaMint-NL_2016-03-24-tweedekamer-11.u6	This debate was indeed intended to reflect on what happened. Many people in the Netherlands also have legitimate questions about safety, about how our society is now standing and about what has happened now. The Chamber has nothing to do with half-debate on the basis of half-information, and the people at home have nothing to do with that either. I therefore support Mr Wilders' request.
ParlaMint-NL_2016-03-24-tweedekamer-11.u7	Carefulness is above speed. This also affects cooperation between security services. There are a lot of questions about that. That must be completely clear before we can debate it. I therefore support Mr Wilders' request.
ParlaMint-NL_2016-03-24-tweedekamer-11.u8	I believe that this is a very complex and very sensitive issue. I really want all the facts on the table before we start the debate together. I therefore fully support the request for a postponement.
ParlaMint-NL_2016-03-24-tweedekamer-11.u9	I also support Mr Wilders' request. I also think that it would be beneficial for the quality of the debate if we did not ask all kinds of factual questions about a letter we have just received on a complex issue, but if we could still have a procedure of our own. I therefore support the request that the debate be held at a later date. I think that speaking time should be a little more generous than the five minutes we assumed.
ParlaMint-NL_2016-03-24-tweedekamer-11.u10	I would like to endorse that last point. On the other hand, I would like to say the following. It is, of course, appalling that the cabinet does not come forward with information until the last minute, when it has been very clear for a long time. Mr Wilders' request for this information was, of course, entirely justified.
ParlaMint-NL_2016-03-24-tweedekamer-11.u11	So you support it?
ParlaMint-NL_2016-03-24-tweedekamer-11.u12	That we'll be forced to...
ParlaMint-NL_2016-03-24-tweedekamer-11.u13	So you support it?
ParlaMint-NL_2016-03-24-tweedekamer-11.u14	I am speaking as long as Mr Pechtold does. That then just so...
ParlaMint-NL_2016-03-24-tweedekamer-11.u15	Thank you.
ParlaMint-NL_2016-03-24-tweedekamer-11.u16	No, it is therefore perfectly right that the request should be made. I will support that, but with the note that I actually think we should have done it tonight.
ParlaMint-NL_2016-03-24-tweedekamer-11.u17	I think women need less words: just support.
ParlaMint-NL_2016-03-24-tweedekamer-11.u18	Look! What a good example, Mrs Thieme.
ParlaMint-NL_2016-03-24-tweedekamer-11.u19	I also follow those who say that all the information must first be there. It was also about speaking time. I would like to leave that in your hands, because we all want much more speaking time. I want that too, but we also have many speakers, so I can also imagine that we are not going to stretch it much.
ParlaMint-NL_2016-03-24-tweedekamer-11.u20	Support for the request.
ParlaMint-NL_2016-03-24-tweedekamer-11.u21	Guys can do it, too.
ParlaMint-NL_2016-03-24-tweedekamer-11.u22	As far as the VVD is concerned, the debate can certainly take place this evening. That is also our preference, but I hear the broad wish in the Chamber.
ParlaMint-NL_2016-03-24-tweedekamer-11.u23	So you support the request, with that remark.
ParlaMint-NL_2016-03-24-tweedekamer-11.u24	I will not oppose your final decision.
ParlaMint-NL_2016-03-24-tweedekamer-11.u25	As far as we are concerned, the debate can also take place tonight, but if there is a broad desire to keep it at another time, then we must respect it.
ParlaMint-NL_2016-03-24-tweedekamer-11.u26	The whole Chamber supports the request, Mr Wilders.
ParlaMint-NL_2016-03-24-tweedekamer-11.u27	Thank you for that. I would also like to thank the representatives of the coalition parties for not resisting it. I believe that this will benefit a careful debate. If the letter is there, another round of questions can be held. Then we get the answers on Tuesday and we have a debate on Tuesday.
ParlaMint-NL_2016-03-24-tweedekamer-11.u28	In abundance, I note that this does not mean that we do not want that letter tonight.
ParlaMint-NL_2016-03-24-tweedekamer-11.u29	Of course.
ParlaMint-NL_2016-03-24-tweedekamer-11.u30	I propose that the stenogram of this part of the meeting be transferred to the cabinet. We are going to try to take into account all the wishes expressed during the scheme.
