ParlaMint-NL_2016-06-16-tweedekamer-9.u1	Before we vote, I give the floor to Mr Van Bommel.
ParlaMint-NL_2016-06-16-tweedekamer-9.u2	Mr. Chairman. I would like to ask for a postponement of the vote on Mr Van der Staaij's amended motion on the situation in the Middle East. I would like to ask for this postponement because the week has received written answers from Minister Koenders on this subject. It states that the Netherlands does not finance BDS activities against Israel nor does it have a list of organisations that promote them. This motion refers to indirect and direct financing. It is no longer clear to me what the effect of this motion would be.
ParlaMint-NL_2016-06-16-tweedekamer-9.u3	You want to postpone?
ParlaMint-NL_2016-06-16-tweedekamer-9.u4	Yes. It's very difficult to vote on a motion if you don't know what its effect is.
ParlaMint-NL_2016-06-16-tweedekamer-9.u5	The SGP is against postponing this vote, which has actually already been postponed. The discussion has already been well conducted. What Mr Van Bommel refers to has also been put forward orally by the Minister and is therefore nothing new. I understand, however, that Mr Van Bommel wants to be clear quickly. In this respect, I would like to respond to him that there will be a letter from the government as soon as possible on how the motion will be implemented if it is adopted.
ParlaMint-NL_2016-06-16-tweedekamer-9.u6	Mr. Chairman.
ParlaMint-NL_2016-06-16-tweedekamer-9.u7	No, Mr Van Bommel, we are going to see if there is a majority to postpone the vote.
ParlaMint-NL_2016-06-16-tweedekamer-9.u8	However, Mr Van der Staaij confirms that there is indeed a lack of clarity as to the effect of the motion. That's confirmed.
ParlaMint-NL_2016-06-16-tweedekamer-9.u9	No, no, Mr. Van Bommel. Who's talking about this? Mr. Servaes.
ParlaMint-NL_2016-06-16-tweedekamer-9.u10	Mr President, it is good to get the facts straight, because last Thursday the VAO was held under your Presidency. The answers to the parliamentary questions were received the following day. That's where the confusion lies. To be honest, I think it is merely collegial to give people the opportunity to request an adapted response to a modified motion that was just tabled yesterday. So it's not about content at all, it's just about collegiality. A motion was tabled later. Can't we get a cabinet opinion before we vote on it? I don't think that's much more than decent.
ParlaMint-NL_2016-06-16-tweedekamer-9.u11	I am going to give everyone the floor, on condition that they say yes or no and that the letter is not discussed. First, Mr Grashoff.
ParlaMint-NL_2016-06-16-tweedekamer-9.u12	The Group of the Greens/European Free Alliance supports the postponement of this vote. I think there are a number of good arguments for this, which Mr Servaes has put forward, among other things.
ParlaMint-NL_2016-06-16-tweedekamer-9.u13	For postponement of votes.
ParlaMint-NL_2016-06-16-tweedekamer-9.u14	Support for postponement.
ParlaMint-NL_2016-06-16-tweedekamer-9.u15	We can just vote. The motion has been modified and circulated, so we'd like to vote today.
ParlaMint-NL_2016-06-16-tweedekamer-9.u16	Just vote now.
ParlaMint-NL_2016-06-16-tweedekamer-9.u17	Just vote.
ParlaMint-NL_2016-06-16-tweedekamer-9.u18	Support for postponement.
ParlaMint-NL_2016-06-16-tweedekamer-9.u19	No support for delay.
ParlaMint-NL_2016-06-16-tweedekamer-9.u20	Support for postponement.
ParlaMint-NL_2016-06-16-tweedekamer-9.u21	There's no support for postponement, so we're going to vote.
